System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
23:10:39:110, 60962903784376,    0.111,    4.000, 4000,   8.629,   0.955,   0.265,   7.650,   0.847,   0.235, 51,  0,   0.412,   0.046,   0.013,   0.056,   0.006,   0.002,  35.000,    0,   0.539
23:10:39:216, 60963137576412,    0.217,    9.000, 3400,  14.290,   2.468,   0.686,  13.055,   2.229,   0.619, 50,  0,   0.535,   0.102,   0.028,   0.033,   0.010,   0.003,  35.000,    0,   0.097
23:10:39:332, 60963394046625,    0.333,   10.000, 3700,  13.698,   4.059,   1.128,  12.421,   3.672,   1.020, 51,  0,   0.583,   0.170,   0.047,   0.074,   0.018,   0.005,  35.000,    0,   0.843
23:10:39:442, 60963635410115,    0.442,    2.000, 3000,   5.111,   4.618,   1.283,   4.117,   4.122,   1.145, 47,  0,   0.433,   0.217,   0.060,   0.057,   0.024,   0.007,  35.000,    0,   0.400
23:10:39:551, 60963876874335,    0.551,    1.000, 2400,   2.033,   4.840,   1.345,   1.190,   4.252,   1.181, 47,  0,   0.359,   0.257,   0.071,   0.027,   0.027,   0.008,  35.000,    0,   0.220
23:10:39:661, 60964119198312,    0.661,    2.000, 2100,   2.553,   5.121,   1.422,   1.890,   4.460,   1.239, 46,  0,   0.382,   0.298,   0.083,   0.044,   0.032,   0.009,  35.000,    0,   0.135
23:10:39:770, 60964359613180,    0.770,    1.000, 1200,   1.093,   5.240,   1.455,   0.512,   4.515,   1.254, 46,  0,   0.354,   0.337,   0.094,   0.006,   0.033,   0.009,  35.000,    0,   0.000
23:10:39:879, 60964602359550,    0.880,    2.000, 2100,   2.993,   5.569,   1.547,   2.246,   4.762,   1.323, 45,  0,   0.401,   0.381,   0.106,   0.048,   0.038,   0.011,  35.000,    0,   0.145
23:10:39:988, 60964844189714,    0.990,    1.000, 1200,   0.805,   5.657,   1.571,   0.407,   4.807,   1.335, 45,  0,   0.330,   0.417,   0.116,   0.026,   0.041,   0.011,  35.000,    0,   0.043
23:10:40:098, 60965084188849,    1.098,   10.000, 3100,   9.569,   6.697,   1.860,   8.473,   5.728,   1.591, 50,  0,   0.606,   0.483,   0.134,   0.081,   0.050,   0.014,  35.000,    0,   0.859
23:10:40:207, 60965325493189,    1.207,    8.000, 2500,  14.112,   8.239,   2.289,  12.847,   7.132,   1.981, 52,  0,   0.510,   0.539,   0.150,   0.066,   0.057,   0.016,  35.000,    0,   0.664
23:10:40:318, 60965569945504,    1.318,    9.000, 2800,  13.671,   9.753,   2.709,  12.279,   8.491,   2.359, 52,  0,   0.576,   0.603,   0.167,   0.107,   0.069,   0.019,  35.000,    0,   1.569
23:10:40:427, 60965811455640,    1.428,    4.000, 2300,   6.375,  10.450,   2.903,   5.452,   9.087,   2.524, 53,  0,   0.509,   0.658,   0.183,   0.107,   0.081,   0.022,  35.000,  800,   1.101
23:10:40:537, 60966053384140,    1.537,    1.000, 1600,   2.485,  10.722,   2.978,   1.754,   9.280,   2.578, 46,  0,   0.414,   0.704,   0.195,   0.082,   0.090,   0.025,  35.000,    0,   0.461
23:10:40:646, 60966296135376,    1.647,    2.000, 4100,   3.600,  11.118,   3.088,   2.976,   9.607,   2.669, 47,  0,   0.410,   0.749,   0.208,   0.041,   0.094,   0.026,  35.000,    0,   0.181
23:10:40:755, 60966536084246,    1.756,    0.000, 1200,   1.325,  11.262,   3.128,   0.727,   9.686,   2.690, 46,  0,   0.340,   0.786,   0.218,   0.021,   0.096,   0.027,  35.000,    0,   0.242
23:10:40:865, 60966778016272,    1.865,    2.000, 3400,   2.566,  11.543,   3.206,   1.869,   9.891,   2.747, 46,  0,   0.377,   0.827,   0.230,   0.053,   0.102,   0.028,  35.000,    0,   0.070
23:10:40:974, 60967019420520,    1.975,    0.000, 1600,   1.750,  11.735,   3.260,   1.096,  10.010,   2.781, 45,  0,   0.337,   0.864,   0.240,   0.011,   0.103,   0.029,  35.000,    0,   0.000
23:10:41:084, 60967261180122,    2.084,    2.000, 2300,   2.879,  12.050,   3.347,   2.088,  10.239,   2.844, 46,  0,   0.380,   0.906,   0.252,   0.069,   0.111,   0.031,  35.000,    0,   0.066
23:10:41:193, 60967501955161,    2.193,    0.000, 1800,   1.938,  12.261,   3.406,   1.127,  10.362,   2.878, 46,  0,   0.353,   0.944,   0.262,   0.030,   0.114,   0.032,  35.000,    0,   0.082
23:10:41:304, 60967748176513,    2.305,    3.000, 3600,   4.518,  12.765,   3.546,   3.794,  10.785,   2.996, 46,  0,   0.401,   0.989,   0.275,   0.068,   0.122,   0.034,  35.000,    0,   0.434
23:10:41:413, 60967989612234,    2.414,    2.000, 2100,   3.050,  13.098,   3.638,   2.243,  11.030,   3.064, 45,  0,   0.403,   1.033,   0.287,   0.011,   0.123,   0.034,  35.000,    0,   0.000
23:10:41:523, 60968231067974,    2.523,    2.000, 2000,   2.982,  13.424,   3.729,   2.100,  11.260,   3.128, 45,  0,   0.411,   1.078,   0.299,   0.079,   0.132,   0.037,  35.000,    0,   0.241
23:10:41:633, 60968473252464,    2.633,    1.000, 2100,   2.392,  13.687,   3.802,   1.652,  11.441,   3.178, 45,  0,   0.363,   1.118,   0.310,   0.032,   0.135,   0.038,  35.000,    0,   0.086
23:10:41:742, 60968714740004,    2.742,    1.000, 1600,   2.640,  13.976,   3.882,   1.794,  11.637,   3.233, 46,  0,   0.378,   1.159,   0.322,   0.052,   0.141,   0.039,  35.000,    0,   0.148
23:10:41:851, 60968955994792,    2.852,   14.000, 2200,  12.720,  15.365,   4.268,  11.504,  12.894,   3.582, 51,  0,   0.585,   1.223,   0.340,   0.028,   0.144,   0.040,  35.000,    0,   0.049
23:10:41:961, 60969197262544,    2.961,   12.000, 2200,  14.280,  16.926,   4.702,  12.976,  14.312,   3.976, 52,  0,   0.657,   1.295,   0.360,   0.060,   0.151,   0.042,  35.000,    0,   0.664
23:10:42:070, 60969439594129,    3.071,    6.000, 2600,  11.347,  18.171,   5.048,  10.199,  15.432,   4.287, 47,  0,   0.433,   1.342,   0.373,   0.026,   0.153,   0.043,  35.000,    0,   0.077
23:10:42:179, 60969680425075,    3.180,    1.000, 2100,   3.197,  18.520,   5.144,   2.379,  15.691,   4.359, 46,  0,   0.411,   1.387,   0.385,   0.052,   0.159,   0.044,  35.000,    0,   0.710
23:10:42:290, 60969926030070,    3.291,    3.000, 3700,   3.829,  18.946,   5.263,   3.095,  16.035,   4.454, 46,  0,   0.396,   1.431,   0.398,   0.040,   0.164,   0.045,  35.000,    0,   0.285
23:10:42:399, 60970167141637,    3.400,    0.000, 3100,   2.676,  19.238,   5.344,   1.986,  16.252,   4.514, 46,  0,   0.370,   1.471,   0.409,   0.020,   0.166,   0.046,  35.000,    0,   0.731
23:10:42:509, 60970408564524,    3.510,    1.000, 2100,   4.327,  19.711,   5.475,   3.464,  16.631,   4.620, 46,  0,   0.397,   1.515,   0.421,   0.046,   0.171,   0.047,  35.000,    0,   0.171
