System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
11:46:38:119, 12040138771985,    0.109,    2.000, 2000,   3.067,   0.333,   0.092,   2.205,   0.239,   0.066, 46,  0,   0.418,   0.045,   0.013,   0.055,   0.006,   0.002,  35.000,    0,   0.126
11:46:38:228, 12040380969476,    0.218,    1.000, 2000,   1.549,   0.503,   0.140,   0.790,   0.326,   0.091, 46,  0,   0.389,   0.088,   0.024,   0.040,   0.010,   0.003,  35.000,    0,   0.269
11:46:38:338, 12040622399720,    0.328,    2.000, 2100,   3.780,   0.916,   0.254,   2.902,   0.643,   0.179, 46,  0,   0.419,   0.134,   0.037,   0.063,   0.017,   0.005,  35.000,    0,   0.216
11:46:38:447, 12040863188788,    0.437,    3.000, 2000,   2.155,   1.151,   0.320,   1.416,   0.798,   0.222, 46,  0,   0.379,   0.175,   0.049,   0.056,   0.023,   0.006,  35.000,    0,   0.492
11:46:38:556, 12041104784088,    0.546,    5.000, 3400,   9.920,   2.236,   0.621,   8.863,   1.767,   0.491, 50,  0,   0.439,   0.223,   0.062,   0.051,   0.029,   0.008,  35.000,    0,   0.319
11:46:38:666, 12041345787711,    0.655,   12.000, 2300,  13.972,   3.762,   1.045,  12.758,   3.160,   0.878, 50,  0,   0.453,   0.273,   0.076,   0.046,   0.034,   0.009,  35.000,    0,   0.183
11:46:38:775, 12041587400353,    0.765,    8.000, 2100,  13.724,   5.263,   1.462,  12.357,   4.512,   1.253, 51,  0,   0.628,   0.341,   0.095,   0.108,   0.046,   0.013,  35.000,  500,   0.677
11:46:38:885, 12041829639795,    0.874,    3.000, 2600,   5.332,   5.848,   1.625,   4.530,   5.009,   1.391, 47,  0,   0.466,   0.393,   0.109,   0.087,   0.055,   0.015,  35.000,    0,   0.537
11:46:38:994, 12042070365435,    0.983,    1.000, 2100,   2.863,   6.160,   1.711,   2.185,   5.247,   1.458, 46,  0,   0.421,   0.438,   0.122,   0.098,   0.066,   0.018,  35.000,    0,   0.480
11:46:39:103, 12042312765802,    1.093,    2.000, 2100,   2.756,   6.463,   1.795,   1.837,   5.449,   1.514, 47,  0,   0.420,   0.484,   0.135,   0.066,   0.073,   0.020,  35.000,    0,   0.304
11:46:39:213, 12042554592592,    1.203,    5.000, 2100,   3.508,   6.847,   1.902,   2.673,   5.742,   1.595, 46,  0,   0.450,   0.534,   0.148,   0.117,   0.086,   0.024,  35.000,    0,   0.674
11:46:39:322, 12042795625066,    1.312,    3.000, 2100,   2.955,   7.170,   1.992,   2.173,   5.979,   1.661, 47,  0,   0.456,   0.584,   0.162,   0.108,   0.098,   0.027,  35.000,    0,   0.899
11:46:39:432, 12043037611321,    1.421,    3.000, 2300,   4.262,   7.637,   2.121,   3.455,   6.358,   1.766, 47,  0,   0.428,   0.630,   0.175,   0.112,   0.110,   0.031,  35.000,    0,   1.208
11:46:39:541, 12043278257806,    1.530,    4.000, 2200,   8.779,   8.594,   2.387,   7.782,   7.206,   2.002, 50,  0,   0.438,   0.678,   0.188,   0.041,   0.115,   0.032,  35.000,    0,   0.402
11:46:39:650, 12043519901300,    1.640,    7.000, 2500,  13.999,  10.126,   2.813,  12.755,   8.602,   2.389, 51,  0,   0.402,   0.722,   0.201,   0.014,   0.116,   0.032,  35.000,    0,   0.000
11:46:39:759, 12043760999954,    1.749,    8.000, 2200,  13.534,  11.603,   3.223,  12.341,   9.949,   2.764, 52,  0,   0.491,   0.776,   0.215,   0.045,   0.121,   0.034,  35.000,    0,   0.135
11:46:39:869, 12044002844906,    1.859,    0.000, 1400,   1.839,  11.805,   3.279,   1.031,  10.062,   2.795, 46,  0,   0.354,   0.815,   0.226,   0.025,   0.124,   0.034,  35.000,    0,   0.086
11:46:39:978, 12044244913052,    1.968,    1.000, 2100,   3.833,  12.225,   3.396,   2.992,  10.390,   2.886, 47,  0,   0.401,   0.858,   0.238,   0.068,   0.131,   0.036,  35.000,    0,   0.147
11:46:40:088, 12044486339945,    2.078,    1.000, 2600,   3.308,  12.587,   3.496,   2.445,  10.658,   2.960, 47,  0,   0.377,   0.900,   0.250,   0.035,   0.135,   0.038,  35.000,    0,   0.108
11:46:40:197, 12044727204038,    2.187,    4.000, 2100,   6.937,  13.343,   3.707,   5.786,  11.289,   3.136, 46,  0,   0.580,   0.963,   0.268,   0.086,   0.144,   0.040,  35.000,    0,   0.494
11:46:40:307, 12044969281204,    2.296,    1.000, 2700,   3.440,  13.721,   3.811,   2.542,  11.568,   3.213, 46,  0,   0.402,   1.007,   0.280,   0.060,   0.151,   0.042,  35.000,    0,   0.148
11:46:40:416, 12045210667408,    2.406,    4.000, 2800,   7.202,  14.508,   4.030,   6.066,  12.231,   3.397, 47,  0,   0.524,   1.064,   0.296,   0.114,   0.164,   0.045,  35.000,    0,   0.912
