System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
23:13:34:794, 33625821359668,    0.106,    0.000, 1400,   1.731,   0.183,   0.051,   0.955,   0.101,   0.028, 44,  0,   0.342,   0.036,   0.010,   0.030,   0.003,   0.001,  35.000,    0,   0.182
23:13:34:903, 33626062833077,    0.215,    1.000, 2000,   2.366,   0.442,   0.123,   1.634,   0.280,   0.078, 45,  0,   0.392,   0.079,   0.022,   0.077,   0.012,   0.003,  35.000,    0,   0.246
23:13:35:012, 33626304598706,    0.325,    0.000,  900,   0.856,   0.536,   0.149,   0.319,   0.315,   0.087, 44,  0,   0.322,   0.114,   0.032,   0.016,   0.013,   0.004,  35.000,    0,   0.066
23:13:35:122, 33626546600508,    0.434,    1.000, 4000,   3.281,   0.895,   0.249,   2.495,   0.588,   0.163, 45,  0,   0.392,   0.157,   0.044,   0.056,   0.020,   0.005,  35.000,    0,   0.189
23:13:35:231, 33626787155274,    0.543,    4.000, 2500,   6.334,   1.585,   0.440,   5.452,   1.182,   0.328, 49,  0,   0.398,   0.201,   0.056,   0.020,   0.022,   0.006,  35.000,    0,   0.181
23:13:35:340, 33627028752654,    0.653,    8.000, 2600,  14.236,   3.143,   0.873,  12.927,   2.597,   0.721, 50,  0,   0.542,   0.260,   0.072,   0.040,   0.026,   0.007,  35.000,    0,   0.269
23:13:35:450, 33627269728143,    0.762,    9.000, 2100,  14.760,   4.754,   1.320,  13.564,   4.077,   1.133, 50,  0,   0.510,   0.316,   0.088,   0.044,   0.031,   0.009,  35.000,    0,   1.089
23:13:35:559, 33627511189195,    0.871,    4.000, 2500,   6.925,   5.511,   1.531,   5.954,   4.728,   1.313, 48,  0,   0.520,   0.372,   0.103,   0.080,   0.040,   0.011,  35.000,    0,   0.347
23:13:35:668, 33627754802868,    0.981,    2.000, 2400,   3.029,   5.845,   1.624,   2.066,   4.956,   1.377, 45,  0,   0.429,   0.420,   0.117,   0.079,   0.048,   0.013,  35.000,    0,   0.273
23:13:35:778, 33627995153282,    1.090,    0.000, 3700,   2.515,   6.119,   1.700,   1.742,   5.146,   1.429, 45,  0,   0.397,   0.463,   0.129,   0.099,   0.059,   0.016,  35.000,    0,   0.544
23:13:35:888, 33628236680988,    1.200,    3.000, 2700,   4.926,   6.658,   1.849,   3.996,   5.583,   1.551, 45,  0,   0.478,   0.515,   0.143,   0.090,   0.069,   0.019,  35.000,    0,   0.391
23:13:35:997, 33628477324412,    1.309,    0.000, 2000,   2.063,   6.883,   1.912,   1.324,   5.727,   1.591, 45,  0,   0.375,   0.556,   0.154,   0.054,   0.075,   0.021,  35.000,    0,   0.158
23:13:36:106, 33628719514036,    1.418,    3.000, 2800,   3.969,   7.318,   2.033,   3.042,   6.061,   1.684, 45,  0,   0.492,   0.610,   0.169,   0.091,   0.085,   0.024,  35.000,    0,   0.367
