System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%),,
23:56:28:327,3.93082E+13,0.106,8,2800,13.168,1.401,0.389,11.958,1.273,0.354,51,0,0.528,0.056,0.016,0.083,0.009,0.002,35,0,0.894,,1.273
23:56:28:440,3.93084E+13,0.22,5,4000,7.056,2.201,0.611,5.89,1.94,0.539,49,0,0.434,0.105,0.029,0.045,0.014,0.004,35,0,0.25,,0.667
23:56:28:548,3.93087E+13,0.328,0,3900,2.94,2.519,0.7,2.073,2.164,0.601,47,0,0.392,0.148,0.041,0.088,0.023,0.006,35,0,0.366,,0.224
23:56:28:656,3.93089E+13,0.435,3,2800,6.283,3.195,0.888,5.245,2.729,0.758,60,0,0.465,0.198,0.055,0.053,0.029,0.008,35,0,0.296,,0.565
23:56:28:769,3.93092E+13,0.549,1,4000,4.289,3.683,1.023,3.271,3.101,0.861,47,0,0.412,0.245,0.068,0.04,0.034,0.009,35,0,0.221,,0.372
23:56:28:874,3.93094E+13,0.654,2,3600,5.442,4.251,1.181,4.485,3.569,0.991,47,0,0.473,0.294,0.082,0.078,0.042,0.012,35,0,0.814,,0.468
23:56:28:984,3.93096E+13,0.764,0,1800,1.56,4.424,1.229,0.968,3.676,1.021,46,0,0.357,0.333,0.093,0.009,0.043,0.012,35,0,0,,0.107
23:56:29:093,3.93099E+13,0.873,8,2600,7.427,5.232,1.453,6.544,4.388,1.219,49,0,0.542,0.392,0.109,0.044,0.047,0.013,35,0,0.109,,0.712
23:56:29:205,3.93101E+13,0.984,8,2900,14.087,6.799,1.889,12.783,5.811,1.614,51,0,0.464,0.444,0.123,0.036,0.051,0.014,35,0,0.668,,1.423
23:56:29:315,3.93104E+13,1.094,10,2100,13.726,8.312,2.309,12.492,7.187,1.996,50,0,0.589,0.509,0.141,0.056,0.058,0.016,35,0,0.388,,1.376
23:56:29:423,3.93106E+13,1.203,1,2100,4.501,8.8,2.444,3.457,7.562,2.101,47,0,0.416,0.554,0.154,0.065,0.065,0.018,35,0,0.167,,0.375
23:56:29:530,3.93109E+13,1.31,3,4000,6.049,9.45,2.625,4.978,8.097,2.249,50,0,0.515,0.609,0.169,0.087,0.074,0.021,35,0,0.461,,0.535
23:56:29:641,3.93111E+13,1.421,1,2000,2.638,9.742,2.706,1.585,8.272,2.298,46,0,0.388,0.652,0.181,0.073,0.082,0.023,35,0,0.155,,0.175
23:56:29:753,3.93113E+13,1.532,2,2100,2.986,10.074,2.798,2.131,8.51,2.364,47,0,0.436,0.701,0.195,0.1,0.093,0.026,35,0,0.356,,0.238
23:56:29:858,3.93116E+13,1.638,9,2700,10.306,11.164,3.101,9.087,9.47,2.631,49,0,0.473,0.751,0.209,0.074,0.101,0.028,35,0,0.91,,0.96
23:56:29:970,3.93118E+13,1.749,5,2100,8.581,12.12,3.367,7.342,10.288,2.858,46,0,0.492,0.806,0.224,0.088,0.111,0.031,35,0,0.904,,0.818
23:56:30:077,3.93121E+13,1.857,3,2500,4.857,12.643,3.512,3.957,10.714,2.976,49,0,0.403,0.849,0.236,0.05,0.116,0.032,35,0,0.136,,0.426
23:56:30:190,3.93123E+13,1.97,3,2100,11.071,13.895,3.86,9.739,11.815,3.282,47,0,0.49,0.904,0.251,0.083,0.126,0.035,35,0,0.905,,1.101
23:56:30:299,3.93126E+13,2.079,1,2900,1.414,14.048,3.902,0.922,11.916,3.31,46,0,0.348,0.942,0.262,0.01,0.127,0.035,35,0,0,,0.101
23:56:30:405,3.93128E+13,2.185,1,3700,2.643,14.329,3.98,1.849,12.112,3.364,47,0,0.364,0.981,0.272,0.032,0.13,0.036,35,0,0.151,,0.196
23:56:30:515,3.9313E+13,2.295,2,3100,2.554,14.609,4.058,2.007,12.332,3.426,49,0,0.37,1.022,0.284,0.016,0.132,0.037,35,0,0.048,,0.22
23:56:30:627,3.93133E+13,2.407,2,1800,4.159,15.075,4.188,3.272,12.699,3.527,46,0,0.454,1.072,0.298,0.047,0.137,0.038,35,0,1.175,,0.367
23:56:30:738,3.93135E+13,2.518,1,3600,2.861,15.392,4.276,2.033,12.924,3.59,46,0,0.381,1.115,0.31,0.055,0.143,0.04,35,0,0.102,,0.225
23:56:30:846,3.93138E+13,2.626,0,1800,1.791,15.586,4.329,1.096,13.043,3.623,46,0,0.36,1.154,0.32,0.037,0.147,0.041,35,0,0.112,,0.119
23:56:30:957,3.9314E+13,2.736,2,2100,1.594,15.762,4.378,0.95,13.147,3.652,45,0,0.37,1.194,0.332,0.028,0.15,0.042,35,0,0.052,,0.104
23:56:31:062,3.93142E+13,2.841,2,3100,3.666,16.148,4.485,2.635,13.425,3.729,46,0,0.416,1.238,0.344,0.049,0.155,0.043,35,0,0.14,,0.278
23:56:31:174,3.93145E+13,2.954,8,3100,9.37,17.202,4.778,8.16,14.343,3.984,48,0,0.496,1.294,0.359,0.074,0.164,0.045,35,0,0.768,,0.918
23:56:31:286,3.93147E+13,3.066,2,3700,8.108,18.111,5.031,6.752,15.1,4.195,47,0,0.506,1.351,0.375,0.153,0.181,0.05,35,0,1.856,,0.757
23:56:31:391,3.9315E+13,3.171,4,3600,8.832,19.035,5.287,7.511,15.885,4.413,47,0,0.505,1.404,0.39,0.065,0.188,0.052,35,0,0.404,,0.785
