System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%),,
00:01:36:127,3.99878E+13,0.114,3,3600,8.4,0.954,0.265,7.137,0.811,0.225,47,0,0.489,0.056,0.015,0.041,0.005,0.001,35,0,0.801,,0.811
00:01:36:239,3.99881E+13,0.225,4,3100,9.539,2.021,0.561,8.214,1.73,0.48,47,0,0.535,0.115,0.032,0.1,0.016,0.004,35,0,0.844,,0.919
00:01:36:349,3.99883E+13,0.335,2,3100,8.55,2.962,0.823,7.316,2.535,0.704,47,0,0.481,0.168,0.047,0.033,0.02,0.005,35,0,0.141,,0.805
00:01:36:453,3.99885E+13,0.439,3,4000,8.564,3.852,1.07,7.322,3.296,0.916,46,0,0.533,0.224,0.062,0.051,0.025,0.007,35,0,0.453,,0.761
00:01:36:562,3.99888E+13,0.549,4,2800,7.219,4.64,1.289,6.16,3.968,1.102,51,0,0.405,0.268,0.074,0.022,0.027,0.008,35,0,0.216,,0.672
00:01:36:675,3.9989E+13,0.662,8,2800,13.262,6.144,1.707,12.111,5.341,1.484,52,0,0.5,0.325,0.09,0.022,0.03,0.008,35,0,0.124,,1.373
00:01:36:781,3.99893E+13,0.768,6,2900,11.059,7.316,2.032,10.041,6.405,1.779,51,0,0.435,0.371,0.103,0.022,0.032,0.009,35,0,0.012,,1.064
00:01:36:891,3.99895E+13,0.877,3,2100,5.968,7.968,2.213,4.792,6.929,1.925,47,0,0.532,0.429,0.119,0.066,0.039,0.011,35,0,0.482,,0.524
00:01:37:001,3.99898E+13,0.988,2,2600,2.256,8.218,2.283,1.562,7.102,1.973,48,0,0.38,0.471,0.131,0.041,0.044,0.012,35,0,0.076,,0.173
00:01:37:111,3.999E+13,1.097,0,3700,3.505,8.601,2.389,2.438,7.369,2.047,46,0,0.417,0.517,0.144,0.084,0.053,0.015,35,0,0.324,,0.267
00:01:37:218,3.99902E+13,1.205,11,2400,9.085,9.58,2.661,7.983,8.229,2.286,47,0,0.562,0.577,0.16,0.115,0.065,0.018,35,0,1.603,,0.86
00:01:37:328,3.99905E+13,1.316,1,2100,3.939,10.016,2.782,2.9,8.55,2.375,46,0,0.446,0.627,0.174,0.11,0.078,0.022,35,0,0.907,,0.321
00:01:37:437,3.99907E+13,1.424,2,4000,5.047,10.561,2.934,3.972,8.979,2.494,47,0,0.471,0.677,0.188,0.118,0.09,0.025,35,0,0.768,,0.429
00:01:37:551,3.9991E+13,1.538,1,2600,3.195,10.925,3.035,2.356,9.248,2.569,47,0,0.417,0.725,0.201,0.095,0.101,0.028,35,0,0.859,,0.269
00:01:37:657,3.99912E+13,1.644,1,4000,3.504,11.296,3.138,2.69,9.532,2.648,46,0,0.399,0.767,0.213,0.041,0.105,0.029,35,0,0.2,,0.284
00:01:37:766,3.99914E+13,1.753,0,1600,1.201,11.427,3.174,0.655,9.604,2.668,45,0,0.342,0.804,0.223,0.01,0.107,0.03,35,0,0,,0.072
00:01:37:878,3.99917E+13,1.865,2,3700,3.709,11.843,3.29,2.892,9.928,2.758,46,0,0.392,0.848,0.236,0.048,0.112,0.031,35,0,0.098,,0.324
00:01:37:984,3.99919E+13,1.971,0,1400,1.479,12,3.333,0.943,10.028,2.786,46,0,0.33,0.883,0.245,0.009,0.113,0.031,35,0,0,,0.1
00:01:38:094,3.99922E+13,2.081,2,2000,2.57,12.283,3.412,1.751,10.221,2.839,45,0,0.398,0.927,0.258,0.05,0.118,0.033,35,0,0.17,,0.193
00:01:38:206,3.99924E+13,2.193,10,2500,6.868,13.052,3.626,6.047,10.898,3.027,51,0,0.449,0.978,0.272,0.026,0.121,0.034,35,0,0.365,,0.677
