System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
11:02:02:846, 6133131634056,    0.106,    3.000, 1800,   6.574,   0.697,   0.194,   5.654,   0.599,   0.167, 46,  0,   0.395,   0.042,   0.012,   0.030,   0.003,   0.001,  35.000,    0,   0.462
11:02:02:956, 6133375717934,    0.217,    2.000, 3600,   2.888,   1.016,   0.282,   2.100,   0.832,   0.231, 46,  0,   0.410,   0.087,   0.024,   0.062,   0.010,   0.003,  35.000,    0,   0.219
11:02:03:065, 6133614529552,    0.325,    0.000, 2000,   2.148,   1.249,   0.347,   1.339,   0.976,   0.271, 45,  0,   0.376,   0.128,   0.036,   0.032,   0.013,   0.004,  35.000,    0,   0.144
11:02:03:174, 6133855844862,    0.434,    2.000, 2100,   2.183,   1.487,   0.413,   1.490,   1.139,   0.316, 45,  0,   0.391,   0.171,   0.047,   0.059,   0.020,   0.006,  35.000,    0,   0.208
11:02:03:284, 6134097479259,    0.543,    0.000, 1100,   0.744,   1.569,   0.436,   0.303,   1.172,   0.326, 45,  0,   0.328,   0.207,   0.057,   0.008,   0.021,   0.006,  35.000,    0,   0.000
11:02:03:393, 6134343746822,    0.655,   19.000, 4000,   7.047,   2.355,   0.654,   6.143,   1.858,   0.516, 52,  0,   0.520,   0.265,   0.073,   0.051,   0.026,   0.007,  35.000,    0,   0.286
11:02:03:502, 6134580343600,    0.762,    0.000, 1800,   1.904,   2.559,   0.711,   1.122,   1.978,   0.549, 45,  0,   0.378,   0.305,   0.085,   0.077,   0.035,   0.010,  35.000,    0,   0.364
11:02:03:612, 6134822424436,    0.872,    2.000, 4000,   2.920,   2.879,   0.800,   2.057,   2.203,   0.612, 45,  0,   0.431,   0.352,   0.098,   0.075,   0.043,   0.012,  35.000,    0,   0.360
11:02:03:721, 6135063188607,    0.981,    5.000, 2300,   4.219,   3.339,   0.927,   3.222,   2.555,   0.710, 47,  0,   0.434,   0.400,   0.111,   0.092,   0.053,   0.015,  35.000,    0,   0.581
11:02:03:831, 6135305129792,    1.090,    4.000, 2400,   6.612,   4.063,   1.129,   5.575,   3.166,   0.879, 45,  0,   0.516,   0.456,   0.127,   0.136,   0.068,   0.019,  35.000,    0,   1.847
11:02:03:940, 6135546114511,    1.200,    2.000, 1800,   2.184,   4.302,   1.195,   1.417,   3.320,   0.922, 45,  0,   0.396,   0.499,   0.139,   0.108,   0.080,   0.022,  35.000,    0,   0.468
11:02:04:049, 6135787836407,    1.309,    1.000, 1800,   2.207,   4.543,   1.262,   1.509,   3.485,   0.968, 45,  0,   0.395,   0.543,   0.151,   0.060,   0.086,   0.024,  35.000,    0,   0.572
