System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%),,
23:36:09:879,2.32961E+14,0.108,1,2000,3.606,0.388,0.108,2.693,0.29,0.081,45,0,0.414,0.045,0.012,0.058,0.006,0.002,35,0,0.933,,0.29
23:36:09:985,2.32961E+14,0.214,4,3600,3.478,0.758,0.211,2.719,0.579,0.161,50,0,0.457,0.093,0.026,0.038,0.01,0.003,35,0,0.158,,0.289
23:36:10:095,2.32961E+14,0.324,3,3600,6.579,1.481,0.412,5.416,1.175,0.326,46,0,0.481,0.146,0.041,0.082,0.019,0.005,35,0,0.612,,0.596
23:36:10:207,2.32962E+14,0.436,3,4000,6.855,2.249,0.625,5.656,1.808,0.502,46,0,0.53,0.206,0.057,0.07,0.027,0.008,35,0,0.261,,0.633
23:36:10:320,2.32962E+14,0.548,5,2800,9.781,3.347,0.93,8.678,2.782,0.773,51,0,0.446,0.256,0.071,0.04,0.032,0.009,35,0,0.755,,0.974
23:36:10:426,2.32962E+14,0.654,10,2500,13.623,4.789,1.33,12.391,4.093,1.137,51,0,0.538,0.313,0.087,0.025,0.034,0.01,35,0,0.171,,1.311
23:36:10:536,2.32962E+14,0.765,8,2800,13.845,6.325,1.757,12.654,5.498,1.527,51,0,0.478,0.366,0.102,0.024,0.037,0.01,35,0,0.44,,1.405
23:36:10:643,2.32963E+14,0.871,4,3700,7.651,7.137,1.982,6.637,6.202,1.723,47,0,0.417,0.41,0.114,0.016,0.039,0.011,35,0,0.015,,0.704
23:36:10:755,2.32963E+14,0.983,1,2000,2.57,7.425,2.062,1.787,6.402,1.778,47,0,0.396,0.454,0.126,0.05,0.044,0.012,35,0,0.606,,0.2
23:36:10:862,2.32963E+14,1.09,10,4100,7.498,8.229,2.286,6.478,7.097,1.971,57,0,0.58,0.516,0.143,0.126,0.058,0.016,35,0,2.351,,0.695
23:36:10:970,2.32963E+14,1.198,2,2700,5.217,8.792,2.442,4.099,7.539,2.094,47,0,0.462,0.566,0.157,0.21,0.08,0.022,35,0,2.314,,0.442
23:36:11:177,2.32964E+14,1.406,62,2500,12.895,11.466,3.185,11.542,9.933,2.759,51,0,0.722,0.716,0.199,0.089,0.099,0.027,35,0,2.891,,2.394
