System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%),,
22:40:38:752,2.25606E+14,0.126,4,2900,8.677,1.092,0.303,5.192,0.654,0.182,37,0,0.502,0.063,0.018,2.298,0.289,0.08,35,950,1.986,,0.654
22:40:38:861,2.25606E+14,0.235,1,2300,7.074,1.864,0.518,3.122,0.994,0.276,37,0,0.403,0.107,0.03,2.825,0.597,0.166,35,950,1.226,,0.34
22:40:38:969,2.25606E+14,0.344,4,2900,8.201,2.756,0.766,4.77,1.513,0.42,37,0,0.477,0.159,0.044,2.352,0.853,0.237,35,950,1.656,,0.519
22:40:39:082,2.25607E+14,0.456,2,3200,7.274,3.573,0.992,3.279,1.881,0.523,37,0,0.41,0.205,0.057,2.787,1.166,0.324,35,950,1.219,,0.368
22:40:39:203,2.25607E+14,0.577,8,2900,8.556,4.611,1.281,5.123,2.503,0.695,39,0,0.512,0.267,0.074,2.309,1.447,0.402,35,750,2.186,,0.622
22:40:39:299,2.25607E+14,0.674,3,2200,7.324,5.316,1.477,3.363,2.827,0.785,37,0,0.415,0.307,0.085,2.82,1.718,0.477,35,600,1.392,,0.324
22:40:39:409,2.25607E+14,0.783,5,2900,8.819,6.282,1.745,5.232,3.4,0.944,37,0,0.623,0.376,0.104,2.343,1.975,0.548,35,700,1.535,,0.573
22:40:39:518,2.25608E+14,0.892,1,2800,7.068,7.049,1.958,3.145,3.741,1.039,37,0,0.335,0.412,0.114,2.864,2.285,0.635,35,800,0,,0.341
22:40:39:630,2.25608E+14,1.004,5,3200,9.13,8.075,2.243,5.432,4.352,1.209,36,0,0.48,0.466,0.129,2.461,2.562,0.712,35,1000,0.478,,0.611
22:40:39:736,2.25608E+14,1.11,3,3200,7.472,8.866,2.463,3.598,4.732,1.315,37,0,0.39,0.507,0.141,2.737,2.852,0.792,35,950,0.528,,0.38
22:40:39:845,2.25608E+14,1.219,3,2800,8.483,9.79,2.72,4.784,5.254,1.459,36,0,0.478,0.559,0.155,2.515,3.126,0.868,35,1000,1.586,,0.522
22:40:39:954,2.25608E+14,1.328,9,2300,9.985,10.884,3.023,7.016,6.022,1.673,37,0,0.565,0.621,0.173,1.866,3.33,0.925,35,600,1.457,,0.768
22:40:40:069,2.25609E+14,1.443,14,2000,10.902,12.129,3.369,8.276,6.967,1.935,39,0,0.68,0.699,0.194,1.4,3.49,0.969,35,450,1.867,,0.945
22:40:40:176,2.25609E+14,1.55,11,2800,10.991,13.306,3.696,7.945,7.818,2.172,37,0,0.721,0.776,0.216,1.729,3.675,1.021,35,850,6.971,,0.851
22:40:40:282,2.25609E+14,1.655,10,2300,9.26,14.286,3.968,6.717,8.529,2.369,37,0,0.566,0.836,0.232,1.416,3.825,1.063,35,750,3.579,,0.711
