System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%),,
14:23:16:783,5.49938E+12,0.113,2,2200,4.935,0.558,0.155,3.975,0.449,0.125,45,0,0.441,0.05,0.014,0.053,0.006,0.002,35,0,0.246,,0.449
14:23:16:907,5.49966E+12,0.24,9,4000,2.841,0.919,0.255,1.993,0.702,0.195,46,0,0.401,0.101,0.028,0.041,0.011,0.003,35,0,0.42,,0.253
14:23:17:001,5.49986E+12,0.332,3,2400,5.336,1.407,0.391,4.394,1.105,0.307,45,0,0.455,0.143,0.04,0.047,0.016,0.004,35,0,0.466,,0.403
14:23:17:110,5.5001E+12,0.441,0,2000,2.153,1.642,0.456,1.329,1.25,0.347,45,0,0.374,0.183,0.051,0.052,0.021,0.006,35,0,0.342,,0.145
14:23:17:220,5.50034E+12,0.55,4,2200,4.205,2.104,0.584,3.35,1.618,0.449,46,0,0.427,0.23,0.064,0.033,0.025,0.007,35,950,0.091,,0.368
14:23:17:329,5.50059E+12,0.66,2,2500,4.361,2.582,0.717,3.399,1.99,0.553,45,0,0.422,0.276,0.077,0.053,0.031,0.009,35,0,0.554,,0.372
14:23:17:438,5.50083E+12,0.769,3,3200,6.381,3.278,0.911,5.361,2.575,0.715,46,0,0.46,0.327,0.091,0.04,0.035,0.01,35,850,0.203,,0.585
14:23:17:548,5.50107E+12,0.878,1,2700,3.999,3.714,1.032,2.945,2.897,0.805,45,0,0.398,0.37,0.103,0.053,0.041,0.011,35,0,0.443,,0.322
14:23:17:657,5.50131E+12,0.988,4,2700,4.837,4.245,1.179,4.03,3.339,0.927,46,0,0.466,0.421,0.117,0.045,0.046,0.013,35,700,0.173,,0.442
14:23:17:766,5.50155E+12,1.097,5,2200,4.766,4.763,1.323,3.807,3.753,1.042,53,0,0.451,0.47,0.131,0.066,0.053,0.015,35,0,0.574,,0.414
14:23:17:876,5.50179E+12,1.206,10,2100,13.767,6.268,1.741,12.493,5.118,1.422,51,0,0.634,0.539,0.15,0.07,0.06,0.017,35,600,0.677,,1.365
14:23:17:985,5.50203E+12,1.315,8,2100,13.527,7.747,2.152,12.331,6.466,1.796,51,0,0.514,0.596,0.165,0.055,0.067,0.018,35,0,0.66,,1.348
14:23:18:095,5.50228E+12,1.425,9,2800,12.126,9.079,2.522,10.951,7.67,2.13,46,0,0.494,0.65,0.181,0.012,0.068,0.019,35,600,0.003,,1.204
14:23:18:204,5.50252E+12,1.534,1,1800,3.593,9.471,2.631,2.627,7.956,2.21,46,0,0.402,0.694,0.193,0.109,0.08,0.022,35,0,0.572,,0.286
14:23:18:313,5.50276E+12,1.644,5,2700,5.331,10.056,2.793,4.522,8.452,2.348,46,0,0.47,0.745,0.207,0.037,0.084,0.023,35,0,0.24,,0.496
14:23:18:423,5.503E+12,1.753,1,2000,3.421,10.429,2.897,2.505,8.725,2.424,45,0,0.392,0.788,0.219,0.059,0.09,0.025,35,0,0.228,,0.273
14:23:18:532,5.50324E+12,1.863,4,3000,5.277,11.009,3.058,4.511,9.221,2.561,46,0,0.419,0.834,0.232,0.059,0.097,0.027,35,0,0.424,,0.496
14:23:18:650,5.5035E+12,1.98,0,1400,1.268,11.158,3.099,0.682,9.301,2.584,45,0,0.34,0.874,0.243,0.022,0.099,0.028,35,0,0.14,,0.08
14:23:18:750,5.50372E+12,2.081,3,2200,2.336,11.392,3.164,1.746,9.476,2.632,45,0,0.365,0.911,0.253,0.033,0.103,0.029,35,0,0.156,,0.175
14:23:18:869,5.50399E+12,2.2,5,2100,9.467,12.519,3.477,8.454,10.482,2.912,50,0,0.398,0.958,0.266,0.015,0.104,0.029,35,0,0.166,,1.006
14:23:18:969,5.50421E+12,2.3,12,2900,13.8,13.901,3.861,12.447,11.729,3.258,50,0,0.524,1.011,0.281,0.058,0.11,0.031,35,0,0.464,,1.247
14:23:19:090,5.50447E+12,2.42,4,2000,9.534,15.047,4.18,8.599,12.763,3.545,46,0,0.398,1.058,0.294,0.021,0.113,0.031,35,0,0.135,,1.034
14:23:19:195,5.5047E+12,2.525,6,3000,7.55,15.84,4.4,6.688,13.465,3.74,46,0,0.576,1.119,0.311,0.053,0.118,0.033,35,0,0.258,,0.702
14:23:19:314,5.50497E+12,2.645,0,1400,1.666,16.039,4.455,1.129,13.6,3.778,45,0,0.344,1.16,0.322,0.014,0.12,0.033,35,0,0.107,,0.135
14:23:19:434,5.50523E+12,2.764,2,2000,2.756,16.369,4.547,2.133,13.856,3.849,45,0,0.375,1.205,0.335,0.045,0.126,0.035,35,0,0.146,,0.256
14:23:19:549,5.50549E+12,2.88,2,1600,3.31,16.751,4.653,2.53,14.148,3.93,45,0,0.376,1.248,0.347,0.033,0.129,0.036,35,0,0.094,,0.292
14:23:19:669,5.50575E+12,2.999,2,2200,2.118,17.005,4.723,1.427,14.318,3.977,45,0,0.379,1.294,0.359,0.024,0.132,0.037,35,0,0.075,,0.17
14:23:19:775,5.50599E+12,3.106,2,2400,4.109,17.443,4.845,3.361,14.677,4.077,48,0,0.375,1.334,0.37,0.046,0.137,0.038,35,0,0.314,,0.359
14:23:19:891,5.50624E+12,3.222,2,2000,3.119,17.803,4.945,2.256,14.937,4.149,45,0,0.411,1.381,0.384,0.034,0.141,0.039,35,0,0.196,,0.26
14:23:20:011,5.50651E+12,3.342,2,1800,2.13,18.059,5.016,1.36,15.101,4.195,45,0,0.354,1.424,0.395,0.046,0.147,0.041,35,0,0.35,,0.164
14:23:20:117,5.50674E+12,3.447,3,2100,2.784,18.353,5.098,1.937,15.305,4.252,45,0,0.409,1.467,0.407,0.066,0.154,0.043,35,0,0.284,,0.204
14:23:20:232,5.50699E+12,3.562,1,1400,2.518,18.643,5.178,1.826,15.515,4.31,45,0,0.342,1.506,0.418,0.035,0.158,0.044,35,0,0.143,,0.21
14:23:20:331,5.50721E+12,3.661,4,2000,3.582,18.997,5.277,2.743,15.787,4.385,44,0,0.458,1.552,0.431,0.055,0.163,0.045,35,0,0.248,,0.272
14:23:20:451,5.50748E+12,3.781,1,2100,0.921,19.108,5.308,0.418,15.837,4.399,45,0,0.312,1.589,0.441,0.013,0.165,0.046,35,0,0,,0.05
14:23:20:549,5.5077E+12,3.88,9,2200,13.535,20.438,5.677,12.335,17.049,4.736,50,0,0.606,1.649,0.458,0.048,0.169,0.047,35,0,0.369,,1.212
14:23:20:661,5.50794E+12,3.992,7,2200,13.435,21.943,6.095,12.306,18.428,5.119,50,0,0.356,1.688,0.469,0.009,0.171,0.047,35,0,0,,1.379
14:23:20:771,5.50818E+12,4.101,12,3900,14.618,23.544,6.54,13.429,19.898,5.527,50,0,0.533,1.747,0.485,0.036,0.174,0.048,35,0,0.138,,1.47
14:23:20:893,5.50845E+12,4.223,4,2000,3.265,23.941,6.65,2.374,20.187,5.608,45,0,0.377,1.793,0.498,0.022,0.177,0.049,35,0,0.083,,0.289
14:23:21:012,5.50872E+12,4.342,1,2000,3.667,24.379,6.772,2.798,20.521,5.7,45,0,0.394,1.84,0.511,0.065,0.185,0.051,35,0,0.479,,0.334
14:23:21:113,5.50894E+12,4.443,2,2600,1.187,24.499,6.805,0.733,20.595,5.721,45,0,0.327,1.873,0.52,0.015,0.186,0.052,35,0,0,,0.074
14:23:21:220,5.50918E+12,4.55,1,2100,3.665,24.89,6.914,2.795,20.894,5.804,44,0,0.389,1.914,0.532,0.046,0.191,0.053,35,0,0.076,,0.299
14:23:21:331,5.50942E+12,4.662,2,2600,1.277,25.032,6.953,0.832,20.986,5.83,45,0,0.334,1.951,0.542,0.014,0.193,0.054,35,0,0.002,,0.092
14:23:21:441,5.50966E+12,4.771,1,2500,3.529,25.419,7.061,2.627,21.274,5.91,45,0,0.399,1.995,0.554,0.072,0.201,0.056,35,0,0.38,,0.288
14:23:21:550,5.5099E+12,4.881,6,2500,9.581,26.467,7.352,8.555,22.21,6.169,49,0,0.411,2.04,0.567,0.017,0.203,0.056,35,0,0,,0.936
14:23:21:659,5.51015E+12,4.99,8,3000,13.788,27.973,7.77,12.589,23.585,6.551,50,0,0.485,2.093,0.581,0.036,0.207,0.057,35,0,0.372,,1.375
14:23:21:768,5.51039E+12,5.099,8,2100,13.836,29.482,8.189,12.713,24.972,6.937,49,0,0.406,2.137,0.594,0.01,0.208,0.058,35,0,0,,1.387
14:23:21:878,5.51063E+12,5.208,1,2000,3.557,29.871,8.298,2.595,25.256,7.015,45,0,0.394,2.181,0.606,0.052,0.213,0.059,35,0,0.192,,0.284
14:23:21:987,5.51087E+12,5.318,5,2400,3.208,30.222,8.395,2.346,25.513,7.087,46,0,0.408,2.225,0.618,0.056,0.22,0.061,35,0,0.703,,0.257
14:23:22:097,5.51111E+12,5.427,2,3100,5.514,30.826,8.563,4.599,26.016,7.227,45,0,0.494,2.279,0.633,0.051,0.225,0.063,35,0,0.227,,0.503
14:23:22:206,5.51135E+12,5.536,2,1600,1.81,31.024,8.618,1.178,26.145,7.262,45,0,0.347,2.317,0.644,0.012,0.227,0.063,35,0,0,,0.129
14:23:22:315,5.51159E+12,5.646,1,2400,4.247,31.489,8.747,3.361,26.513,7.365,45,0,0.404,2.361,0.656,0.062,0.233,0.065,35,0,0.226,,0.368
14:23:22:425,5.51184E+12,5.756,2,3100,4.244,31.955,8.876,3.416,26.888,7.469,45,0,0.389,2.404,0.668,0.039,0.238,0.066,35,0,0.073,,0.375
14:23:22:534,5.51208E+12,5.864,7,2300,10.866,33.134,9.204,9.673,27.938,7.76,50,0,0.517,2.46,0.683,0.087,0.247,0.069,35,0,0.463,,1.05
14:23:22:643,5.51232E+12,5.974,9,2300,13.85,34.652,9.625,12.569,29.315,8.143,50,0,0.485,2.513,0.698,0.032,0.251,0.07,35,0,0.125,,1.377
14:23:22:753,5.51256E+12,6.083,6,2100,9.083,35.643,9.901,7.968,30.184,8.385,46,0,0.495,2.567,0.713,0.042,0.255,0.071,35,0,0.396,,0.869
14:23:22:862,5.5128E+12,6.193,2,2400,4.685,36.157,10.043,3.659,30.586,8.496,46,0,0.411,2.612,0.726,0.043,0.26,0.072,35,0,0.064,,0.402
14:23:22:972,5.51304E+12,6.302,2,2600,5.95,36.808,10.224,4.94,31.126,8.646,45,0,0.438,2.66,0.739,0.093,0.27,0.075,35,0,0.554,,0.54
14:23:23:081,5.51329E+12,6.411,2,2400,1.894,37.015,10.282,1.2,31.257,8.683,45,0,0.374,2.701,0.75,0.031,0.273,0.076,35,0,0.095,,0.131
14:23:23:190,5.51353E+12,6.521,3,2100,5.159,37.578,10.438,4.123,31.708,8.808,45,0,0.435,2.749,0.764,0.064,0.28,0.078,35,0,0.378,,0.451
14:23:23:299,5.51377E+12,6.63,4,2400,3.098,37.916,10.532,2.358,31.965,8.879,45,0,0.427,2.795,0.776,0.016,0.282,0.078,35,0,0,,0.257
14:23:23:409,5.51401E+12,6.739,4,2000,7.052,38.688,10.747,5.863,32.607,9.057,45,0,0.542,2.855,0.793,0.07,0.29,0.08,35,0,0.546,,0.642
14:23:23:518,5.51425E+12,6.849,2,2700,1.425,38.844,10.79,0.858,32.7,9.083,45,0,0.343,2.892,0.803,0.02,0.292,0.081,35,0,0,,0.093
14:23:23:627,5.51449E+12,6.958,0,1400,2.627,39.131,10.87,1.998,32.919,9.144,45,0,0.359,2.931,0.814,0.049,0.297,0.083,35,0,0.183,,0.219
14:23:23:737,5.51473E+12,7.067,1,4100,0.733,39.211,10.892,0.326,32.955,9.154,45,0,0.317,2.966,0.824,0.013,0.299,0.083,35,0,0,,0.036
14:23:23:846,5.51497E+12,7.177,1,1400,2.485,39.483,10.967,1.881,33.16,9.211,45,0,0.353,3.005,0.835,0.033,0.302,0.084,35,0,0.054,,0.205
14:23:23:956,5.51522E+12,7.286,8,2700,2.281,39.733,11.037,1.665,33.342,9.262,45,0,0.342,3.042,0.845,0.062,0.309,0.086,35,0,0.451,,0.182
14:23:24:065,5.51546E+12,7.395,1,1800,2.727,40.03,11.119,1.998,33.56,9.322,45,0,0.375,3.083,0.856,0.046,0.314,0.087,35,0,0.246,,0.218
14:23:24:174,5.5157E+12,7.505,5,2900,6.692,40.761,11.323,5.937,34.209,9.503,48,0,0.376,3.124,0.868,0.013,0.316,0.088,35,0,0,,0.649
14:23:24:288,5.51595E+12,7.619,11,2800,14.114,42.374,11.771,12.868,35.679,9.911,51,0,0.622,3.195,0.888,0.058,0.322,0.09,35,0,0.476,,1.47
14:23:24:394,5.51619E+12,7.727,9,2800,13.717,43.864,12.184,12.492,37.036,10.288,51,0,0.455,3.245,0.901,0.007,0.323,0.09,35,0,0,,1.357
14:23:24:512,5.51644E+12,7.842,4,2100,6.79,44.645,12.401,5.699,37.692,10.47,46,0,0.477,3.3,0.917,0.098,0.334,0.093,35,0,0.386,,0.656
14:23:24:612,5.51667E+12,7.943,2,2400,2.624,44.908,12.474,2.018,37.894,10.526,52,0,0.404,3.34,0.928,0.015,0.336,0.093,35,0,0,,0.202
14:23:24:733,5.51693E+12,8.063,2,1600,4.248,45.42,12.617,3.329,38.295,10.638,45,0,0.438,3.393,0.942,0.041,0.341,0.095,35,0,0.106,,0.401
14:23:24:833,5.51715E+12,8.163,1,2300,1.148,45.535,12.649,0.717,38.367,10.657,45,0,0.356,3.429,0.952,0.015,0.342,0.095,35,0,0,,0.072
14:23:24:946,5.5174E+12,8.276,6,3500,6.801,46.301,12.862,5.806,39.021,10.839,46,0,0.445,3.479,0.966,0.076,0.351,0.097,35,0,0.35,,0.654
14:23:25:047,5.51762E+12,8.377,1,2300,1.903,46.493,12.915,1.199,39.142,10.873,45,0,0.364,3.515,0.976,0.033,0.354,0.098,35,0,1.318,,0.121
14:23:25:166,5.51789E+12,8.496,4,2400,5.686,47.173,13.104,4.683,39.702,11.028,50,0,0.399,3.563,0.99,0.056,0.361,0.1,35,0,0.123,,0.56
14:23:25:273,5.51813E+12,8.604,9,3000,13.824,48.659,13.516,12.656,41.062,11.406,50,0,0.499,3.617,1.005,0.016,0.362,0.101,35,0,0.312,,1.36
14:23:25:393,5.51839E+12,8.723,7,2500,13.687,50.292,13.97,12.533,42.558,11.822,51,0,0.455,3.671,1.02,0.042,0.367,0.102,35,0,0.91,,1.496
14:23:25:506,5.51864E+12,8.837,4,2800,7.824,51.179,14.216,6.779,43.326,12.035,46,0,0.441,3.721,1.034,0.054,0.374,0.104,35,600,0.136,,0.768
14:23:25:626,5.5189E+12,8.956,0,1200,1.009,51.3,14.25,0.482,43.384,12.051,45,0,0.335,3.761,1.045,0.018,0.376,0.104,35,0,0.06,,0.058
14:23:25:746,5.51917E+12,9.076,2,2100,2.717,51.626,14.34,2.116,43.638,12.122,45,0,0.371,3.806,1.057,0.041,0.381,0.106,35,0,0.14,,0.254
14:23:25:853,5.51941E+12,9.183,4,2200,5.15,52.175,14.493,4.266,44.093,12.248,46,0,0.371,3.845,1.068,0.037,0.385,0.107,35,0,0.264,,0.455
14:23:25:967,5.51966E+12,9.297,2,2100,4.094,52.642,14.623,3.197,44.458,12.349,45,0,0.413,3.892,1.081,0.081,0.394,0.109,35,0,0.659,,0.365
14:23:26:067,5.51988E+12,9.397,0,1100,0.901,52.732,14.648,0.382,44.496,12.36,45,0,0.324,3.925,1.09,0.018,0.396,0.11,35,0,0,,0.038
14:23:26:192,5.52016E+12,9.523,8,2300,8.948,53.854,14.96,7.958,45.494,12.637,50,0,0.527,3.991,1.109,0.05,0.402,0.112,35,0,0.343,,0.998
14:23:26:311,5.52042E+12,9.642,8,2100,13.889,55.503,15.417,12.668,46.997,13.055,50,0,0.471,4.047,1.124,0.023,0.404,0.112,35,0,0.286,,1.503
14:23:26:422,5.52066E+12,9.752,7,2100,8.958,56.497,15.694,7.852,47.868,13.297,46,0,0.571,4.11,1.142,0.055,0.411,0.114,35,0,0.365,,0.871
14:23:26:542,5.52093E+12,9.872,0,1600,1.157,56.635,15.732,0.657,47.947,13.319,45,0,0.332,4.15,1.153,0.016,0.412,0.115,35,0,0,,0.079
14:23:26:649,5.52116E+12,9.98,2,3000,4.156,57.084,15.857,3.259,48.299,13.416,45,0,0.414,4.194,1.165,0.074,0.42,0.117,35,0,0.204,,0.352
14:23:26:761,5.52141E+12,10.091,2,2300,3.652,57.49,15.969,2.696,48.598,13.5,45,0,0.383,4.237,1.177,0.033,0.424,0.118,35,0,0.381,,0.299
14:23:26:860,5.52163E+12,10.191,3,2100,3.936,57.882,16.078,3.114,48.909,13.586,45,0,0.412,4.278,1.188,0.045,0.429,0.119,35,0,0.24,,0.311
14:23:26:980,5.52189E+12,10.311,4,2100,3.01,58.244,16.179,2.239,49.178,13.66,45,0,0.38,4.324,1.201,0.05,0.435,0.121,35,0,0.352,,0.269
