System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%),,
19:18:49:897,2.30376E+13,0.113,12,2700,6.796,0.765,0.213,5.721,0.644,0.179,47,0,0.513,0.058,0.016,0.076,0.009,0.002,35,0,0.8,,0.644
19:18:50:006,2.30378E+13,0.222,0,1600,1.497,0.929,0.258,0.851,0.737,0.205,45,0,0.351,0.096,0.027,0.025,0.011,0.003,35,0,0.244,,0.093
19:18:50:116,2.3038E+13,0.332,4,2900,4.532,1.426,0.396,3.693,1.143,0.317,47,0,0.475,0.148,0.041,0.039,0.016,0.004,35,0,0.168,,0.406
19:18:50:225,2.30383E+13,0.44,3,2300,5.748,2.052,0.57,4.718,1.656,0.46,49,0,0.38,0.19,0.053,0.038,0.02,0.005,35,0,0.348,,0.513
19:18:50:334,2.30385E+13,0.55,8,2300,13.688,3.548,0.986,12.552,3.028,0.841,52,0,0.447,0.238,0.066,0.029,0.023,0.006,35,0,0.111,,1.372
19:18:50:444,2.30388E+13,0.659,5,2100,11.072,4.763,1.323,9.99,4.124,1.146,46,0,0.412,0.284,0.079,0.015,0.025,0.007,35,0,0.313,,1.096
19:18:50:553,2.3039E+13,0.769,2,3100,2.49,5.035,1.399,1.957,4.338,1.205,46,0,0.359,0.323,0.09,0.027,0.027,0.008,35,0,0.051,,0.214
19:18:50:662,2.30392E+13,0.878,0,1200,1.213,5.168,1.435,0.575,4.401,1.222,45,0,0.329,0.359,0.1,0.036,0.031,0.009,35,0,0.251,,0.063
19:18:50:772,2.30395E+13,0.988,2,4100,2.48,5.44,1.511,1.937,4.614,1.282,46,0,0.354,0.398,0.11,0.032,0.035,0.01,35,0,0.068,,0.213
19:18:50:881,2.30397E+13,1.097,5,3700,2.097,5.669,1.575,1.429,4.77,1.325,45,0,0.342,0.435,0.121,0.049,0.04,0.011,35,0,0.401,,0.156
19:18:50:991,2.304E+13,1.206,2,4000,2.922,5.989,1.664,2.234,5.014,1.393,45,0,0.379,0.477,0.132,0.036,0.044,0.012,35,0,0.383,,0.244
19:18:51:100,2.30402E+13,1.315,0,1200,0.846,6.081,1.689,0.389,5.057,1.405,45,0,0.319,0.511,0.142,0.015,0.046,0.013,35,0,0.855,,0.043
19:18:51:209,2.30405E+13,1.425,3,2100,4.124,6.531,1.814,3.388,5.426,1.507,45,0,0.438,0.559,0.155,0.043,0.05,0.014,35,0,0.086,,0.369
19:18:51:318,2.30407E+13,1.534,0,1400,1.006,6.641,1.845,0.512,5.482,1.523,45,0,0.327,0.595,0.165,0.007,0.051,0.014,35,0,16.632,,0.056
19:18:51:428,2.30409E+13,1.644,4,2100,4.543,7.139,1.983,3.872,5.906,1.641,45,0,0.447,0.644,0.179,0.035,0.055,0.015,35,0,0.057,,0.424
19:18:51:537,2.30412E+13,1.753,0,1100,0.878,7.235,2.01,0.36,5.946,1.652,45,0,0.315,0.678,0.188,0.007,0.056,0.015,35,0,0,,0.04
19:18:51:647,2.30414E+13,1.862,3,3600,4.428,7.721,2.145,3.628,6.344,1.762,45,0,0.455,0.728,0.202,0.038,0.06,0.017,35,0,0.069,,0.398
19:18:51:756,2.30417E+13,1.972,0,1400,1.544,7.89,2.192,0.868,6.439,1.789,45,0,0.342,0.766,0.213,0.025,0.063,0.017,35,0,0.44,,0.095
19:18:51:865,2.30419E+13,2.081,13,2900,7.171,8.674,2.409,6.316,7.13,1.98,52,0,0.454,0.815,0.226,0.045,0.068,0.019,35,0,0.176,,0.691
19:18:51:975,2.30421E+13,2.191,7,2300,13.393,10.14,2.817,12.271,8.473,2.354,51,0,0.4,0.859,0.239,0.023,0.07,0.019,35,0,1.693,,1.343
19:18:52:084,2.30424E+13,2.3,8,2100,13.647,11.629,3.23,12.367,9.822,2.728,50,0,0.476,0.911,0.253,0.028,0.073,0.02,35,0,0.149,,1.349
19:18:52:194,2.30426E+13,2.409,2,1600,5.026,12.179,3.383,4.169,10.279,2.855,46,0,0.376,0.952,0.265,0.032,0.077,0.021,35,0,0.759,,0.457
19:18:52:303,2.30429E+13,2.519,4,2200,3.138,12.523,3.479,2.439,10.546,2.929,46,0,0.405,0.997,0.277,0.025,0.079,0.022,35,0,0.051,,0.267
19:18:52:412,2.30431E+13,2.628,0,1600,2.376,12.783,3.551,1.497,10.709,2.975,45,0,0.367,1.037,0.288,0.042,0.084,0.023,35,0,0.254,,0.163
19:18:52:522,2.30433E+13,2.738,3,3100,3.458,13.162,3.656,2.713,11.007,3.058,45,0,0.392,1.08,0.3,0.031,0.087,0.024,35,0,0.098,,0.298
19:18:52:631,2.30436E+13,2.847,0,1600,1.868,13.365,3.713,1.121,11.129,3.091,45,0,0.352,1.118,0.311,0.031,0.091,0.025,35,0,0.273,,0.122
19:18:52:741,2.30438E+13,2.956,3,4000,3.271,13.724,3.812,2.512,11.405,3.168,45,0,0.39,1.161,0.322,0.036,0.094,0.026,35,0,0.134,,0.276
19:18:52:850,2.30441E+13,3.079,13,3500,5.327,14.381,3.995,4.46,11.954,3.321,49,0,0.384,1.208,0.336,0.024,0.097,0.027,35,0,0.259,,0.549
19:18:52:959,2.30443E+13,3.174,12,2000,13.845,15.696,4.36,12.546,13.146,3.652,51,0,0.675,1.272,0.353,0.05,0.102,0.028,35,600,0.663,,1.192
19:18:53:068,2.30446E+13,3.284,4,2000,8.541,16.631,4.62,7.553,13.973,3.882,46,0,0.375,1.313,0.365,0.016,0.104,0.029,35,0,0,,0.827
19:18:53:178,2.30448E+13,3.394,5,3100,4.934,17.172,4.77,4.097,14.423,4.006,47,0,0.482,1.366,0.379,0.043,0.109,0.03,35,0,0.1,,0.45
19:18:53:287,2.3045E+13,3.503,1,2700,2.371,17.432,4.842,1.636,14.602,4.056,45,0,0.362,1.406,0.39,0.022,0.111,0.031,35,0,0.279,,0.179
19:18:53:397,2.30453E+13,3.612,3,3100,3.524,17.817,4.949,2.832,14.911,4.142,45,0,0.395,1.449,0.402,0.033,0.115,0.032,35,0,0.078,,0.309
19:18:53:506,2.30455E+13,3.721,0,1400,1.659,17.998,4.999,0.991,15.019,4.172,45,0,0.348,1.487,0.413,0.019,0.117,0.032,35,0,0.271,,0.108
19:18:53:615,2.30458E+13,3.831,2,2400,3.091,18.337,5.093,2.412,15.284,4.245,45,0,0.387,1.529,0.425,0.039,0.121,0.034,35,0,0.07,,0.265
19:18:53:724,2.3046E+13,3.94,1,1800,2.223,18.579,5.161,1.555,15.453,4.293,45,0,0.397,1.573,0.437,0.039,0.125,0.035,35,0,0.162,,0.169
19:18:53:834,2.30462E+13,4.05,2,3100,4.8,19.106,5.307,3.95,15.887,4.413,46,0,0.439,1.621,0.45,0.049,0.131,0.036,35,0,0.192,,0.434
19:18:53:943,2.30465E+13,4.159,2,2300,4.494,19.596,5.443,3.641,16.284,4.523,45,0,0.426,1.667,0.463,0.069,0.138,0.038,35,0,0.986,,0.397
19:18:54:053,2.30467E+13,4.268,2,2900,4.189,20.054,5.571,3.562,16.674,4.632,45,0,0.395,1.711,0.475,0.025,0.141,0.039,35,0,0.098,,0.39
19:18:54:162,2.3047E+13,4.377,0,1200,1.355,20.202,5.612,0.694,16.749,4.653,45,0,0.34,1.748,0.486,0.036,0.145,0.04,35,0,0.345,,0.075
19:18:54:271,2.30472E+13,4.488,3,2300,2.152,20.439,5.678,1.62,16.928,4.702,45,0,0.358,1.787,0.496,0.03,0.148,0.041,35,0,0.076,,0.179
19:18:54:381,2.30475E+13,4.596,6,2100,6.61,21.158,5.877,5.426,17.518,4.866,45,0,0.493,1.841,0.511,0.101,0.159,0.044,35,0,1.015,,0.59
19:18:54:490,2.30477E+13,4.705,9,2100,9.149,22.155,6.154,8.05,18.395,5.11,50,0,0.619,1.908,0.53,0.069,0.167,0.046,35,0,0.416,,0.877
19:18:54:599,2.30479E+13,4.815,6,2900,13.08,23.589,6.552,11.869,19.696,5.471,51,0,0.369,1.949,0.541,0.016,0.168,0.047,35,0,0.522,,1.301
19:18:54:709,2.30482E+13,4.924,9,2200,13.904,25.105,6.974,12.7,21.081,5.856,51,0,0.544,2.008,0.558,0.026,0.171,0.048,35,650,0.088,,1.385
19:18:54:818,2.30484E+13,5.034,0,1200,2.559,25.385,7.051,1.945,21.294,5.915,45,0,0.333,2.045,0.568,0.007,0.172,0.048,35,0,22.159,,0.213
19:18:54:928,2.30487E+13,5.143,7,2100,5.27,25.963,7.212,4.362,21.772,6.048,46,0,0.409,2.089,0.58,0.081,0.181,0.05,35,0,0.311,,0.478
19:18:55:037,2.30489E+13,5.252,0,1100,0.888,26.06,7.239,0.333,21.808,6.058,45,0,0.322,2.125,0.59,0.021,0.183,0.051,35,0,0.605,,0.036
19:18:55:146,2.30491E+13,5.362,2,2100,2.716,26.357,7.321,2.142,22.043,6.123,45,0,0.359,2.164,0.601,0.037,0.187,0.052,35,0,0.062,,0.235
19:18:55:251,2.30494E+13,5.466,2,1800,4.049,26.779,7.439,3.19,22.375,6.215,45,0,0.391,2.205,0.612,0.039,0.191,0.053,35,0,0.532,,0.332
19:18:55:375,2.30496E+13,5.59,3,2100,3.003,27.152,7.542,2.331,22.665,6.296,45,0,0.395,2.254,0.626,0.053,0.198,0.055,35,0,0.288,,0.29
19:18:55:496,2.30499E+13,5.711,4,2300,5.648,27.836,7.732,4.793,23.245,6.457,50,0,0.352,2.296,0.638,0.009,0.199,0.055,35,0,0,,0.58
19:18:55:602,2.30502E+13,5.823,13,2500,13.689,29.369,8.158,12.388,24.632,6.842,51,0,0.659,2.37,0.658,0.056,0.205,0.057,35,0,0.517,,1.387
19:18:55:711,2.30504E+13,5.927,7,2800,13.282,30.741,8.539,12.152,25.888,7.191,51,0,0.419,2.413,0.67,0.031,0.208,0.058,35,0,1.336,,1.256
19:18:55:812,2.30506E+13,6.027,4,2900,7.059,31.451,8.736,6.038,26.495,7.36,47,0,0.439,2.458,0.683,0.047,0.213,0.059,35,0,0.325,,0.607
19:18:55:935,2.30509E+13,6.15,3,1800,5.339,32.107,8.919,4.385,27.034,7.51,45,0,0.409,2.508,0.697,0.08,0.223,0.062,35,0,0.946,,0.539
19:18:56:035,2.30511E+13,6.25,5,4000,6.543,32.762,9.1,5.619,27.596,7.666,46,0,0.565,2.564,0.712,0.043,0.227,0.063,35,0,0.181,,0.562
19:18:56:154,2.30514E+13,6.37,2,2600,2.761,33.093,9.192,2.086,27.846,7.735,51,0,0.417,2.614,0.726,0.034,0.231,0.064,35,0,0.138,,0.25
19:18:56:249,2.30516E+13,6.464,3,2200,5.356,33.596,9.332,4.26,28.247,7.846,46,0,0.453,2.657,0.738,0.063,0.237,0.066,35,0,0.431,,0.401
