System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%),,
11:57:52:618,1.43127E+14,0.102,5,2100,9.597,0.98,0.272,8.516,0.87,0.242,48,0,0.486,0.05,0.014,0.074,0.008,0.002,35,0,0.891,,0.87
11:57:52:727,1.43128E+14,0.211,8,2100,13.694,2.477,0.688,12.56,2.243,0.623,49,0,0.458,0.1,0.028,0.022,0.01,0.003,35,0,0.135,,1.373
11:57:52:836,1.43128E+14,0.321,11,2800,13.98,4.007,1.113,12.659,3.628,1.008,49,0,0.631,0.169,0.047,0.044,0.015,0.004,35,0,0.417,,1.385
11:57:52:946,1.43128E+14,0.431,3,2500,5.567,4.618,1.283,4.76,4.151,1.153,41,0,0.41,0.214,0.059,0.007,0.016,0.004,35,0,0,,0.523
11:57:53:055,1.43128E+14,0.54,3,3000,5.636,5.234,1.454,4.624,4.656,1.293,42,0,0.479,0.266,0.074,0.064,0.022,0.006,35,0,0.263,,0.505
11:57:53:165,1.43129E+14,0.65,2,2200,4.705,5.75,1.597,3.832,5.076,1.41,41,0,0.442,0.315,0.087,0.042,0.027,0.008,35,0,0.125,,0.42
11:57:53:274,1.43129E+14,0.759,2,2500,4.896,6.284,1.746,3.899,5.502,1.528,42,0,0.456,0.364,0.101,0.045,0.032,0.009,35,0,0.388,,0.426
11:57:53:383,1.43129E+14,0.869,1,2100,3.013,6.616,1.838,2.331,5.758,1.599,41,0,0.372,0.405,0.113,0.01,0.033,0.009,35,0,0,,0.256
11:57:53:493,1.43129E+14,0.977,3,2200,5.294,7.19,1.997,4.301,6.225,1.729,41,0,0.473,0.457,0.127,0.089,0.043,0.012,35,0,0.45,,0.467
11:57:53:602,1.4313E+14,1.086,3,2200,6.181,7.864,2.185,5.371,6.811,1.892,48,0,0.385,0.499,0.139,0.014,0.044,0.012,35,0,0,,0.586
11:57:53:712,1.4313E+14,1.196,10,2200,13.088,9.302,2.584,11.78,8.104,2.251,45,0,0.546,0.559,0.155,0.043,0.049,0.014,35,0,0.215,,1.293
11:57:53:821,1.4313E+14,1.305,1,2200,2.683,9.595,2.665,1.993,8.322,2.312,42,0,0.375,0.6,0.167,0.01,0.05,0.014,35,0,0,,0.218
11:57:53:930,1.4313E+14,1.415,4,2700,6.351,10.289,2.858,5.357,8.908,2.474,42,0,0.517,0.656,0.182,0.04,0.054,0.015,35,0,0.215,,0.586
11:57:54:039,1.43131E+14,1.524,5,2200,5.742,10.916,3.032,4.88,9.44,2.622,50,0,0.424,0.702,0.195,0.054,0.06,0.017,35,0,0.515,,0.532
11:57:54:149,1.43131E+14,1.633,3,2900,5.549,11.524,3.201,4.619,9.947,2.763,41,0,0.494,0.757,0.21,0.096,0.071,0.02,35,0,1.048,,0.507
11:57:54:258,1.43131E+14,1.742,1,2000,3.099,11.862,3.295,2.255,10.193,2.831,41,0,0.377,0.798,0.222,0.039,0.075,0.021,35,0,0.216,,0.246
11:57:54:367,1.43131E+14,1.852,5,2600,4.972,12.407,3.446,3.912,10.621,2.95,41,0,0.511,0.854,0.237,0.067,0.082,0.023,35,0,0.096,,0.428
11:57:54:477,1.43132E+14,1.962,4,2400,2.72,12.707,3.53,1.907,10.831,3.009,41,0,0.397,0.897,0.249,0.078,0.091,0.025,35,0,1.101,,0.21
11:57:54:586,1.43132E+14,2.07,2,2100,4.751,13.22,3.672,3.94,11.257,3.127,41,0,0.465,0.948,0.263,0.049,0.096,0.027,35,1100,0.194,,0.426
11:57:54:695,1.43132E+14,2.18,5,2500,6.856,13.97,3.881,5.954,11.908,3.308,46,0,0.419,0.994,0.276,0.068,0.104,0.029,35,0,0.572,,0.651
11:57:54:805,1.43132E+14,2.289,16,2200,12.315,15.318,4.255,10.984,13.111,3.642,54,0,0.626,1.062,0.295,0.054,0.11,0.03,35,0,0.545,,1.203
11:57:54:914,1.43132E+14,2.399,9,2300,13.639,16.813,4.67,12.477,14.478,4.022,53,0,0.342,1.1,0.305,0.004,0.11,0.031,35,0,0,,1.367
11:57:55:024,1.43133E+14,2.508,6,2200,8.18,17.707,4.919,7.07,15.25,4.236,42,0,0.484,1.152,0.32,0.036,0.114,0.032,35,0,0.119,,0.772
11:57:55:133,1.43133E+14,2.617,6,2300,5.962,18.357,5.099,5.205,15.818,4.394,46,0,0.405,1.197,0.332,0.008,0.115,0.032,35,0,0,,0.568
11:57:55:242,1.43133E+14,2.727,19,2100,13.866,19.874,5.521,12.593,17.196,4.777,45,0,0.77,1.281,0.356,0.046,0.12,0.033,35,0,0.311,,1.378
11:57:55:351,1.43133E+14,2.836,25,2100,13.82,21.385,5.94,12.604,18.574,5.159,47,0,0.7,1.357,0.377,0.004,0.12,0.033,35,0,0,,1.378
11:57:55:461,1.43134E+14,2.945,16,2400,15.447,23.078,6.411,14.051,20.114,5.587,46,0,0.778,1.443,0.401,0.047,0.126,0.035,35,0,0.509,,1.54
11:57:55:570,1.43134E+14,3.054,9,2600,14.521,24.661,6.85,13.267,21.56,5.989,48,0,0.417,1.488,0.413,0.004,0.126,0.035,35,0,0,,1.446
11:57:55:680,1.43134E+14,3.164,16,2500,14.299,26.227,7.285,12.932,22.976,6.382,47,0,0.696,1.564,0.435,0.032,0.13,0.036,35,0,0.335,,1.416
11:57:55:787,1.43134E+14,3.28,23,3000,12.228,27.65,7.68,10.306,24.176,6.715,47,0,0.83,1.661,0.461,0.667,0.207,0.058,35,0,6.089,,1.2
11:57:55:897,1.43135E+14,3.381,18,2600,14.278,29.089,8.08,12.495,25.436,7.065,49,0,1.083,1.77,0.492,0.409,0.248,0.069,35,0,10.379,,1.26
11:57:56:006,1.43135E+14,3.49,13,2300,15.966,30.829,8.564,14.62,27.029,7.508,56,0,0.657,1.842,0.512,0.148,0.265,0.074,35,0,2.599,,1.593
11:57:56:115,1.43135E+14,3.6,12,2200,14.655,32.434,9.009,13.446,28.501,7.917,50,0,0.596,1.907,0.53,0.081,0.273,0.076,35,0,1.27,,1.472
11:57:56:224,1.43135E+14,3.709,13,2300,15.479,34.125,9.479,14.107,30.043,8.345,49,0,0.642,1.977,0.549,0.055,0.279,0.078,35,0,0.281,,1.542
11:57:56:334,1.43136E+14,3.818,5,2200,6.979,34.89,9.692,5.981,30.698,8.527,43,0,0.506,2.033,0.565,0.089,0.289,0.08,35,0,1.207,,0.655
