System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%),,
14:38:58:685,1.50692E+14,0.106,2,2200,4.513,0.477,0.133,3.466,0.367,0.102,42,0,0.448,0.047,0.013,0.065,0.007,0.002,35,0,0.511,,0.367
14:38:58:794,1.50692E+14,0.215,1,2100,2.596,0.761,0.211,1.784,0.562,0.156,42,0,0.376,0.089,0.025,0.035,0.011,0.003,35,0,0.11,,0.195
14:38:58:903,1.50693E+14,0.324,6,2100,10.974,1.958,0.544,9.909,1.642,0.456,49,0,0.472,0.14,0.039,0.058,0.017,0.005,35,0,0.481,,1.08
14:38:59:012,1.50693E+14,0.434,9,3000,12.048,3.279,0.911,10.924,2.841,0.789,46,0,0.456,0.19,0.053,0.022,0.019,0.005,35,0,0.018,,1.199
14:38:59:122,1.50693E+14,0.543,0,2000,2.142,3.513,0.976,1.372,2.99,0.831,42,0,0.357,0.229,0.064,0.041,0.024,0.007,35,0,1.057,,0.149
14:38:59:231,1.50693E+14,0.653,2,2800,2.656,3.804,1.057,1.993,3.209,0.891,44,0,0.375,0.27,0.075,0.021,0.026,0.007,35,0,0.016,,0.219
14:38:59:340,1.50694E+14,0.762,0,2000,2.166,4.041,1.122,1.451,3.367,0.935,42,0,0.357,0.309,0.086,0.041,0.031,0.009,35,0,0.591,,0.158
14:38:59:450,1.50694E+14,0.873,13,4000,3.717,4.455,1.237,3.09,3.711,1.031,49,0,0.406,0.354,0.098,0.031,0.034,0.009,35,0,0.18,,0.344
14:38:59:559,1.50694E+14,0.981,1,2300,3.392,4.819,1.339,2.338,3.963,1.101,42,0,0.408,0.398,0.111,0.064,0.041,0.011,35,0,0.899,,0.252
14:38:59:669,1.50694E+14,1.09,2,4000,3.988,5.256,1.46,3.162,4.309,1.197,43,0,0.421,0.444,0.123,0.046,0.046,0.013,35,0,0.226,,0.346
