System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%),,
16:55:47:923,1.05915E+14,0.104,8,2100,12.984,1.35,0.375,11.83,1.23,0.342,51,0,0.551,0.057,0.016,0.062,0.006,0.002,35,0,1.097,,1.23
16:55:48:042,1.05915E+14,0.223,20,2100,12.951,2.885,0.801,11.653,2.611,0.725,49,0,0.532,0.12,0.033,0.04,0.011,0.003,35,650,0.695,,1.381
16:55:48:139,1.05916E+14,0.32,7,2300,13.119,4.168,1.158,11.829,3.768,1.047,51,0,0.523,0.172,0.048,0.058,0.017,0.005,35,0,0.855,,1.157
16:55:48:250,1.05916E+14,0.43,8,2500,13.41,5.642,1.567,12.206,5.11,1.419,51,0,0.473,0.223,0.062,0.019,0.019,0.005,35,0,0.474,,1.342
16:55:48:358,1.05916E+14,0.539,7,2500,13.21,7.072,1.965,12.033,6.413,1.781,51,0,0.486,0.276,0.077,0.038,0.023,0.006,35,0,0.492,,1.303
16:55:48:468,1.05916E+14,0.649,11,2500,13.437,8.555,2.377,12.281,7.768,2.158,54,0,0.588,0.341,0.095,0.014,0.025,0.007,35,0,0.044,,1.355
16:55:48:578,1.05916E+14,0.758,8,2800,13.356,10.018,2.783,11.973,9.079,2.522,51,0,0.575,0.404,0.112,0.069,0.032,0.009,35,0,0.716,,1.311
16:55:48:686,1.05917E+14,0.867,10,2600,13.285,11.462,3.184,12.144,10.399,2.889,52,0,0.591,0.468,0.13,0.031,0.036,0.01,35,0,0.2,,1.32
16:55:48:801,1.05917E+14,0.982,7,3100,13.236,12.984,3.607,11.921,11.77,3.269,52,0,0.435,0.518,0.144,0.023,0.038,0.011,35,0,0.423,,1.371
16:55:48:906,1.05917E+14,1.087,25,2600,14.44,14.498,4.027,13.247,13.159,3.655,52,0,0.768,0.599,0.166,0.021,0.04,0.011,35,0,0.152,,1.389
16:55:49:028,1.05917E+14,1.208,13,2500,13.086,16.083,4.468,11.824,14.591,4.053,50,0,0.443,0.652,0.181,0.017,0.042,0.012,35,0,0.38,,1.432
16:55:49:129,1.05918E+14,1.31,8,2300,13.068,17.41,4.836,11.898,15.799,4.389,52,0,0.544,0.708,0.197,0.041,0.047,0.013,35,0,0.777,,1.208
16:55:49:233,1.05918E+14,1.413,7,2200,13.688,18.832,5.231,12.506,17.099,4.75,52,0,0.413,0.751,0.209,0.006,0.047,0.013,35,0,0,,1.3
16:55:49:347,1.05918E+14,1.527,12,2500,12.425,20.245,5.624,11.049,18.355,5.099,49,0,0.647,0.824,0.229,0.094,0.058,0.016,35,0,0.993,,1.256
16:55:49:454,1.05918E+14,1.635,13,2300,13.484,21.698,6.027,12.23,19.673,5.465,49,0,0.676,0.897,0.249,0.073,0.066,0.018,35,0,0.959,,1.318
16:55:49:564,1.05919E+14,1.745,17,2100,11.689,22.982,6.384,10.361,20.811,5.781,49,0,0.802,0.985,0.274,0.053,0.072,0.02,35,0,1.962,,1.138
16:55:49:673,1.05919E+14,1.854,19,2300,12.726,24.366,6.768,11.36,22.047,6.124,49,0,0.746,1.066,0.296,0.048,0.077,0.021,35,550,1.155,,1.236
16:55:49:781,1.05919E+14,1.962,12,2300,11.836,25.65,7.125,9.857,23.115,6.421,51,0,0.873,1.161,0.322,0.715,0.154,0.043,35,0,15.909,,1.068
16:55:49:892,1.05919E+14,2.073,15,2200,12.933,27.083,7.523,11.291,24.367,6.769,49,0,0.804,1.25,0.347,0.352,0.193,0.054,35,0,8.383,,1.252
16:55:50:001,1.0592E+14,2.181,11,2100,12.585,28.45,7.903,11.154,25.579,7.105,52,0,0.747,1.331,0.37,0.109,0.205,0.057,35,0,2.384,,1.212
16:55:50:110,1.0592E+14,2.291,13,2400,12.652,29.832,8.287,11.319,26.814,7.448,49,0,0.75,1.413,0.393,0.089,0.215,0.06,35,0,1.349,,1.235
16:55:50:219,1.0592E+14,2.399,8,2500,12.455,31.182,8.662,11.101,28.018,7.783,52,0,0.574,1.475,0.41,0.075,0.223,0.062,35,0,1.289,,1.204
16:55:50:330,1.0592E+14,2.511,9,2300,12.37,32.57,9.047,11.101,29.264,8.129,51,0,0.579,1.54,0.428,0.074,0.231,0.064,35,0,0.563,,1.246
16:55:50:436,1.05921E+14,2.617,10,2300,12.455,33.882,9.412,11.219,30.445,8.457,51,0,0.548,1.598,0.444,0.074,0.239,0.066,35,0,0.614,,1.181
16:55:50:552,1.05921E+14,2.732,10,2400,12.634,35.345,9.818,11.28,31.751,8.82,50,0,0.657,1.674,0.465,0.085,0.249,0.069,35,0,0.757,,1.306
16:55:50:658,1.05921E+14,2.839,8,2600,12.848,36.716,10.199,11.557,32.985,9.162,51,0,0.535,1.731,0.481,0.07,0.256,0.071,35,0,0.44,,1.234
16:55:50:765,1.05921E+14,2.946,13,2600,12.248,38.021,10.561,11.018,34.159,9.489,51,0,0.659,1.801,0.5,0.056,0.262,0.073,35,0,0.75,,1.174
16:55:50:875,1.05922E+14,3.056,9,2300,11.443,39.281,10.911,10.177,35.279,9.8,50,0,0.607,1.868,0.519,0.037,0.266,0.074,35,0,0.371,,1.12
16:55:50:988,1.05922E+14,3.169,19,2500,11.291,40.556,11.266,9.922,36.4,10.111,49,0,0.915,1.971,0.548,0.046,0.272,0.075,35,0,1.235,,1.121
16:55:51:097,1.05922E+14,3.278,16,2600,10.964,41.754,11.598,9.669,37.456,10.404,49,0,0.827,2.062,0.573,0.042,0.276,0.077,35,0,1.977,,1.056
16:55:51:204,1.05922E+14,3.385,16,2300,11.581,42.992,11.942,10.234,38.55,10.708,50,0,0.854,2.153,0.598,0.037,0.28,0.078,35,0,0.595,,1.094
16:55:51:318,1.05923E+14,3.499,14,2300,12.731,44.443,12.345,11.481,39.858,11.072,50,0,0.708,2.234,0.621,0.005,0.281,0.078,35,0,0,,1.308
16:55:51:421,1.05923E+14,3.601,18,2300,12.875,45.762,12.712,11.463,41.033,11.398,51,0,0.894,2.325,0.646,0.024,0.283,0.079,35,0,0.191,,1.175
16:55:51:530,1.05923E+14,3.711,15,2500,12.202,47.102,13.084,10.935,42.234,11.732,50,0,0.711,2.404,0.668,0.012,0.285,0.079,35,0,0.033,,1.201
16:55:51:642,1.05923E+14,3.823,16,2400,12.257,48.471,13.464,11.039,43.467,12.074,50,0,0.774,2.49,0.692,0.024,0.287,0.08,35,0,0.722,,1.233
16:55:51:749,1.05923E+14,3.929,16,2600,12.477,49.802,13.834,11.096,44.651,12.403,50,0,0.692,2.564,0.712,0.013,0.289,0.08,35,0,0.033,,1.184
16:55:51:858,1.05924E+14,4.039,14,2600,12.12,51.13,14.203,10.903,45.845,12.735,50,0,0.672,2.637,0.733,0.033,0.292,0.081,35,0,0.446,,1.194
16:55:51:973,1.05924E+14,4.153,15,2200,12.159,52.521,14.589,10.821,47.083,13.079,50,0,0.713,2.719,0.755,0.028,0.295,0.082,35,0,0.094,,1.238
16:55:52:078,1.05924E+14,4.258,18,2400,12.723,53.855,14.96,11.385,48.276,13.41,51,0,0.76,2.799,0.777,0.041,0.3,0.083,35,0,1.512,,1.193
16:55:52:189,1.05924E+14,4.37,22,2300,12.847,55.292,15.359,11.466,49.56,13.767,50,0,0.924,2.902,0.806,0.02,0.302,0.084,35,0,0.204,,1.284
16:55:52:297,1.05925E+14,4.478,13,3000,11.531,56.533,15.704,10.363,50.675,14.076,50,0,0.644,2.971,0.825,0.008,0.303,0.084,35,0,31.735,,1.115
16:55:52:406,1.05925E+14,4.586,15,2300,12.021,57.84,16.067,10.679,51.835,14.399,50,0,0.747,3.053,0.848,0.037,0.307,0.085,35,0,0.199,,1.16
16:55:52:515,1.05925E+14,4.696,13,2100,12.321,59.188,16.441,11.109,53.051,14.736,50,0,0.675,3.126,0.868,0.006,0.308,0.085,35,0,0,,1.216
16:55:52:624,1.05925E+14,4.805,16,3000,12.037,60.498,16.805,10.745,54.221,15.061,49,0,0.765,3.21,0.892,0.029,0.311,0.086,35,0,0.132,,1.17
16:55:52:736,1.05926E+14,4.916,14,2600,12.039,61.842,17.178,10.752,55.421,15.395,49,0,0.672,3.285,0.912,0.008,0.312,0.087,35,0,0,,1.2
16:55:52:848,1.05926E+14,5.029,18,2300,12.401,63.238,17.566,11.151,56.677,15.744,49,0,0.844,3.38,0.939,0.034,0.315,0.088,35,0,0.22,,1.256
16:55:52:955,1.05926E+14,5.136,15,2700,13.118,64.644,17.957,11.716,57.932,16.092,50,0,0.78,3.463,0.962,0.006,0.316,0.088,35,0,0,,1.255
16:55:53:068,1.05926E+14,5.248,16,2800,11.664,65.955,18.321,10.346,59.095,16.415,50,0,0.763,3.549,0.986,0.047,0.321,0.089,35,0,0.581,,1.163
