System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%),,
01:02:03:008,1.27343E+14,0.123,5,2000,8.313,1.02,0.283,4.466,0.548,0.152,43,0,0.397,0.049,0.014,2.712,0.333,0.092,35,600,0.813,,0.548
01:02:03:118,1.27344E+14,0.232,3,2500,7.789,1.872,0.52,3.868,0.971,0.27,43,0,0.435,0.096,0.027,2.721,0.63,0.175,35,700,0.649,,0.423
01:02:03:227,1.27344E+14,0.342,1,1800,7.024,2.646,0.735,2.835,1.283,0.356,43,0,0.362,0.136,0.038,3.052,0.967,0.269,35,1050,0.173,,0.312
01:02:03:336,1.27344E+14,0.451,4,3200,8.541,3.574,0.993,4.602,1.783,0.495,43,0,0.418,0.182,0.05,2.755,1.266,0.352,35,1000,0.388,,0.5
01:02:03:446,1.27344E+14,0.56,1,2300,7.211,4.361,1.211,2.988,2.11,0.586,44,0,0.34,0.219,0.061,3.102,1.605,0.446,35,700,0.199,,0.327
01:02:03:555,1.27345E+14,0.669,4,2000,8.523,5.291,1.47,4.699,2.622,0.728,43,0,0.429,0.266,0.074,2.677,1.897,0.527,35,800,0.569,,0.512
01:02:03:664,1.27345E+14,0.779,1,2100,6.914,6.049,1.68,2.576,2.905,0.807,43,0,0.336,0.302,0.084,3.164,2.244,0.623,35,1050,0.485,,0.283
01:02:03:766,1.27345E+14,0.881,9,3200,10.041,7.07,1.964,6.418,3.557,0.988,43,0,0.659,0.369,0.103,2.481,2.496,0.693,35,1000,1.806,,0.652
01:02:03:878,1.27345E+14,0.993,3,2500,7.965,7.963,2.212,3.948,4,1.111,45,0,0.407,0.415,0.115,2.889,2.82,0.783,35,950,0.646,,0.443
01:02:03:988,1.27345E+14,1.103,8,3300,8.094,8.854,2.459,4.128,4.454,1.237,47,0,0.438,0.463,0.129,2.802,3.129,0.869,35,850,0.442,,0.454
01:02:04:099,1.27346E+14,1.214,2,2200,6.809,9.614,2.671,2.305,4.712,1.309,43,0,0.355,0.503,0.14,3.292,3.496,0.971,35,550,0.385,,0.258
01:02:04:209,1.27346E+14,1.323,1,2300,7.629,10.445,2.902,3.55,5.098,1.416,43,0,0.431,0.55,0.153,2.894,3.811,1.059,35,950,1.012,,0.386
01:02:04:318,1.27346E+14,1.433,10,2200,11,11.648,3.236,7.948,5.967,1.658,45,0,0.558,0.611,0.17,1.909,4.02,1.117,35,500,0.47,,0.869
01:02:04:427,1.27346E+14,1.542,9,2400,11.486,12.904,3.585,8.442,6.891,1.914,44,0,0.576,0.674,0.187,1.764,4.213,1.17,35,700,0.896,,0.924
01:02:04:537,1.27347E+14,1.651,9,2400,10.6,14.064,3.907,7.569,7.719,2.144,44,0,0.539,0.733,0.204,1.868,4.417,1.227,35,500,0.667,,0.828
01:02:04:646,1.27347E+14,1.761,5,2100,8.832,15.028,4.175,5.267,8.294,2.304,43,0,0.598,0.798,0.222,2.36,4.675,1.299,35,800,0.822,,0.575
01:02:04:756,1.27347E+14,1.87,1,2000,6.6,15.75,4.375,2.109,8.524,2.368,43,0,0.334,0.835,0.232,3.312,5.037,1.399,35,500,0,,0.23
01:02:04:865,1.27347E+14,1.979,10,2100,10.37,16.884,4.69,7.154,9.307,2.585,47,0,0.632,0.904,0.251,2.027,5.259,1.461,35,700,4.222,,0.783
01:02:05:005,1.27348E+14,2.128,12,2500,9.404,18.283,5.079,5.547,10.132,2.814,44,0,0.671,1.004,0.279,2.589,5.644,1.568,35,700,13.509,,0.825
01:02:05:084,1.27348E+14,2.198,1,1800,6.908,18.766,5.213,2.693,10.32,2.867,44,0,0.417,1.033,0.287,3.052,5.857,1.627,35,1050,1.929,,0.188
01:02:05:193,1.27348E+14,2.308,4,2400,7.435,19.582,5.439,3.234,10.675,2.965,47,0,0.462,1.083,0.301,3.107,6.198,1.722,35,700,0.412,,0.355
01:02:05:302,1.27348E+14,2.417,3,2000,7.373,20.39,5.664,2.895,10.992,3.053,43,0,0.426,1.13,0.314,3.268,6.557,1.821,35,600,3.465,,0.317
01:02:05:412,1.27349E+14,2.526,10,2900,9.555,21.43,5.953,6.347,11.683,3.245,47,0,0.694,1.206,0.335,1.947,6.768,1.88,35,800,8.278,,0.691
01:02:05:521,1.27349E+14,2.635,3,2100,8.045,22.309,6.197,4.221,12.144,3.373,43,0,0.458,1.256,0.349,2.662,7.059,1.961,35,1050,0.914,,0.461
01:02:05:630,1.27349E+14,2.745,4,3200,7.871,23.171,6.436,3.533,12.531,3.481,46,0,0.427,1.303,0.362,3.136,7.403,2.056,35,950,0.568,,0.387
01:02:05:740,1.27349E+14,2.854,2,1800,7.326,23.97,6.658,3.18,12.878,3.577,43,0,0.395,1.346,0.374,2.993,7.729,2.147,35,1050,0.715,,0.347
01:02:05:849,1.2735E+14,2.964,4,2900,8.299,24.883,6.912,4.515,13.375,3.715,45,0,0.417,1.391,0.387,2.624,8.018,2.227,35,700,1.871,,0.497
01:02:05:958,1.2735E+14,3.073,3,2000,7.852,25.736,7.149,3.832,13.791,3.831,43,0,0.4,1.435,0.399,2.962,8.34,2.317,35,700,0.526,,0.416
01:02:06:068,1.2735E+14,3.182,11,2500,11.387,26.983,7.495,8.391,14.71,4.086,44,0,0.552,1.495,0.415,1.713,8.527,2.369,35,700,0.848,,0.919
01:02:06:177,1.2735E+14,3.292,8,2100,11.248,28.214,7.837,8.247,15.612,4.337,45,0,0.512,1.552,0.431,1.86,8.731,2.425,35,550,0.65,,0.902
01:02:06:287,1.27351E+14,3.401,5,2200,8.753,29.172,8.103,5.188,16.181,4.495,43,0,0.435,1.599,0.444,2.339,8.987,2.496,35,850,0.253,,0.569
01:02:06:396,1.27351E+14,3.51,1,2000,7.173,29.955,8.321,3.052,16.514,4.587,43,0,0.401,1.643,0.456,2.964,9.31,2.586,35,700,0.376,,0.333
01:02:06:505,1.27351E+14,3.62,3,2400,7.466,30.773,8.548,3.28,16.873,4.687,47,0,0.383,1.685,0.468,3.062,9.646,2.679,35,650,0.065,,0.359
01:02:06:615,1.27351E+14,3.729,1,2500,7.079,31.546,8.763,2.876,17.187,4.774,43,0,0.394,1.728,0.48,3.001,9.974,2.77,35,700,0.382,,0.314
01:02:06:724,1.27352E+14,3.838,5,2000,8.395,32.463,9.018,4.62,17.692,4.914,47,0,0.476,1.78,0.494,2.643,10.262,2.851,35,500,0.297,,0.505
01:02:06:833,1.27352E+14,3.948,0,2500,6.861,33.214,9.226,2.708,17.988,4.997,43,0,0.381,1.822,0.506,3.003,10.591,2.942,35,650,0.495,,0.296
01:02:06:943,1.27352E+14,4.057,5,2100,7.785,34.065,9.463,3.591,18.381,5.106,44,0,0.469,1.873,0.52,3.003,10.92,3.033,35,500,0,,0.393
01:02:07:052,1.27352E+14,4.166,9,2000,11.447,35.314,9.809,8.422,19.299,5.361,45,0,0.52,1.93,0.536,1.82,11.118,3.088,35,650,0.554,,0.918
01:02:07:161,1.27352E+14,4.276,9,2200,11.359,36.565,10.157,8.32,20.216,5.616,45,0,0.462,1.98,0.55,1.867,11.324,3.145,35,600,0.024,,0.917
01:02:07:271,1.27353E+14,4.385,3,2400,7.99,37.434,10.398,4.136,20.666,5.741,44,0,0.405,2.024,0.562,2.679,11.615,3.226,35,700,0.497,,0.45
01:02:07:380,1.27353E+14,4.494,2,2100,7.565,38.261,10.628,3.41,21.038,5.844,43,0,0.378,2.066,0.574,3.018,11.945,3.318,35,600,0.189,,0.372
01:02:07:489,1.27353E+14,4.604,1,2100,6.981,39.025,10.84,2.725,21.337,5.927,43,0,0.385,2.108,0.586,3.076,12.282,3.412,35,550,0.151,,0.299
