System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:40:45:036, 15134819408619,    0.100,    0.000, 4000,   2.020,   0.203,   0.056,   1.279,   0.128,   0.036, 43,  0,   0.354,   0.036,   0.010,   0.047,   0.005,   0.001,  65.000,    0,   0.100
15:40:45:146, 15135060884087,    0.210,    1.000, 4100,   3.632,   0.600,   0.167,   2.961,   0.452,   0.126, 43,  0,   0.397,   0.079,   0.022,   0.027,   0.008,   0.002,  65.000,    0,   0.068
15:40:45:255, 15135302249363,    0.319,    0.000, 4100,   1.176,   0.729,   0.202,   0.650,   0.523,   0.145, 42,  0,   0.317,   0.114,   0.032,   0.019,   0.010,   0.003,  65.000,    0,   0.048
15:40:45:364, 15135543765631,    0.429,    0.000, 3900,   2.311,   0.982,   0.273,   1.910,   0.732,   0.203, 43,  0,   0.332,   0.150,   0.042,   0.009,   0.011,   0.003,  65.000,    0,   0.000
15:40:45:474, 15135787835039,    0.539,    0.000, 4000,   2.074,   1.211,   0.336,   1.659,   0.916,   0.254, 43,  0,   0.346,   0.188,   0.052,   0.018,   0.013,   0.004,  65.000,    0,   0.018
15:40:45:583, 15136026423866,    0.647,    1.000, 3900,   3.343,   1.572,   0.437,   2.448,   1.180,   0.328, 43,  0,   0.394,   0.231,   0.064,   0.045,   0.018,   0.005,  65.000,    0,   0.134
15:40:45:692, 15136268120765,    0.757,    1.000, 4000,   4.295,   2.042,   0.567,   3.443,   1.557,   0.433, 43,  0,   0.439,   0.279,   0.077,   0.123,   0.031,   0.009,  65.000,    0,   0.709
15:40:45:802, 15136509515149,    0.866,    2.000, 4000,   4.472,   2.531,   0.703,   3.590,   1.950,   0.542, 43,  0,   0.408,   0.323,   0.090,   0.086,   0.040,   0.011,  65.000,    0,   0.433
15:40:45:911, 15136750981531,    0.975,    1.000, 4100,   3.550,   2.919,   0.811,   2.811,   2.257,   0.627, 43,  0,   0.395,   0.367,   0.102,   0.047,   0.046,   0.013,  65.000,    0,   0.204
15:40:46:020, 15136992219912,    1.085,    0.000, 3900,   2.801,   3.225,   0.896,   2.170,   2.494,   0.693, 43,  0,   0.371,   0.407,   0.113,   0.079,   0.054,   0.015,  65.000,    0,   0.210
