System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:39:52:260,2.65829E+13,0.108,0,1600,2.234,0.241,0.067,1.405,0.151,0.042,46,0,0.374,0.04,0.011,0.037,0.004,0.001,35,0,0.244
16:39:52:366,2.65832E+13,0.213,4,3700,5.073,0.776,0.216,4.083,0.582,0.162,46,0,0.488,0.092,0.025,0.095,0.014,0.004,35,0,0.724
16:39:52:473,2.65834E+13,0.321,1,2000,1.984,0.989,0.275,1.164,0.707,0.196,46,0,0.409,0.136,0.038,0.028,0.017,0.005,35,0,0.147
16:39:52:583,2.65836E+13,0.431,2,4000,4.646,1.5,0.417,3.579,1.101,0.306,46,0,0.465,0.187,0.052,0.084,0.026,0.007,35,0,0.287
16:39:52:695,2.65839E+13,0.542,7,2300,12.71,2.922,0.812,11.559,2.394,0.665,52,0,0.473,0.24,0.067,0.033,0.03,0.008,35,0,0.134
16:39:52:801,2.65841E+13,0.648,14,2100,13.349,4.33,1.203,12.063,3.666,1.018,52,0,0.656,0.309,0.086,0.039,0.034,0.009,35,0,0.294
16:39:52:911,2.65844E+13,0.759,8,2500,11.125,5.562,1.545,9.85,4.758,1.322,49,0,0.635,0.379,0.105,0.065,0.041,0.011,35,0,0.998
16:39:53:019,2.65846E+13,0.867,7,3100,10.758,6.727,1.869,9.351,5.77,1.603,49,0,0.703,0.455,0.126,0.069,0.049,0.014,35,0,0.562
16:39:53:129,2.65848E+13,0.977,4,3100,8.783,7.693,2.137,7.565,6.602,1.834,49,0,0.543,0.515,0.143,0.092,0.059,0.016,35,0,0.373
16:39:53:240,2.65851E+13,1.087,3,2100,7.316,8.498,2.361,6.165,7.281,2.022,47,0,0.51,0.571,0.159,0.028,0.062,0.017,35,0,0.451
16:39:53:354,2.65853E+13,1.202,5,2600,4.033,8.96,2.489,3.278,7.656,2.127,47,0,0.418,0.619,0.172,0.035,0.066,0.018,35,0,0.376
16:39:53:461,2.65856E+13,1.309,6,3500,8.53,9.877,2.744,7.107,8.42,2.339,47,0,0.555,0.679,0.189,0.212,0.089,0.025,35,0,2.166
16:39:53:567,2.65858E+13,1.415,3,2900,5.96,10.511,2.92,4.859,8.937,2.482,50,0,0.478,0.73,0.203,0.057,0.095,0.026,35,0,0.307
16:39:53:681,2.65861E+13,1.528,6,2900,11.682,11.825,3.285,10.631,10.132,2.815,53,0,0.473,0.783,0.217,0.035,0.099,0.027,35,0,0.317
16:39:53:788,2.65863E+13,1.636,8,3000,13.438,13.272,3.687,12.177,11.444,3.179,53,0,0.509,0.838,0.233,0.015,0.1,0.028,35,0,0.085
16:39:53:895,2.65865E+13,1.742,6,2800,11.846,14.535,4.038,10.675,12.582,3.495,49,0,0.434,0.884,0.245,0.025,0.103,0.029,35,0,0.294
16:39:54:005,2.65868E+13,1.853,2,2800,4.1,14.989,4.164,3.275,12.945,3.596,47,0,0.431,0.931,0.259,0.044,0.108,0.03,35,0,0.14
16:39:54:116,2.6587E+13,1.963,0,1600,1.484,15.153,4.209,0.842,13.038,3.622,47,0,0.361,0.971,0.27,0.022,0.11,0.031,35,0,0.309
16:39:54:224,2.65873E+13,2.071,2,3700,3.29,15.507,4.307,2.554,13.312,3.698,46,0,0.406,1.015,0.282,0.043,0.115,0.032,35,0,0.126
16:39:54:336,2.65875E+13,2.184,2,2100,3.857,15.942,4.428,2.937,13.644,3.79,47,0,0.405,1.061,0.295,0.061,0.122,0.034,35,0,0.486
