System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%),,
14:29:08:558,6.28E+12,0.108,2,1600,4.649,0.503,0.14,3.789,0.41,0.114,44,0,0.378,0.041,0.011,0.024,0.003,0.001,35,0,0.161,,0.41
14:29:08:667,6.28E+12,0.218,2,2600,3.123,0.845,0.235,2.441,0.678,0.188,44,0,0.39,0.084,0.023,0.072,0.01,0.003,35,0,0.28,,0.268
14:29:08:777,6.28E+12,0.327,0,1800,1.867,1.048,0.291,1.123,0.8,0.222,44,0,0.373,0.124,0.034,0.016,0.012,0.003,35,0,0.071,,0.122
14:29:08:886,6.28E+12,0.437,2,4100,2.989,1.377,0.383,2.243,1.046,0.291,43,0,0.396,0.168,0.047,0.044,0.017,0.005,35,0,0.243,,0.246
14:29:08:995,6.28E+12,0.545,0,2000,1.489,1.539,0.428,0.884,1.143,0.317,42,0,0.353,0.206,0.057,0.029,0.02,0.006,35,0,0.258,,0.097
14:29:09:105,6.28E+12,0.655,2,3100,2.453,1.808,0.502,1.933,1.355,0.376,43,0,0.353,0.245,0.068,0.033,0.024,0.007,35,0,0.169,,0.212
14:29:09:214,6.28E+12,0.764,2,2200,3.653,2.206,0.613,2.805,1.66,0.461,47,0,0.356,0.284,0.079,0.028,0.027,0.007,35,0,0.351,,0.305
14:29:09:323,6.28E+12,0.874,13,2400,14.446,3.789,1.053,13.256,3.113,0.865,50,0,0.703,0.361,0.1,0.05,0.032,0.009,35,0,0.366,,1.453
14:29:09:433,6.28E+12,0.983,7,3400,13.533,5.27,1.464,12.309,4.459,1.239,49,0,0.377,0.402,0.112,0.021,0.035,0.01,35,0,0.773,,1.346
14:29:09:542,6.28E+12,1.092,4,2100,8.984,6.253,1.737,8.029,5.338,1.483,44,0,0.386,0.444,0.123,0.045,0.039,0.011,35,0,0.088,,0.879
14:29:09:651,6.28E+12,1.202,0,1100,0.73,6.332,1.759,0.274,5.368,1.491,44,0,0.321,0.479,0.133,0.012,0.041,0.011,35,0,0,,0.03
14:29:09:761,6.28E+12,1.311,2,4000,2.703,6.629,1.841,2.083,5.596,1.555,44,0,0.369,0.52,0.144,0.055,0.047,0.013,35,0,0.159,,0.228
14:29:09:870,6.28E+12,1.42,1,2500,1.256,6.766,1.879,0.702,5.673,1.576,43,0,0.348,0.557,0.155,0.007,0.048,0.013,35,0,0,,0.077
14:29:09:980,6.28E+12,1.53,2,4000,4.061,7.212,2.003,3.456,6.052,1.681,43,0,0.398,0.601,0.167,0.037,0.052,0.014,35,0,0.075,,0.379
14:29:10:089,6.28E+12,1.639,0,1100,0.783,7.297,2.027,0.359,6.091,1.692,43,0,0.308,0.635,0.176,0.006,0.052,0.015,35,0,0,,0.039
14:29:10:198,6.28E+12,1.749,4,2900,4.376,7.78,2.161,3.644,6.493,1.804,47,0,0.405,0.679,0.189,0.05,0.058,0.016,35,0,0.182,,0.402
14:29:10:307,6.28E+12,1.857,8,2300,14.065,9.303,2.584,12.929,7.893,2.193,49,0,0.46,0.729,0.203,0.029,0.061,0.017,35,0,0.666,,1.4
14:29:10:417,6.28E+12,1.968,4,2100,9.083,10.304,2.862,8.068,8.782,2.44,45,0,0.389,0.772,0.214,0.053,0.067,0.019,35,0,0.16,,0.889
14:29:10:526,6.28E+12,2.076,0,1100,0.689,10.378,2.883,0.226,8.807,2.446,43,0,0.31,0.806,0.224,0.016,0.068,0.019,35,0,0,,0.025
14:29:10:636,6.28E+12,2.186,2,2100,2.525,10.655,2.96,1.953,9.021,2.506,43,0,0.357,0.845,0.235,0.043,0.073,0.02,35,0,0.09,,0.214
14:29:10:745,6.28E+12,2.295,0,900,0.754,10.738,2.983,0.307,9.055,2.515,44,0,0.326,0.881,0.245,0.012,0.075,0.021,35,0,0.08,,0.034
14:29:10:854,6.28E+12,2.405,4,2700,4.369,11.219,3.116,3.635,9.455,2.626,44,0,0.433,0.928,0.258,0.045,0.08,0.022,35,0,0.176,,0.4
14:29:10:964,6.28E+12,2.514,1,1400,2.409,11.48,3.189,1.858,9.657,2.682,44,0,0.319,0.963,0.267,0.015,0.081,0.023,35,0,0.047,,0.202
14:29:11:073,6.28E+12,2.623,4,3300,3.731,11.889,3.302,2.99,9.984,2.773,43,0,0.462,1.013,0.282,0.033,0.085,0.024,35,0,0.125,,0.327
14:29:11:182,6.28E+12,2.733,1,1400,1.074,12.007,3.335,0.534,10.043,2.79,43,0,0.33,1.05,0.292,0.022,0.087,0.024,35,0,0.095,,0.059
14:29:11:292,6.28E+12,2.842,5,2700,3.716,12.412,3.448,2.963,10.366,2.879,44,0,0.431,1.097,0.305,0.072,0.095,0.026,35,0,0.559,,0.323
14:29:11:401,6.28E+12,2.951,0,2000,1.59,12.585,3.496,0.886,10.463,2.906,43,0,0.356,1.135,0.315,0.022,0.097,0.027,35,0,0.207,,0.097
14:29:11:511,6.28E+12,3.061,3,2700,3.397,12.958,3.599,2.659,10.754,2.987,44,0,0.415,1.181,0.328,0.03,0.101,0.028,35,0,0.102,,0.291
14:29:11:620,6.28E+12,3.17,1,2000,2.175,13.195,3.665,1.436,10.911,3.031,43,0,0.359,1.22,0.339,0.026,0.104,0.029,35,0,0.116,,0.157
14:29:11:729,6.28E+12,3.28,2,2300,3.38,13.566,3.768,2.672,11.204,3.112,44,0,0.391,1.263,0.351,0.047,0.109,0.03,35,1100,0.087,,0.293
14:29:11:838,6.28E+12,3.388,5,2200,10.734,14.734,4.093,9.729,12.262,3.406,48,0,0.387,1.305,0.363,0.022,0.111,0.031,35,0,0.042,,1.058
14:29:11:948,6.28E+12,3.498,11,2400,13.624,16.227,4.507,12.346,13.615,3.782,50,0,0.56,1.366,0.38,0.045,0.116,0.032,35,0,0.483,,1.353
14:29:12:057,6.28E+12,3.607,8,2800,13.295,17.682,4.912,12.131,14.943,4.151,50,0,0.534,1.425,0.396,0.039,0.12,0.033,35,0,0.356,,1.328
14:29:12:167,6.28E+12,3.717,4,2300,4.074,18.128,5.036,3.23,15.297,4.249,44,0,0.413,1.47,0.408,0.066,0.127,0.035,35,0,0.326,,0.354
14:29:12:276,6.28E+12,3.826,2,2100,5.152,18.691,5.192,4.141,15.749,4.375,44,0,0.435,1.518,0.422,0.075,0.136,0.038,35,0,0.441,,0.452
14:29:12:385,6.28E+12,3.936,5,2400,6.409,19.394,5.387,5.377,16.339,4.539,44,0,0.563,1.579,0.439,0.038,0.14,0.039,35,800,0.157,,0.59
