System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:27:44:331, 7622512308723,    0.105,    0.000, 1400,   1.829,   0.192,   0.053,   1.090,   0.114,   0.032, 43,  0,   0.380,   0.040,   0.011,   0.051,   0.005,   0.001,  35.000,    0,   0.286
12:27:44:441, 7622754202205,    0.214,    6.000, 2100,   4.156,   0.647,   0.180,   3.231,   0.468,   0.130, 43,  0,   0.529,   0.098,   0.027,   0.058,   0.012,   0.003,  35.000,    0,   0.263
12:27:44:550, 7622994962860,    0.323,    0.000, 1400,   1.148,   0.772,   0.215,   0.561,   0.529,   0.147, 43,  0,   0.368,   0.138,   0.038,   0.034,   0.015,   0.004,  35.000,    0,   0.104
12:27:44:659, 7623236488725,    0.433,    3.000, 2100,   4.608,   1.276,   0.355,   3.538,   0.916,   0.255, 43,  0,   0.459,   0.188,   0.052,   0.093,   0.026,   0.007,  35.000,    0,   0.696
12:27:44:768, 7623477846435,    0.542,    0.000, 1600,   1.266,   1.415,   0.393,   0.720,   0.995,   0.276, 43,  0,   0.361,   0.228,   0.063,   0.015,   0.027,   0.008,  35.000,    0,   0.512
12:27:44:878, 7623718911687,    0.651,    5.000, 2100,   5.376,   2.002,   0.556,   4.393,   1.475,   0.410, 47,  0,   0.476,   0.280,   0.078,   0.102,   0.038,   0.011,  35.000,    0,   0.300
12:27:44:987, 7623960485753,    0.761,    6.000, 2800,  13.766,   3.508,   0.974,  12.554,   2.848,   0.791, 50,  0,   0.392,   0.322,   0.090,   0.006,   0.039,   0.011,  35.000,    0,   0.000
12:27:45:096, 7624202045627,    0.870,   13.000, 2500,  13.671,   5.003,   1.390,  12.386,   4.203,   1.168, 51,  0,   0.697,   0.399,   0.111,   0.115,   0.052,   0.014,  35.000,    0,   1.283
12:27:45:206, 7624444147456,    0.980,    5.000, 2100,   9.002,   5.990,   1.664,   7.857,   5.065,   1.407, 51,  0,   0.469,   0.450,   0.125,   0.086,   0.061,   0.017,  35.000,    0,   0.772
12:27:45:315, 7624685150945,    1.089,    3.000, 2000,   5.156,   6.553,   1.820,   4.221,   5.526,   1.535, 44,  0,   0.525,   0.507,   0.141,   0.079,   0.070,   0.019,  35.000,    0,   0.809
12:27:45:425, 7624926947839,    1.198,    1.000, 2900,   0.924,   6.654,   1.848,   0.502,   5.581,   1.550, 44,  0,   0.336,   0.544,   0.151,   0.008,   0.071,   0.020,  35.000,    0,   0.000
12:27:45:534, 7625168085095,    1.308,    1.000, 1600,   2.252,   6.900,   1.917,   1.608,   5.756,   1.599, 43,  0,   0.362,   0.584,   0.162,   0.048,   0.076,   0.021,  35.000,    0,   0.781
12:27:45:644, 7625411993529,    1.418,    4.000, 2300,   4.850,   7.436,   2.066,   3.830,   6.179,   1.716, 44,  0,   0.461,   0.635,   0.176,   0.080,   0.085,   0.024,  35.000,  500,   0.357
12:27:45:753, 7625651620759,    1.527,    2.000, 2100,   4.080,   7.879,   2.189,   3.162,   6.522,   1.812, 44,  0,   0.445,   0.683,   0.190,   0.082,   0.094,   0.026,  35.000,    0,   0.447
12:27:45:862, 7625893574205,    1.636,    2.000, 2600,   2.798,   8.185,   2.274,   2.125,   6.755,   1.876, 44,  0,   0.379,   0.724,   0.201,   0.010,   0.095,   0.026,  35.000,  500,   0.055
12:27:45:971, 7626133577955,    1.745,    9.000, 2300,  13.430,   9.645,   2.679,  12.121,   8.073,   2.242, 50,  0,   0.578,   0.787,   0.219,   0.089,   0.104,   0.029,  35.000,    0,   0.618
12:27:46:081, 7626375050919,    1.854,    7.000, 2500,  13.621,  11.135,   3.093,  12.504,   9.440,   2.622, 50,  0,   0.443,   0.836,   0.232,   0.006,   0.105,   0.029,  35.000,    0,   0.000
12:27:46:190, 7626616811567,    1.964,    1.000, 2000,   3.403,  11.507,   3.196,   2.526,   9.717,   2.699, 44,  0,   0.394,   0.879,   0.244,   0.047,   0.110,   0.031,  35.000,    0,   0.165
12:27:46:300, 7626858816763,    2.073,    2.000, 2100,   2.411,  11.772,   3.270,   1.735,   9.907,   2.752, 44,  0,   0.376,   0.920,   0.256,   0.008,   0.111,   0.031,  35.000,    0,   0.000
12:27:46:409, 7627099649027,    2.182,    2.000, 2100,   3.353,  12.137,   3.371,   2.421,  10.171,   2.825, 43,  0,   0.423,   0.966,   0.268,   0.063,   0.118,   0.033,  35.000,    0,   0.140
12:27:46:518, 7627341506593,    2.292,   10.000, 2000,   8.242,  13.040,   3.622,   7.122,  10.951,   3.042, 48,  0,   0.531,   1.024,   0.285,   0.147,   0.134,   0.037,  35.000,    0,   2.122
12:27:46:628, 7627583183021,    2.401,    8.000, 3000,  10.926,  14.236,   3.954,   8.278,  11.857,   3.294, 44,  0,   0.846,   1.117,   0.310,   1.376,   0.285,   0.079,  35.000,    0,  19.903
12:27:46:737, 7627824694467,    2.511,    3.000, 2100,   6.878,  14.988,   4.163,   4.971,  12.401,   3.445, 47,  0,   0.648,   1.188,   0.330,   0.941,   0.387,   0.108,  35.000,  650,  12.507
