System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:53:04:953, 16768557656771,    0.113,    0.000, 4100,   2.950,   0.333,   0.092,   2.108,   0.238,   0.066, 42,  0,   0.357,   0.040,   0.011,   0.045,   0.005,   0.001,  65.000,    0,   0.109
15:53:05:065, 16768805101193,    0.225,    3.000, 4100,   4.549,   0.843,   0.234,   3.731,   0.656,   0.182, 41,  0,   0.383,   0.083,   0.023,   0.068,   0.013,   0.004,  65.000,    0,   0.333
15:53:05:175, 16769047405293,    0.335,    0.000, 4000,   2.016,   1.064,   0.296,   1.329,   0.802,   0.223, 41,  0,   0.348,   0.121,   0.034,   0.019,   0.015,   0.004,  65.000,    0,   0.257
15:53:05:283, 16769287049271,    0.443,    0.000, 4100,   1.404,   1.216,   0.338,   0.986,   0.909,   0.252, 41,  0,   0.309,   0.155,   0.043,   0.007,   0.016,   0.004,  65.000,    0,   0.000
15:53:05:391, 16769524376557,    0.551,    0.000, 4100,   1.450,   1.372,   0.381,   1.078,   1.025,   0.285, 42,  0,   0.311,   0.188,   0.052,   0.011,   0.017,   0.005,  65.000,    0,   0.000
15:53:05:498, 16769762379237,    0.658,    2.000, 4000,   5.794,   1.997,   0.555,   4.780,   1.540,   0.428, 41,  0,   0.434,   0.235,   0.065,   0.078,   0.025,   0.007,  65.000,    0,   0.277
15:53:05:612, 16770012725979,    0.772,    1.000, 4100,   3.348,   2.376,   0.660,   2.491,   1.822,   0.506, 41,  0,   0.407,   0.281,   0.078,   0.055,   0.031,   0.009,  65.000,    0,   0.385
15:53:05:721, 16770253774797,    0.881,    0.000, 4000,   2.729,   2.674,   0.743,   2.053,   2.047,   0.568, 41,  0,   0.370,   0.322,   0.089,   0.017,   0.033,   0.009,  65.000,    0,   0.062
15:53:05:831, 16770496619573,    0.991,    1.000, 4000,   3.825,   3.095,   0.860,   3.073,   2.385,   0.662, 41,  0,   0.405,   0.366,   0.102,   0.063,   0.040,   0.011,  65.000,    0,   0.161
15:53:05:942, 16770742289009,    1.102,    1.000, 4100,   3.890,   3.528,   0.980,   3.099,   2.729,   0.758, 42,  0,   0.409,   0.412,   0.114,   0.067,   0.048,   0.013,  65.000,    0,   0.351
15:53:06:047, 16770973408747,    1.207,    8.000, 4000,   5.941,   4.150,   1.153,   5.005,   3.253,   0.904, 52,  0,   0.423,   0.456,   0.127,   0.058,   0.054,   0.015,  65.000,    0,   0.348
15:53:06:160, 16771222950149,    1.320,    1.000, 4000,   4.112,   4.614,   1.282,   3.214,   3.616,   1.005, 42,  0,   0.419,   0.503,   0.140,   0.048,   0.059,   0.016,  65.000,    0,   0.489
15:53:06:266, 16771457411787,    1.426,    0.000, 4100,   1.382,   4.761,   1.323,   0.951,   3.717,   1.033, 41,  0,   0.305,   0.536,   0.149,   0.009,   0.060,   0.017,  65.000,    0,   0.000
15:53:06:376, 16771700937121,    1.536,    9.000, 3900,  17.171,   6.655,   1.849,  16.263,   5.511,   1.531, 49,  0,   0.557,   0.597,   0.166,   0.084,   0.069,   0.019,  65.000,    0,   0.293
15:53:06:484, 16771940630955,    1.645,   21.000, 3800,  26.978,   9.584,   2.662,  25.495,   8.279,   2.300, 57,  0,   0.852,   0.690,   0.192,   0.215,   0.093,   0.026,  65.000,    0,   2.760
15:53:06:593, 16772180533203,    1.754,   23.000, 3900,  33.168,  13.187,   3.663,  31.454,  11.696,   3.249, 51,  0,   1.129,   0.812,   0.226,   0.211,   0.115,   0.032,  65.000,    0,   5.679
15:53:06:702, 16772420454252,    1.862,   30.000, 3900,  47.152,  18.311,   5.086,  45.814,  16.674,   4.632, 65,  0,   1.388,   0.963,   0.268,   0.245,   0.142,   0.039,  65.000,    0,   1.991
15:53:06:813, 16772664447161,    1.973,   55.000, 3900,  27.816,  21.385,   5.940,  26.176,  19.567,   5.435, 57,  0,   0.901,   1.063,   0.295,   0.115,   0.155,   0.043,  65.000,    0,   1.240
15:53:06:922, 16772906820549,    2.083,   16.000, 3900,  28.120,  24.471,   6.798,  26.347,  22.459,   6.239, 59,  0,   0.847,   1.156,   0.321,   0.474,   0.207,   0.057,  65.000,    0,   7.819
