System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%),,
10:31:52:516,1.90419E+14,0.107,17,2100,9.869,1.055,0.293,8.664,0.926,0.257,48,0,0.404,0.043,0.012,0.055,0.006,0.002,35,0,0.55,,0.926
10:31:52:625,1.9042E+14,0.223,3,3100,6.374,1.796,0.499,5.416,1.556,0.432,47,0,0.394,0.089,0.025,0.051,0.012,0.003,35,0,0.39,,0.63
10:31:52:735,1.9042E+14,0.326,2,3800,4.323,2.242,0.623,3.274,1.894,0.526,47,0,0.442,0.135,0.037,0.074,0.019,0.005,35,0,0.446,,0.338
10:31:52:844,1.9042E+14,0.435,2,3100,5.351,2.826,0.785,4.552,2.39,0.664,48,0,0.466,0.185,0.051,0.018,0.021,0.006,35,0,0.046,,0.496
10:31:52:969,1.9042E+14,0.56,14,2200,10.299,4.108,1.141,9.186,3.534,0.982,49,0,0.446,0.241,0.067,0.03,0.025,0.007,35,0,0.647,,1.144
10:31:53:078,1.90421E+14,0.669,15,2100,11.439,5.36,1.489,10.208,4.651,1.292,51,0,0.431,0.288,0.08,0.013,0.027,0.007,35,500,0.081,,1.117
10:31:53:187,1.90421E+14,0.779,7,2300,13.366,6.822,1.895,12.208,5.986,1.663,52,0,0.416,0.334,0.093,0.024,0.029,0.008,35,0,1.448,,1.335
10:31:53:297,1.90421E+14,0.888,9,2300,13.371,8.286,2.302,12.141,7.316,2.032,51,0,0.551,0.394,0.109,0.084,0.038,0.011,35,0,0.684,,1.33
10:31:53:406,1.90421E+14,0.998,2,2100,5.218,8.858,2.46,4.293,7.786,2.163,46,0,0.427,0.441,0.122,0.057,0.045,0.012,35,0,0.484,,0.47
10:31:53:515,1.90422E+14,1.107,10,2200,4.662,9.365,2.602,3.94,8.215,2.282,50,0,0.434,0.488,0.136,0.044,0.049,0.014,35,0,0.445,,0.429
10:31:53:625,1.90422E+14,1.216,18,2300,11.66,10.64,2.956,10.363,9.348,2.597,51,0,0.449,0.537,0.149,0.058,0.056,0.015,35,0,1.152,,1.133
10:31:53:734,1.90422E+14,1.326,7,3100,7.178,11.427,3.174,6.121,10.019,2.783,54,0,0.487,0.591,0.164,0.06,0.062,0.017,35,0,0.338,,0.671
10:31:53:844,1.90422E+14,1.435,1,1800,2.177,11.665,3.24,1.372,10.169,2.825,46,0,0.393,0.634,0.176,0.076,0.071,0.02,35,0,0.342,,0.15
10:31:53:953,1.90423E+14,1.545,2,4000,3.311,12.028,3.341,2.414,10.434,2.898,46,0,0.442,0.682,0.189,0.046,0.076,0.021,35,0,0.179,,0.265
10:31:54:062,1.90423E+14,1.654,3,2500,4.583,12.527,3.48,3.55,10.821,3.006,50,0,0.404,0.726,0.202,0.072,0.083,0.023,35,0,0.21,,0.387
10:31:54:172,1.90423E+14,1.763,30,2200,12.837,13.931,3.87,11.549,12.083,3.356,50,0,0.817,0.815,0.226,0.039,0.088,0.024,35,0,0.289,,1.262
10:31:54:281,1.90423E+14,1.873,17,2700,9.428,14.964,4.157,8.085,12.97,3.603,46,0,0.665,0.888,0.247,0.048,0.093,0.026,35,0,0.272,,0.887
10:31:54:391,1.90424E+14,1.982,16,2700,12.669,16.351,4.542,11.413,14.218,3.95,51,0,0.744,0.97,0.269,0.058,0.099,0.028,35,0,1.325,,1.248
10:31:54:500,1.90424E+14,2.092,4,3600,7.252,17.146,4.763,6.174,14.896,4.138,46,0,0.544,1.029,0.286,0.126,0.113,0.031,35,0,1.568,,0.678
10:31:54:610,1.90424E+14,2.201,10,3100,6.605,17.869,4.964,5.548,15.502,4.306,47,0,0.478,1.082,0.3,0.112,0.125,0.035,35,0,0.902,,0.606
10:31:54:719,1.90424E+14,2.31,1,2100,4.255,18.334,5.093,3.259,15.859,4.405,45,0,0.453,1.131,0.314,0.101,0.136,0.038,35,0,1.144,,0.357
10:31:54:828,1.90425E+14,2.419,15,2200,9.428,19.36,5.378,8.32,16.764,4.657,50,0,0.419,1.177,0.327,0.035,0.14,0.039,35,550,0.191,,0.905
10:31:54:938,1.90425E+14,2.529,11,2200,7.948,20.233,5.62,6.828,17.514,4.865,46,0,0.385,1.219,0.339,0.046,0.145,0.04,35,0,0.333,,0.75
10:31:55:047,1.90425E+14,2.638,2,2700,4.055,20.676,5.743,3.152,17.859,4.961,47,0,0.421,1.265,0.351,0.05,0.151,0.042,35,0,0.143,,0.345
10:31:55:156,1.90425E+14,2.748,0,2000,2.026,20.897,5.805,1.328,18.004,5.001,45,0,0.351,1.303,0.362,0.021,0.153,0.043,35,0,0.464,,0.145
10:31:55:266,1.90425E+14,2.857,2,2600,3.159,21.244,5.901,2.418,18.269,5.075,45,0,0.386,1.346,0.374,0.036,0.157,0.044,35,0,0.074,,0.265
10:31:55:391,1.90426E+14,2.982,0,1600,2.048,21.5,5.972,1.336,18.436,5.121,45,0,0.357,1.39,0.386,0.026,0.16,0.045,35,0,0.28,,0.167
10:31:55:485,1.90426E+14,3.076,5,3100,5.523,22.02,6.117,4.657,18.874,5.243,46,0,0.496,1.437,0.399,0.047,0.165,0.046,35,0,0.126,,0.438
10:31:55:609,1.90426E+14,3.207,24,2400,10.722,23.425,6.507,9.589,20.131,5.592,49,0,0.402,1.49,0.414,0.03,0.169,0.047,35,0,0.483,,1.257
10:31:55:719,1.90426E+14,3.31,20,2200,13.011,24.762,6.878,11.67,21.33,5.925,51,0,0.778,1.57,0.436,0.032,0.172,0.048,35,0,0.507,,1.199
10:31:55:828,1.90427E+14,3.419,8,2200,12.789,26.16,7.267,11.625,22.601,6.278,52,0,0.43,1.617,0.449,0.033,0.175,0.049,35,0,0.438,,1.271
10:31:55:937,1.90427E+14,3.529,7,800,10.954,27.357,7.599,9.686,23.66,6.572,47,0,0.448,1.666,0.463,0.026,0.178,0.05,35,0,0.106,,1.059
10:31:56:047,1.90427E+14,3.638,0,1800,2.175,27.595,7.665,1.214,23.792,6.609,46,0,0.384,1.708,0.474,0.05,0.184,0.051,35,0,0.183,,0.132
10:31:56:156,1.90427E+14,3.748,2,2900,2.884,27.911,7.753,2.255,24.04,6.678,45,0,0.385,1.75,0.486,0.023,0.186,0.052,35,0,0.136,,0.248
10:31:56:266,1.90428E+14,3.857,0,1400,1.46,28.071,7.797,0.788,24.126,6.702,45,0,0.337,1.787,0.496,0.042,0.191,0.053,35,0,0.276,,0.086
10:31:56:375,1.90428E+14,3.966,2,2200,2.505,28.345,7.874,1.979,24.342,6.762,45,0,0.369,1.827,0.507,0.032,0.194,0.054,35,0,0.096,,0.216
10:31:56:484,1.90428E+14,4.076,0,1200,0.972,28.451,7.903,0.507,24.398,6.777,45,0,0.324,1.862,0.517,0.022,0.197,0.055,35,0,0.273,,0.056
10:31:56:609,1.90428E+14,4.204,10,2900,3.162,28.856,8.015,2.451,24.711,6.864,48,0,0.387,1.912,0.531,0.052,0.203,0.057,35,0,0.126,,0.313
10:31:56:703,1.90429E+14,4.294,7,2800,13.922,30.117,8.366,12.66,25.859,7.183,51,0,0.443,1.952,0.542,0.028,0.206,0.057,35,0,1.39,,1.148
10:31:56:812,1.90429E+14,4.404,8,2800,13.588,31.603,8.779,12.425,27.217,7.56,51,0,0.449,2.001,0.556,0.036,0.21,0.058,35,0,0.204,,1.358
10:31:56:922,1.90429E+14,4.513,4,2100,8.566,32.541,9.039,7.653,28.055,7.793,46,0,0.363,2.041,0.567,0.006,0.21,0.058,35,0,0,,0.838
10:31:57:031,1.90429E+14,4.623,6,2600,5.775,33.174,9.215,4.877,28.589,7.941,47,0,0.52,2.098,0.583,0.037,0.214,0.06,35,0,0.079,,0.534
10:31:57:140,1.9043E+14,4.732,0,1400,1.471,33.334,9.26,0.712,28.667,7.963,46,0,0.345,2.135,0.593,0.044,0.219,0.061,35,0,0.22,,0.078
10:31:57:250,1.9043E+14,4.841,3,2200,4.291,33.803,9.39,3.729,29.074,8.076,50,0,0.382,2.177,0.605,0.031,0.223,0.062,35,0,0.098,,0.407
10:31:57:359,1.9043E+14,4.951,1,1200,2.504,34.077,9.466,1.868,29.279,8.133,45,0,0.348,2.215,0.615,0.015,0.224,0.062,35,0,0.434,,0.205
10:31:57:469,1.9043E+14,5.061,2,4100,2.652,34.37,9.547,2.086,29.509,8.197,46,0,0.358,2.255,0.626,0.039,0.229,0.063,35,0,0.088,,0.23
10:31:57:578,1.90431E+14,5.169,0,1200,1.026,34.481,9.578,0.548,29.568,8.213,45,0,0.323,2.29,0.636,0.021,0.231,0.064,35,0,0.273,,0.059
10:31:57:687,1.90431E+14,5.279,5,2500,4.969,35.026,9.729,4.082,30.016,8.338,45,0,0.412,2.335,0.649,0.086,0.24,0.067,35,0,0.347,,0.448
10:31:57:796,1.90431E+14,5.388,0,1200,1.156,35.152,9.764,0.581,30.079,8.355,45,0,0.327,2.371,0.659,0.025,0.243,0.068,35,0,0.659,,0.063
10:31:57:906,1.90431E+14,5.497,3,2500,2.427,35.418,9.838,1.911,30.289,8.414,46,0,0.372,2.411,0.67,0.03,0.246,0.068,35,0,0.082,,0.21
10:31:58:015,1.90432E+14,5.606,0,1400,1.286,35.558,9.877,0.661,30.361,8.434,45,0,0.337,2.448,0.68,0.035,0.25,0.069,35,0,0.26,,0.072
10:31:58:125,1.90432E+14,5.716,3,4000,3.342,35.925,9.979,2.69,30.656,8.516,45,0,0.396,2.492,0.692,0.047,0.255,0.071,35,0,0.112,,0.295
10:31:58:234,1.90432E+14,5.825,0,1200,0.977,36.031,10.009,0.504,30.711,8.531,45,0,0.322,2.527,0.702,0.024,0.258,0.072,35,0,0.386,,0.055
10:31:58:343,1.90432E+14,5.935,10,3300,7.171,36.816,10.227,6.378,31.409,8.725,51,0,0.547,2.586,0.718,0.027,0.261,0.072,35,0,0.104,,0.698
10:31:58:452,1.90433E+14,6.044,6,2800,13.95,38.339,10.65,12.828,32.81,9.114,52,0,0.392,2.629,0.73,0.012,0.262,0.073,35,0,0.61,,1.401
10:31:58:562,1.90433E+14,6.153,9,2000,14.37,39.909,11.086,13.053,34.236,9.51,52,0,0.53,2.687,0.746,0.02,0.264,0.073,35,650,0.093,,1.426
10:31:58:671,1.90433E+14,6.263,2,2000,4.173,40.366,11.213,3.252,34.592,9.609,45,0,0.357,2.726,0.757,0.057,0.271,0.075,35,0,0.38,,0.356
10:31:58:781,1.90433E+14,6.372,2,4000,2.722,40.664,11.296,2.023,34.814,9.67,45,0,0.377,2.768,0.769,0.05,0.276,0.077,35,0,0.289,,0.222
10:31:58:890,1.90433E+14,6.481,0,1200,0.867,40.759,11.322,0.42,34.86,9.683,45,0,0.317,2.802,0.778,0.009,0.277,0.077,35,0,0,,0.046
10:31:59:000,1.90434E+14,6.591,2,2100,2.567,41.04,11.4,1.954,35.074,9.743,45,0,0.374,2.843,0.79,0.046,0.282,0.078,35,0,0.102,,0.214
10:31:59:109,1.90434E+14,6.7,0,2100,1.517,41.206,11.446,0.82,35.163,9.768,45,0,0.34,2.88,0.8,0.016,0.284,0.079,35,0,0.278,,0.089
10:31:59:218,1.90434E+14,6.81,2,2400,3.332,41.57,11.547,2.555,35.443,9.845,45,0,0.39,2.923,0.812,0.041,0.288,0.08,35,0,0.083,,0.28
10:31:59:327,1.90434E+14,6.919,3,2400,5.931,42.217,11.727,4.916,35.979,9.994,50,0,0.371,2.963,0.823,0.024,0.291,0.081,35,0,0.305,,0.536
10:31:59:437,1.90435E+14,7.028,8,2400,13.769,43.723,12.145,12.597,37.356,10.377,51,0,0.482,3.016,0.838,0.026,0.294,0.082,35,0,0.106,,1.377
10:31:59:546,1.90435E+14,7.137,6,2200,12.998,45.143,12.54,11.867,38.653,10.737,52,0,0.415,3.061,0.85,0.03,0.297,0.082,35,0,0.344,,1.297
