System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%),,
05:06:05:558,1.82774E+14,0.104,3,2800,5.431,0.564,0.157,4.5,0.467,0.13,43,0,0.465,0.048,0.013,0.104,0.011,0.003,35,0,0.48,,0.467
05:06:05:667,1.82774E+14,0.213,3,2900,4.164,1.018,0.283,3.231,0.82,0.228,44,0,0.434,0.096,0.027,0.045,0.016,0.004,35,0,0.379,,0.353
05:06:05:777,1.82774E+14,0.322,3,2300,6.084,1.684,0.468,4.99,1.366,0.379,44,0,0.499,0.15,0.042,0.077,0.024,0.007,35,0,0.72,,0.546
05:06:05:886,1.82774E+14,0.431,5,2300,7.171,2.466,0.685,6.213,2.044,0.568,52,0,0.551,0.21,0.058,0.046,0.029,0.008,35,0,0.119,,0.678
05:06:05:995,1.82774E+14,0.541,13,2300,15.631,4.181,1.161,14.369,3.62,1.005,47,0,0.808,0.299,0.083,0.059,0.036,0.01,35,0,0.529,,1.576
05:06:06:105,1.82775E+14,0.65,9,2300,12.77,5.576,1.549,11.449,4.87,1.353,49,0,0.553,0.359,0.1,0.052,0.041,0.011,35,0,0.601,,1.25
05:06:06:214,1.82775E+14,0.76,6,2200,9.853,6.651,1.847,8.754,5.825,1.618,57,0,0.538,0.418,0.116,0.073,0.049,0.014,35,0,0.359,,0.955
05:06:06:323,1.82775E+14,0.869,2,2700,4.18,7.108,1.975,3.093,6.164,1.712,44,0,0.475,0.47,0.131,0.088,0.059,0.016,35,0,0.304,,0.339
05:06:06:433,1.82775E+14,0.979,4,2800,7.484,7.93,2.203,6.48,6.876,1.91,45,0,0.5,0.525,0.146,0.089,0.069,0.019,35,0,0.439,,0.712
05:06:06:542,1.82776E+14,1.088,5,3100,7.447,8.746,2.429,6.516,7.589,2.108,45,0,0.502,0.58,0.161,0.08,0.077,0.021,35,0,0.444,,0.713
05:06:06:651,1.82776E+14,1.197,12,2400,11.651,10.012,2.781,10.497,8.73,2.425,55,0,0.667,0.652,0.181,0.116,0.09,0.025,35,0,2.136,,1.141
05:06:06:761,1.82776E+14,1.307,3,2400,6.842,10.763,2.99,5.775,9.364,2.601,46,0,0.515,0.709,0.197,0.12,0.103,0.029,35,0,0.89,,0.634
05:06:06:870,1.82776E+14,1.416,1,2500,3.037,11.095,3.082,2.056,9.588,2.663,43,0,0.422,0.755,0.21,0.092,0.113,0.031,35,0,0.624,,0.224
05:06:06:979,1.82777E+14,1.525,2,2900,4.98,11.639,3.233,3.917,10.017,2.782,46,0,0.436,0.803,0.223,0.076,0.121,0.034,35,0,0.18,,0.429
05:06:07:089,1.82777E+14,1.634,0,1600,1.475,11.8,3.278,0.759,10.099,2.805,43,0,0.365,0.842,0.234,0.064,0.128,0.036,35,0,0.242,,0.082
05:06:07:198,1.82777E+14,1.744,2,3400,2.614,12.086,3.357,1.942,10.312,2.864,46,0,0.377,0.884,0.245,0.03,0.132,0.037,35,0,0.069,,0.213
05:06:07:307,1.82777E+14,1.853,1,4000,1.481,12.248,3.402,0.886,10.409,2.891,42,0,0.361,0.923,0.256,0.04,0.136,0.038,35,0,0.427,,0.097
05:06:07:417,1.82778E+14,1.962,4,3400,3.751,12.658,3.516,3.173,10.755,2.988,50,0,0.461,0.974,0.27,0.027,0.139,0.039,35,0,0.088,,0.346
05:06:07:526,1.82778E+14,2.072,0,1600,1.737,12.847,3.569,1.117,10.877,3.021,43,0,0.349,1.012,0.281,0.04,0.143,0.04,35,0,0.614,,0.122
05:06:07:636,1.82778E+14,2.181,13,2400,10.732,14.019,3.894,9.646,11.93,3.314,46,0,0.552,1.072,0.298,0.033,0.147,0.041,35,0,0.336,,1.053
05:06:07:745,1.82778E+14,2.29,7,2200,13.311,15.475,4.299,12.041,13.247,3.68,48,0,0.419,1.118,0.31,0.038,0.151,0.042,35,0,0.435,,1.317
05:06:07:854,1.82779E+14,2.4,7,2200,12.844,16.883,4.69,11.741,14.534,4.037,47,0,0.394,1.161,0.322,0.003,0.151,0.042,35,0,0,,1.287
05:06:07:964,1.82779E+14,2.509,2,2400,3.493,17.265,4.796,2.713,14.831,4.12,45,0,0.407,1.205,0.335,0.083,0.16,0.045,35,0,0.198,,0.297
05:06:08:073,1.82779E+14,2.619,2,2400,1.556,17.435,4.843,0.975,14.938,4.149,44,0,0.371,1.246,0.346,0.008,0.161,0.045,35,0,0,,0.107
05:06:08:182,1.82779E+14,2.728,1,1800,2.335,17.69,4.914,1.591,15.112,4.198,43,0,0.366,1.286,0.357,0.055,0.167,0.046,35,0,0.108,,0.174
05:06:08:292,1.8278E+14,2.838,1,4000,1.396,17.844,4.957,0.975,15.219,4.227,43,0,0.333,1.323,0.367,0.009,0.168,0.047,35,0,0,,0.107
05:06:08:401,1.8278E+14,2.947,0,1800,2.345,18.099,5.027,1.554,15.388,4.274,43,0,0.365,1.362,0.378,0.054,0.174,0.048,35,0,0.125,,0.169
05:06:08:510,1.8278E+14,3.056,2,2300,1.694,18.284,5.079,1.168,15.516,4.31,44,0,0.356,1.401,0.389,0.031,0.178,0.049,35,0,0.042,,0.128
05:06:08:620,1.8278E+14,3.165,8,2600,9.584,19.33,5.369,8.428,16.435,4.565,47,0,0.467,1.452,0.403,0.07,0.185,0.051,35,0,0.849,,0.919
05:06:08:729,1.82781E+14,3.274,8,2500,13.673,20.825,5.785,12.519,17.804,4.946,48,0,0.467,1.503,0.418,0.037,0.189,0.053,35,0,0.279,,1.369
05:06:08:839,1.82781E+14,3.384,6,2500,11.153,22.049,6.125,10.1,18.913,5.254,45,0,0.475,1.555,0.432,0.043,0.194,0.054,35,0,0.201,,1.109
05:06:08:948,1.82781E+14,3.493,10,3600,10.647,23.21,6.447,9.563,19.956,5.543,56,0,0.66,1.627,0.452,0.048,0.199,0.055,35,0,0.189,,1.043
05:06:09:057,1.82781E+14,3.603,7,2100,11.802,24.507,6.807,10.635,21.124,5.868,46,0,0.524,1.685,0.468,0.066,0.206,0.057,35,0,0.227,,1.168
05:06:09:166,1.82781E+14,3.712,5,2700,6.268,25.19,6.997,5.273,21.699,6.027,56,0,0.553,1.745,0.485,0.094,0.217,0.06,35,0,0.256,,0.575
05:06:09:276,1.82782E+14,3.821,1,2100,3.696,25.593,7.109,2.769,22.001,6.111,44,0,0.412,1.79,0.497,0.086,0.226,0.063,35,0,0.382,,0.302
05:06:09:385,1.82782E+14,3.931,4,2700,4.196,26.053,7.237,3.413,22.375,6.215,45,0,0.441,1.839,0.511,0.097,0.237,0.066,35,0,0.371,,0.374
05:06:09:495,1.82782E+14,4.041,4,2100,9.814,27.13,7.536,8.772,23.337,6.483,44,0,0.485,1.892,0.525,0.072,0.245,0.068,35,1050,0.314,,0.962
05:06:09:604,1.82782E+14,4.15,5,2300,4.883,27.663,7.684,3.991,23.773,6.604,43,0,0.457,1.942,0.539,0.084,0.254,0.07,35,0,1.018,,0.436
05:06:09:714,1.82783E+14,4.259,0,1800,1.963,27.878,7.744,1.063,23.89,6.636,43,0,0.384,1.984,0.551,0.068,0.261,0.073,35,0,0.319,,0.117
05:06:09:823,1.82783E+14,4.368,3,2600,2.928,28.198,7.833,2.177,24.128,6.702,43,0,0.401,2.028,0.563,0.043,0.266,0.074,35,0,0.137,,0.238
05:06:09:932,1.82783E+14,4.478,1,2000,2.04,28.422,7.895,1.241,24.264,6.74,42,0,0.361,2.067,0.574,0.037,0.27,0.075,35,0,0.278,,0.136
05:06:10:042,1.82783E+14,4.588,4,3100,4.457,28.909,8.03,3.708,24.669,6.853,43,0,0.437,2.115,0.588,0.036,0.274,0.076,35,0,0.1,,0.405
05:06:10:151,1.82784E+14,4.697,0,2000,2.232,29.153,8.098,1.519,24.835,6.899,43,0,0.357,2.154,0.598,0.029,0.277,0.077,35,0,0.291,,0.166
05:06:10:260,1.82784E+14,4.806,6,2900,5.615,29.767,8.269,4.897,25.371,7.047,47,0,0.448,2.203,0.612,0.03,0.28,0.078,35,0,0.214,,0.536
05:06:10:370,1.82784E+14,4.915,8,2600,13.764,31.27,8.686,12.453,26.731,7.425,49,0,0.574,2.266,0.629,0.027,0.283,0.079,35,0,0.249,,1.36
05:06:10:479,1.82784E+14,5.024,12,2100,13.672,32.765,9.101,12.449,28.092,7.803,48,0,0.647,2.336,0.649,0.051,0.289,0.08,35,0,0.249,,1.361
05:06:10:588,1.82785E+14,5.134,4,2500,13.213,34.213,9.504,12.034,29.411,8.17,45,0,0.537,2.395,0.665,0.069,0.296,0.082,35,0,0.406,,1.319
05:06:10:698,1.82785E+14,5.243,7,2300,9.429,35.242,9.789,8.329,30.32,8.422,56,0,0.618,2.463,0.684,0.094,0.307,0.085,35,0,0.462,,0.909
05:06:10:807,1.82785E+14,5.353,1,3100,4.126,35.696,9.916,3.118,30.663,8.518,44,0,0.452,2.512,0.698,0.091,0.317,0.088,35,0,0.689,,0.343
05:06:10:917,1.82785E+14,5.462,5,2800,8.418,36.613,10.17,7.251,31.453,8.737,45,0,0.552,2.573,0.715,0.075,0.325,0.09,35,0,0.283,,0.79
05:06:11:026,1.82786E+14,5.571,3,2500,3.577,37.003,10.279,2.694,31.747,8.819,46,0,0.435,2.62,0.728,0.092,0.335,0.093,35,0,0.544,,0.294
05:06:11:135,1.82786E+14,5.681,7,2600,10.877,38.196,10.61,9.731,32.813,9.115,45,0,0.573,2.683,0.745,0.066,0.342,0.095,35,0,0.425,,1.066
05:06:11:244,1.82786E+14,5.79,3,2000,6.427,38.897,10.805,5.504,33.414,9.282,48,0,0.453,2.732,0.759,0.09,0.352,0.098,35,650,0.465,,0.601
05:06:11:354,1.82786E+14,5.899,9,2100,13.644,40.388,11.219,12.315,34.76,9.656,49,0,0.584,2.796,0.777,0.069,0.359,0.1,35,0,0.652,,1.346
05:06:11:463,1.82787E+14,6.009,11,2200,14.193,41.941,11.65,13,36.182,10.051,53,0,0.596,2.861,0.795,0.062,0.366,0.102,35,0,0.476,,1.422
05:06:11:572,1.82787E+14,6.12,8,3900,11.715,43.246,12.013,10.49,37.351,10.375,52,0,0.549,2.922,0.812,0.088,0.376,0.104,35,0,1.038,,1.169
05:06:11:682,1.82787E+14,6.227,5,2800,7.656,44.068,12.241,6.455,38.044,10.568,56,0,0.504,2.977,0.827,0.124,0.389,0.108,35,0,0.93,,0.693
05:06:11:791,1.82787E+14,6.337,7,2500,10.037,45.169,12.547,8.948,39.025,10.84,45,0,0.544,3.036,0.843,0.087,0.399,0.111,35,0,0.964,,0.981
05:06:11:901,1.82788E+14,6.446,1,2000,3.67,45.569,12.658,2.8,39.331,10.925,43,0,0.45,3.085,0.857,0.097,0.409,0.114,35,0,0.721,,0.306
05:06:12:010,1.82788E+14,6.555,6,3100,7.723,46.413,12.892,6.687,40.061,11.128,50,0,0.609,3.152,0.876,0.049,0.415,0.115,35,0,0.208,,0.73
