System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%),,
22:50:55:798,1.66334E+14,0.1,4,3100,9.281,0.926,0.257,7.951,0.793,0.22,51,0,0.568,0.057,0.016,0.045,0.004,0.001,35,0,0.226,,0.793
22:50:55:909,1.66334E+14,0.211,2,2100,5.489,1.536,0.427,4.339,1.276,0.354,48,0,0.455,0.107,0.03,0.063,0.011,0.003,35,0,0.345,,0.483
22:50:56:017,1.66335E+14,0.319,3,4000,5.614,2.144,0.596,4.462,1.759,0.489,48,0,0.472,0.158,0.044,0.037,0.015,0.004,35,0,0.107,,0.483
22:50:56:126,1.66335E+14,0.428,2,2600,4.832,2.668,0.741,3.815,2.172,0.603,48,0,0.458,0.208,0.058,0.055,0.021,0.006,35,0,0.362,,0.413
22:50:56:237,1.66335E+14,0.539,17,2500,13.969,4.223,1.173,12.635,3.579,0.994,51,0,0.815,0.299,0.083,0.035,0.025,0.007,35,0,0.509,,1.407
22:50:56:346,1.66335E+14,0.648,10,3000,13.464,5.691,1.581,12.31,4.921,1.367,50,0,0.531,0.357,0.099,0.087,0.035,0.01,35,0,1.048,,1.342
22:50:56:459,1.66336E+14,0.761,9,3500,12.594,7.113,1.976,11.216,6.188,1.719,49,0,0.574,0.422,0.117,0.078,0.044,0.012,35,0,0.684,,1.267
22:50:56:567,1.66336E+14,0.869,3,3000,7.378,7.907,2.196,6.172,6.851,1.903,58,0,0.461,0.471,0.131,0.063,0.05,0.014,35,0,0.283,,0.663
22:50:56:674,1.66336E+14,0.976,5,3600,9.274,8.901,2.473,8.027,7.712,2.142,63,0,0.523,0.527,0.146,0.077,0.059,0.016,35,0,0.64,,0.861
22:50:56:782,1.66336E+14,1.084,1,3100,4.379,9.377,2.605,3.291,8.07,2.242,47,0,0.452,0.576,0.16,0.105,0.07,0.019,35,0,0.506,,0.358
22:50:56:892,1.66337E+14,1.194,2,3100,5.412,9.972,2.77,4.281,8.54,2.372,47,0,0.462,0.627,0.174,0.095,0.08,0.022,35,0,0.434,,0.47
22:50:57:002,1.66337E+14,1.304,12,2600,11.026,11.182,3.106,9.887,9.625,2.674,56,0,0.584,0.691,0.192,0.083,0.09,0.025,35,0,1.346,,1.085
22:50:57:113,1.66337E+14,1.415,8,2400,10.879,12.387,3.441,9.481,10.675,2.965,47,0,0.757,0.775,0.215,0.102,0.101,0.028,35,0,1.239,,1.05
22:50:57:220,1.66337E+14,1.521,8,2300,10.156,13.47,3.742,8.928,11.627,3.23,53,0,0.569,0.836,0.232,0.082,0.11,0.03,35,0,0.51,,0.952
22:50:57:334,1.66338E+14,1.636,13,2800,14.748,15.164,4.212,13.374,13.163,3.656,51,0,0.821,0.93,0.258,0.07,0.118,0.033,35,0,0.976,,1.536
22:50:57:439,1.66338E+14,1.741,12,2500,13.996,16.63,4.619,12.858,14.51,4.03,57,0,0.61,0.994,0.276,0.051,0.123,0.034,35,0,0.671,,1.347
22:50:57:548,1.66338E+14,1.85,8,2300,13.556,18.103,5.029,12.171,15.833,4.398,57,0,0.618,1.061,0.295,0.091,0.133,0.037,35,0,0.658,,1.323
22:50:57:658,1.66338E+14,1.959,3,2600,6.702,18.838,5.233,5.596,16.446,4.568,52,0,0.497,1.116,0.31,0.102,0.144,0.04,35,0,0.582,,0.613
22:50:57:771,1.66339E+14,2.072,2,3900,6.04,19.521,5.422,4.782,16.987,4.719,47,0,0.495,1.172,0.325,0.126,0.158,0.044,35,0,1.403,,0.541
22:50:57:876,1.66339E+14,2.178,2,3000,5.304,20.08,5.578,4.32,17.442,4.845,49,0,0.427,1.217,0.338,0.05,0.164,0.045,35,700,0.108,,0.455
22:50:57:987,1.66339E+14,2.289,1,2100,3.938,20.518,5.7,2.909,17.766,4.935,47,0,0.401,1.261,0.35,0.04,0.168,0.047,35,0,0.768,,0.324
22:50:58:096,1.66339E+14,2.398,3,3900,4.16,20.97,5.825,3.137,18.107,5.03,48,0,0.426,1.307,0.363,0.057,0.174,0.048,35,0,0.177,,0.341
22:50:58:204,1.66339E+14,2.506,2,2800,5.273,21.541,5.984,4.378,18.581,5.161,50,0,0.39,1.35,0.375,0.021,0.176,0.049,35,0,0.306,,0.474
22:50:58:320,1.6634E+14,2.622,13,3500,13.471,23.1,6.417,12.362,20.011,5.559,53,0,0.494,1.407,0.391,0.042,0.181,0.05,35,0,0.273,,1.43
22:50:58:424,1.6634E+14,2.726,7,2800,13.482,24.503,6.806,12.265,21.288,5.913,54,0,0.41,1.45,0.403,0.022,0.184,0.051,35,0,1.594,,1.277
22:50:58:535,1.6634E+14,2.838,7,2900,10.242,25.646,7.124,8.941,22.286,6.19,48,0,0.604,1.517,0.421,0.113,0.196,0.054,35,0,0.448,,0.998
22:50:58:645,1.6634E+14,2.947,0,1800,3.436,26.022,7.228,2.628,22.573,6.27,47,0,0.378,1.558,0.433,0.037,0.2,0.056,35,0,0.531,,0.287
22:50:58:752,1.66341E+14,3.054,3,3700,7.048,26.78,7.439,5.952,23.213,6.448,47,0,0.469,1.609,0.447,0.056,0.206,0.057,35,0,0.158,,0.64
22:50:58:860,1.66341E+14,3.162,3,2100,3.626,27.171,7.547,2.708,23.505,6.529,47,0,0.418,1.654,0.459,0.019,0.208,0.058,35,0,0.297,,0.292
22:50:58:970,1.66341E+14,3.271,2,2100,5.947,27.819,7.728,4.982,24.048,6.68,47,0,0.474,1.705,0.474,0.06,0.215,0.06,35,0,0.112,,0.543
22:50:59:084,1.66341E+14,3.386,9,2500,12.508,29.259,8.128,11.342,25.354,7.043,63,0,0.545,1.768,0.491,0.042,0.22,0.061,35,0,0.213,,1.306
22:50:59:189,1.66342E+14,3.491,8,2300,12.405,30.562,8.489,11.084,26.518,7.366,53,0,0.693,1.841,0.511,0.073,0.227,0.063,35,0,0.675,,1.164
22:50:59:323,1.66342E+14,3.625,15,3100,13.725,32.4,9,12.447,28.185,7.829,51,0,0.64,1.927,0.535,0.049,0.234,0.065,35,0,0.445,,1.667
22:50:59:408,1.66342E+14,3.709,13,2600,13.289,33.518,9.311,11.953,29.191,8.109,51,0,0.588,1.976,0.549,0.072,0.24,0.067,35,0,1.246,,1.006
22:50:59:517,1.66342E+14,3.819,5,3700,9.56,34.561,9.6,8.268,30.092,8.359,49,0,0.522,2.033,0.565,0.067,0.247,0.069,35,0,0.306,,0.901
22:50:59:628,1.66343E+14,3.93,3,2000,3.773,34.982,9.717,2.674,30.391,8.442,48,0,0.411,2.079,0.577,0.101,0.259,0.072,35,0,0.361,,0.299
22:50:59:735,1.66343E+14,4.037,11,3500,11.253,36.184,10.051,9.996,31.459,8.739,54,0,0.663,2.15,0.597,0.081,0.267,0.074,35,0,0.361,,1.068
22:50:59:846,1.66343E+14,4.147,7,3600,11.741,37.481,10.411,10.324,32.599,9.055,54,0,0.586,2.214,0.615,0.097,0.278,0.077,35,0,0.454,,1.14
22:50:59:955,1.66343E+14,4.257,2,3600,5.839,38.118,10.588,4.667,33.108,9.197,49,0,0.465,2.265,0.629,0.1,0.289,0.08,35,0,0.817,,0.509
22:51:00:064,1.66344E+14,4.366,3,2900,5.919,38.765,10.768,4.686,33.62,9.339,48,0,0.503,2.32,0.644,0.088,0.298,0.083,35,0,0.388,,0.512
22:51:00:173,1.66344E+14,4.475,3,2900,5.655,39.38,10.939,4.654,34.126,9.48,49,0,0.468,2.371,0.659,0.074,0.307,0.085,35,0,0.246,,0.506
22:51:00:283,1.66344E+14,4.585,5,2100,10.625,40.553,11.265,9.518,35.178,9.772,48,0,0.39,2.414,0.671,0.006,0.307,0.085,35,0,0,,1.052
22:51:00:391,1.66344E+14,4.693,4,2100,4.348,41.024,11.395,3.35,35.54,9.872,47,0,0.466,2.464,0.685,0.082,0.316,0.088,35,0,0.533,,0.362
22:51:00:502,1.66345E+14,4.804,2,2400,7.34,41.839,11.622,6.186,36.227,10.063,48,0,0.42,2.511,0.698,0.01,0.317,0.088,35,0,0,,0.687
22:51:00:612,1.66345E+14,4.914,4,3900,8.737,42.795,11.888,7.454,37.043,10.29,49,0,0.534,2.57,0.714,0.067,0.324,0.09,35,0,0.344,,0.816
22:51:00:724,1.66345E+14,5.026,3,2700,7.9,43.681,12.134,6.663,37.79,10.497,49,0,0.467,2.622,0.728,0.036,0.329,0.091,35,0,0.171,,0.747
22:51:00:832,1.66345E+14,5.134,7,3100,11.214,44.896,12.471,9.884,38.861,10.795,57,0,0.617,2.689,0.747,0.07,0.336,0.093,35,0,0.612,,1.071
22:51:00:940,1.66346E+14,5.242,5,2600,9.854,45.958,12.766,8.69,39.797,11.055,48,0,0.508,2.743,0.762,0.076,0.344,0.096,35,0,0.14,,0.936
22:51:01:047,1.66346E+14,5.349,1,4000,5.116,46.508,12.919,3.92,40.219,11.172,50,0,0.461,2.793,0.776,0.098,0.355,0.099,35,0,0.282,,0.422
22:51:01:159,1.66346E+14,5.461,5,3600,7.618,47.359,13.155,6.347,40.928,11.369,50,0,0.563,2.856,0.793,0.084,0.364,0.101,35,0,0.213,,0.709
22:51:01:271,1.66346E+14,5.573,1,2100,4.02,47.809,13.28,3.019,41.266,11.463,46,0,0.457,2.907,0.808,0.054,0.37,0.103,35,0,0.273,,0.338
22:51:01:376,1.66346E+14,5.678,5,3400,5.84,48.422,13.451,4.752,41.765,11.601,47,0,0.471,2.957,0.821,0.113,0.382,0.106,35,700,1.359,,0.499
22:51:01:485,1.66347E+14,5.787,5,3600,7.922,49.285,13.69,6.736,42.499,11.805,48,0,0.483,3.009,0.836,0.109,0.394,0.109,35,0,0.392,,0.734
22:51:01:597,1.66347E+14,5.899,7,3100,11.906,50.618,14.061,10.544,43.679,12.133,48,0,0.597,3.076,0.854,0.096,0.405,0.112,35,0,0.596,,1.18
22:51:01:705,1.66347E+14,6.007,3,2900,7.338,51.413,14.281,6.232,44.354,12.321,52,0,0.465,3.126,0.868,0.1,0.415,0.115,35,0,0.526,,0.675
22:51:01:816,1.66347E+14,6.118,9,2800,13.251,52.878,14.688,11.926,45.672,12.687,52,0,0.579,3.19,0.886,0.066,0.423,0.117,35,0,0.683,,1.318
22:51:01:924,1.66348E+14,6.226,7,2800,13.369,54.331,15.092,12.145,46.992,13.053,53,0,0.412,3.235,0.899,0.017,0.425,0.118,35,0,0.702,,1.32
22:51:02:032,1.66348E+14,6.335,5,3700,8.752,55.278,15.355,7.632,47.818,13.283,60,0,0.483,3.287,0.913,0.052,0.43,0.119,35,0,0.168,,0.826
22:51:02:142,1.66348E+14,6.445,4,2600,8.229,56.184,15.607,7.053,48.595,13.499,49,0,0.486,3.341,0.928,0.054,0.436,0.121,35,0,0.183,,0.777
22:51:02:254,1.66348E+14,6.555,2,2100,4.483,56.68,15.744,3.423,48.974,13.604,47,0,0.428,3.388,0.941,0.077,0.445,0.124,35,0,0.376,,0.379
22:51:02:361,1.66349E+14,6.663,9,3100,5.382,57.257,15.905,4.404,49.446,13.735,53,0,0.454,3.437,0.955,0.099,0.455,0.126,35,0,0.559,,0.472
22:51:02:469,1.66349E+14,6.771,4,3900,9.911,58.333,16.204,8.657,50.386,13.996,47,0,0.539,3.495,0.971,0.076,0.464,0.129,35,0,0.89,,0.94
22:51:02:583,1.66349E+14,6.886,2,3600,5.794,58.995,16.388,4.635,50.915,14.143,57,0,0.491,3.552,0.987,0.093,0.474,0.132,35,0,0.204,,0.529
22:51:02:689,1.66349E+14,6.991,4,3800,6.727,59.705,16.585,5.449,51.491,14.303,48,0,0.549,3.609,1.003,0.085,0.483,0.134,35,0,0.603,,0.576
22:51:02:801,1.6635E+14,7.103,7,2400,5.774,60.35,16.764,4.716,52.017,14.449,51,0,0.427,3.657,1.016,0.057,0.489,0.136,35,0,0.203,,0.526
22:51:02:911,1.6635E+14,7.212,16,3000,9.941,61.441,17.067,8.731,52.975,14.715,50,0,0.375,3.698,1.027,0.029,0.493,0.137,35,0,0.613,,0.958
22:51:03:020,1.6635E+14,7.322,6,3600,4.975,61.984,17.218,4.149,53.429,14.841,50,0,0.376,3.739,1.039,0.015,0.494,0.137,35,0,0.014,,0.454
22:51:03:127,1.6635E+14,7.43,17,2300,11.054,63.177,17.549,9.859,54.492,15.137,55,0,0.397,3.782,1.051,0.029,0.497,0.138,35,0,0.7,,1.063
22:51:03:236,1.66351E+14,7.538,8,3800,8.011,64.045,17.79,6.81,55.23,15.342,48,0,0.434,3.829,1.064,0.044,0.502,0.139,35,0,0.168,,0.738
