System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%),,
00:49:07:721,1.74177E+14,0.121,10,2100,10.457,1.267,0.352,7.734,0.937,0.26,48,0,0.555,0.067,0.019,1.549,0.188,0.052,35,600,0.605,,0.937
00:49:07:829,1.74177E+14,0.229,10,2400,10.203,2.366,0.657,7.32,1.725,0.479,46,0,0.502,0.121,0.034,1.662,0.367,0.102,35,550,0.268,,0.788
00:49:07:939,1.74177E+14,0.339,12,2000,10.841,3.555,0.987,8.008,2.603,0.723,47,0,0.739,0.202,0.056,1.502,0.531,0.148,35,700,0.668,,0.878
00:49:08:048,1.74178E+14,0.447,11,2200,10.371,4.684,1.301,7.549,3.426,0.952,46,0,0.571,0.265,0.073,1.618,0.708,0.197,35,600,0.159,,0.823
00:49:08:157,1.74178E+14,0.556,10,2100,10.238,5.798,1.611,7.527,4.245,1.179,47,0,0.549,0.324,0.09,1.595,0.881,0.245,35,550,0.391,,0.819
00:49:08:282,1.74178E+14,0.682,17,2600,10.706,7.141,1.984,7.931,5.24,1.455,47,0,0.523,0.39,0.108,1.539,1.074,0.298,35,650,0.264,,0.995
00:49:08:382,1.74178E+14,0.782,8,2400,10.15,8.159,2.266,7.244,5.966,1.657,47,0,0.51,0.441,0.123,1.731,1.248,0.347,35,600,0.762,,0.726
00:49:08:488,1.74179E+14,0.888,10,2100,10.171,9.238,2.566,7.432,6.755,1.876,46,0,0.496,0.494,0.137,1.581,1.416,0.393,35,600,0.219,,0.789
00:49:08:594,1.74179E+14,0.994,8,2400,10.212,10.318,2.866,7.281,7.524,2.09,47,0,0.468,0.543,0.151,1.739,1.599,0.444,35,550,0.165,,0.769
00:49:08:705,1.74179E+14,1.105,10,2400,10.201,11.449,3.18,7.428,8.348,2.319,47,0,0.509,0.6,0.167,1.569,1.773,0.493,35,700,0.445,,0.824
00:49:08:814,1.74179E+14,1.213,8,2500,10.135,12.549,3.486,7.304,9.141,2.539,47,0,0.442,0.648,0.18,1.716,1.96,0.544,35,600,0.26,,0.793
00:49:08:923,1.7418E+14,1.323,14,2100,10.435,13.692,3.803,7.717,9.986,2.774,46,0,0.549,0.708,0.197,1.512,2.125,0.59,35,450,0.368,,0.845
00:49:09:033,1.7418E+14,1.433,9,2100,10.447,14.841,4.122,7.54,10.815,3.004,48,0,0.548,0.768,0.213,1.683,2.31,0.642,35,600,1.257,,0.829
00:49:09:145,1.7418E+14,1.544,17,2300,11.841,16.163,4.49,9.096,11.831,3.286,47,0,0.759,0.853,0.237,1.457,2.473,0.687,35,550,1.037,,1.016
00:49:09:250,1.7418E+14,1.65,15,2100,11.161,17.345,4.818,8.673,12.75,3.542,45,0,0.622,0.919,0.255,1.352,2.616,0.727,35,450,0,,0.919
00:49:09:363,1.74181E+14,1.763,21,2300,12.44,18.745,5.207,9.65,13.836,3.843,46,0,1.109,1.044,0.29,1.396,2.773,0.77,35,550,6.053,,1.086
00:49:09:474,1.74181E+14,1.874,19,2100,12.071,20.082,5.578,9.27,14.862,4.128,49,0,0.895,1.143,0.317,1.453,2.934,0.815,35,500,4.907,,1.026
00:49:09:584,1.74181E+14,1.983,21,2100,12.338,21.435,5.954,9.682,15.924,4.423,47,0,0.96,1.248,0.347,1.399,3.088,0.858,35,650,3.708,,1.062
00:49:09:688,1.74181E+14,2.089,18,2000,11.583,22.655,6.293,8.911,16.862,4.684,46,0,0.833,1.336,0.371,1.313,3.226,0.896,35,500,1.094,,0.938
00:49:09:799,1.74182E+14,2.199,14,2300,10.483,23.808,6.613,7.819,17.723,4.923,47,0,0.713,1.414,0.393,1.415,3.382,0.939,35,650,1.731,,0.861
00:49:09:908,1.74182E+14,2.307,16,2000,10.911,24.996,6.943,8.23,18.619,5.172,47,0,0.748,1.496,0.415,1.412,3.535,0.982,35,550,0.523,,0.896
00:49:10:016,1.74182E+14,2.417,14,2200,10.816,26.177,7.271,8.197,19.514,5.42,49,0,0.728,1.575,0.438,1.394,3.688,1.024,35,650,0.752,,0.895
00:49:10:125,1.74182E+14,2.525,10,2600,9.986,27.26,7.572,7.331,20.309,5.641,46,0,0.595,1.64,0.455,1.497,3.85,1.069,35,550,0.528,,0.795
00:49:10:238,1.74183E+14,2.638,9,2400,9.911,28.377,7.883,7.146,21.114,5.865,47,0,0.55,1.702,0.473,1.547,4.024,1.118,35,650,0.597,,0.805
00:49:10:347,1.74183E+14,2.747,12,2300,10.012,29.469,8.186,7.346,21.916,6.088,47,0,0.599,1.767,0.491,1.464,4.184,1.162,35,600,0.668,,0.802
00:49:10:455,1.74183E+14,2.855,12,2000,9.708,30.517,8.477,7.041,22.675,6.299,46,0,0.672,1.839,0.511,1.399,4.335,1.204,35,500,0.481,,0.759
00:49:10:564,1.74183E+14,2.964,12,2100,9.752,31.578,8.772,7.145,23.453,6.515,46,0,0.672,1.913,0.531,1.362,4.483,1.245,35,550,0.256,,0.778
00:49:10:675,1.74184E+14,3.074,9,2100,9.195,32.597,9.055,6.552,24.179,6.716,46,0,0.579,1.977,0.549,1.418,4.64,1.289,35,600,0.259,,0.726
00:49:10:782,1.74184E+14,3.181,15,2300,10.223,33.687,9.358,7.705,25.001,6.945,46,0,0.706,2.052,0.57,1.344,4.784,1.329,35,550,0.13,,0.822
00:49:10:896,1.74184E+14,3.296,9,2200,10.308,34.867,9.685,7.376,25.845,7.179,48,0,0.448,2.103,0.584,1.721,4.981,1.383,35,500,0.162,,0.844
00:49:11:005,1.74184E+14,3.404,13,2300,10.788,36.039,10.011,8.172,26.732,7.426,48,0,0.687,2.178,0.605,1.44,5.137,1.427,35,550,0.33,,0.887
00:49:11:111,1.74184E+14,3.511,12,2200,10.81,37.19,10.331,8.009,27.586,7.663,46,0,0.577,2.239,0.622,1.551,5.302,1.473,35,550,0.276,,0.854
00:49:11:220,1.74185E+14,3.619,17,2100,11.495,38.439,10.678,8.892,28.552,7.931,47,0,0.735,2.319,0.644,1.393,5.454,1.515,35,550,0.449,,0.966
00:49:11:329,1.74185E+14,3.729,10,2100,9.88,39.523,10.979,7.08,29.328,8.147,48,0,0.515,2.376,0.66,1.603,5.629,1.564,35,550,0.976,,0.776
00:49:11:441,1.74185E+14,3.841,9,2100,10.435,40.689,11.302,7.574,30.175,8.382,47,0,0.546,2.437,0.677,1.673,5.816,1.616,35,600,0.759,,0.847
00:49:11:550,1.74185E+14,3.949,9,2100,10.182,41.796,11.61,7.322,30.971,8.603,48,0,0.445,2.485,0.69,1.667,5.997,1.666,35,500,0.144,,0.796
00:49:11:662,1.74186E+14,4.061,8,2400,10.285,42.944,11.929,7.483,31.806,8.835,47,0,0.464,2.537,0.705,1.705,6.188,1.719,35,600,0.268,,0.835
00:49:11:772,1.74186E+14,4.172,9,2500,10.336,44.09,12.247,7.559,32.644,9.068,47,0,0.447,2.586,0.718,1.616,6.367,1.769,35,650,0,,0.838
00:49:11:881,1.74186E+14,4.281,8,2100,10.235,45.201,12.556,7.262,33.432,9.287,47,0,0.453,2.635,0.732,1.753,6.557,1.821,35,600,0.141,,0.788
00:49:11:985,1.74186E+14,4.385,11,2100,10.365,46.28,12.855,7.65,34.229,9.508,47,0,0.578,2.696,0.749,1.531,6.717,1.866,35,600,0.194,,0.797
00:49:12:095,1.74187E+14,4.495,8,2400,10.353,47.422,13.173,7.483,35.055,9.737,47,0,0.466,2.747,0.763,1.761,6.911,1.92,35,650,0.273,,0.826
00:49:12:204,1.74187E+14,4.604,12,2500,10.806,48.598,13.499,8.04,35.929,9.98,48,0,0.59,2.811,0.781,1.535,7.078,1.966,35,600,0.296,,0.874
