System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%),,
00:06:54:798,2.37035E+14,0.106,0,1800,2.65,0.282,0.078,1.73,0.184,0.051,45,0,0.377,0.04,0.011,0.038,0.004,0.001,35,0,0.304,,0.184
00:06:54:910,2.37035E+14,0.218,3,4000,3.14,0.632,0.176,2.332,0.444,0.123,45,0,0.419,0.087,0.024,0.052,0.01,0.003,35,0,0.169,,0.26
00:06:55:020,2.37035E+14,0.328,1,2000,2.617,0.921,0.256,1.771,0.64,0.178,45,0,0.394,0.13,0.036,0.049,0.015,0.004,35,0,0.214,,0.196
00:06:55:130,2.37035E+14,0.438,8,3600,8.045,1.806,0.502,6.806,1.388,0.386,46,0,0.639,0.201,0.056,0.102,0.026,0.007,35,0,0.758,,0.748
00:06:55:239,2.37036E+14,0.547,0,3900,3.02,2.135,0.593,2.139,1.622,0.45,45,0,0.394,0.244,0.068,0.036,0.03,0.008,35,0,0.411,,0.234
00:06:55:344,2.37036E+14,0.652,2,2100,4.497,2.607,0.724,3.673,2.007,0.558,45,0,0.422,0.288,0.08,0.051,0.036,0.01,35,0,0.166,,0.385
00:06:55:456,2.37036E+14,0.764,1,2900,1.493,2.774,0.77,1.047,2.124,0.59,49,0,0.342,0.326,0.091,0.008,0.037,0.01,35,0,0,,0.117
00:06:55:567,2.37036E+14,0.875,9,2600,13.682,4.298,1.194,12.387,3.503,0.973,51,0,0.517,0.384,0.107,0.037,0.041,0.011,35,0,0.102,,1.379
00:06:55:673,2.37036E+14,0.982,7,2500,13.259,5.711,1.587,12.158,4.8,1.333,49,0,0.424,0.429,0.119,0.007,0.041,0.012,35,0,0,,1.297
00:06:55:783,2.37037E+14,1.091,5,2100,8.684,6.661,1.85,7.518,5.622,1.562,47,0,0.49,0.483,0.134,0.037,0.046,0.013,35,0,0.207,,0.822
00:06:55:897,2.37037E+14,1.205,1,4100,1.734,6.858,1.905,1.106,5.748,1.597,46,0,0.374,0.525,0.146,0.025,0.048,0.013,35,0,0.08,,0.126
