System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%),,
23:24:16:485,2.31386E+14,0.109,3,2000,4.778,0.52,0.144,3.757,0.409,0.113,44,0,0.428,0.047,0.013,0.065,0.007,0.002,35,0,0.293,,0.409
23:24:16:600,2.31386E+14,0.224,3,2300,5.728,1.179,0.327,4.758,0.956,0.266,45,0,0.459,0.099,0.028,0.045,0.012,0.003,35,0,0.181,,0.547
23:24:16:706,2.31386E+14,0.33,3,2100,6.616,1.881,0.523,5.447,1.535,0.426,45,0,0.518,0.154,0.043,0.102,0.023,0.006,35,0,0.794,,0.579
23:24:16:813,2.31387E+14,0.437,5,2800,6.955,2.628,0.73,5.925,2.17,0.603,45,0,0.577,0.216,0.06,0.076,0.031,0.009,35,0,0.46,,0.635
23:24:16:925,2.31387E+14,0.549,2,2500,4.646,3.146,0.874,3.656,2.579,0.716,45,0,0.45,0.267,0.074,0.095,0.042,0.012,35,800,0.541,,0.409
23:24:17:037,2.31387E+14,0.661,2,3000,4.911,3.696,1.027,3.912,3.016,0.838,45,0,0.46,0.318,0.088,0.071,0.05,0.014,35,0,0.41,,0.437
23:24:17:145,2.31387E+14,0.768,1,2100,4.019,4.128,1.147,3.002,3.339,0.927,45,0,0.408,0.362,0.101,0.106,0.061,0.017,35,0,0.712,,0.323
23:24:17:251,2.31387E+14,0.875,3,3400,4.934,4.655,1.293,4.028,3.769,1.047,47,0,0.446,0.41,0.114,0.055,0.067,0.019,35,0,0.274,,0.43
23:24:17:360,2.31388E+14,0.984,13,2900,13.461,6.115,1.699,12.037,5.075,1.41,48,0,0.691,0.484,0.135,0.123,0.08,0.022,35,0,2.242,,1.306
23:24:17:470,2.31388E+14,1.094,11,2900,12.872,7.538,2.094,11.648,6.362,1.767,47,0,0.585,0.549,0.153,0.054,0.086,0.024,35,0,0.707,,1.287
23:24:17:579,2.31388E+14,1.203,15,2100,11.687,8.814,2.448,10.522,7.511,2.086,48,0,0.603,0.615,0.171,0.017,0.088,0.024,35,0,1.504,,1.149
23:24:17:691,2.31388E+14,1.315,523,2200,14.362,10.417,2.894,12.835,8.944,2.484,49,0,1.118,0.74,0.205,0.113,0.101,0.028,35,450,2.285,,1.433
23:24:17:798,2.31389E+14,1.422,10,2500,9.818,11.47,3.186,8.203,9.824,2.729,46,0,0.718,0.817,0.227,0.458,0.15,0.042,35,0,9.305,,0.88
23:24:17:907,2.31389E+14,1.531,3,4000,6.329,12.156,3.377,5.004,10.366,2.879,45,0,0.555,0.877,0.244,0.335,0.186,0.052,35,0,5.355,,0.542
23:24:18:022,2.31389E+14,1.645,1,2000,3.108,12.512,3.476,2.208,10.619,2.95,45,0,0.387,0.921,0.256,0.055,0.193,0.054,35,0,0.769,,0.253
23:24:18:132,2.31389E+14,1.755,3,2100,5.413,13.108,3.641,4.471,11.111,3.086,45,0,0.442,0.97,0.269,0.089,0.202,0.056,35,0,0.753,,0.492
23:24:18:241,2.3139E+14,1.865,2,3100,2.998,13.437,3.732,2.039,11.335,3.149,45,0,0.392,1.013,0.281,0.006,0.203,0.056,35,0,0,,0.224
23:24:18:348,2.3139E+14,1.972,11,2500,12.199,14.74,4.094,10.911,12.5,3.472,48,0,0.678,1.085,0.301,0.058,0.209,0.058,35,0,0.444,,1.165
23:24:18:460,2.3139E+14,2.084,10,2300,11.948,16.08,4.467,10.739,13.705,3.807,47,0,0.598,1.152,0.32,0.01,0.21,0.058,35,0,0,,1.205
23:24:18:566,2.3139E+14,2.19,19,3600,10.971,17.242,4.789,9.389,14.7,4.083,46,0,0.88,1.245,0.346,0.221,0.234,0.065,35,0,4.426,,0.995
23:24:18:675,2.31391E+14,2.299,1,2000,3.048,17.576,4.882,2.152,14.935,4.149,45,0,0.407,1.29,0.358,0.078,0.242,0.067,35,0,1.994,,0.235
23:24:18:784,2.31391E+14,2.407,3,2100,5.05,18.121,5.034,4.028,15.37,4.27,44,0,0.439,1.337,0.372,0.07,0.25,0.069,35,0,0.297,,0.435
23:24:18:891,2.31391E+14,2.515,1,4000,2.922,18.437,5.121,2.278,15.616,4.338,47,0,0.375,1.378,0.383,0.008,0.251,0.07,35,0,0,,0.246
23:24:19:004,2.31391E+14,2.628,2,2100,4.408,18.932,5.259,3.438,16.002,4.445,44,0,0.414,1.424,0.396,0.049,0.256,0.071,35,0,0.175,,0.386
23:24:19:112,2.31392E+14,2.736,9,3100,4.414,19.41,5.392,3.672,16.4,4.556,48,0,0.463,1.474,0.41,0.073,0.264,0.073,35,0,0.5,,0.398
23:24:19:224,2.31392E+14,2.848,2,2400,5.893,20.07,5.575,4.765,16.934,4.704,45,0,0.527,1.534,0.426,0.08,0.273,0.076,35,0,0.437,,0.534
23:24:19:329,2.31392E+14,2.953,2,2400,2.984,20.382,5.662,2.074,17.151,4.764,45,0,0.412,1.577,0.438,0.036,0.277,0.077,35,0,0.209,,0.217
23:24:19:441,2.31392E+14,3.064,2,2100,4.285,20.861,5.795,3.225,17.511,4.864,44,0,0.44,1.626,0.452,0.076,0.285,0.079,35,0,0.463,,0.36
23:24:19:550,2.31393E+14,3.173,2,4000,3.962,21.293,5.915,3.007,17.839,4.955,45,0,0.417,1.671,0.464,0.062,0.292,0.081,35,0,0.197,,0.328
23:24:19:660,2.31393E+14,3.285,15,2600,10.562,22.471,6.242,9.077,18.851,5.236,46,0,0.69,1.748,0.486,0.245,0.319,0.089,35,0,7.332,,1.012
23:24:19:767,2.31393E+14,3.391,14,3000,12.211,23.764,6.601,10.679,19.983,5.551,49,0,0.729,1.826,0.507,0.249,0.346,0.096,35,0,6.596,,1.132
23:24:19:876,2.31393E+14,3.5,2,2100,5.179,24.33,6.758,4.087,20.429,5.675,45,0,0.489,1.879,0.522,0.084,0.355,0.099,35,0,0.789,,0.446
