System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:44:16:427, 216233044831319,    0.132,    6.000, 2400,   9.896,   1.310,   0.364,   6.387,   0.845,   0.235, 50,  0,   0.523,   0.069,   0.019,   2.354,   0.311,   0.087,  35.000,  700,   2.303
14:44:16:533, 216233277667008,    0.238,   15.000, 2100,  11.513,   2.524,   0.701,   8.618,   1.754,   0.487, 51,  0,   0.736,   0.147,   0.041,   1.581,   0.478,   0.133,  35.000,  500,   1.901
14:44:16:643, 216233521600351,    0.348,    9.000, 2100,  11.014,   3.740,   1.039,   8.040,   2.642,   0.734, 51,  0,   0.618,   0.215,   0.060,   1.795,   0.676,   0.188,  35.000,  600,   2.386
14:44:16:753, 216233765338687,    0.459,    4.000, 2900,   8.942,   4.727,   1.313,   5.013,   3.196,   0.888, 51,  0,   0.497,   0.270,   0.075,   2.676,   0.972,   0.270,  35.000,  950,   2.319
14:44:16:865, 216234010850511,    0.570,    2.000, 2900,   7.963,   5.613,   1.559,   3.867,   3.625,   1.007, 49,  0,   0.422,   0.317,   0.088,   2.956,   1.301,   0.361,  35.000,  950,   1.999
14:44:16:969, 216234241240332,    0.674,   16.000, 2200,   9.831,   6.639,   1.844,   6.307,   4.284,   1.190, 52,  0,   0.628,   0.382,   0.106,   2.361,   1.547,   0.430,  35.000,  600,   2.908
14:44:17:080, 216234485860317,    0.785,    3.000, 2900,   8.566,   7.588,   2.108,   4.378,   4.769,   1.325, 49,  0,   0.527,   0.441,   0.122,   2.930,   1.872,   0.520,  35.000,  950,   1.792
14:44:17:194, 216234736879649,    0.899,    4.000, 2500,   8.549,   8.560,   2.378,   4.567,   5.288,   1.469, 49,  0,   0.490,   0.496,   0.138,   2.793,   2.189,   0.608,  35.000,  950,   1.884
14:44:17:297, 216234965927725,    1.002,    2.000, 2100,   7.229,   9.310,   2.586,   2.762,   5.574,   1.548, 50,  0,   0.402,   0.538,   0.149,   3.360,   2.538,   0.705,  35.000, 1050,   1.355
14:44:17:411, 216235216812073,    1.116,   12.000, 2000,  10.743,  10.530,   2.925,   7.460,   6.422,   1.784, 50,  0,   0.660,   0.613,   0.170,   2.027,   2.768,   0.769,  35.000,  700,   4.253
14:44:17:518, 216235454089527,    1.223,    2.000, 2900,   7.900,  11.379,   3.161,   3.799,   6.830,   1.897, 49,  0,   0.458,   0.662,   0.184,   2.877,   3.077,   0.855,  35.000,  700,   4.502
14:44:17:630, 216235700133399,    1.335,    4.000, 2900,   9.373,  12.424,   3.451,   5.610,   7.455,   2.071, 49,  0,   0.449,   0.712,   0.198,   2.620,   3.369,   0.936,  35.000,  950,   0.296
14:44:17:736, 216235933187803,    1.440,    1.000, 2600,   7.621,  13.228,   3.674,   3.327,   7.807,   2.168, 49,  0,   0.316,   0.746,   0.207,   3.130,   3.699,   1.028,  35.000,  950,   0.094
14:44:17:849, 216236184717379,    1.554,    3.000, 2900,   8.524,  14.199,   3.944,   4.598,   8.330,   2.314, 49,  0,   0.396,   0.791,   0.220,   2.821,   4.021,   1.117,  35.000,  700,   0.262
14:44:17:957, 216236422938055,    1.662,    5.000, 2700,   8.356,  15.101,   4.195,   4.292,   8.793,   2.443, 49,  0,   0.396,   0.834,   0.232,   2.892,   4.333,   1.204,  35.000,  850,   1.400
14:44:18:064, 216236659692125,    1.769,   12.000, 2100,  10.336,  16.209,   4.502,   7.177,   9.563,   2.656, 50,  0,   0.615,   0.900,   0.250,   1.896,   4.536,   1.260,  35.000,  450,   1.548
14:44:18:177, 216236909024517,    1.882,   14.000, 2500,  11.350,  17.490,   4.858,   8.654,  10.540,   2.928, 51,  0,   0.611,   0.969,   0.269,   1.546,   4.711,   1.309,  35.000,  700,   0.996
14:44:18:283, 216237142005968,    1.988,   15.000, 2300,  10.717,  18.621,   5.173,   7.878,  11.371,   3.159, 50,  0,   0.704,   1.043,   0.290,   1.476,   4.866,   1.352,  35.000,  500,   1.635
14:44:18:393, 216237384600152,    2.098,    9.000, 2300,  10.152,  19.737,   5.482,   7.122,  12.154,   3.376, 50,  0,   0.550,   1.103,   0.306,   1.821,   5.067,   1.407,  35.000,  650,   1.747
14:44:18:502, 216237624557157,    2.206,   15.000, 2900,  10.579,  20.886,   5.802,   7.936,  13.016,   3.616, 49,  0,   0.787,   1.189,   0.330,   1.401,   5.219,   1.450,  35.000,  950,   2.300
14:44:18:614, 216237872794115,    2.319,   22.000, 2100,  11.386,  22.166,   6.157,   8.682,  13.992,   3.887, 52,  0,   0.775,   1.276,   0.354,   1.401,   5.376,   1.493,  35.000,  500,   2.600
14:44:18:723, 216238112870170,    2.428,   35.000, 2000,  12.756,  23.553,   6.543,  10.055,  15.086,   4.190, 51,  0,   0.975,   1.382,   0.384,   1.320,   5.520,   1.533,  35.000,  600,  13.296
14:44:18:829, 216238349247640,    2.535,    8.000, 2500,   9.525,  24.573,   6.826,   5.946,  15.722,   4.367, 49,  0,   0.643,   1.451,   0.403,   2.351,   5.772,   1.603,  35.000,  600,  11.219
14:44:18:947, 216238609376077,    2.652,    9.000, 3300,   8.946,  25.627,   7.119,   5.239,  16.340,   4.539, 55,  0,   0.531,   1.513,   0.420,   2.502,   6.066,   1.685,  35.000,  850,   5.556
