System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:28:33:782, 218886140264344,    0.126,   16.000, 2400,  10.967,   1.380,   0.383,   8.294,   1.044,   0.290, 53,  0,   0.595,   0.075,   0.021,   1.435,   0.181,   0.050,  35.000,  650,   0.473
16:28:33:893, 218886384404658,    0.236,    7.000, 2400,  10.245,   2.513,   0.698,   6.804,   1.796,   0.499, 52,  0,   0.439,   0.123,   0.034,   2.211,   0.425,   0.118,  35.000,  500,   1.076
16:28:34:005, 218886632029430,    0.349,   11.000, 2400,  11.192,   3.768,   1.047,   8.285,   2.725,   0.757, 52,  0,   0.626,   0.194,   0.054,   1.676,   0.613,   0.170,  35.000,  700,   1.768
16:28:34:110, 218886863803905,    0.454,    9.000, 2200,  10.705,   4.892,   1.359,   7.546,   3.518,   0.977, 51,  0,   0.551,   0.252,   0.070,   1.932,   0.816,   0.227,  35.000,  650,   2.127
16:28:34:220, 218887106273010,    0.563,    3.000, 2700,   8.069,   5.778,   1.605,   4.106,   3.968,   1.102, 50,  0,   0.454,   0.301,   0.084,   2.803,   1.124,   0.312,  35.000,  850,   1.757
16:28:34:328, 218887346167958,    0.672,    6.000, 2000,   8.064,   6.654,   1.848,   4.003,   4.403,   1.223, 52,  0,   0.427,   0.348,   0.097,   2.870,   1.435,   0.399,  35.000,  500,   1.500
16:28:34:439, 218887590600592,    0.783,   13.000, 2100,  10.257,   7.790,   2.164,   7.576,   5.242,   1.456, 52,  0,   0.482,   0.401,   0.111,   1.455,   1.596,   0.443,  35.000,  600,   1.592
16:28:34:552, 218887839630970,    0.895,    8.000, 2500,   9.596,   8.872,   2.464,   5.967,   5.915,   1.643, 50,  0,   0.488,   0.456,   0.127,   2.394,   1.866,   0.518,  35.000,  950,   1.293
16:28:34:657, 218888072424906,    1.001,    2.000, 2300,   7.794,   9.694,   2.693,   3.663,   6.301,   1.750, 50,  0,   0.428,   0.501,   0.139,   2.998,   2.183,   0.606,  35.000,  850,   1.528
16:28:34:768, 218888315517178,    1.111,   14.000, 2000,   9.274,  10.715,   2.976,   5.788,   6.938,   1.927, 52,  0,   0.501,   0.556,   0.155,   2.277,   2.433,   0.676,  35.000,  500,   1.641
16:28:34:876, 218888555665648,    1.220,   23.000, 2200,  10.724,  11.881,   3.300,   8.234,   7.834,   2.176, 52,  0,   0.516,   0.612,   0.170,   1.246,   2.569,   0.714,  35.000,  500,   1.744
