App,Package,Start Time,Duration,Filename
"2048",chan.android.game2048,"Eyl 29, 2021 @ 08:20:58 PM","5 min 11 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"Wi-Fi RSSI Level [-dBm]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen State",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",Time  [ms],"Bluetooth State",Time  [ms],"GPS State",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"Application State",Description,
3,0,3,1387616,0,9,6,1,6,97,8,-127,8,97,11,97,11,1,12,0,12,0,13,0,13,100,13,0,13,0,14,0,14,0,14,0,16,22,18,0,19,900000,20,900000,20,900000,21,900000,22,0,22,0,23,0,23,0,11,0,,
51,0,50,1385720,49,60,53,1,53,80,56,-127,55,60,58,0,59,1,59,0,59,594000,60,0,60,100,60,0,61,0,61,0,61,0,61,0,63,50,71,0,72,1300000,72,1300000,73,1300000,73,1300000,74,0,74,0,74,0,75,0,58,0,,
115,0,150,1388104,149,66,116,1,152,44,116,-127,154,55,156,63,157,1,157,0,157,1215240,157,0,116,100,116,0,159,0,160,0,160,0,160,0,162,61,171,26,172,1400000,172,1400000,180,1500000,181,1500000,182,0,183,0,183,0,184,0,156,0,,
151,0,252,1386956,250,72,153,1,254,50,155,-127,256,55,258,72,260,1,260,0,261,1591690,262,0,158,100,158,0,263,0,264,0,264,0,264,0,266,63,273,29,273,1300000,274,1300000,274,1300000,274,1300000,275,0,275,0,276,0,276,0,260,0,,
253,0,351,1388304,350,44,255,1,353,50,257,-127,355,70,357,62,357,1,358,0,360,1204580,361,0,262,100,262,0,362,0,363,0,363,0,363,0,365,59,373,26,373,1500000,374,1500000,374,1500000,374,1500000,374,0,375,0,375,0,377,0,357,0,,
352,0,452,1386516,451,62,354,1,454,55,355,-127,455,62,457,70,458,1,459,0,459,1680750,459,0,361,100,361,0,460,0,461,0,461,0,461,0,462,55,470,27,470,1400000,470,1400000,471,1400000,471,1400000,471,0,471,0,472,0,472,0,458,0,,
452,0,552,1384812,551,30,454,1,554,72,456,-127,556,20,558,30,558,1,559,0,559,915040,559,0,460,100,460,0,560,0,560,0,560,0,560,0,561,43,568,19,569,1500000,569,1500000,570,1500000,570,1500000,570,0,570,0,571,0,571,0,558,0,,
552,0,652,1387380,651,60,554,1,654,27,556,-127,655,37,657,30,657,1,657,0,658,1039500,658,0,559,100,559,0,658,0,659,0,659,0,659,0,660,35,665,16,666,1300000,666,1300000,667,1300000,667,1300000,667,0,667,0,668,0,668,0,657,0,,
652,0,753,1387628,752,33,654,1,754,22,655,-127,756,22,757,36,758,1,758,0,758,602290,758,0,658,100,658,0,759,0,759,0,759,0,759,0,761,28,768,12,769,1300000,769,1300000,770,1300000,770,1300000,770,0,771,0,771,0,771,0,757,0,,
753,0,853,1388472,852,40,754,1,854,12,756,-127,856,55,857,50,857,1,858,0,858,836810,858,0,758,100,758,0,858,0,859,0,859,0,859,0,860,39,871,16,872,1300000,872,1300000,873,1300000,873,1300000,874,0,874,0,874,0,874,0,857,0,,
853,0,953,1387192,952,0,854,1,955,33,856,-127,956,36,958,36,958,1,959,0,959,559650,959,0,858,100,858,0,959,0,960,0,960,0,960,0,961,31,965,13,966,1300000,966,1300000,966,1300000,967,1300000,967,0,967,0,967,0,968,0,958,0,,
953,0,1054,1387448,1053,20,955,1,1056,50,956,-127,1058,55,1060,27,1060,1,1060,0,1060,810160,1061,0,959,100,959,0,1061,0,1061,0,1062,0,1062,0,1063,36,1070,16,1071,1300000,1071,1300000,1071,1300000,1072,1300000,1072,0,1072,0,1073,0,1073,0,1060,0,,
1054,0,1154,1385936,1153,11,1056,1,1155,22,1058,-127,1157,36,1158,0,1159,1,1159,0,1159,367770,1160,0,1061,100,1061,0,1160,0,1160,0,1160,0,1160,0,1162,16,1166,6,1166,1300000,1167,1300000,1167,1300000,1167,1300000,1168,0,1168,0,1168,0,1168,0,1159,0,,
1154,0,1258,1385936,1256,12,1156,1,1262,22,1157,-127,1266,40,1270,33,1271,1,1272,0,1273,570310,1274,0,1160,100,1160,0,1275,0,1276,0,1276,0,1276,0,1279,30,1294,11,1294,900000,1295,900000,1299,900000,1300,900000,1300,0,1300,0,1301,0,1307,0,1271,0,,
1258,0,1356,1386076,1355,54,1262,1,1358,40,1267,-127,1360,60,1362,44,1363,1,1363,0,1363,588060,1363,0,1274,100,1274,0,1364,0,1364,0,1365,0,1365,0,1366,45,1372,12,1372,1000000,1373,1000000,1373,1000000,1373,1000000,1374,0,1374,0,1375,0,1375,0,1362,0,,
1356,0,1460,1386116,1457,0,1358,1,1464,20,1360,-127,1468,10,1473,40,1473,1,1474,0,1475,245000,1476,0,1364,100,1364,0,1477,0,1478,0,1479,0,1479,0,1481,19,1487,4,1487,900000,1488,900000,1488,900000,1489,900000,1489,0,1489,0,1490,0,1490,0,1473,0,,
1460,0,1557,1385900,1556,11,1464,1,1561,11,1469,-127,1566,12,1571,45,1571,1,1572,0,1572,234630,1572,0,1476,100,1476,0,1572,0,1573,0,1573,0,1573,0,1574,27,1582,8,1582,1100000,1582,1100000,1583,1100000,1583,1100000,1583,0,1584,0,1584,0,1584,0,1571,0,,
1558,0,1657,1386024,1656,45,1562,1,1660,30,1568,-127,1662,35,1664,22,1665,1,1665,0,1666,537240,1666,0,1572,100,1572,0,1667,0,1667,0,1667,0,1667,0,1669,34,1677,12,1678,1100000,1679,1100000,1680,1100000,1680,1100000,1680,0,1681,0,1681,0,1682,0,1665,0,,
1657,0,1758,1385496,1757,72,1660,1,1760,55,1663,-127,1766,37,1768,36,1768,1,1769,0,1769,814000,1770,0,1666,100,1666,0,1771,0,1772,0,1772,0,1772,0,1774,50,1782,18,1782,1100000,1783,1100000,1783,1100000,1784,1100000,1784,0,1784,0,1785,0,1785,0,1768,0,,
1758,0,1858,1383488,1857,50,1760,1,1860,36,1766,-127,1863,55,1866,30,1867,1,1867,0,1867,695970,1868,0,1770,100,1770,0,1868,0,1869,0,1869,0,1869,0,1870,39,1881,14,1882,1100000,1883,1100000,1883,1100000,1884,1100000,1884,0,1885,0,1885,0,1885,0,1867,0,,
1858,0,1959,1382000,1957,25,1860,1,1961,54,1864,-127,1963,50,1966,54,1966,1,1967,0,1967,744810,1968,0,1868,100,1868,0,1969,0,1969,0,1970,0,1970,0,1971,50,1982,17,1982,1100000,1983,1100000,1983,1100000,1984,1100000,1985,0,1985,0,1985,0,1986,0,1966,0,,
1959,0,2061,1375192,2059,60,1961,1,2065,60,1963,-127,2070,54,2074,44,2075,1,2075,0,2076,887260,2076,0,1968,100,1968,0,2079,0,2080,0,2081,0,2081,0,2085,55,2092,17,2093,900000,2093,900000,2093,900000,2094,900000,2094,0,2095,0,2095,0,2096,0,2074,0,,
2062,0,2160,1375192,2158,64,2066,1,2162,55,2070,-127,2165,40,2167,45,2167,1,2168,0,2168,605880,2168,0,2077,100,2077,0,2169,0,2169,0,2169,0,2170,0,2171,50,2177,16,2178,1100000,2181,1100000,2181,1100000,2182,1100000,2183,0,2183,0,2183,0,2184,0,2167,0,,
2160,0,2260,1375596,2259,45,2162,1,2263,45,2165,-127,2265,40,2267,25,2267,1,2268,0,2268,630850,2269,0,2169,100,2169,0,2270,0,2270,0,2270,0,2270,0,2272,42,2278,16,2278,1100000,2279,1100000,2280,1100000,2281,1100000,2282,0,2283,0,2283,0,2283,0,2267,0,,
2261,0,2362,1376092,2360,14,2263,1,2365,63,2265,-127,2368,54,2371,33,2371,1,2372,0,2372,667480,2373,0,2269,100,2269,0,2373,0,2373,0,2374,0,2374,0,2376,41,2387,13,2388,900000,2389,900000,2389,900000,2390,900000,2390,0,2390,0,2391,0,2391,0,2371,0,,
2362,0,2461,1376340,2460,54,2365,1,2464,63,2368,-127,2466,54,2469,33,2469,1,2470,0,2470,605880,2470,0,2373,100,2373,0,2471,0,2471,0,2471,0,2471,0,2473,53,2478,16,2479,1100000,2480,1100000,2481,1100000,2482,1100000,2482,0,2483,0,2484,0,2484,0,2469,0,,
2461,0,2562,1376664,2560,40,2464,1,2564,36,2467,-127,2567,50,2569,0,2570,1,2570,0,2570,512819,2571,0,2470,100,2470,0,2571,0,2571,0,2571,0,2572,0,2573,36,2578,11,2579,1100000,2580,1100000,2581,1100000,2582,1100000,2583,0,2583,0,2584,0,2584,0,2570,0,,
2562,0,2664,1375656,2662,50,2565,1,2668,28,2567,-127,2672,55,2675,40,2675,1,2676,0,2676,704110,2677,0,2571,100,2571,0,2677,0,2678,0,2678,0,2678,0,2681,42,2691,14,2692,900000,2692,900000,2693,900000,2693,900000,2693,0,2694,0,2694,0,2694,0,2675,0,,
2664,0,2766,1373656,2761,44,2669,1,2768,44,2672,-127,2770,77,2772,37,2773,1,2773,0,2773,599940,2774,0,2677,100,2677,0,2774,0,2774,0,2775,0,2775,0,2776,50,2786,17,2787,1200000,2787,1200000,2787,1200000,2788,1200000,2788,0,2789,0,2789,0,2789,0,2773,0,,
2766,0,2864,1373656,2862,25,2768,1,2866,36,2770,-127,2869,55,2871,33,2871,1,2872,0,2872,697320,2872,0,2774,100,2774,0,2873,0,2873,0,2873,0,2873,0,2875,39,2882,17,2883,1100000,2884,1100000,2884,1100000,2885,1100000,2885,0,2885,0,2886,0,2886,0,2871,0,,
2864,0,2965,1374524,2963,30,2867,1,2968,36,2869,-127,2972,30,2974,37,2975,1,2975,0,2975,541310,2976,0,2872,100,2872,0,2976,0,2976,0,2977,0,2977,0,2979,32,2990,11,2991,900000,2991,900000,2992,900000,2992,900000,2992,0,2993,0,2993,0,2993,0,2974,0,,
