App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,chan.android.game2048,"Eyl 29, 2021 @ 09:07:55 PM",6 min 22 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],Mobile Data State,Time  [ms],Memory Usage [KB],Time  [ms],CPU1 Load [%],Time  [ms],Wi-Fi State,Time  [ms],CPU2 Load [%],Time  [ms],Wi-Fi RSSI Level [-dBm],Time  [ms],CPU3 Load [%],Time  [ms],CPU4 Load [%],Time  [ms],Screen State,Time  [ms],CPU5 Load [%],Time  [ms],Battery Power* [uW],Time  [ms],CPU6 Load [%],Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Status,Time  [ms],CPU7 Load [%],Time  [ms],CPU8 Load [%],Time  [ms],Bluetooth State,Time  [ms],GPS State,Time  [ms],CPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz],Time  [ms],Application State,Description
1,0,0,1349032,0,17,2,1,2,42,4,-127,4,25,6,21,6,1,6,0,7,427350,7,0,7,91,7,0,8,0,8,0,8,0,8,0,10,26,18,9,18,1300000,19,1300000,19,1300000,19,1300000,20,0,20,0,20,0,21,0,6,0,
27,0,101,1352784,100,44,28,1,107,66,28,-127,108,100,111,50,112,1,112,0,113,1385800,115,0,28,91,28,0,116,0,117,0,117,0,117,0,126,68,142,31,143,1500000,144,1500000,144,1500000,145,1500000,147,0,147,0,148,0,148,0,112,0,
101,0,155,1354644,151,80,107,1,158,100,109,-127,160,83,162,100,171,1,172,0,174,2450250,175,0,115,91,115,0,175,0,176,0,176,0,176,0,177,84,186,42,186,1500000,187,1500000,187,1500000,188,1500000,189,0,189,0,190,0,190,0,162,0,
156,0,256,1355452,255,77,158,1,258,72,160,-127,259,72,261,62,261,1,261,0,262,1910250,262,0,175,91,175,0,263,0,263,0,263,0,263,0,265,68,271,34,272,1500000,273,1500000,274,1500000,274,1500000,275,0,275,0,275,0,275,0,261,0,
256,0,356,1355576,355,25,258,1,361,22,260,-127,365,30,369,40,370,1,370,0,371,789750,371,0,262,91,262,0,372,0,372,0,373,0,373,0,374,37,382,17,382,1300000,383,1300000,383,1300000,383,1300000,384,0,384,0,384,0,384,0,370,0,
357,0,455,1356056,454,16,361,1,457,37,365,-127,459,40,461,55,462,1,462,0,462,788840,463,0,371,91,371,0,463,0,464,0,464,0,464,0,465,32,470,12,470,1300000,471,1300000,472,1300000,472,1300000,473,0,473,0,473,0,473,0,462,0,
455,0,557,1356256,555,44,457,1,559,50,459,-127,562,70,564,45,564,1,564,0,564,1113969,565,0,463,91,463,0,565,0,565,0,565,0,565,0,567,51,577,23,577,1500000,578,1500000,578,1500000,578,1500000,578,0,578,0,579,0,579,0,564,0,
557,0,656,1357124,655,12,559,1,657,33,562,-127,659,22,660,33,661,1,661,0,661,675000,661,0,565,91,565,0,662,0,662,0,662,0,662,0,663,25,668,10,668,1300000,668,1300000,669,1300000,669,1300000,669,0,669,0,670,0,670,0,660,0,
656,0,756,1357248,755,11,657,1,758,18,659,-127,759,22,761,9,761,1,761,0,761,319799,762,0,661,91,661,0,762,0,762,0,763,0,763,0,764,15,768,6,769,1300000,769,1300000,769,1300000,769,1300000,770,0,770,0,770,0,770,0,761,0,
756,0,856,1357372,856,10,758,1,858,11,759,-127,860,30,861,12,861,1,862,0,862,335790,862,0,762,91,762,0,863,0,863,0,863,0,863,0,865,15,869,6,870,1300000,870,1300000,870,1300000,871,1300000,871,0,871,0,872,0,872,0,861,0,
