App,Package,Start Time,Duration,Filename
"2048",chan.android.game2048,"Oca 1, 2018 @ 09:12:03 PM","5 min 40 sec",""

Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Screen State",Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPS State",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"Application State",Description,
1,1358080,0,25,3,98,5,98,7,98,8,0,8,0,7,1,9,98,8,0,9,0,9,0,9,0,10,0,11,56,13,0,13,1100000,14,1100000,14,1100000,14,1100000,15,0,15,0,16,0,16,0,7,0,,
101,1359632,100,50,102,50,104,44,107,44,108,765160,107,0,107,1,79,98,108,0,108,0,79,0,109,0,109,0,110,47,118,0,118,1300000,119,1300000,119,1300000,120,1300000,120,0,121,0,121,0,121,0,107,0,,
201,1362940,200,83,205,90,207,81,209,66,210,1705600,210,0,210,1,108,98,211,0,212,0,108,0,212,0,212,0,214,80,221,39,221,1500000,222,1500000,223,1500000,223,1500000,224,0,224,0,225,0,225,0,209,0,,
301,1365544,300,50,303,40,305,100,308,22,309,1431000,309,0,308,1,211,98,309,0,310,0,211,0,311,0,311,0,312,52,319,26,320,1500000,320,1500000,321,1500000,322,1500000,323,0,324,0,324,0,324,0,308,0,,
402,1366832,401,80,406,88,408,70,410,77,413,2126250,412,0,411,1,310,98,413,0,414,0,310,0,414,0,414,0,415,76,420,39,421,1500000,422,1500000,423,1500000,424,1500000,426,0,426,0,427,0,427,0,411,0,,
502,1369600,501,50,504,40,506,70,508,60,509,1485000,509,0,508,1,413,98,509,0,510,0,413,0,510,0,510,0,512,55,519,23,519,900000,520,900000,521,900000,522,900000,523,0,523,0,524,0,525,0,508,0,,
602,1370608,602,40,604,50,606,30,608,33,609,454409,609,0,608,1,509,98,609,0,610,0,509,0,610,0,610,0,612,40,617,16,618,1300000,618,1300000,618,1300000,618,1300000,619,0,619,0,619,0,619,0,608,0,,
706,1377828,703,50,715,50,717,33,719,63,720,1044680,719,0,719,1,609,98,720,0,721,0,609,0,721,0,721,0,723,51,731,24,731,1500000,731,1500000,731,1500000,732,1500000,732,0,732,0,732,0,732,0,719,0,,
803,1371380,802,37,804,25,806,33,808,44,808,938250,808,0,808,1,720,98,809,0,809,0,720,0,809,0,809,0,811,32,815,10,816,1300000,816,1300000,816,1300000,817,1300000,817,0,817,0,817,0,818,0,808,0,,
903,1371628,903,10,905,41,907,18,909,0,910,367770,909,0,909,1,809,98,910,0,910,0,809,0,910,0,911,0,912,18,916,7,917,1300000,917,1300000,917,1300000,918,1300000,918,0,918,0,918,0,919,0,909,0,,
1004,1371752,1003,10,1005,22,1007,10,1009,18,1010,319800,1010,0,1009,1,910,98,1010,0,1011,0,910,0,1011,0,1011,0,1012,17,1017,7,1018,1300000,1018,1300000,1018,1300000,1019,1300000,1019,0,1019,0,1019,0,1020,0,1009,0,,
1104,1370636,1103,33,1106,45,1108,20,1109,62,1110,852800,1110,0,1110,1,1010,98,1111,0,1111,0,1010,0,1111,0,1112,0,1113,36,1118,17,1119,1300000,1119,1300000,1119,1300000,1120,1300000,1120,0,1120,0,1120,0,1121,0,1110,0,,
1206,1370760,1204,40,1208,22,1210,36,1212,30,1214,682240,1213,0,1213,1,1111,98,1214,0,1215,0,1111,0,1215,0,1216,0,1217,35,1225,13,1226,1100000,1226,1100000,1227,1100000,1227,1100000,1228,0,1228,0,1229,0,1229,0,1213,0,,
1307,1371256,1305,50,1310,60,1313,22,1316,36,1317,683760,1317,0,1316,1,1214,98,1317,0,1318,0,1214,0,1318,0,1318,0,1320,41,1331,13,1331,900000,1332,900000,1332,900000,1333,900000,1333,0,1333,0,1334,0,1334,0,1316,0,,
1408,1371256,1406,54,1411,63,1414,22,1417,28,1418,495990,1418,0,1417,1,1318,98,1418,0,1419,0,1318,0,1419,0,1420,0,1421,42,1432,11,1432,900000,1433,900000,1433,900000,1434,900000,1434,0,1435,0,1435,0,1435,0,1417,0,,
1511,1371504,1510,33,1513,60,1515,54,1517,30,1518,525690,1518,0,1518,1,1418,98,1519,0,1519,0,1419,0,1520,0,1520,0,1522,46,1530,14,1530,1100000,1531,1100000,1531,1100000,1531,1100000,1532,0,1532,0,1532,0,1532,0,1518,0,,
1608,1371908,1607,40,1614,54,1616,45,1618,40,1619,728530,1619,0,1618,1,1519,98,1619,0,1620,0,1519,0,1620,0,1620,0,1622,45,1630,16,1631,1100000,1631,1100000,1631,1100000,1632,1100000,1632,0,1632,0,1633,0,1633,0,1618,0,,
1710,1372280,1708,36,1714,44,1719,54,1721,30,1723,667480,1723,0,1722,1,1620,98,1724,0,1725,0,1620,0,1726,0,1728,0,1731,47,1739,15,1740,900000,1741,900000,1741,900000,1742,900000,1743,0,1744,0,1745,0,1745,0,1722,0,,
1810,1372528,1808,44,1812,25,1814,50,1817,44,1818,484110,1818,0,1817,1,1724,98,1818,0,1819,0,1724,0,1819,0,1819,0,1820,32,1831,12,1832,1100000,1832,1100000,1833,1100000,1833,1100000,1833,0,1834,0,1834,0,1834,0,1817,0,,
1909,1368328,1908,63,1912,100,1915,40,1916,40,1917,989010,1917,0,1917,1,1818,98,1917,0,1918,0,1818,0,1918,0,1918,0,1919,62,1927,27,1927,1500000,1928,1500000,1928,1500000,1928,1500000,1929,0,1929,0,1930,0,1930,0,1917,0,,
2016,1368328,2015,33,2020,41,2024,30,2028,40,2030,972000,2029,0,2029,1,1917,98,2030,0,2031,0,1917,0,2031,0,2032,0,2033,40,2044,17,2045,900000,2046,1100000,2046,1100000,2046,1100000,2047,0,2047,0,2047,0,2048,0,2028,0,,
2114,1368452,2112,55,2116,37,2118,40,2120,37,2120,627330,2120,0,2120,1,2030,98,2121,0,2121,0,2030,0,2121,0,2122,0,2123,34,2131,12,2132,1100000,2132,1100000,2132,1100000,2133,1100000,2133,0,2133,0,2134,0,2134,0,2120,0,,
2214,1351340,2213,14,2216,60,2218,30,2220,50,2221,626780,2221,0,2220,1,2121,98,2221,0,2222,0,2121,0,2222,0,2222,0,2226,43,2233,14,2234,1100000,2234,1100000,2235,1100000,2235,1100000,2235,0,2236,0,2236,0,2236,0,2220,0,,
2317,1351588,2315,28,2320,41,2322,30,2331,50,2332,606430,2332,0,2331,1,2221,98,2333,0,2334,0,2221,0,2335,0,2336,0,2338,45,2348,13,2349,900000,2350,900000,2350,900000,2350,900000,2351,0,2351,0,2352,0,2352,0,2331,0,,
