App,Package,Start Time,Duration,Filename
"2048",chan.android.game2048,"Oca 4, 2018 @ 09:49:46 PM","5 min 15 sec",""

Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Screen State",Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPS State",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"Application State",Description,
0,1364596,100,63,2,20,4,10,6,9,7,203500,7,0,7,1,8,89,8,0,8,0,8,0,9,0,9,0,10,13,17,3,17,1100000,17,1100000,18,1100000,18,1100000,18,0,19,0,19,0,19,0,6,0,,
101,1367124,200,60,107,50,108,75,110,44,111,944240,111,0,110,1,84,89,111,0,112,0,84,0,112,0,112,0,115,58,122,26,123,1500000,123,1500000,124,1500000,125,1500000,126,0,126,0,127,0,127,0,110,0,,
201,1370596,301,42,203,100,205,71,207,72,209,2045250,209,0,208,1,111,89,210,0,212,0,111,0,213,0,213,0,214,75,222,37,226,1500000,227,1500000,228,1500000,228,1500000,229,0,230,0,230,0,231,0,208,0,,
302,1371496,401,54,303,50,305,60,308,55,310,1397250,310,0,309,1,211,89,310,0,311,0,211,0,311,0,312,0,313,48,318,19,319,1300000,319,1300000,319,1300000,320,1300000,320,0,320,0,320,0,321,0,308,0,,
402,1371636,501,33,404,14,405,25,408,27,409,639600,408,0,408,1,311,89,409,0,410,0,311,0,411,0,411,0,412,32,418,13,418,1300000,419,1300000,419,1300000,419,1300000,420,0,420,0,420,0,420,0,408,0,,
502,1372008,602,80,503,22,505,40,506,22,507,623610,507,0,507,1,409,89,508,0,508,0,409,0,509,0,509,0,510,29,517,12,518,1300000,518,1300000,518,1300000,518,1300000,519,0,519,0,519,0,519,0,507,0,,
603,1372504,702,20,604,45,606,50,607,50,608,1199250,608,0,608,1,508,89,609,0,610,0,508,0,610,0,611,0,612,55,617,23,617,1300000,618,1300000,618,1300000,618,1300000,618,0,619,0,619,0,619,0,608,0,,
703,1374116,802,0,704,11,706,40,707,27,708,522340,708,0,708,1,609,89,708,0,709,0,609,0,709,0,709,0,710,25,715,10,715,1300000,716,1300000,716,1300000,716,1300000,716,0,717,0,717,0,717,0,708,0,,
803,1374240,903,20,805,10,806,30,808,10,809,266500,808,0,808,1,709,89,809,0,809,0,709,0,809,0,809,0,811,15,815,6,816,1300000,816,1300000,816,1300000,817,1300000,817,0,817,0,817,0,818,0,808,0,,
903,1374364,1004,10,905,10,907,36,908,0,909,351780,909,0,908,1,809,89,909,0,910,0,809,0,910,0,910,0,911,15,916,6,916,1300000,916,1300000,917,1300000,917,1300000,917,0,917,0,918,0,918,0,908,0,,
1005,1374612,1104,22,1007,18,1009,20,1011,0,1012,255840,1012,0,1012,1,909,89,1013,0,1013,0,909,0,1014,0,1014,0,1016,12,1022,5,1023,900000,1023,900000,1023,900000,1024,900000,1024,0,1025,0,1025,0,1025,0,1012,0,,
1106,1374720,1204,45,1108,30,1111,54,1113,20,1115,374220,1114,0,1114,1,1013,89,1115,0,1116,0,1013,0,1117,0,1117,0,1119,38,1126,10,1127,900000,1128,900000,1128,900000,1128,900000,1129,0,1129,0,1129,0,1130,0,1114,0,,
1206,1374844,1305,36,1208,40,1210,44,1212,20,1213,442530,1213,0,1213,1,1115,89,1213,0,1214,0,1116,0,1214,0,1214,0,1216,38,1221,8,1222,1100000,1222,1100000,1222,1100000,1223,1100000,1223,0,1223,0,1224,0,1224,0,1212,0,,
1306,1375216,1406,40,1308,27,1310,30,1313,50,1314,582010,1314,0,1313,1,1213,89,1314,0,1315,0,1214,0,1315,0,1315,0,1317,32,1323,11,1323,1100000,1323,1100000,1324,1100000,1324,1100000,1325,0,1326,0,1326,0,1326,0,1313,0,,
1407,1375340,1506,69,1411,22,1414,36,1417,30,1418,520960,1418,0,1418,1,1314,89,1419,0,1419,0,1314,0,1420,0,1420,0,1422,30,1432,11,1433,900000,1434,900000,1434,900000,1434,900000,1435,0,1435,0,1436,0,1436,0,1418,0,,
