App,Package,Start Time,Duration,Filename
"2048",chan.android.game2048,"Eyl 29, 2021 @ 08:39:25 PM","5 min 10 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"Wi-Fi RSSI Level [-dBm]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen State",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",Time  [ms],"Bluetooth State",Time  [ms],"GPS State",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"Application State",Description,
1,0,1,1387160,0,20,3,1,3,32,5,-127,5,21,8,17,8,1,9,0,9,366300,9,0,9,97,9,0,9,0,10,0,10,0,10,0,11,23,19,6,19,1100000,20,1100000,20,1100000,20,1100000,21,0,21,0,21,0,22,0,8,0,,
75,0,100,1389052,99,55,75,1,102,50,76,-127,104,46,107,70,107,1,108,0,108,899470,109,0,76,97,76,0,109,0,110,0,110,0,110,0,111,58,118,24,119,1500000,120,1500000,120,1500000,120,1500000,121,0,121,0,122,0,122,0,107,0,,
100,0,200,1383700,199,66,102,1,204,90,105,-127,206,50,207,42,208,1,209,0,210,1674000,211,0,109,97,109,0,212,0,212,0,212,0,212,0,214,60,224,30,225,1500000,225,1500000,226,1500000,226,1500000,227,0,227,0,227,0,228,0,208,0,,
201,0,302,1387008,300,70,204,1,304,70,206,-127,306,72,308,55,309,1,309,0,309,1802250,310,0,211,97,211,0,310,0,311,0,311,0,311,0,312,68,318,33,319,1500000,319,1500000,320,1500000,320,1500000,321,0,321,0,321,0,322,0,308,0,,
302,0,401,1387248,400,37,305,1,403,50,307,-127,405,40,408,12,408,1,409,0,409,938250,409,0,310,97,310,0,410,0,410,0,410,0,410,0,411,33,416,15,417,1300000,417,1300000,418,1300000,419,1300000,419,0,420,0,420,0,420,0,408,0,,
401,0,501,1388372,500,50,403,1,503,22,406,-127,505,44,506,30,507,1,507,0,507,778180,507,0,409,97,409,0,508,0,508,0,508,0,508,0,510,40,514,17,515,1500000,515,1500000,515,1500000,515,1500000,516,0,516,0,516,0,517,0,507,0,,
501,0,603,1387480,600,33,503,1,605,28,505,-127,607,100,609,28,609,1,610,0,610,1275750,611,0,508,97,508,0,611,0,612,0,612,0,612,0,613,52,625,23,626,1500000,626,1500000,627,1500000,627,1500000,628,0,628,0,628,0,629,0,609,0,,
603,0,703,1387480,702,63,605,1,705,55,607,-127,707,100,709,60,709,1,709,0,709,1876500,710,0,611,97,611,0,710,0,711,0,711,0,711,0,712,65,717,34,718,1500000,718,1500000,719,1500000,719,1500000,719,0,720,0,720,0,720,0,709,0,,
704,0,804,1385076,803,20,705,1,805,11,707,-127,807,50,809,22,809,1,809,0,810,695250,810,0,710,97,710,0,810,0,810,0,811,0,811,0,812,23,816,10,817,1300000,817,1300000,817,1300000,818,1300000,818,0,818,0,819,0,819,0,809,0,,
804,0,904,1385192,903,10,805,1,905,18,807,-127,907,10,909,41,909,1,910,0,910,421070,910,0,810,97,810,0,910,0,911,0,911,0,911,0,912,19,918,8,919,1300000,919,1300000,919,1300000,919,1300000,920,0,920,0,920,0,920,0,909,0,,
904,0,1004,1383084,1003,33,906,1,1006,18,907,-127,1007,80,1009,12,1009,1,1009,0,1010,762190,1010,0,910,97,910,0,1010,0,1010,0,1011,0,1011,0,1012,40,1016,17,1016,1500000,1016,1500000,1017,1500000,1017,1500000,1017,0,1017,0,1018,0,1018,0,1009,0,,
1004,0,1105,1383596,1104,54,1006,1,1107,0,1007,-127,1109,22,1111,20,1111,1,1112,0,1112,648000,1113,0,1010,97,1010,0,1113,0,1113,0,1114,0,1114,0,1115,25,1121,9,1121,1100000,1122,1100000,1123,1100000,1123,1100000,1123,0,1124,0,1124,0,1124,0,1111,0,,
1105,0,1206,1383892,1205,25,1107,1,1208,45,1109,-127,1210,22,1212,30,1212,1,1213,0,1213,496539,1213,0,1113,97,1113,0,1214,0,1214,0,1214,0,1214,0,1216,31,1224,10,1224,1100000,1225,1100000,1225,1100000,1225,1100000,1226,0,1226,0,1226,0,1227,0,1212,0,,
1206,0,1307,1384032,1306,33,1208,1,1311,40,1210,-127,1313,40,1315,33,1316,1,1316,0,1316,594220,1317,0,1213,97,1213,0,1319,0,1320,0,1321,0,1321,0,1323,40,1330,13,1331,900000,1331,900000,1332,900000,1332,900000,1333,0,1333,0,1333,0,1334,0,1316,0,,
1307,0,1412,1384336,1411,33,1311,1,1414,36,1313,-127,1416,33,1421,37,1422,1,1422,0,1422,412830,1423,0,1318,97,1318,0,1423,0,1424,0,1424,0,1424,0,1426,34,1431,11,1432,1100000,1433,1100000,1433,1100000,1433,1100000,1434,0,1435,0,1435,0,1436,0,1422,0,,
1412,0,1513,1384336,1511,40,1414,1,1515,44,1416,-127,1517,22,1521,50,1521,1,1522,0,1522,634920,1523,0,1423,97,1423,0,1523,0,1524,0,1524,0,1524,0,1526,40,1534,14,1535,1100000,1535,1100000,1536,1100000,1537,1100000,1537,0,1538,0,1539,0,1539,0,1521,0,,
1513,0,1614,1383328,1612,53,1515,1,1616,60,1518,-127,1621,54,1625,37,1625,1,1626,0,1626,830280,1627,0,1523,97,1523,0,1627,0,1628,0,1628,0,1628,0,1631,50,1642,15,1642,900000,1643,900000,1644,900000,1644,900000,1645,0,1646,0,1646,0,1646,0,1625,0,,
1614,0,1713,1383328,1712,45,1617,1,1715,44,1622,-127,1718,50,1723,37,1724,1,1724,0,1724,522720,1725,0,1627,97,1627,0,1725,0,1726,0,1726,0,1726,0,1727,45,1735,14,1736,1100000,1738,1100000,1738,1100000,1739,1100000,1739,0,1740,0,1741,0,1741,0,1724,0,,
1713,0,1814,1378132,1812,70,1715,1,1815,88,1719,-127,1821,44,1823,55,1823,1,1824,0,1824,1045990,1824,0,1725,97,1725,0,1825,0,1825,0,1825,0,1825,0,1827,67,1834,26,1837,1500000,1837,1500000,1838,1500000,1838,1500000,1838,0,1839,0,1839,0,1839,0,1823,0,,
1814,0,1914,1351300,1913,33,1816,1,1916,90,1821,-127,1918,40,1920,40,1920,1,1920,0,1921,1370250,1921,0,1824,97,1824,0,1922,0,1922,0,1923,0,1923,0,1924,51,1929,25,1930,1500000,1930,1500000,1930,1500000,1930,1500000,1931,0,1931,0,1931,0,1931,0,1920,0,,
1914,0,2015,1351412,2014,22,1916,1,2016,37,1918,-127,2020,36,2022,30,2023,1,2023,0,2023,843750,2024,0,1921,97,1921,0,2025,0,2025,0,2025,0,2025,0,2027,29,2033,13,2034,900000,2034,900000,2035,900000,2036,900000,2037,0,2038,0,2038,0,2039,0,2023,0,,
2015,0,2116,1351904,2115,54,2017,1,2118,40,2020,-127,2123,66,2126,25,2127,1,2127,0,2127,549450,2128,0,2024,97,2024,0,2128,0,2129,0,2129,0,2129,0,2131,47,2142,13,2143,900000,2143,900000,2144,900000,2144,900000,2144,0,2145,0,2145,0,2145,0,2126,0,,
2116,0,2216,1352216,2215,50,2119,1,2218,33,2123,-127,2221,54,2224,45,2224,1,2225,0,2225,540540,2226,0,2128,97,2128,0,2226,0,2226,0,2227,0,2227,0,2228,47,2233,16,2234,1100000,2235,1100000,2235,1100000,2236,1100000,2237,0,2237,0,2238,0,2239,0,2224,0,,
2216,0,2316,1352588,2315,50,2219,1,2318,25,2222,-127,2321,60,2324,40,2324,1,2325,0,2325,712250,2325,0,2226,97,2226,0,2325,0,2326,0,2326,0,2326,0,2327,43,2333,16,2333,1100000,2334,1100000,2334,1100000,2334,1100000,2335,0,2336,0,2336,0,2337,0,2324,0,,
2316,0,2417,1352728,2416,36,2318,1,2420,40,2321,-127,2424,44,2427,45,2427,1,2428,0,2428,671550,2428,0,2325,97,2325,0,2429,0,2430,0,2430,0,2430,0,2432,40,2442,12,2443,900000,2443,900000,2444,900000,2444,900000,2444,0,2445,0,2445,0,2445,0,2427,0,,
2418,0,2518,1353208,2517,40,2421,1,2521,44,2424,-127,2524,55,2527,40,2527,1,2528,0,2528,531630,2529,0,2429,97,2429,0,2530,0,2531,0,2531,0,2531,0,2533,45,2544,13,2545,900000,2545,900000,2545,900000,2546,900000,2546,0,2547,0,2547,0,2547,0,2527,0,,
2518,0,2618,1353456,2617,40,2522,1,2621,12,2525,-127,2624,55,2626,37,2627,1,2627,0,2627,427680,2628,0,2529,97,2530,0,2629,0,2629,0,2629,0,2629,0,2631,40,2637,14,2638,1100000,2639,1100000,2639,1100000,2640,1100000,2640,0,2641,0,2641,0,2641,0,2626,0,,
2618,0,2718,1353952,2717,50,2622,1,2720,50,2624,-127,2722,54,2724,30,2725,1,2725,0,2725,748880,2726,0,2628,97,2628,0,2726,0,2726,0,2726,0,2726,0,2728,41,2733,15,2734,1100000,2734,1100000,2735,1100000,2735,1100000,2735,0,2735,0,2736,0,2736,0,2725,0,,
2719,0,2821,1354200,2819,22,2721,1,2825,22,2723,-127,2829,42,2833,36,2833,1,2834,0,2834,496539,2835,0,2726,97,2726,0,2836,0,2837,0,2837,0,2837,0,2839,33,2846,6,2847,900000,2847,900000,2848,900000,2848,900000,2849,0,2849,0,2849,0,2850,0,2833,0,,
2822,0,2921,1354588,2919,22,2826,1,2923,12,2830,-127,2925,50,2928,11,2928,1,2929,0,2929,282150,2929,0,2835,97,2835,0,2930,0,2930,0,2931,0,2931,0,2933,21,2940,6,2940,900000,2941,900000,2941,900000,2941,900000,2942,0,2942,0,2942,0,2943,0,2928,0,,
2921,0,3021,1354712,3019,11,2923,1,3023,27,2926,-127,3025,45,3026,11,3027,1,3027,0,3027,279180,3028,0,2930,97,2930,0,3028,0,3029,0,3029,0,3029,0,3031,25,3036,8,3037,1100000,3037,1100000,3037,1100000,3038,1100000,3038,0,3039,0,3039,0,3039,0,3027,0,,
3021,0,3121,1355208,3120,22,3023,1,3123,12,3025,-127,3125,50,3127,30,3128,1,3128,0,3129,463980,3129,0,3028,97,3028,0,3130,0,3130,0,3130,0,3130,0,3132,31,3140,11,3141,1100000,3142,1100000,3142,1100000,3142,1100000,3143,0,3143,0,3143,0,3144,0,3128,0,,
3121,0,3223,1355332,3221,45,3124,1,3226,40,3126,-127,3229,37,3232,25,3233,1,3233,0,3233,598290,3234,0,3129,97,3129,0,3235,0,3235,0,3235,0,3235,0,3237,37,3250,13,3250,900000,3251,900000,3251,900000,3253,900000,3254,0,3254,0,3255,0,3258,0,3233,0,,
3223,0,3322,1351984,3321,75,3227,1,3324,63,3230,-127,3326,42,3329,75,3329,1,3330,0,3330,757350,3331,0,3234,97,3234,0,3332,0,3332,0,3332,0,3332,0,3334,64,3343,18,3343,1100000,3344,1100000,3344,1100000,3344,1100000,3345,0,3345,0,3345,0,3346,0,3329,0,,
3322,0,3431,1352108,3430,25,3325,1,3433,30,3327,-127,3435,40,3437,20,3438,1,3439,0,3439,468049,3440,0,3331,97,3331,0,3441,0,3442,0,3442,0,3442,0,3444,32,3452,12,3453,1100000,3454,1100000,3454,1100000,3455,1100000,3456,0,3457,0,3457,0,3458,0,3438,0,,
3431,0,3533,1352340,3531,37,3433,1,3535,33,3435,-127,3539,30,3543,50,3543,1,3545,0,3545,610500,3546,0,3441,97,3441,0,3547,0,3549,0,3550,0,3550,0,3552,41,3565,13,3565,900000,3566,900000,3566,900000,3567,900000,3567,0,3567,0,3568,0,3568,0,3543,0,,
3533,0,3633,1352340,3632,62,3536,1,3635,40,3539,-127,3639,58,3643,37,3643,1,3644,0,3644,585090,3645,0,3546,97,3546,0,3645,0,3646,0,3646,0,3646,0,3648,42,3657,13,3658,900000,3660,900000,3660,900000,3661,900000,3661,0,3662,0,3662,0,3662,0,3643,0,,
3633,0,3733,1352480,3732,44,3636,1,3735,25,3640,-127,3737,33,3740,55,3741,1,3741,0,3742,466290,3742,0,3645,97,3645,0,3743,0,3743,0,3743,0,3743,0,3745,42,3750,12,3751,1100000,3751,1100000,3752,1100000,3752,1100000,3752,0,3753,0,3753,0,3754,0,3741,0,,
3734,0,3834,1352604,3832,55,3736,1,3836,20,3738,-127,3838,12,3841,42,3841,1,3842,0,3842,525030,3843,0,3742,97,3742,0,3844,0,3844,0,3844,0,3844,0,3846,32,3851,12,3852,1100000,3852,1100000,3852,1100000,3853,1100000,3853,0,3854,0,3855,0,3855,0,3841,0,,
3834,0,3935,1352852,3933,12,3836,1,3938,22,3839,-127,3942,25,3946,33,3946,1,3948,0,3948,374440,3949,0,3843,97,3843,0,3950,0,3950,0,3950,0,3950,0,3952,25,3963,8,3964,900000,3965,900000,3965,900000,3965,900000,3966,0,3966,0,3967,0,3967,0,3946,0,,
3935,0,4035,1353084,4034,50,3939,1,4038,44,3942,-127,4042,30,4045,36,4046,1,4047,0,4047,475200,4048,0,3949,97,3949,0,4049,0,4050,0,4050,0,4050,0,4053,38,4063,10,4063,900000,4064,900000,4064,900000,4065,900000,4065,0,4065,0,4066,0,4066,0,4046,0,,
4036,0,4135,1353208,4134,22,4038,1,4137,44,4042,-127,4139,12,4142,12,4142,1,4142,0,4142,267300,4143,0,4048,97,4048,0,4143,0,4144,0,4144,0,4144,0,4145,21,4151,7,4152,1100000,4152,1100000,4152,1100000,4153,1100000,4153,0,4154,0,4154,0,4154,0,4142,0,,
4135,0,4236,1353564,4235,22,4137,1,4238,45,4140,-127,4240,12,4243,12,4243,1,4244,0,4244,370369,4245,0,4143,97,4143,0,4245,0,4246,0,4246,0,4246,0,4248,24,4255,9,4256,1100000,4257,1100000,4257,1100000,4258,1100000,4259,0,4259,0,4260,0,4260,0,4243,0,,
4236,0,4337,1354060,4336,12,4238,1,4344,54,4241,-127,4346,45,4349,33,4350,1,4351,0,4351,586079,4351,0,4245,97,4245,0,4352,0,4352,0,4352,0,4353,0,4355,39,4365,10,4366,900000,4366,900000,4367,900000,4367,900000,4367,0,4368,0,4368,0,4369,0,4350,0,,
4337,0,4438,1354432,4436,45,4344,1,4442,50,4347,-127,4445,55,4447,33,4448,1,4449,0,4449,543510,4449,0,4351,97,4352,0,4450,0,4450,0,4450,0,4450,0,4452,45,4463,13,4465,1100000,4466,1100000,4466,1100000,4466,1100000,4467,0,4467,0,4467,0,4468,0,4448,0,,
4438,0,4538,1354696,4536,33,4443,1,4541,33,4445,-127,4543,50,4545,40,4546,1,4546,0,4547,634920,4547,0,4449,97,4450,0,4548,0,4548,0,4548,0,4548,0,4550,39,4556,14,4557,1100000,4557,1100000,4558,1100000,4560,1100000,4560,0,4560,0,4561,0,4561,0,4546,0,,
4538,0,4638,1355192,4637,40,4541,1,4641,46,4544,-127,4644,54,4646,46,4647,1,4647,0,4648,757020,4648,0,4547,97,4547,0,4649,0,4650,0,4650,0,4650,0,4652,51,4661,18,4662,900000,4662,900000,4663,900000,4663,900000,4664,0,4664,0,4665,0,4665,0,4647,0,,
4639,0,4740,1355812,4739,80,4642,1,4743,60,4644,-127,4748,63,4750,40,4750,1,4751,0,4751,721710,4752,0,4648,97,4649,0,4753,0,4754,0,4754,0,4754,0,4757,59,4775,22,4776,1500000,4776,1500000,4776,1500000,4777,1500000,4777,0,4778,0,4778,0,4778,0,4750,0,,
4740,0,4839,1348992,4838,50,4746,1,4842,40,4748,-127,4844,50,4846,33,4846,1,4847,0,4847,1167750,4847,0,4752,97,4752,0,4848,0,4848,0,4848,0,4848,0,4851,41,4864,14,4864,900000,4865,900000,4865,900000,4866,900000,4866,0,4866,0,4867,0,4867,0,4846,0,,
4839,0,4941,1349132,4939,33,4842,1,4944,50,4844,-127,4947,55,4950,50,4951,1,4951,0,4951,558360,4952,0,4847,97,4847,0,4952,0,4952,0,4952,0,4953,0,4954,46,4962,14,4963,1100000,4963,1100000,4964,1100000,4964,1100000,4964,0,4964,0,4965,0,4965,0,4950,0,,
4941,0,5040,1349272,5039,50,4944,1,5042,50,4947,-127,5045,50,5047,40,5047,1,5048,0,5048,773300,5049,0,4952,97,4952,0,5049,0,5049,0,5050,0,5050,0,5051,47,5059,17,5059,1100000,5060,1100000,5060,1100000,5061,1100000,5061,0,5061,0,5062,0,5062,0,5047,0,,
5040,0,5142,1349396,5140,50,5043,1,5144,30,5045,-127,5146,42,5148,30,5148,1,5149,0,5149,618640,5150,0,5049,97,5049,0,5150,0,5151,0,5151,0,5151,0,5153,38,5164,13,5164,900000,5165,900000,5165,900000,5165,900000,5166,0,5166,0,5167,0,5167,0,5148,0,,
5142,0,5241,1349768,5240,33,5144,1,5244,30,5146,-127,5246,44,5249,22,5249,1,5250,0,5250,383130,5250,0,5150,97,5150,0,5251,0,5251,0,5251,0,5252,0,5253,32,5260,9,5261,900000,5262,900000,5262,900000,5262,900000,5263,0,5263,0,5263,0,5264,0,5249,0,,
5242,0,5342,1349892,5341,12,5244,1,5344,25,5246,-127,5346,44,5348,30,5349,1,5349,0,5349,329669,5350,0,5250,97,5251,0,5350,0,5350,0,5350,0,5351,0,5352,28,5359,7,5359,1100000,5360,1100000,5360,1100000,5360,1100000,5361,0,5361,0,5362,0,5362,0,5348,0,,
5342,0,5442,1350496,5441,20,5344,1,5444,12,5346,-127,5446,40,5448,25,5449,1,5449,0,5449,394790,5450,0,5350,97,5350,0,5450,0,5451,0,5451,0,5451,0,5452,25,5458,8,5458,1100000,5459,1100000,5459,1100000,5460,1100000,5460,0,5460,0,5461,0,5461,0,5449,0,,
5442,0,5543,1350728,5542,11,5445,1,5546,12,5447,-127,5548,0,5551,41,5551,1,5552,0,5552,260479,5552,0,5450,97,5450,0,5553,0,5554,0,5554,0,5554,0,5556,15,5563,5,5564,900000,5564,900000,5564,900000,5565,900000,5565,0,5566,0,5566,0,5566,0,5551,0,,
5544,0,5643,1351100,5642,11,5546,1,5645,27,5549,-127,5647,12,5649,42,5649,1,5650,0,5650,273240,5650,0,5553,97,5553,0,5652,0,5652,0,5652,0,5652,0,5654,25,5660,7,5661,1100000,5661,1100000,5662,1100000,5662,1100000,5662,0,5663,0,5663,0,5663,0,5649,0,,
5643,0,5744,1350976,5742,0,5645,1,5746,11,5647,-127,5748,22,5751,33,5751,1,5752,0,5752,268620,5752,0,5651,97,5651,0,5753,0,5754,0,5754,0,5754,0,5756,19,5765,7,5765,1100000,5765,1100000,5766,1100000,5766,1100000,5767,0,5767,0,5767,0,5767,0,5751,0,,
5744,0,5845,1351348,5844,50,5746,1,5848,36,5749,-127,5850,30,5853,45,5853,1,5854,0,5854,655270,5855,0,5753,97,5753,0,5855,0,5856,0,5857,0,5857,0,5860,42,5868,15,5869,900000,5870,900000,5870,900000,5870,900000,5871,0,5871,0,5872,0,5872,0,5853,0,,
5846,0,5946,1351488,5945,14,5848,1,5949,25,5851,-127,5952,40,5954,33,5955,1,5955,0,5955,332640,5956,0,5855,97,5855,0,5957,0,5958,0,5958,0,5960,0,5962,34,5975,10,5976,900000,5977,900000,5978,900000,5979,900000,5980,0,5980,0,5981,0,5981,0,5954,0,,
5947,0,6046,1344296,6044,44,5949,1,6048,62,5952,-127,6051,37,6053,30,6053,1,6054,0,6054,513809,6054,0,5956,97,5956,0,6055,0,6055,0,6055,0,6055,0,6057,35,6066,12,6067,1100000,6067,1100000,6067,1100000,6067,1100000,6068,0,6068,0,6069,0,6069,0,6053,0,,
6046,0,6147,1344544,6145,55,6048,1,6149,40,6051,-127,6151,33,6154,25,6154,1,6154,0,6155,622710,6155,0,6054,97,6054,0,6155,0,6156,0,6156,0,6156,0,6158,38,6165,15,6166,1100000,6166,1100000,6167,1100000,6167,1100000,6167,0,6168,0,6168,0,6168,0,6154,0,,
6147,0,6248,1340840,6247,50,6149,1,6251,60,6152,-127,6253,37,6256,60,6256,1,6257,0,6258,842490,6259,0,6155,97,6155,0,6260,0,6261,0,6261,0,6261,0,6264,54,6272,16,6273,900000,6274,900000,6274,900000,6275,900000,6276,0,6277,0,6278,0,6279,0,6256,0,,
6249,0,6349,1340840,6347,50,6251,1,6351,36,6254,-127,6354,22,6357,33,6357,1,6358,0,6358,418770,6358,0,6259,97,6259,0,6359,0,6360,0,6360,0,6360,0,6362,29,6369,8,6370,900000,6370,900000,6371,900000,6371,900000,6372,0,6372,0,6372,0,6373,0,6357,0,,
6349,0,6448,1340808,6447,11,6352,1,6450,25,6354,-127,6452,30,6454,11,6455,1,6455,0,6455,228690,6455,0,6359,97,6359,0,6456,0,6456,0,6456,0,6456,0,6458,18,6464,7,6464,1100000,6465,1100000,6466,1100000,6466,1100000,6467,0,6467,0,6467,0,6468,0,6454,0,,
6448,0,6549,1340932,6548,30,6451,1,6551,20,6453,-127,6553,33,6555,11,6555,1,6555,0,6556,382580,6556,0,6455,97,6456,0,6556,0,6557,0,6557,0,6557,0,6558,24,6564,8,6564,1100000,6565,1100000,6565,1100000,6565,1100000,6566,0,6566,0,6566,0,6566,0,6555,0,,
6549,0,6650,1340932,6649,11,6551,1,6653,22,6553,-127,6655,22,6657,27,6658,1,6660,0,6660,333740,6660,0,6556,97,6556,0,6661,0,6661,0,6662,0,6662,0,6664,21,6670,6,6671,900000,6672,900000,6672,900000,6672,900000,6673,0,6673,0,6673,0,6674,0,6658,0,,
6650,0,6752,1341288,6750,33,6653,1,6754,22,6655,-127,6757,54,6760,22,6761,1,6761,0,6762,389070,6762,0,6661,97,6661,0,6763,0,6763,0,6763,0,6764,0,6766,34,6773,7,6773,900000,6774,900000,6774,900000,6775,900000,6775,0,6776,0,6776,0,6776,0,6760,0,,
6752,0,6851,1341412,6850,14,6755,1,6852,11,6757,-127,6854,20,6856,37,6857,1,6858,0,6858,243540,6858,0,6762,97,6762,0,6859,0,6860,0,6860,0,6860,0,6861,25,6867,8,6867,1100000,6868,1100000,6868,1100000,6869,1100000,6869,0,6869,0,6870,0,6870,0,6857,0,,
6851,0,6951,1341552,6950,11,6853,1,6953,11,6855,-127,6955,36,6957,45,6957,1,6958,0,6958,419210,6959,0,6859,97,6859,0,6959,0,6960,0,6960,0,6960,0,6961,25,6967,8,6967,1100000,6968,1100000,6968,1100000,6969,1100000,6969,0,6969,0,6970,0,6970,0,6957,0,,
6951,0,7052,1341676,7051,12,6953,1,7055,20,6955,-127,7057,27,7060,40,7060,1,7061,0,7061,402930,7062,0,6959,97,6959,0,7062,0,7062,0,7062,0,7063,0,7065,21,7072,6,7072,900000,7073,900000,7074,900000,7074,900000,7074,0,7075,0,7075,0,7075,0,7060,0,,
7053,0,7153,1341924,7152,20,7055,1,7155,11,7057,-127,7158,40,7161,33,7161,1,7162,0,7162,308880,7163,0,7062,97,7062,0,7164,0,7164,0,7164,0,7164,0,7166,28,7173,7,7174,900000,7174,900000,7175,900000,7175,900000,7176,0,7176,0,7176,0,7177,0,7161,0,,
7153,0,7253,1342420,7252,30,7156,1,7255,30,7158,-127,7256,27,7258,40,7259,1,7259,0,7260,377190,7260,0,7163,97,7163,0,7260,0,7261,0,7261,0,7261,0,7262,34,7268,11,7269,1100000,7270,1100000,7270,1100000,7271,1100000,7271,0,7272,0,7272,0,7273,0,7259,0,,
7253,0,7353,1342668,7352,20,7255,1,7355,30,7257,-127,7357,11,7359,50,7360,1,7360,0,7360,451770,7360,0,7260,97,7260,0,7361,0,7361,0,7361,0,7361,0,7363,23,7369,8,7370,1100000,7370,1100000,7371,1100000,7371,1100000,7371,0,7372,0,7372,0,7372,0,7359,0,,
7353,0,7454,1343040,7453,12,7355,1,7457,11,7357,-127,7460,10,7462,44,7463,1,7463,0,7463,313390,7464,0,7361,97,7361,0,7464,0,7465,0,7465,0,7465,0,7467,19,7474,6,7475,900000,7476,900000,7476,900000,7476,900000,7477,0,7477,0,7477,0,7478,0,7462,0,,
7455,0,7554,1343288,7553,14,7457,1,7556,30,7460,-127,7558,27,7561,50,7562,1,7562,0,7563,359370,7563,0,7464,97,7464,0,7564,0,7564,0,7564,0,7564,0,7566,31,7572,7,7573,1100000,7573,1100000,7574,1100000,7574,1100000,7574,0,7575,0,7575,0,7575,0,7562,0,,
