App,Package,Start Time,Duration,Filename
"2048",chan.android.game2048,"Oca 4, 2018 @ 09:33:18 PM","5 min 12 sec",""

Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Screen State",Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPS State",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"Application State",Description,
1,1346792,0,15,3,48,5,23,7,20,8,431419,8,0,7,1,8,93,8,0,9,0,8,0,9,0,9,0,10,27,18,10,18,900000,19,900000,19,900000,20,900000,20,0,20,0,21,0,21,0,7,0,,
101,1349444,100,33,103,66,105,63,106,30,107,570240,107,0,107,1,81,93,108,0,108,0,81,0,109,0,109,0,110,52,117,20,117,1500000,118,1500000,118,1500000,118,1500000,119,0,119,0,119,0,119,0,107,0,,
202,1352856,201,66,204,75,206,60,208,44,209,1653750,208,0,208,1,108,93,209,0,210,0,108,0,210,0,211,0,212,60,219,29,219,1500000,219,1500000,220,1500000,220,1500000,220,0,220,0,220,0,221,0,208,0,,
302,1353368,301,66,303,55,305,45,306,40,309,1390500,308,0,308,1,209,93,309,0,310,0,209,0,311,0,311,0,312,51,318,25,318,1400000,319,1400000,319,1400000,319,1400000,319,0,320,0,320,0,320,0,308,0,,
405,1353616,404,36,408,30,410,36,412,40,413,854839,413,0,412,1,309,93,414,0,415,0,309,0,415,0,415,0,417,43,422,16,422,1300000,422,1300000,423,1300000,423,1300000,423,0,424,0,424,0,425,0,412,0,,
503,1353880,502,45,504,41,506,33,507,50,508,900770,508,0,507,1,414,93,508,0,509,0,414,0,509,0,509,0,510,35,517,16,517,1300000,517,1300000,518,1300000,518,1300000,518,0,518,0,519,0,519,0,507,0,,
603,1355584,602,30,604,22,606,40,607,41,608,708890,608,0,608,1,508,93,609,0,610,0,508,0,611,0,611,0,612,34,617,13,618,1300000,618,1300000,618,1300000,618,1300000,619,0,619,0,619,0,619,0,608,0,,
704,1357444,703,36,705,0,707,22,708,44,709,543660,709,0,709,1,609,93,709,0,710,0,609,0,710,0,710,0,711,25,716,10,716,1300000,716,1300000,717,1300000,717,1300000,717,0,717,0,718,0,718,0,708,0,,
804,1357940,803,0,805,18,807,9,808,27,809,287820,809,0,809,1,709,93,809,0,810,0,709,0,810,0,810,0,811,15,816,6,816,1300000,817,1300000,817,1300000,817,1300000,818,0,818,0,818,0,818,0,809,0,,
904,1358436,903,0,906,12,907,0,909,30,910,223860,910,0,910,1,809,93,910,0,911,0,810,0,911,0,911,0,912,10,917,4,918,1300000,918,1300000,918,1300000,918,1300000,919,0,919,0,919,0,919,0,909,0,,
1005,1358932,1004,20,1007,33,1009,10,1010,36,1012,527670,1011,0,1011,1,910,93,1012,0,1013,0,911,0,1013,0,1014,0,1015,30,1025,12,1025,1100000,1026,1100000,1026,1100000,1027,1100000,1028,0,1028,0,1029,0,1029,0,1011,0,,
1105,1358824,1104,55,1107,54,1110,88,1112,63,1115,1058200,1114,0,1113,1,1012,93,1116,0,1118,0,1013,0,1120,0,1120,0,1121,99,1131,23,1131,1300000,1132,1300000,1132,1300000,1132,1300000,1133,1300000,1133,1300000,1133,1300000,1133,1300000,1112,0,,
1207,1359320,1205,0,1209,50,1212,0,1215,10,1218,463710,1218,27,1216,1,1117,93,1220,9,1223,18,1117,0,1225,9,1225,0,1228,16,1241,9,1241,900000,1242,900000,1243,900000,1244,900000,1244,400000,1245,400000,1246,400000,1247,400000,1215,0,,
1306,1359320,1305,33,1308,60,1310,25,1313,22,1316,459039,1315,11,1313,1,1221,93,1317,11,1319,20,1221,0,1321,0,1322,0,1323,22,1336,15,1336,1100000,1337,1100000,1337,1100000,1337,1100000,1338,1100000,1338,1100000,1338,1100000,1338,1100000,1313,0,,
1407,1359816,1406,0,1409,50,1411,20,1413,30,1416,643060,1415,27,1413,1,1318,93,1418,0,1420,11,1318,0,1422,18,1422,0,1423,21,1435,13,1435,1100000,1436,1100000,1436,1100000,1436,1100000,1437,1100000,1437,1100000,1437,1100000,1438,1100000,1413,0,,
1508,1359816,1507,11,1511,44,1513,12,1517,27,1521,573869,1521,18,1518,1,1418,93,1524,10,1527,30,1418,0,1530,11,1530,0,1532,22,1546,13,1546,900000,1547,900000,1548,900000,1548,900000,1548,400000,1549,400000,1549,400000,1549,400000,1517,0,,
1608,1360064,1607,33,1611,50,1614,11,1617,33,1621,444350,1621,22,1617,1,1525,93,1623,22,1625,20,1525,0,1627,30,1627,0,1629,29,1640,15,1640,1100000,1641,1100000,1641,1100000,1641,1100000,1642,1100000,1642,1100000,1643,1100000,1643,1100000,1617,0,,
1708,1360560,1707,0,1710,60,1712,22,1715,80,1718,997150,1718,11,1716,1,1623,93,1720,11,1722,11,1623,0,1723,41,1723,0,1725,31,1733,23,1734,1500000,1734,1500000,1735,1500000,1735,1500000,1735,1100000,1735,1100000,1736,1100000,1736,1100000,1716,0,,
1808,1356128,1807,25,1810,12,1812,30,1814,22,1818,1019959,1818,40,1815,1,1720,93,1821,10,1824,20,1720,0,1827,10,1827,0,1829,21,1841,15,1842,900000,1843,900000,1843,900000,1844,900000,1845,400000,1845,400000,1845,400000,1846,400000,1815,0,,
1911,1356300,1910,22,1913,54,1916,27,1918,36,1920,458830,1920,10,1918,1,1821,93,1922,20,1923,33,1822,0,1925,33,1926,0,1928,29,1938,15,1939,1100000,1939,1100000,1940,1100000,1940,1100000,1940,1100000,1940,1100000,1941,1100000,1941,1100000,1918,0,,
2009,1356300,2008,0,2012,44,2014,30,2016,22,2018,785510,2018,11,2016,1,1922,93,2020,0,2022,11,1922,0,2024,0,2024,0,2025,15,2036,10,2036,1100000,2036,1100000,2037,1100000,2037,1100000,2037,1100000,2038,1100000,2038,1100000,2038,1100000,2016,0,,
2111,1356812,2109,11,2114,50,2116,0,2119,11,2122,472120,2121,33,2119,1,2020,93,2124,0,2126,18,2020,0,2129,0,2130,0,2132,16,2144,11,2145,900000,2145,900000,2146,900000,2147,900000,2148,900000,2148,900000,2149,900000,2149,900000,2119,0,,
2210,1357060,2209,45,2213,60,2215,11,2217,20,2220,490050,2219,11,2218,1,2124,93,2221,22,2223,18,2124,0,2225,22,2225,0,2227,27,2238,15,2239,1100000,2239,1100000,2239,1100000,2240,1100000,2240,1100000,2240,1100000,2240,1100000,2241,1100000,2218,0,,
2311,1356896,2310,20,2313,40,2315,0,2317,30,2319,700040,2319,20,2317,1,2221,93,2321,11,2323,30,2221,0,2324,27,2325,0,2326,21,2337,15,2337,1100000,2338,1100000,2338,1100000,2338,1100000,2338,1100000,2339,1100000,2339,1100000,2339,1100000,2317,0,,
2415,1357408,2413,22,2419,40,2423,10,2427,18,2432,716319,2431,18,2428,1,2321,93,2435,0,2439,35,2321,0,2442,18,2442,0,2445,20,2458,13,2459,900000,2459,900000,2460,900000,2460,900000,2461,400000,2462,400000,2462,400000,2463,400000,2427,0,,
2513,1357656,2511,30,2515,66,2517,11,2519,30,2521,486010,2521,33,2519,1,2435,93,2523,25,2525,22,2436,0,2527,33,2527,0,2529,36,2539,22,2540,1100000,2540,1100000,2541,1100000,2541,1100000,2541,1100000,2542,1100000,2542,1100000,2542,1100000,2519,0,,
2613,1358152,2611,18,2615,40,2617,11,2619,27,2621,797720,2621,20,2619,1,2523,93,2623,33,2625,33,2523,0,2627,27,2627,0,2629,23,2639,16,2639,1100000,2640,1100000,2640,1100000,2640,1100000,2641,1100000,2641,1100000,2641,1100000,2641,1100000,2619,0,,
2715,1358384,2713,30,2719,60,2723,11,2726,27,2731,899469,2730,0,2727,1,2623,93,2734,11,2738,20,2623,0,2740,27,2740,0,2742,25,2755,12,2755,1100000,2756,1100000,2756,1100000,2756,1100000,2757,1100000,2757,1100000,2757,1100000,2757,1100000,2727,0,,
2817,1356144,2816,45,2819,66,2821,41,2823,54,2825,1119250,2825,11,2823,1,2734,93,2827,12,2829,11,2734,0,2831,12,2831,0,2833,32,2842,22,2842,1100000,2842,1100000,2843,1100000,2843,1100000,2843,1100000,2844,1100000,2844,1100000,2845,1100000,2823,0,,
2918,1356376,2917,10,2919,33,2921,20,2923,10,2925,439559,2925,0,2923,1,2827,93,2927,18,2929,0,2827,0,2931,20,2931,0,2932,13,2943,10,2944,900000,2945,900000,2945,900000,2945,900000,2946,400000,2946,400000,2946,400000,2947,400000,2923,0,,
3018,1356624,3017,22,3020,45,3022,0,3024,0,3026,243150,3026,10,3024,1,2927,93,3028,0,3030,9,2927,0,3032,18,3032,0,3033,16,3043,12,3043,1100000,3044,1100000,3044,1100000,3045,1100000,3045,1100000,3045,1100000,3045,1100000,3046,1100000,3024,0,,
3119,1356624,3118,20,3120,33,3122,20,3124,38,3126,663410,3126,25,3124,1,3028,93,3128,18,3130,0,3028,0,3132,25,3132,0,3133,20,3143,14,3143,1100000,3143,1100000,3144,1100000,3144,1100000,3144,1100000,3145,1100000,3145,1100000,3145,1100000,3124,0,,
3220,1357352,3219,27,3222,54,3225,27,3227,0,3230,614569,3230,0,3227,1,3128,93,3232,16,3235,0,3128,0,3238,10,3238,0,3240,19,3250,8,3250,1100000,3251,1100000,3251,1100000,3251,1100000,3252,1100000,3252,1100000,3252,1100000,3253,1100000,3227,0,,
3320,1357352,3319,36,3322,58,3323,33,3325,33,3328,830279,3327,18,3326,1,3232,93,3330,0,3332,0,3232,0,3333,0,3334,0,3335,23,3345,15,3345,1100000,3346,1100000,3346,1100000,3347,1100000,3347,1100000,3347,1100000,3347,1100000,3348,1100000,3326,0,,
3420,1357600,3419,18,3422,33,3424,0,3426,37,3428,358159,3428,0,3426,1,3330,93,3430,0,3432,10,3330,0,3434,0,3434,0,3436,12,3448,8,3448,900000,3449,900000,3449,900000,3450,900000,3450,900000,3450,900000,3451,900000,3451,900000,3426,0,,
3520,1357848,3520,11,3522,10,3524,11,3526,30,3528,213839,3528,0,3527,1,3430,93,3530,10,3532,0,3430,0,3534,0,3535,0,3536,13,3546,8,3547,1100000,3547,1100000,3548,1100000,3548,1100000,3548,1100000,3548,1100000,3549,1100000,3549,1100000,3526,0,,
3621,1358096,3620,33,3623,18,3625,11,3627,20,3629,374440,3629,0,3627,1,3531,93,3631,20,3633,10,3531,0,3635,0,3635,0,3636,11,3650,8,3650,1100000,3650,1100000,3651,1100000,3651,1100000,3651,1100000,3652,1100000,3652,1100000,3652,1100000,3627,0,,
3722,1358096,3721,40,3725,20,3729,27,3733,20,3737,594220,3737,9,3734,1,3631,93,3740,23,3742,18,3631,0,3745,18,3745,0,3747,22,3762,14,3763,900000,3764,900000,3765,900000,3766,900000,3766,400000,3767,400000,3767,400000,3768,400000,3733,0,,
3823,1358592,3822,25,3827,0,3831,55,3834,27,3838,405190,3838,36,3835,1,3740,93,3841,33,3844,12,3740,0,3847,40,3847,0,3849,33,3869,15,3870,1100000,3871,1100000,3871,1100000,3872,1100000,3873,1100000,3874,1100000,3874,1100000,3875,1100000,3835,0,,
3922,1352912,3921,70,3924,40,3925,55,3927,55,3929,1241350,3929,0,3927,1,3841,93,3931,11,3933,22,3841,0,3935,11,3935,0,3937,29,3946,24,3947,1200000,3947,1200000,3948,1200000,3949,1200000,3949,1100000,3949,1100000,3950,1100000,3950,1100000,3927,0,,
4023,1353656,4022,33,4025,22,4027,41,4028,42,4030,865619,4030,10,4029,1,3931,93,4032,0,4034,10,3931,0,4036,0,4036,0,4038,19,4046,16,4047,1300000,4047,1300000,4047,1300000,4048,1300000,4048,1100000,4049,1100000,4049,1100000,4049,1100000,4028,0,,
4124,1353656,4123,20,4127,20,4130,20,4132,22,4136,612070,4136,33,4133,1,4032,93,4139,33,4141,9,4032,0,4144,18,4144,0,4147,24,4162,13,4162,900000,4163,900000,4165,1200000,4165,1200000,4166,400000,4166,400000,4167,400000,4167,400000,4133,0,,
4224,1353656,4223,66,4226,12,4228,36,4230,12,4233,521619,4232,11,4231,1,4139,93,4235,25,4237,20,4139,0,4239,0,4240,0,4241,21,4253,15,4253,1100000,4254,1100000,4254,1100000,4254,1100000,4255,1100000,4255,1100000,4256,1100000,4256,1100000,4231,0,,
4325,1354152,4324,22,4326,40,4328,0,4330,22,4332,606430,4332,20,4330,1,4235,93,4334,11,4336,22,4235,0,4338,20,4338,0,4340,18,4349,13,4350,1100000,4350,1100000,4350,1100000,4351,1100000,4351,1100000,4351,1100000,4351,1100000,4352,1100000,4330,0,,
4427,1354152,4425,20,4429,37,4432,0,4435,36,4439,683760,4439,22,4436,1,4334,93,4441,35,4443,20,4334,0,4446,20,4446,0,4449,27,4461,13,4462,900000,4462,900000,4463,900000,4463,900000,4464,400000,4464,400000,4465,400000,4465,400000,4436,0,,
4526,1354664,4525,0,4528,58,4529,14,4532,22,4534,368419,4534,22,4532,1,4442,93,4536,12,4538,11,4442,0,4540,0,4540,0,4542,17,4553,10,4554,1100000,4555,1100000,4555,1100000,4555,1100000,4555,1100000,4556,1100000,4556,1100000,4556,1100000,4532,0,,
4626,1354912,4625,0,4628,63,4630,30,4632,22,4635,634920,4635,18,4633,1,4537,93,4637,10,4639,0,4537,0,4640,10,4641,0,4642,20,4653,14,4654,1100000,4654,1100000,4655,1100000,4655,1100000,4655,1100000,4656,1100000,4656,1100000,4656,1100000,4633,0,,
4728,1355112,4727,20,4730,40,4733,12,4736,27,4739,525030,4739,10,4736,1,4637,93,4741,27,4744,33,4637,0,4746,10,4747,0,4749,24,4762,12,4763,900000,4763,900000,4764,900000,4765,900000,4766,400000,4766,400000,4767,400000,4767,400000,4736,0,,
4828,1355516,4827,41,4830,58,4832,30,4834,30,4837,561470,4836,27,4834,1,4742,93,4838,0,4840,27,4742,0,4842,22,4842,0,4844,31,4855,18,4856,1100000,4856,1100000,4857,1100000,4857,1100000,4857,1100000,4857,1100000,4858,1100000,4858,1100000,4834,0,,
4931,1356004,4928,30,4933,50,4935,36,4938,0,4948,671550,4947,0,4938,1,4839,93,4950,0,4952,8,4839,0,4954,0,4954,0,4956,17,4965,12,4965,1100000,4966,1100000,4966,1100000,4966,1100000,4967,1100000,4967,1100000,4967,1100000,4967,1100000,4938,0,,
5030,1353300,5029,25,5032,30,5035,11,5037,40,5040,553520,5040,22,5038,1,4950,93,5042,20,5045,20,4950,0,5047,20,5047,0,5049,20,5059,12,5059,1200000,5060,1200000,5060,1200000,5060,1200000,5061,1100000,5061,1100000,5061,1100000,5061,1100000,5037,0,,
5129,1353796,5128,11,5131,36,5133,0,5135,40,5138,651359,5138,0,5136,1,5043,93,5140,18,5142,11,5043,0,5144,10,5144,0,5145,15,5155,11,5156,1100000,5156,1100000,5157,1100000,5157,1100000,5157,1100000,5158,1100000,5158,1100000,5158,1100000,5136,0,,
5230,1354060,5229,27,5232,20,5234,20,5236,37,5239,582010,5239,0,5237,1,5140,93,5241,0,5243,9,5140,0,5245,18,5245,0,5247,18,5261,13,5262,900000,5262,900000,5263,900000,5263,900000,5264,400000,5265,400000,5265,400000,5266,400000,5237,0,,
5334,1354308,5331,40,5338,50,5342,30,5345,33,5348,516969,5348,41,5346,1,5241,93,5351,0,5354,9,5241,0,5356,66,5357,0,5358,31,5371,11,5372,900000,5372,900000,5373,900000,5373,900000,5373,900000,5374,900000,5374,900000,5374,900000,5346,0,,
5431,1354556,5430,0,5433,20,5436,25,5437,22,5440,501930,5440,27,5438,1,5351,93,5441,20,5443,12,5352,0,5445,44,5445,0,5447,24,5457,16,5458,1100000,5458,1100000,5458,1100000,5459,1100000,5459,1100000,5459,1100000,5459,1100000,5460,1100000,5438,0,,
5532,1355068,5530,20,5534,18,5536,30,5538,20,5540,748880,5540,20,5538,1,5442,93,5541,33,5543,0,5442,0,5545,30,5546,0,5547,25,5557,18,5557,1100000,5558,1100000,5558,1100000,5558,1100000,5559,1100000,5559,1100000,5559,1100000,5560,1100000,5538,0,,
5633,1355316,5632,40,5636,27,5639,33,5642,22,5644,862840,5644,27,5642,1,5542,93,5646,10,5649,27,5542,0,5652,33,5653,0,5655,27,5668,15,5668,1100000,5669,1100000,5669,1100000,5670,1100000,5670,1100000,5670,1100000,5671,1100000,5671,1100000,5642,0,,
5733,1355640,5732,27,5735,33,5737,27,5739,41,5741,895399,5741,22,5739,1,5647,93,5743,0,5745,11,5647,0,5746,50,5747,0,5748,24,5758,17,5758,1100000,5759,1100000,5759,1100000,5759,1100000,5760,1100000,5760,1100000,5760,1100000,5761,1100000,5739,0,,
5834,1356012,5832,36,5835,36,5837,33,5839,30,5841,838420,5841,10,5840,1,5743,93,5843,0,5845,20,5743,0,5847,30,5847,0,5849,23,5859,17,5860,900000,5860,900000,5861,900000,5861,900000,5861,900000,5862,900000,5862,900000,5862,900000,5839,0,,
