App,Package,Start Time,Duration,Filename
"2048",chan.android.game2048,"Eyl 29, 2021 @ 11:09:18 PM","5 min 13 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"Wi-Fi RSSI Level [-dBm]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen State",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",Time  [ms],"Bluetooth State",Time  [ms],"GPS State",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"Application State",Description,
1,0,1,1375812,0,24,4,1,3,19,5,-127,5,16,7,21,8,1,8,0,8,325600,9,0,9,92,9,0,9,0,10,0,10,0,10,0,12,20,19,6,20,1100000,20,1100000,20,1100000,21,1100000,21,0,22,0,22,0,22,0,7,0,,
81,0,152,1376992,151,46,82,1,154,43,82,-127,155,60,157,57,160,1,161,0,161,838420,162,0,83,92,83,0,163,0,163,0,163,0,163,0,165,52,170,22,171,1500000,171,1500000,172,1500000,172,1500000,173,0,173,0,173,0,173,0,157,0,,
152,0,253,1380388,252,50,154,1,255,37,156,-127,257,75,259,55,259,1,260,0,260,1464750,260,0,162,92,162,0,261,0,262,0,262,0,262,0,264,56,275,25,276,1300000,276,1300000,277,1300000,278,1300000,279,0,279,0,280,0,280,0,259,0,,
253,0,352,1380636,352,41,255,1,354,50,257,-127,356,40,357,50,361,1,363,0,363,964730,364,0,261,92,261,0,367,0,368,0,368,0,369,0,371,50,378,22,379,1300000,379,1300000,380,1300000,381,1300000,381,0,382,0,382,0,382,0,358,0,,
353,0,453,1380992,452,36,354,1,454,50,356,-127,456,45,458,44,460,1,460,0,460,932750,461,0,365,92,365,0,461,0,462,0,462,0,462,0,463,38,470,16,471,1300000,471,1300000,471,1300000,472,1300000,472,0,472,0,472,0,473,0,459,0,,
453,0,553,1381116,552,46,455,1,555,22,456,-127,557,30,559,30,569,1,569,0,569,682240,570,0,461,92,461,0,570,0,571,0,571,0,571,0,572,33,580,13,581,1300000,581,1300000,582,1300000,582,1300000,582,0,583,0,583,0,584,0,569,0,,
553,0,653,1382960,653,37,555,1,655,50,557,-127,656,90,657,44,657,1,658,0,658,1177930,658,0,570,92,570,0,659,0,659,0,659,0,659,0,661,54,668,25,668,1500000,669,1500000,669,1500000,669,1500000,670,0,671,0,671,0,672,0,657,0,,
653,0,754,1383208,753,27,655,1,756,10,656,-127,759,20,761,18,761,1,762,0,762,506250,762,0,658,92,658,0,763,0,763,0,763,0,763,0,765,20,770,9,770,1300000,771,1300000,771,1300000,771,1300000,771,0,772,0,772,0,772,0,761,0,,
755,0,855,1383456,854,22,757,1,857,10,759,-127,859,20,861,0,862,1,862,0,863,277160,863,0,762,92,763,0,863,0,863,0,864,0,864,0,865,10,870,4,871,1300000,871,1300000,871,1300000,872,1300000,872,0,872,0,872,0,872,0,862,0,,
855,0,955,1383828,954,22,857,1,957,11,860,-127,960,11,962,10,962,1,963,0,963,287820,963,0,863,92,863,0,964,0,964,0,964,0,964,0,966,10,971,4,971,1300000,971,1300000,972,1300000,972,1300000,972,0,972,0,973,0,973,0,962,0,,
956,0,1059,1383828,1057,22,958,1,1064,0,960,-127,1070,18,1075,0,1076,1,1077,0,1077,213200,1078,0,963,92,963,0,1080,0,1081,0,1081,0,1081,0,1085,18,1098,3,1099,900000,1100,900000,1100,900000,1102,900000,1103,0,1104,0,1104,0,1105,0,1075,0,,
1060,0,1160,1383828,1158,50,1064,1,1165,40,1070,-127,1169,25,1175,33,1175,1,1177,0,1177,439560,1178,0,1079,92,1079,0,1180,0,1181,0,1182,0,1182,0,1185,38,1198,8,1201,900000,1201,900000,1202,900000,1202,900000,1203,0,1203,0,1204,0,1204,0,1175,0,,
1161,0,1262,1384076,1260,30,1165,1,1267,27,1170,-127,1272,33,1279,30,1281,1,1282,0,1282,356400,1283,0,1179,92,1179,0,1284,0,1284,0,1284,0,1284,0,1288,32,1302,9,1303,900000,1303,900000,1304,900000,1304,900000,1305,0,1305,0,1305,0,1306,0,1281,0,,
1263,0,1309,1384448,1308,100,1267,1,1312,83,1273,-127,1315,80,1318,50,1321,1,1321,0,1322,929610,1322,0,1283,92,1283,0,1323,0,1323,0,1323,0,1323,0,1325,66,1334,17,1334,900000,1335,900000,1335,900000,1336,900000,1336,0,1337,0,1337,0,1338,0,1318,0,,
1310,0,1409,1379364,1408,20,1313,1,1411,62,1316,-127,1412,40,1414,77,1415,1,1415,0,1415,591030,1416,0,1322,92,1322,0,1416,0,1416,0,1416,0,1417,0,1418,50,1423,18,1423,1400000,1423,1400000,1424,1400000,1424,1400000,1424,0,1424,0,1425,0,1425,0,1415,0,,
1409,0,1510,1379364,1509,22,1411,1,1512,30,1413,-127,1515,22,1517,0,1517,1,1518,0,1518,445479,1518,0,1416,92,1416,0,1519,0,1519,0,1519,0,1520,0,1521,20,1528,5,1529,900000,1529,900000,1530,900000,1530,900000,1531,0,1531,0,1531,0,1532,0,1517,0,,
1510,0,1610,1379612,1609,11,1513,1,1613,10,1515,-127,1615,45,1617,20,1618,1,1618,0,1618,255420,1619,0,1518,92,1519,0,1621,0,1622,0,1622,0,1622,0,1626,23,1634,6,1635,900000,1635,900000,1636,900000,1636,900000,1636,0,1637,0,1637,0,1637,0,1618,0,,
1611,0,1711,1379860,1710,10,1613,1,1713,18,1615,-127,1716,50,1718,10,1718,1,1719,0,1719,261360,1720,0,1619,92,1620,0,1720,0,1720,0,1721,0,1721,0,1723,23,1729,6,1730,900000,1730,900000,1731,900000,1731,900000,1732,0,1732,0,1732,0,1733,0,1718,0,,
1711,0,1814,1380232,1812,12,1714,1,1818,22,1716,-127,1822,70,1826,11,1827,1,1828,0,1828,341550,1828,0,1720,92,1720,0,1829,0,1830,0,1830,0,1830,0,1832,28,1839,5,1839,900000,1840,900000,1840,900000,1841,900000,1841,0,1841,0,1842,0,1842,0,1826,0,,
1814,0,1912,1380480,1911,11,1819,1,1915,10,1823,-127,1917,33,1919,25,1920,1,1920,0,1920,234630,1921,0,1829,92,1829,0,1922,0,1922,0,1922,0,1922,0,1924,19,1931,5,1931,900000,1932,900000,1932,900000,1933,900000,1933,0,1933,0,1934,0,1934,0,1919,0,,
1913,0,2013,1380852,2011,20,1915,1,2015,0,1917,-127,2017,33,2020,20,2020,1,2021,0,2021,216810,2021,0,1921,92,1921,0,2022,0,2022,0,2022,0,2022,0,2024,19,2031,5,2032,900000,2032,900000,2032,900000,2033,900000,2033,0,2034,0,2034,0,2034,0,2020,0,,
2013,0,2113,1381100,2112,0,2015,1,2115,10,2017,-127,2118,40,2120,22,2120,1,2121,0,2121,213840,2122,0,2021,92,2021,0,2122,0,2123,0,2123,0,2123,0,2125,18,2131,5,2132,900000,2132,900000,2133,900000,2133,900000,2133,0,2134,0,2134,0,2134,0,2120,0,,
2113,0,2214,1381348,2212,22,2116,1,2216,18,2118,-127,2218,30,2221,18,2221,1,2222,0,2222,261360,2222,0,2122,92,2122,0,2223,0,2223,0,2223,0,2223,0,2225,23,2232,6,2233,900000,2233,900000,2233,900000,2234,900000,2234,0,2235,0,2235,0,2235,0,2221,0,,
2214,0,2317,1381472,2314,55,2216,1,2322,33,2218,-127,2324,11,2326,22,2327,1,2327,0,2328,359370,2328,0,2222,92,2223,0,2329,0,2329,0,2330,0,2330,0,2332,30,2338,6,2338,900000,2339,900000,2339,900000,2340,900000,2340,0,2341,0,2341,0,2341,0,2327,0,,
2317,0,2415,1381844,2414,44,2322,1,2417,0,2325,-127,2420,30,2422,20,2422,1,2423,0,2423,279180,2423,0,2328,92,2328,0,2424,0,2424,0,2425,0,2425,0,2427,22,2433,6,2434,900000,2434,900000,2434,900000,2435,900000,2435,0,2436,0,2436,0,2436,0,2422,0,,
2415,0,2515,1382092,2514,40,2417,1,2517,30,2420,-127,2520,22,2522,18,2523,1,2523,0,2524,326700,2524,0,2424,92,2424,0,2524,0,2525,0,2525,0,2525,0,2527,27,2538,8,2540,900000,2541,900000,2541,900000,2541,900000,2542,0,2542,0,2543,0,2543,0,2523,0,,
2515,0,2616,1382464,2615,45,2518,1,2618,20,2520,-127,2621,27,2623,0,2623,1,2624,0,2624,273240,2625,0,2524,92,2524,0,2625,0,2626,0,2626,0,2626,0,2628,25,2641,6,2641,900000,2642,900000,2642,900000,2642,900000,2643,0,2643,0,2644,0,2644,0,2623,0,,
2616,0,2716,1382836,2715,37,2618,1,2719,25,2621,-127,2721,20,2724,20,2724,1,2725,0,2725,302940,2725,0,2625,92,2625,0,2726,0,2726,0,2726,0,2727,0,2728,25,2735,7,2736,900000,2736,900000,2736,900000,2737,900000,2737,0,2737,0,2738,0,2738,0,2724,0,,
2717,0,2816,1383084,2815,33,2719,1,2818,11,2722,-127,2820,11,2823,36,2824,1,2824,0,2825,270270,2825,0,2726,92,2726,0,2825,0,2826,0,2826,0,2826,0,2827,20,2833,6,2834,1100000,2835,1100000,2836,1100000,2836,1100000,2836,0,2837,0,2837,0,2837,0,2824,0,,
2817,0,2917,1379504,2916,45,2819,1,2919,60,2821,-127,2921,53,2923,33,2923,1,2923,0,2924,777370,2924,0,2825,92,2825,0,2924,0,2924,0,2925,0,2925,0,2926,50,2934,18,2935,1100000,2935,1100000,2935,1100000,2936,1100000,2936,0,2936,0,2937,0,2937,0,2923,0,,
2917,0,3019,1379504,3017,25,2919,1,3021,45,2921,-127,3024,37,3026,36,3026,1,3027,0,3027,582010,3027,0,2924,92,2924,0,3028,0,3029,0,3029,0,3029,0,3032,40,3040,14,3040,1100000,3041,1100000,3042,1100000,3043,1100000,3043,0,3043,0,3044,0,3044,0,3026,0,,
3019,0,3118,1379752,3117,40,3022,1,3120,50,3024,-127,3122,40,3124,28,3125,1,3125,0,3125,643060,3125,0,3027,92,3028,0,3126,0,3126,0,3126,0,3126,0,3128,34,3137,14,3137,1100000,3138,1100000,3139,1100000,3139,1100000,3140,0,3140,0,3140,0,3141,0,3124,0,,
3118,0,3219,1380016,3217,22,3120,1,3221,44,3122,-127,3223,30,3225,53,3225,1,3225,0,3226,606430,3226,0,3125,92,3126,0,3226,0,3227,0,3227,0,3227,0,3231,40,3237,13,3238,1100000,3238,1100000,3239,900000,3239,900000,3240,0,3240,0,3241,0,3241,0,3225,0,,
3219,0,3323,1380388,3321,45,3221,1,3325,50,3223,-127,3327,33,3329,63,3330,1,3330,0,3331,671770,3331,0,3226,92,3226,0,3332,0,3333,0,3333,0,3333,0,3335,53,3341,13,3342,1100000,3342,1100000,3342,1100000,3343,1100000,3343,0,3343,0,3343,0,3344,0,3330,0,,
