App,Package,Start Time,Duration,Filename
"2048",chan.android.game2048,"Eyl 29, 2021 @ 08:33:59 PM","5 min 12 sec",""

Time  [ms],"Mobile Data State",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Load [%]",Time  [ms],"Wi-Fi State",Time  [ms],"CPU2 Load [%]",Time  [ms],"Wi-Fi RSSI Level [-dBm]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Screen State",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",Time  [ms],"Bluetooth State",Time  [ms],"GPS State",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"Application State",Description,
1,0,1,1374172,0,26,3,1,3,25,4,-127,4,24,6,47,6,1,7,0,7,496539,7,0,7,98,7,0,8,0,8,0,8,0,8,0,10,31,15,11,16,1400000,16,1400000,17,1400000,17,1400000,17,0,18,0,18,0,19,0,6,0,,
35,0,101,1377724,99,70,36,1,103,61,37,-127,105,75,107,72,108,1,109,0,109,1673560,109,0,37,98,37,0,110,0,111,0,111,0,111,0,113,68,123,33,123,1500000,124,1500000,124,1500000,125,1500000,126,0,127,0,127,0,128,0,108,0,,
101,0,201,1380856,200,66,103,1,203,60,105,-127,206,62,208,66,209,1,209,0,209,1714500,210,0,110,98,110,0,210,0,211,0,211,0,211,0,213,64,222,30,223,1300000,224,1300000,224,1300000,225,1300000,225,0,226,0,227,0,227,0,209,0,,
202,0,302,1386328,301,58,204,1,304,54,206,-127,306,54,308,50,309,1,309,0,309,1151280,310,0,210,98,210,0,310,0,311,0,311,0,311,0,312,54,318,25,319,1300000,319,1300000,320,1300000,321,1300000,321,0,322,0,323,0,324,0,308,0,,
302,0,402,1386576,401,61,304,1,404,45,306,-127,406,45,408,45,409,1,409,0,410,1044680,410,0,310,98,310,0,411,0,411,0,412,0,412,0,413,51,419,20,420,1300000,421,1300000,421,1300000,422,1300000,422,0,423,0,423,0,424,0,409,0,,
402,0,502,1386700,501,22,404,1,504,33,406,-127,506,36,508,45,508,1,509,0,509,724880,509,0,411,98,411,0,510,0,510,0,510,0,510,0,512,33,517,13,518,1300000,518,1300000,518,1300000,518,1300000,519,0,519,0,519,0,519,0,508,0,,
502,0,552,1388296,551,0,504,1,555,60,506,-127,557,33,559,50,559,1,560,0,560,762190,561,0,509,98,509,0,561,0,562,0,562,0,562,0,563,36,569,15,569,1300000,570,1300000,571,1300000,571,1300000,572,0,572,0,573,0,573,0,559,0,,
553,0,652,1387676,652,14,555,1,654,33,557,-127,656,41,657,0,658,1,658,0,658,469040,658,0,561,98,561,0,659,0,659,0,659,0,659,0,661,24,665,9,666,1300000,666,1300000,666,1300000,666,1300000,667,0,667,0,667,0,668,0,658,0,,
653,0,753,1387792,752,18,654,1,754,30,656,-127,756,0,758,10,758,1,758,0,759,309140,759,0,659,98,659,0,759,0,759,0,760,0,760,0,761,15,765,6,766,1300000,766,1300000,767,1300000,767,1300000,767,0,767,0,768,0,768,0,758,0,,
753,0,853,1387288,852,20,755,1,855,20,756,-127,856,0,858,10,858,1,859,0,859,266500,859,0,759,98,759,0,859,0,860,0,860,0,860,0,861,12,866,5,866,1300000,867,1300000,867,1300000,867,1300000,868,0,868,0,868,0,868,0,858,0,,
