App,Package,Start Time,Duration,Filename
"2048",chan.android.game2048,"Oca 1, 2018 @ 08:41:25 PM","5 min 53 sec",""

Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Screen State",Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"Battery Status",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPS State",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"Application State",Description,
1,1338676,0,23,3,98,5,98,6,98,7,0,7,0,7,1,8,99,8,0,9,0,8,0,9,0,9,0,11,53,13,0,14,900000,14,900000,14,900000,15,900000,15,0,16,0,16,0,17,0,7,0,,
105,1341996,100,50,107,81,110,46,112,50,114,674190,113,0,113,1,88,99,114,0,115,0,87,0,116,0,116,0,117,57,130,0,130,1500000,131,1500000,131,1500000,132,1500000,132,0,134,0,142,0,143,0,113,0,,
202,1342884,201,81,204,90,206,66,208,75,209,2106000,209,0,208,1,114,99,210,0,211,0,114,0,212,0,212,0,214,78,222,37,223,1500000,224,1500000,225,1500000,225,1500000,226,0,226,0,226,0,227,0,208,0,,
302,1342528,301,45,305,88,307,50,308,33,310,1458000,309,0,309,1,210,99,310,0,311,0,210,0,311,0,311,0,313,54,320,28,321,1500000,321,1500000,322,1500000,322,1500000,322,0,323,0,323,0,323,0,309,0,,
405,1345396,404,60,407,70,409,60,411,44,412,1579500,412,0,411,1,310,99,412,0,413,0,310,0,413,0,413,0,415,56,424,25,425,1300000,425,1300000,425,1300000,425,1300000,426,0,426,0,426,0,426,0,411,0,,
502,1348676,501,33,504,90,506,33,507,12,508,895440,508,0,508,1,413,99,509,0,509,0,413,0,509,0,509,0,511,43,517,21,517,1300000,518,1300000,518,1300000,519,1300000,519,0,519,0,520,0,520,0,508,0,,
602,1351080,602,20,604,22,606,30,607,44,608,618280,608,0,607,1,509,99,608,0,609,0,509,0,609,0,609,0,611,27,616,11,616,1300000,616,1300000,617,1300000,617,1300000,618,0,618,0,619,0,619,0,607,0,,
711,1350692,710,33,713,36,714,27,715,44,716,746199,716,0,715,1,608,99,716,0,716,0,608,0,717,0,717,0,718,33,725,17,725,1300000,726,1300000,726,1300000,727,1300000,727,0,727,0,728,0,728,0,715,0,,
812,1351792,811,58,813,25,814,90,816,54,816,1209909,816,0,816,1,716,99,816,0,817,0,716,0,817,0,817,0,818,60,824,27,824,1500000,824,1500000,825,1500000,825,1500000,825,0,825,0,825,0,826,0,816,0,,
911,1353156,911,30,913,30,914,36,916,11,916,722250,916,0,916,1,816,99,917,0,917,0,816,0,917,0,917,0,919,26,923,10,923,1300000,923,1300000,924,1300000,924,1300000,924,0,924,0,925,0,925,0,916,0,,
1012,1353280,1011,10,1013,0,1014,11,1016,10,1016,165230,1016,0,1016,1,917,99,1017,0,1017,0,917,0,1017,0,1017,0,1019,7,1023,3,1023,1300000,1024,1300000,1024,1300000,1024,1300000,1024,0,1025,0,1025,0,1025,0,1016,0,,
1112,1353280,1111,20,1114,0,1115,22,1118,0,1119,223860,1119,0,1118,1,1017,99,1119,0,1119,0,1017,0,1120,0,1120,0,1121,16,1125,5,1126,1300000,1126,1300000,1127,1300000,1127,1300000,1127,0,1127,0,1128,0,1128,0,1118,0,,
1213,1353404,1212,11,1215,11,1216,12,1218,20,1219,287820,1219,0,1219,1,1119,99,1220,0,1220,0,1119,0,1221,0,1221,0,1223,13,1230,5,1231,1100000,1231,1100000,1232,1100000,1232,1100000,1233,0,1233,0,1233,0,1234,0,1218,0,,
1314,1354380,1313,40,1316,30,1319,54,1321,40,1323,667480,1323,0,1322,1,1220,99,1324,0,1324,0,1220,0,1325,0,1325,0,1327,41,1334,15,1335,900000,1336,900000,1337,900000,1338,900000,1339,0,1339,0,1340,0,1341,0,1322,0,,
1415,1354504,1413,58,1417,41,1420,44,1424,33,1425,522720,1425,0,1424,1,1324,99,1426,0,1426,0,1324,0,1427,0,1427,0,1429,47,1439,12,1440,900000,1441,900000,1442,900000,1442,900000,1442,0,1443,0,1444,0,1444,0,1424,0,,
1515,1354628,1514,60,1517,54,1519,33,1522,44,1523,567270,1523,0,1523,1,1426,99,1524,0,1525,0,1426,0,1526,0,1526,0,1527,46,1540,16,1541,1100000,1541,1100000,1542,1100000,1543,1100000,1544,0,1544,0,1545,0,1545,0,1522,0,,
1615,1351264,1614,60,1616,33,1617,80,1619,88,1620,1062270,1620,0,1619,1,1524,99,1620,0,1622,0,1524,0,1622,0,1623,0,1624,68,1628,29,1629,1500000,1629,1500000,1630,1500000,1630,1500000,1630,0,1630,0,1630,0,1631,0,1619,0,,
1716,1351496,1715,44,1719,30,1723,12,1726,38,1727,837000,1727,0,1726,1,1621,99,1728,0,1728,0,1621,0,1729,0,1729,0,1731,31,1741,13,1742,900000,1742,900000,1743,900000,1743,900000,1743,0,1744,0,1744,0,1745,0,1726,0,,
1817,1351496,1816,45,1820,41,1823,66,1825,50,1827,599940,1826,0,1826,1,1728,99,1827,0,1827,0,1728,0,1828,0,1828,0,1830,47,1837,14,1838,900000,1838,900000,1839,900000,1839,900000,1840,0,1840,0,1841,0,1841,0,1826,0,,
1916,1351744,1916,20,1918,25,1920,30,1923,11,1924,255420,1924,0,1923,1,1827,99,1924,0,1925,0,1827,0,1926,0,1926,0,1927,20,1935,7,1936,1100000,1936,1100000,1937,1100000,1937,1100000,1937,0,1938,0,1938,0,1938,0,1923,0,,
2017,1352256,2016,36,2019,37,2021,40,2023,37,2025,610500,2024,0,2024,1,1925,99,2025,0,2026,0,1925,0,2026,0,2026,0,2028,36,2034,14,2035,1100000,2035,1100000,2036,1100000,2036,1100000,2037,0,2037,0,2038,0,2039,0,2024,0,,
2117,1350272,2116,77,2119,40,2122,40,2124,54,2125,858770,2125,0,2124,1,2025,99,2125,0,2125,0,2025,0,2126,0,2126,0,2127,51,2132,18,2133,1200000,2133,1200000,2133,1200000,2134,1200000,2134,0,2134,0,2134,0,2135,0,2124,0,,
2218,1350272,2217,33,2220,30,2222,40,2225,37,2226,655200,2226,0,2225,1,2125,99,2226,0,2226,0,2125,0,2227,0,2227,0,2228,36,2234,12,2234,1100000,2234,1100000,2235,1100000,2235,1100000,2235,0,2236,0,2236,0,2237,0,2225,0,,
2318,1350908,2317,33,2321,22,2323,33,2325,44,2326,537240,2326,0,2326,1,2226,99,2327,0,2327,0,2226,0,2327,0,2327,0,2329,33,2334,13,2335,1100000,2335,1100000,2335,1100000,2336,1100000,2336,0,2337,0,2338,0,2338,0,2325,0,,
2420,1351404,2418,12,2423,37,2426,33,2428,54,2430,553520,2429,0,2429,1,2327,99,2430,0,2431,0,2327,0,2431,0,2431,0,2433,35,2442,10,2442,1200000,2443,1200000,2443,1200000,2443,1200000,2444,0,2444,0,2444,0,2444,0,2429,0,,
2519,1351528,2518,33,2522,12,2525,25,2527,44,2527,533520,2527,0,2527,1,2430,99,2528,0,2528,0,2430,0,2529,0,2529,0,2530,31,2536,11,2537,1100000,2538,1100000,2538,1100000,2539,1100000,2540,0,2540,0,2541,0,2541,0,2527,0,,
2620,1352024,2619,44,2623,30,2625,33,2627,63,2628,691900,2627,0,2627,1,2528,99,2628,0,2628,0,2528,0,2629,0,2629,0,2630,42,2635,15,2636,1100000,2636,1100000,2637,1100000,2638,1100000,2639,0,2639,0,2640,0,2640,0,2627,0,,
2722,1352272,2720,25,2725,25,2728,40,2730,61,2732,614569,2731,0,2731,1,2628,99,2732,0,2733,0,2628,0,2733,0,2733,0,2735,38,2745,12,2746,900000,2746,900000,2747,900000,2747,900000,2747,0,2748,0,2748,0,2748,0,2731,0,,
2821,1352396,2820,12,2823,50,2825,40,2827,37,2828,412830,2828,0,2828,1,2732,99,2829,0,2829,0,2732,0,2830,0,2830,0,2831,40,2837,11,2838,1100000,2838,1100000,2839,1100000,2839,1100000,2839,0,2840,0,2840,0,2840,0,2828,0,,
2921,1352768,2920,12,2924,37,2926,33,2927,20,2928,415140,2928,0,2928,1,2829,99,2929,0,2930,0,2829,0,2930,0,2930,0,2932,25,2937,9,2937,1100000,2938,1100000,2938,1100000,2938,1100000,2939,0,2939,0,2939,0,2940,0,2928,0,,
3023,1352892,3021,20,3025,36,3028,10,3031,10,3032,309320,3032,0,3031,1,2929,99,3032,0,3033,0,2929,0,3033,0,3033,0,3035,19,3042,6,3043,900000,3043,900000,3044,900000,3044,900000,3045,0,3045,0,3045,0,3046,0,3031,0,,
3126,1353140,3124,20,3131,33,3135,36,3139,40,3140,383130,3140,0,3140,1,3032,99,3141,0,3142,0,3032,0,3142,0,3143,0,3144,38,3150,9,3151,1100000,3151,1100000,3152,1100000,3152,1100000,3152,0,3152,0,3153,0,3153,0,3139,0,,
3223,1353388,3222,55,3225,22,3227,33,3229,14,3230,504680,3230,0,3229,1,3141,99,3230,0,3231,0,3141,0,3231,0,3231,0,3233,22,3238,8,3238,1100000,3239,1100000,3239,1100000,3240,1100000,3240,0,3240,0,3241,0,3241,0,3229,0,,
3324,1354132,3323,22,3327,44,3329,33,3332,50,3333,606430,3333,0,3332,1,3230,99,3333,0,3334,0,3231,0,3334,0,3334,0,3338,40,3349,15,3350,1100000,3350,1100000,3351,1100000,3351,1100000,3351,0,3352,0,3352,0,3352,0,3332,0,,
3426,1347436,3424,50,3430,22,3432,63,3435,45,3436,732600,3436,0,3435,1,3333,99,3436,0,3437,0,3334,0,3437,0,3437,0,3440,48,3449,15,3449,900000,3450,900000,3450,900000,3451,900000,3451,0,3451,0,3452,0,3452,0,3435,0,,
3528,1347560,3527,50,3530,50,3532,45,3534,40,3535,549450,3535,0,3534,1,3436,99,3535,0,3536,0,3436,0,3536,0,3536,0,3538,40,3545,14,3546,1100000,3546,1100000,3546,1100000,3547,1100000,3547,0,3547,0,3548,0,3548,0,3534,0,,
3626,1347684,3625,60,3628,36,3630,33,3632,40,3633,687829,3633,0,3632,1,3536,99,3633,0,3633,0,3536,0,3634,0,3634,0,3635,43,3643,14,3644,1100000,3644,1100000,3645,1100000,3645,1100000,3645,0,3646,0,3646,0,3646,0,3632,0,,
3730,1348040,3726,40,3732,33,3735,33,3738,36,3743,577940,3743,0,3742,1,3633,99,3744,0,3745,0,3633,0,3745,0,3745,0,3747,39,3754,13,3755,900000,3755,900000,3756,900000,3757,900000,3758,0,3759,0,3760,0,3760,0,3742,0,,
3827,1348288,3826,50,3830,50,3832,50,3834,45,3836,579150,3836,0,3835,1,3744,99,3836,0,3837,0,3744,0,3838,0,3838,0,3841,48,3848,14,3848,900000,3849,900000,3849,900000,3850,900000,3850,0,3851,0,3851,0,3851,0,3835,0,,
3928,1348536,3926,30,3930,22,3932,11,3934,33,3935,285120,3934,0,3934,1,3837,99,3935,0,3935,0,3837,0,3936,0,3936,0,3937,19,3944,5,3945,1100000,3945,1100000,3946,1100000,3946,1100000,3946,0,3947,0,3947,0,3947,0,3934,0,,
4027,1349048,4026,45,4030,11,4032,30,4033,40,4034,512819,4034,0,4034,1,3935,99,4035,0,4035,0,3935,0,4035,0,4035,0,4037,32,4044,11,4044,1100000,4045,1100000,4045,1100000,4045,1100000,4046,0,4046,0,4046,0,4046,0,4034,0,,
4131,1349172,4130,10,4134,36,4137,10,4141,30,4142,350020,4142,0,4141,1,4035,99,4146,0,4148,0,4035,0,4149,0,4150,0,4152,30,4164,8,4164,900000,4165,900000,4166,900000,4166,900000,4167,0,4168,0,4169,0,4170,0,4141,0,,
4230,1350040,4227,76,4232,70,4234,44,4236,55,4237,727650,4237,0,4237,1,4147,99,4237,0,4238,0,4147,0,4238,0,4238,0,4240,63,4247,19,4247,1100000,4247,1100000,4248,1100000,4248,1100000,4248,0,4249,0,4249,0,4249,0,4236,0,,
4329,1350288,4328,40,4331,22,4333,27,4335,45,4336,545380,4336,0,4336,1,4237,99,4337,0,4337,0,4238,0,4338,0,4338,0,4340,33,4347,11,4347,1100000,4348,1100000,4348,1100000,4349,1100000,4349,0,4349,0,4350,0,4350,0,4336,0,,
4433,1350676,4432,33,4436,50,4438,25,4441,50,4443,643060,4442,0,4442,1,4337,99,4443,0,4445,0,4337,0,4446,0,4446,0,4448,40,4455,14,4456,900000,4457,900000,4458,900000,4459,900000,4460,0,4461,0,4462,0,4462,0,4441,0,,
4532,1350800,4530,25,4535,44,4538,50,4542,44,4543,484110,4543,0,4542,1,4444,99,4545,0,4546,0,4444,0,4547,0,4547,0,4549,38,4560,11,4561,900000,4562,900000,4562,900000,4563,900000,4563,0,4563,0,4564,0,4564,0,4542,0,,
4631,1351172,4630,50,4633,54,4635,50,4637,40,4638,576180,4637,0,4637,1,4545,99,4638,0,4638,0,4546,0,4639,0,4639,0,4641,47,4648,14,4648,1100000,4649,1100000,4649,1100000,4650,1100000,4650,0,4650,0,4651,0,4651,0,4637,0,,
4732,1351512,4731,33,4734,58,4736,40,4737,22,4738,622710,4738,0,4738,1,4638,99,4739,0,4740,0,4638,0,4740,0,4741,0,4742,43,4750,15,4750,1100000,4751,1100000,4751,1100000,4751,1100000,4752,0,4753,0,4753,0,4753,0,4737,0,,
4833,1347916,4832,62,4836,62,4838,33,4842,54,4844,858770,4843,0,4843,1,4739,99,4845,0,4846,0,4739,0,4846,0,4846,0,4848,51,4855,17,4855,1000000,4856,1000000,4856,1000000,4857,1000000,4857,0,4858,0,4859,0,4860,0,4842,0,,
4932,1348040,4931,40,4935,44,4937,55,4939,33,4941,602000,4940,0,4940,1,4845,99,4942,0,4944,0,4845,0,4945,0,4945,0,4947,44,4953,13,4954,1100000,4954,1100000,4955,1100000,4955,1100000,4955,0,4955,0,4956,0,4956,0,4939,0,,
5036,1348644,5035,25,5038,46,5041,63,5043,30,5045,667480,5044,0,5043,1,4943,99,5045,0,5046,0,4943,0,5046,0,5047,0,5048,42,5054,15,5054,1200000,5055,1200000,5055,1200000,5055,1200000,5056,0,5056,0,5056,0,5057,0,5043,0,,
5138,1346288,5137,44,5141,33,5147,37,5149,40,5151,720720,5150,0,5150,1,5045,99,5151,0,5152,0,5045,0,5152,0,5152,0,5154,37,5165,12,5166,900000,5166,900000,5167,900000,5167,900000,5167,0,5168,0,5168,0,5169,0,5150,0,,
5240,1346164,5238,40,5242,63,5246,40,5249,50,5250,573210,5250,0,5249,1,5151,99,5250,0,5251,0,5151,0,5251,0,5251,0,5253,51,5260,14,5261,1100000,5261,1100000,5262,1100000,5262,1100000,5262,0,5263,0,5263,0,5264,0,5249,0,,
5337,1346412,5337,54,5339,0,5343,33,5345,30,5347,476190,5346,0,5346,1,5250,99,5347,0,5348,0,5250,0,5348,0,5348,0,5350,32,5355,11,5356,1100000,5357,1100000,5357,1100000,5358,1100000,5359,0,5359,0,5360,0,5361,0,5345,0,,
5438,1346660,5437,50,5441,33,5444,33,5448,33,5450,606430,5450,0,5449,1,5347,99,5450,0,5451,0,5348,0,5451,0,5451,0,5453,36,5464,13,5466,900000,5466,900000,5466,900000,5467,900000,5467,0,5468,0,5468,0,5468,0,5449,0,,
5540,1347280,5538,60,5547,45,5550,30,5552,40,5553,519750,5553,0,5553,1,5450,99,5554,0,5554,0,5451,0,5555,0,5555,0,5557,43,5567,13,5568,900000,5568,900000,5569,900000,5569,1200000,5570,0,5570,0,5570,0,5571,0,5553,0,,
5639,1347776,5638,37,5642,50,5644,44,5646,22,5647,492030,5647,0,5647,1,5554,99,5648,0,5648,0,5554,0,5648,0,5648,0,5651,40,5656,14,5657,1100000,5658,1100000,5659,1100000,5660,1100000,5660,0,5661,0,5662,0,5662,0,5647,0,,
5740,1348520,5738,40,5742,44,5744,50,5746,25,5747,647130,5747,0,5747,1,5648,99,5748,0,5748,0,5648,0,5749,0,5749,0,5751,39,5756,13,5757,1100000,5757,1100000,5757,1100000,5758,1100000,5759,0,5760,0,5761,0,5761,0,5747,0,,
5846,1348892,5843,36,5850,40,5853,40,5856,30,5857,594220,5857,0,5857,1,5748,99,5858,0,5859,0,5748,0,5860,0,5860,0,5863,43,5874,11,5875,900000,5876,900000,5876,900000,5877,900000,5877,0,5878,0,5879,0,5879,0,5856,0,,
5941,1349512,5939,44,5943,44,5946,37,5948,45,5949,504900,5949,0,5948,1,5858,99,5949,0,5950,0,5859,0,5950,0,5950,0,5952,37,5957,12,5958,1100000,5958,1100000,5959,1100000,5959,1100000,5960,0,5960,0,5961,0,5961,0,5948,0,,
6042,1350008,6040,22,6044,11,6046,20,6048,41,6050,382580,6050,0,6048,1,5950,99,6050,0,6051,0,5950,0,6052,0,6052,0,6053,27,6059,10,6060,1100000,6060,1100000,6061,1100000,6061,1100000,6062,0,6062,0,6062,0,6062,0,6048,0,,
6148,1350504,6145,25,6151,36,6154,20,6157,27,6158,439559,6158,0,6157,1,6051,99,6159,0,6160,0,6051,0,6161,0,6162,0,6164,31,6172,7,6173,900000,6173,900000,6174,900000,6174,900000,6175,0,6175,0,6176,0,6176,0,6157,0,,
6244,1351124,6243,44,6248,37,6250,40,6253,33,6255,457380,6254,0,6253,1,6160,99,6255,0,6256,0,6160,0,6256,0,6256,0,6258,32,6266,12,6266,1100000,6267,1100000,6267,1100000,6268,1100000,6269,0,6269,0,6269,0,6270,0,6253,0,,
6345,1347528,6344,55,6347,36,6350,45,6352,33,6353,687829,6353,0,6352,1,6255,99,6353,0,6354,0,6255,0,6355,0,6355,0,6356,41,6365,14,6365,1100000,6366,1100000,6366,1100000,6367,1100000,6367,0,6367,0,6368,0,6368,0,6352,0,,
6450,1347652,6444,58,6452,45,6455,33,6458,37,6460,704110,6460,0,6459,1,6353,99,6461,0,6463,0,6354,0,6464,0,6465,0,6467,50,6474,14,6475,900000,6476,900000,6477,900000,6478,900000,6480,0,6480,0,6481,0,6482,0,6459,0,,
6550,1347776,6546,50,6553,60,6556,40,6561,54,6564,605880,6563,0,6562,1,6462,99,6565,0,6566,0,6462,0,6568,0,6568,0,6571,55,6581,14,6582,900000,6582,900000,6583,900000,6583,900000,6584,0,6584,0,6584,0,6585,0,6562,0,,
6652,1347900,6649,63,6654,55,6657,58,6663,58,6666,694980,6666,0,6664,1,6565,99,6667,0,6667,0,6565,0,6668,0,6668,0,6670,55,6680,15,6681,900000,6681,900000,6682,900000,6682,900000,6683,0,6683,0,6683,0,6684,0,6663,0,,
6747,1348024,6745,54,6750,63,6752,54,6754,37,6755,617760,6755,0,6754,1,6667,99,6755,0,6756,0,6667,0,6756,0,6756,0,6758,45,6767,18,6767,1100000,6767,1100000,6768,1100000,6768,1100000,6768,0,6769,0,6769,0,6769,0,6754,0,,
6847,1348272,6846,33,6849,60,6852,36,6853,40,6854,687829,6854,0,6854,1,6756,99,6855,0,6855,0,6756,0,6855,0,6856,0,6857,43,6865,14,6866,1100000,6866,1100000,6866,1100000,6867,1100000,6867,0,6867,0,6868,0,6868,0,6854,0,,
6950,1348396,6948,46,6953,45,6955,27,6958,41,6959,647130,6959,0,6958,1,6855,99,6960,0,6961,0,6855,0,6961,0,6962,0,6964,44,6972,11,6972,900000,6973,900000,6973,900000,6973,900000,6974,0,6974,0,6975,0,6975,0,6958,0,,
7052,1348752,7050,36,7054,46,7057,30,7060,45,7062,466289,7061,0,7060,1,6960,99,7062,0,7063,0,6960,0,7065,0,7065,0,7067,35,7074,8,7075,900000,7075,900000,7076,900000,7076,900000,7079,0,7079,0,7080,0,7080,0,7060,0,,
7148,1349140,7147,37,7151,33,7153,44,7155,11,7156,371250,7156,0,7155,1,7063,99,7156,0,7156,0,7063,0,7157,0,7157,0,7158,27,7166,12,7166,1100000,7166,1100000,7167,1100000,7167,1100000,7167,0,7168,0,7168,0,7168,0,7155,0,,
7250,1349652,7248,12,7253,20,7255,50,7256,36,7257,480260,7257,0,7257,1,7156,99,7258,0,7258,0,7156,0,7258,0,7258,0,7260,33,7268,9,7268,1100000,7270,1300000,7270,1300000,7271,1300000,7271,0,7271,0,7271,0,7271,0,7257,0,,
7353,1349776,7351,33,7356,25,7359,54,7362,44,7364,789900,7363,0,7363,1,7258,99,7365,0,7366,0,7258,0,7367,0,7367,0,7369,43,7380,13,7381,900000,7382,900000,7382,900000,7383,900000,7383,0,7383,0,7384,0,7384,0,7363,0,,
