App,Package,Start Time,Duration,Filename
"calref",ca.brocku.rb.calculator,"May 5, 2021 @ 01:05:20 AM","9 min 52 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,23,0,1100000,1,1100000,2,16,3,1100000,5,17,5,1100000,7,44,8,0,8,0,8,407000,9,55,9,0,10,0,10,0,10,0,11,0,11,0,12,0,13,25,21,8,
101,50,102,1300000,102,1300000,104,0,105,1300000,108,50,108,1300000,120,63,121,0,121,0,121,868790,83,55,122,0,122,0,122,0,83,0,123,0,123,0,123,0,124,48,141,19,
201,70,201,1500000,202,1500000,203,54,204,1500000,205,55,206,1300000,208,71,209,0,210,0,210,1586680,121,55,211,0,212,0,213,0,122,0,214,0,214,0,215,0,216,61,224,32,
301,44,301,1300000,302,1300000,303,40,304,1300000,305,54,306,1300000,307,40,308,0,308,0,308,948740,210,55,309,0,309,0,309,0,213,0,310,0,311,0,311,0,313,42,320,18,
401,50,402,1300000,402,1300000,403,50,404,1300000,405,54,405,1300000,407,30,408,0,409,400000,411,980719,308,55,414,0,414,400000,415,400000,309,0,417,0,417,400000,419,0,420,99,429,18,
501,27,502,1300000,502,1300000,503,54,504,1300000,505,36,505,1300000,507,12,508,10,509,400000,509,696770,412,55,512,0,512,400000,513,400000,415,0,514,0,515,400000,516,0,518,17,526,14,
602,20,602,1300000,603,1300000,605,11,605,1300000,607,54,608,1300000,609,30,611,0,611,400000,612,612950,509,55,613,0,614,400000,614,400000,513,0,616,0,616,400000,618,0,619,14,627,12,
702,20,702,1300000,703,1300000,704,0,705,1300000,706,0,707,1300000,708,30,710,0,710,400000,710,266500,612,55,712,0,712,400000,712,400000,614,0,714,0,714,400000,716,0,717,6,724,5,
802,22,803,1300000,803,1300000,804,11,805,1300000,806,0,807,1300000,808,0,810,0,810,400000,810,175890,710,55,812,0,812,400000,812,400000,712,0,814,0,814,400000,816,0,817,3,825,3,
903,22,903,1300000,903,1300000,905,0,905,1300000,907,20,907,1300000,909,0,910,0,911,400000,911,223860,810,55,912,0,913,400000,913,400000,813,0,914,0,915,400000,916,0,918,5,925,4,
