App,Package,Start Time,Duration,Filename
"Calculator",ca.brocku.rb.calculator,"May 4, 2021 @ 10:47:51 PM","9 min 26 sec",""

Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"Battery Power* [uW]",Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
0,2,0,1100000,1,1100000,2,7,3,1100000,5,2,5,1100000,9,2,10,0,10,0,11,52910,11,80,11,0,12,0,12,0,12,0,12,0,13,0,13,0,14,3,21,0,
102,70,103,1300000,104,1300000,105,58,106,1300000,111,50,111,1300000,114,50,114,0,115,0,117,1215240,78,80,117,0,118,0,118,0,78,0,119,0,119,0,120,0,121,58,134,25,
205,60,205,1300000,206,1300000,208,72,209,1300000,211,63,212,1300000,214,70,214,0,215,0,215,1412449,117,80,216,0,217,0,217,0,118,0,218,0,218,0,219,0,221,65,229,30,
305,40,305,1300000,306,1300000,307,22,308,1300000,310,50,311,1300000,313,25,313,0,314,0,314,730210,215,80,314,0,315,0,315,0,217,0,316,0,316,0,317,0,318,35,323,14,
405,58,405,1300000,406,1300000,407,36,408,1300000,410,36,411,1300000,413,12,413,0,414,0,414,756860,314,80,414,0,415,0,415,0,315,0,415,0,415,0,416,0,417,36,422,15,
505,45,506,1300000,506,1300000,508,20,508,1300000,510,12,511,1300000,512,12,513,0,513,0,513,474369,414,80,514,0,514,0,514,0,415,0,515,0,515,0,515,0,517,19,521,9,
606,45,606,1300000,607,1300000,608,12,609,1300000,610,22,611,1300000,613,41,613,0,614,0,614,639600,513,80,614,0,615,0,615,0,514,0,615,0,615,0,616,0,617,35,622,13,
706,30,707,1300000,707,1300000,708,0,709,1300000,710,0,711,1300000,712,0,712,0,713,0,713,159900,614,80,713,0,713,0,713,0,615,0,714,0,714,0,714,0,716,5,721,3,
807,27,808,1300000,808,1300000,809,11,810,1300000,811,0,812,1300000,813,0,813,0,814,0,814,202540,713,80,814,0,814,0,815,0,714,0,815,0,815,0,815,0,817,12,821,4,
908,33,908,1300000,908,1300000,910,0,910,1300000,912,11,912,1300000,913,0,914,0,914,0,914,234520,814,80,914,0,915,0,915,0,815,0,915,0,915,0,916,0,917,10,921,4,
1011,30,1012,400000,1013,400000,1017,18,1018,400000,1022,0,1023,400000,1027,15,1028,0,1029,0,1029,57959,914,80,1029,0,1030,0,1030,0,915,0,1031,0,1031,0,1031,0,1033,17,1040,5,
1109,50,1110,900000,1110,900000,1112,22,1113,900000,1115,22,1115,900000,1117,27,1118,0,1119,0,1119,359370,1029,80,1119,0,1120,0,1120,0,1030,0,1121,0,1121,0,1121,0,1123,29,1130,8,
1209,33,1210,900000,1211,900000,1213,10,1213,900000,1215,20,1216,900000,1220,0,1221,0,1222,0,1222,187110,1119,80,1223,0,1224,0,1224,0,1120,0,1225,0,1225,0,1226,0,1229,19,1235,5,
1310,33,1311,900000,1311,900000,1313,0,1314,900000,1316,27,1318,400000,1322,18,1323,0,1324,0,1325,194760,1222,80,1326,0,1328,0,1328,0,1224,0,1329,0,1329,0,1329,0,1331,20,1338,5,
1410,40,1411,900000,1411,900000,1413,18,1414,900000,1417,10,1418,600000,1422,18,1423,0,1424,0,1424,231120,1325,80,1425,0,1425,0,1426,0,1328,0,1428,0,1428,0,1429,0,1430,22,1438,6,
1510,44,1511,1200000,1511,1200000,1513,70,1513,1200000,1515,25,1515,1200000,1517,33,1517,0,1518,0,1518,804960,1424,80,1519,0,1519,0,1519,0,1426,0,1520,0,1520,0,1521,0,1523,40,1530,13,
1611,18,1612,900000,1613,900000,1615,18,1615,900000,1618,30,1619,500000,1622,27,1623,0,1624,0,1624,229769,1518,80,1625,0,1626,0,1627,0,1520,0,1627,0,1628,0,1628,0,1630,23,1637,6,
1712,27,1712,900000,1713,900000,1715,11,1715,900000,1718,45,1719,600000,1722,0,1723,0,1724,0,1724,246510,1625,80,1725,0,1725,0,1725,0,1627,0,1726,0,1727,0,1727,0,1729,21,1736,5,
1812,27,1813,900000,1813,900000,1815,25,1816,900000,1819,40,1821,400000,1825,18,1826,0,1827,0,1827,289800,1724,80,1828,0,1828,0,1828,0,1726,0,1829,0,1829,0,1830,0,1832,30,1838,8,
1912,22,1913,1100000,1913,1100000,1915,20,1915,1100000,1917,50,1918,1100000,1919,27,1920,0,1920,0,1920,484330,1827,80,1921,0,1921,0,1921,0,1829,0,1922,0,1922,0,1922,0,1924,27,1929,9,
2013,10,2013,1100000,2014,1100000,2015,10,2016,1100000,2017,18,2018,1100000,2020,20,2020,0,2021,0,2021,236060,1920,80,2021,0,2021,0,2022,0,1921,0,2022,0,2022,0,2023,0,2024,15,2029,5,
2114,18,2114,900000,2115,900000,2117,20,2118,900000,2120,10,2120,900000,2122,30,2123,0,2123,0,2124,231660,2021,80,2124,0,2124,0,2125,0,2022,0,2125,0,2126,0,2126,0,2128,20,2134,6,
2214,0,2215,900000,2215,900000,2218,22,2218,900000,2222,18,2223,400000,2227,22,2228,0,2229,0,2229,139040,2124,80,2230,0,2231,0,2231,0,2125,0,2232,0,2233,0,2234,0,2237,15,2244,4,
2315,0,2315,1100000,2316,1100000,2318,11,2318,1100000,2320,10,2320,1100000,2322,45,2322,0,2323,0,2323,268620,2230,80,2323,0,2324,0,2324,0,2232,0,2324,0,2324,0,2325,0,2326,17,2332,5,
2415,11,2416,1100000,2416,1100000,2418,0,2418,1100000,2420,10,2420,1100000,2422,30,2423,0,2423,0,2423,207570,2323,80,2424,0,2424,0,2424,0,2324,0,2425,0,2425,0,2425,0,2427,12,2432,4,
2517,10,2518,500000,2518,500000,2521,10,2523,400000,2527,10,2528,400000,2532,41,2533,0,2534,0,2534,71920,2423,80,2535,0,2536,0,2537,0,2424,0,2538,0,2538,0,2539,0,2543,19,2552,4,
2616,27,2617,1300000,2617,1300000,2619,40,2620,1300000,2621,25,2622,1300000,2624,80,2625,0,2625,0,2625,916760,2535,80,2626,0,2626,0,2626,0,2537,0,2627,0,2627,0,2628,0,2629,48,2636,18,
2717,20,2717,1100000,2717,1100000,2719,50,2720,1100000,2721,20,2722,1100000,2723,55,2724,0,2724,0,2724,590150,2625,80,2725,0,2725,0,2725,0,2626,0,2725,0,2726,0,2726,0,2728,35,2733,16,
2819,30,2820,500000,2821,500000,2824,40,2825,500000,2828,36,2829,500000,2833,33,2834,0,2834,0,2835,173750,2724,80,2835,0,2836,0,2837,0,2725,0,2838,0,2838,0,2839,0,2843,34,2851,6,
2919,11,2919,900000,2920,900000,2922,30,2922,900000,2924,20,2925,900000,2927,12,2927,0,2928,0,2928,216810,2835,80,2929,0,2929,0,2929,0,2837,0,2930,0,2930,0,2930,0,2933,17,2939,5,
3019,11,3019,1100000,3020,1100000,3021,0,3022,1100000,3023,25,3024,1100000,3025,10,3026,0,3026,0,3026,187220,2928,80,3027,0,3027,0,3028,0,2929,0,3028,0,3029,0,3029,0,3031,11,3036,4,
3119,0,3120,1100000,3120,1100000,3122,20,3122,1100000,3124,36,3124,1100000,3126,0,3127,0,3127,0,3127,227920,3026,80,3128,0,3128,0,3129,0,3028,0,3129,0,3129,0,3130,0,3132,15,3138,4,
3222,20,3223,500000,3223,500000,3226,10,3227,500000,3231,45,3232,500000,3236,11,3237,0,3238,0,3238,107500,3127,80,3239,0,3239,0,3239,0,3129,0,3240,0,3240,0,3240,0,3242,23,3249,4,
3322,11,3323,600000,3323,600000,3326,0,3327,600000,3330,44,3331,600000,3335,33,3337,0,3337,0,3337,142560,3238,80,3338,0,3339,0,3339,0,3239,0,3340,0,3340,0,3340,0,3344,27,3354,6,
3421,12,3422,1100000,3422,1100000,3424,27,3424,1100000,3426,37,3426,1100000,3428,41,3429,0,3429,0,3429,476189,3338,80,3429,0,3430,0,3430,0,3339,0,3430,0,3431,0,3431,0,3432,27,3438,8,
3522,0,3522,1100000,3523,1100000,3524,20,3525,1100000,3526,30,3527,1100000,3529,10,3529,0,3530,0,3530,244200,3429,80,3530,0,3530,0,3531,0,3430,0,3531,0,3531,0,3532,0,3533,15,3539,5,
3623,12,3623,900000,3624,900000,3626,10,3627,500000,3630,36,3631,500000,3635,10,3636,0,3636,0,3637,122840,3530,80,3638,0,3638,0,3639,0,3531,0,3640,0,3640,0,3641,0,3644,16,3652,5,
3723,20,3723,1100000,3724,1100000,3725,20,3726,1100000,3727,45,3728,1100000,3730,10,3730,0,3731,0,3731,386650,3637,80,3731,0,3731,0,3732,0,3639,0,3732,0,3732,0,3732,0,3734,24,3740,7,
3823,18,3824,1100000,3824,1100000,3826,10,3826,1100000,3828,40,3828,1100000,3830,10,3831,0,3832,0,3832,317460,3731,80,3832,0,3833,0,3833,0,3732,0,3833,0,3834,0,3834,0,3836,20,3841,7,
3924,20,3925,900000,3925,900000,3928,11,3929,500000,3932,20,3933,500000,3937,0,3938,0,3938,0,3939,117070,3832,80,3940,0,3940,0,3941,0,3833,0,3941,0,3942,0,3943,0,3945,14,3958,4,
4025,20,4025,900000,4026,900000,4028,11,4028,900000,4030,44,4031,900000,4033,18,4034,0,4034,0,4034,276210,3939,80,4035,0,4035,0,4036,0,3941,0,4036,0,4037,0,4037,0,4039,24,4045,6,
4125,30,4125,1100000,4125,1100000,4127,20,4128,1100000,4129,41,4130,1100000,4132,11,4132,0,4133,0,4133,415140,4034,80,4133,0,4133,0,4134,0,4036,0,4134,0,4134,0,4135,0,4136,25,4142,8,
4225,22,4226,1100000,4226,1100000,4228,18,4228,1100000,4230,36,4230,1100000,4232,10,4233,0,4233,0,4233,350020,4133,80,4233,0,4234,0,4234,0,4134,0,4234,0,4235,0,4235,0,4236,21,4242,8,
4326,0,4327,900000,4327,900000,4329,25,4330,900000,4332,36,4333,900000,4335,0,4335,0,4336,0,4336,181170,4233,80,4337,0,4337,0,4337,0,4234,0,4338,0,4338,0,4339,0,4341,18,4348,5,
4426,36,4427,1100000,4427,1100000,4428,33,4429,1100000,4431,60,4431,1100000,4433,66,4433,0,4434,0,4434,793650,4336,80,4434,0,4435,0,4435,0,4337,0,4435,0,4435,0,4436,0,4438,52,4443,16,
4526,11,4527,1100000,4528,1100000,4529,18,4530,1100000,4532,66,4532,1100000,4534,22,4534,0,4535,0,4535,476190,4434,80,4535,0,4535,0,4536,0,4435,0,4536,0,4536,0,4537,0,4538,27,4543,11,
4628,25,4629,500000,4630,500000,4633,30,4633,500000,4637,16,4638,500000,4641,41,4642,0,4642,0,4643,140000,4535,80,4644,0,4644,0,4645,0,4536,0,4645,0,4646,0,4647,0,4649,27,4655,9,
4728,10,4729,900000,4729,900000,4731,30,4732,900000,4734,0,4734,900000,4736,37,4737,0,4737,0,4738,228690,4643,80,4738,0,4738,0,4739,0,4645,0,4739,0,4740,0,4740,0,4742,20,4748,5,
4828,11,4828,1100000,4829,1100000,4830,11,4831,1100000,4833,18,4833,1100000,4835,22,4835,0,4835,0,4836,252340,4738,80,4836,0,4836,0,4837,0,4739,0,4837,0,4837,0,4838,0,4839,15,4844,5,
4928,10,4929,1100000,4929,1100000,4931,18,4931,1100000,4933,10,4934,1100000,4935,22,4936,0,4936,0,4936,244200,4836,80,4937,0,4937,0,4937,0,4837,0,4938,0,4938,0,4938,0,4940,17,4945,6,
5031,33,5033,500000,5034,500000,5039,33,5040,900000,5042,20,5043,900000,5045,25,5045,0,5046,0,5046,216150,4936,80,5047,0,5047,0,5048,0,4938,0,5048,0,5049,0,5050,0,5052,27,5059,7,
5130,22,5130,1100000,5131,1100000,5132,10,5133,1100000,5135,12,5136,1100000,5137,50,5138,0,5138,0,5139,382580,5046,80,5139,0,5139,0,5139,0,5048,0,5140,0,5140,0,5140,0,5142,24,5147,6,
5230,10,5231,1100000,5231,1100000,5233,0,5234,1100000,5236,22,5236,1100000,5238,22,5239,0,5239,0,5239,219780,5139,80,5240,0,5240,0,5240,0,5140,0,5241,0,5241,0,5241,0,5243,12,5249,4,
5331,18,5332,900000,5332,900000,5334,11,5335,900000,5337,9,5337,900000,5339,30,5340,0,5340,0,5341,201959,5240,80,5341,0,5341,0,5342,0,5240,0,5342,0,5343,0,5343,0,5345,15,5352,5,
5431,20,5432,1100000,5432,1100000,5434,11,5435,1100000,5437,20,5437,1100000,5439,33,5439,0,5440,0,5440,341880,5341,80,5440,0,5441,0,5441,0,5342,0,5441,0,5441,0,5442,0,5443,21,5449,5,
5532,11,5532,1100000,5533,1100000,5534,11,5535,1100000,5536,11,5537,1100000,5539,20,5539,0,5539,0,5540,215710,5440,80,5540,0,5540,0,5541,0,5441,0,5541,0,5541,0,5542,0,5543,13,5548,4,
5633,10,5633,900000,5634,900000,5636,18,5636,900000,5638,0,5639,900000,5641,22,5642,0,5642,0,5642,148500,5540,80,5643,0,5643,0,5643,0,5541,0,5644,0,5644,0,5644,0,5646,14,5653,5,
5735,20,5736,500000,5738,500000,5741,36,5742,500000,5746,11,5747,500000,5749,11,5750,0,5751,0,5751,97500,5642,80,5752,0,5752,0,5752,0,5643,0,5753,0,5753,0,5754,0,5756,23,5762,4,
5833,22,5834,1100000,5834,1100000,5836,11,5836,1100000,5838,40,5838,1100000,5840,0,5841,0,5841,0,5841,297110,5751,80,5842,0,5842,0,5842,0,5753,0,5842,0,5843,0,5843,0,5844,14,5850,4,
5934,0,5934,1100000,5934,1100000,5936,0,5937,1100000,5938,12,5939,1100000,5940,20,5941,0,5941,0,5941,130240,5841,80,5942,0,5942,0,5942,0,5842,0,5943,0,5943,0,5943,0,5945,10,5950,3,
6034,33,6035,1100000,6035,1100000,6037,18,6038,1100000,6040,0,6040,1100000,6042,30,6042,0,6043,0,6043,329669,5941,80,6043,0,6044,0,6044,0,5942,0,6044,0,6044,0,6045,0,6046,18,6052,5,
6135,33,6136,1100000,6137,1100000,6139,33,6140,1100000,6141,20,6142,1100000,6146,20,6147,0,6147,0,6147,431419,6043,80,6147,0,6148,0,6148,0,6044,0,6148,0,6149,0,6149,0,6153,30,6159,11,
6236,22,6236,900000,6237,900000,6239,33,6239,900000,6241,30,6242,900000,6244,10,6244,0,6245,0,6245,282150,6147,80,6245,0,6246,0,6246,0,6148,0,6247,0,6247,0,6247,0,6249,18,6255,6,
6336,20,6336,1100000,6337,1100000,6338,10,6339,1100000,6340,22,6341,1100000,6342,22,6343,0,6343,0,6343,301180,6245,80,6344,0,6344,0,6344,0,6246,0,6345,0,6345,0,6345,0,6347,16,6352,6,
6436,10,6437,1100000,6437,1100000,6439,20,6440,1100000,6441,30,6442,1100000,6443,18,6444,0,6444,0,6444,317460,6343,80,6445,0,6445,0,6445,0,6344,0,6445,0,6446,0,6446,0,6448,23,6453,8,
6537,10,6538,900000,6539,900000,6541,11,6541,900000,6543,27,6544,900000,6546,20,6546,0,6547,0,6547,201960,6444,80,6548,0,6548,0,6548,0,6445,0,6549,0,6549,0,6550,0,6552,15,6558,4,
6637,20,6638,1100000,6638,1100000,6640,18,6640,1100000,6642,20,6642,1100000,6644,36,6644,0,6645,0,6645,382580,6547,80,6645,0,6645,0,6646,0,6548,0,6646,0,6647,0,6647,0,6648,25,6654,7,
6738,18,6738,1100000,6739,1100000,6740,10,6741,1100000,6742,27,6743,1100000,6744,36,6745,0,6745,0,6745,370370,6645,80,6746,0,6746,0,6746,0,6646,0,6747,0,6747,0,6747,0,6749,22,6754,8,
6839,25,6840,900000,6840,900000,6842,11,6843,900000,6845,0,6845,900000,6847,40,6848,0,6848,0,6849,225720,6745,80,6849,0,6850,0,6850,0,6746,0,6850,0,6851,0,6851,0,6853,17,6860,5,
6939,0,6939,1100000,6940,1100000,6941,18,6942,1100000,6943,0,6944,1100000,6945,33,6946,0,6946,0,6946,207570,6849,80,6947,0,6947,0,6947,0,6850,0,6948,0,6948,0,6948,0,6950,15,6955,5,
7039,18,7039,1100000,7040,1100000,7041,20,7042,1100000,7044,9,7044,1100000,7046,22,7046,0,7047,0,7047,280830,6946,80,7048,0,7048,0,7048,0,6947,0,7049,0,7049,0,7049,0,7051,21,7058,8,
7141,41,7142,500000,7143,500000,7146,41,7147,500000,7151,35,7152,500000,7155,33,7156,0,7157,0,7157,187500,7047,80,7158,0,7158,0,7159,0,7048,0,7160,0,7160,0,7161,0,7164,35,7171,9,
7240,0,7241,1100000,7241,1100000,7243,40,7243,1100000,7245,11,7245,1100000,7247,20,7248,0,7248,0,7248,288970,7157,80,7249,0,7249,0,7249,0,7159,0,7250,0,7250,0,7251,0,7252,17,7257,5,
7340,20,7341,1100000,7341,1100000,7343,36,7343,1100000,7345,0,7345,1100000,7347,11,7348,0,7348,0,7348,272690,7248,80,7349,0,7349,0,7349,0,7250,0,7350,0,7350,0,7350,0,7352,19,7357,6,
7442,10,7442,900000,7443,900000,7445,25,7445,900000,7448,20,7448,900000,7450,30,7451,0,7452,0,7452,252450,7348,80,7453,0,7453,0,7454,0,7349,0,7455,0,7455,0,7455,0,7457,19,7464,6,
7542,0,7542,1100000,7542,1100000,7544,11,7544,1100000,7546,0,7546,1100000,7548,22,7549,0,7549,0,7549,134310,7452,80,7550,0,7550,0,7550,0,7454,0,7551,0,7551,0,7551,0,7553,8,7558,2,
7642,0,7642,1100000,7643,1100000,7644,20,7645,1100000,7646,11,7647,1100000,7649,10,7649,0,7649,0,7650,166870,7549,80,7650,0,7650,0,7651,0,7550,0,7651,0,7651,0,7652,0,7653,11,7658,3,
