App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculator,ca.brocku.rb.calculator,"May 8, 2021 @ 01:12:56 PM",10 min 25 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],CPU1 Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU3 Load [%],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU4 Load [%],Time  [ms],CPU5 Load [%],Time  [ms],CPU5 Frequency [kHz],Time  [ms],Battery Power* [uW],Time  [ms],Battery Remaining (%) [%],Time  [ms],CPU6 Load [%],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],Battery Status,Time  [ms],CPU7 Load [%],Time  [ms],CPU8 Frequency [kHz],Time  [ms],CPU8 Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU Load (Normalized) [%]
0,27,1,900000,2,900000,4,17,5,900000,7,29,8,900000,11,51,12,0,13,0,13,368280,13,27,14,0,15,0,15,0,16,0,16,0,17,0,17,0,19,31,28,12
100,55,101,1300000,101,1300000,108,50,108,1300000,113,72,114,1300000,116,40,116,0,117,0,117,1156610,90,27,117,0,118,0,118,0,90,0,118,0,119,0,120,0,122,56,130,21
201,72,202,1300000,202,1300000,204,80,205,1300000,207,60,207,1300000,209,55,210,0,211,0,211,1423110,117,27,212,0,212,0,213,0,118,0,214,0,214,0,215,0,217,64,225,30
301,50,301,1300000,302,1300000,303,22,304,1300000,306,45,307,1300000,308,40,309,0,310,0,310,836810,211,27,310,0,311,0,311,0,213,0,312,0,312,0,312,0,314,38,318,16
402,33,404,1300000,404,1300000,406,40,407,1300000,409,41,410,1300000,412,61,412,0,413,0,413,932750,310,27,414,0,414,0,414,0,311,0,414,0,415,0,415,0,416,43,423,16
502,36,502,1300000,502,1300000,504,33,504,1300000,506,22,506,1300000,508,27,509,0,509,0,509,628939,413,27,510,0,510,0,510,0,414,0,511,0,511,0,511,0,513,31,517,13
602,22,602,1300000,603,1300000,605,12,605,1300000,607,36,607,1300000,609,36,610,0,610,0,610,564980,509,27,614,0,614,0,615,0,510,0,616,0,616,0,617,0,619,30,628,14
702,25,703,1300000,703,1300000,704,30,705,1300000,706,30,706,1300000,708,70,708,0,708,0,709,826149,611,27,709,0,709,0,710,0,615,0,710,0,710,0,711,0,712,37,717,14
802,12,803,1300000,803,1300000,805,0,805,1300000,806,0,807,1300000,808,27,809,0,809,0,809,207870,709,27,810,0,810,0,810,0,710,0,810,0,811,0,811,0,812,12,817,4
903,11,903,1300000,904,1300000,905,10,905,1300000,907,0,907,1300000,908,18,909,0,909,0,909,207870,809,27,910,0,910,0,910,0,810,0,911,0,911,0,911,0,912,7,917,3
1003,11,1004,1300000,1004,1300000,1006,0,1007,900000,1009,0,1011,400000,1015,10,1017,0,1018,0,1018,67830,909,27,1019,0,1021,0,1022,0,910,0,1022,0,1023,0,1023,0,1025,7,1032,2
1104,50,1105,900000,1106,900000,1108,20,1109,900000,1111,30,1112,900000,1114,10,1115,0,1116,0,1116,326700,1018,27,1117,0,1117,0,1117,0,1022,0,1118,0,1118,0,1118,0,1120,28,1127,8
1205,22,1205,900000,1206,900000,1208,33,1208,900000,1211,10,1211,900000,1213,20,1214,0,1215,0,1215,252450,1116,27,1215,0,1216,0,1216,0,1117,0,1216,0,1217,0,1217,0,1219,19,1226,6
1307,40,1309,500000,1311,500000,1315,40,1316,500000,1319,27,1320,500000,1324,20,1326,0,1327,0,1327,158750,1215,27,1328,0,1329,0,1329,0,1216,0,1330,0,1331,0,1331,0,1333,29,1340,5
1412,27,1414,500000,1415,500000,1419,33,1421,900000,1424,27,1424,900000,1427,50,1428,0,1428,0,1428,303690,1327,27,1429,0,1429,0,1430,0,1330,0,1430,0,1431,0,1431,0,1433,41,1443,9
1506,33,1507,1500000,1507,1500000,1508,100,1509,1500000,1512,28,1513,1500000,1515,11,1516,0,1516,0,1516,1161000,1428,27,1517,0,1517,0,1517,0,1430,0,1517,0,1518,0,1518,0,1519,38,1524,17
1606,60,1607,1500000,1607,1500000,1608,27,1609,1500000,1610,30,1610,1500000,1612,18,1612,0,1612,0,1613,911250,1516,27,1613,0,1613,0,1613,0,1517,0,1614,0,1614,0,1614,0,1615,31,1620,13
1709,11,1711,500000,1712,500000,1715,22,1716,500000,1720,10,1720,500000,1724,27,1725,0,1726,0,1726,87500,1613,27,1727,0,1727,0,1728,0,1613,0,1729,0,1729,0,1730,0,1733,20,1743,4
1809,27,1810,700000,1811,700000,1813,18,1814,700000,1817,11,1818,700000,1820,55,1821,0,1822,0,1822,225329,1726,27,1823,0,1823,0,1824,0,1728,0,1824,0,1825,0,1825,0,1827,26,1835,7
1911,0,1912,500000,1913,500000,1916,25,1917,500000,1920,25,1921,500000,1925,41,1926,0,1927,0,1928,113750,1822,27,1929,0,1929,0,1930,0,1824,0,1931,0,1931,0,1932,0,1933,32,1940,6
2012,30,2013,500000,2014,500000,2017,12,2018,500000,2021,50,2022,500000,2026,25,2027,0,2028,0,2028,146250,1928,27,2029,0,2030,0,2030,0,1930,0,2031,0,2031,0,2032,0,2034,27,2040,5
2112,20,2113,500000,2114,500000,2117,30,2118,500000,2122,58,2123,500000,2127,11,2128,0,2129,0,2129,148750,2028,27,2130,0,2131,0,2131,0,2030,0,2132,0,2132,0,2132,0,2134,27,2141,5
2213,12,2214,500000,2214,500000,2218,20,2218,500000,2222,40,2223,500000,2227,40,2228,0,2229,0,2230,140000,2129,27,2230,0,2231,0,2231,0,2131,0,2232,0,2232,0,2233,0,2234,28,2241,5
2312,33,2312,900000,2313,900000,2315,0,2316,900000,2317,11,2318,900000,2320,37,2321,0,2322,0,2322,240570,2230,27,2323,0,2324,0,2324,0,2231,0,2325,0,2326,0,2326,0,2328,21,2335,5
2414,25,2415,600000,2415,600000,2418,11,2419,600000,2422,11,2423,600000,2427,36,2428,0,2428,0,2429,134460,2322,27,2430,0,2430,0,2431,0,2324,0,2431,0,2432,0,2432,0,2434,23,2441,4
2513,22,2514,900000,2515,900000,2517,54,2517,900000,2519,20,2520,900000,2522,25,2523,0,2524,0,2524,359370,2429,27,2525,0,2525,0,2526,0,2431,0,2527,0,2527,0,2527,0,2529,28,2536,6
2615,11,2616,500000,2617,500000,2620,0,2621,500000,2625,30,2626,500000,2631,33,2632,0,2633,0,2633,92500,2524,27,2634,0,2635,0,2635,0,2526,0,2636,0,2636,0,2637,0,2640,23,2652,4
2714,55,2715,900000,2715,900000,2717,11,2718,900000,2720,20,2721,900000,2723,0,2723,0,2724,0,2724,255420,2633,27,2724,0,2725,0,2725,0,2635,0,2726,0,2726,0,2726,0,2728,20,2735,4
2815,30,2816,900000,2816,900000,2818,20,2818,900000,2820,27,2821,900000,2823,0,2824,0,2824,0,2825,228690,2724,27,2825,0,2825,0,2826,0,2725,0,2826,0,2826,0,2827,0,2829,20,2835,5
2917,50,2918,500000,2919,500000,2922,30,2924,500000,2927,25,2929,500000,2933,9,2934,0,2935,0,2935,142500,2825,27,2936,0,2936,0,2937,0,2826,0,2937,0,2938,0,2939,0,2942,30,2948,5
3016,54,3017,900000,3017,900000,3019,11,3020,900000,3022,0,3023,900000,3025,22,3025,0,3026,0,3026,258390,2935,27,3027,0,3027,0,3027,0,2937,0,3028,0,3028,0,3028,0,3030,20,3037,6
3117,30,3118,900000,3118,900000,3120,27,3121,900000,3123,0,3123,900000,3126,20,3126,0,3127,0,3127,228690,3026,27,3127,0,3128,0,3128,0,3027,0,3128,0,3129,0,3129,0,3131,21,3138,5
3217,36,3218,900000,3218,900000,3221,20,3221,900000,3226,27,3227,900000,3229,10,3230,0,3231,0,3232,276210,3127,27,3232,0,3233,0,3234,0,3128,0,3235,0,3235,0,3236,0,3240,31,3247,9
3318,40,3319,900000,3319,900000,3321,30,3322,900000,3324,50,3325,900000,3327,10,3328,0,3329,0,3329,386099,3232,27,3330,0,3331,0,3331,0,3234,0,3332,0,3332,0,3333,0,3340,25,3351,10
3418,33,3418,1500000,3419,1500000,3420,66,3420,1500000,3422,60,3422,1500000,3424,80,3425,0,3425,0,3425,1613250,3329,27,3425,0,3426,0,3426,0,3331,0,3426,0,3427,0,3427,0,3428,61,3433,21
3522,0,3523,400000,3530,500000,3534,36,3535,500000,3538,11,3539,500000,3542,25,3543,0,3544,0,3544,90000,3425,27,3545,0,3545,0,3546,0,3426,0,3546,0,3546,0,3547,0,3549,20,3555,4
3622,12,3623,500000,3624,500000,3628,44,3629,500000,3633,22,3635,500000,3638,22,3639,0,3640,0,3640,125000,3544,27,3641,0,3641,0,3642,0,3546,0,3642,0,3643,0,3644,0,3646,28,3653,5
