App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calref,ca.brocku.rb.calculator,"May 5, 2021 @ 12:54:58 AM",10 min 4 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],CPU1 Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU3 Load [%],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU4 Load [%],Time  [ms],CPU5 Load [%],Time  [ms],CPU5 Frequency [kHz],Time  [ms],Battery Power* [uW],Time  [ms],Battery Remaining (%) [%],Time  [ms],CPU6 Load [%],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],Battery Status,Time  [ms],CPU7 Load [%],Time  [ms],CPU8 Frequency [kHz],Time  [ms],CPU8 Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU Load (Normalized) [%]
0,18,1,1100000,1,1100000,3,14,4,900000,6,44,7,900000,9,35,11,0,11,0,11,364870,12,57,12,0,13,0,13,0,14,0,14,0,15,0,15,0,19,28,28,11
101,40,101,1300000,102,1300000,105,22,105,1300000,108,66,108,1300000,111,40,111,0,112,0,112,895440,90,57,113,0,113,0,114,0,90,0,114,0,114,0,115,0,116,47,124,19
201,63,202,1300000,203,1300000,205,42,206,1300000,208,44,209,1300000,211,72,211,0,212,0,212,1177929,112,57,213,0,213,0,214,0,114,0,214,0,214,0,215,0,217,55,226,25
301,30,302,1300000,303,1300000,305,50,306,1300000,307,44,308,1300000,310,50,311,0,311,0,311,927420,212,57,311,0,312,0,312,0,214,0,312,0,313,0,313,0,314,38,322,16
402,40,402,1300000,403,1300000,406,30,406,1300000,408,45,409,1300000,410,22,411,0,411,0,411,730210,311,57,411,0,412,0,412,0,312,0,412,0,413,0,413,0,414,35,425,14
502,20,502,1300000,503,1300000,504,25,505,1300000,506,50,507,1300000,508,30,509,0,509,0,510,666250,411,57,510,0,510,0,510,0,412,0,511,0,511,0,511,0,512,28,517,12
602,36,603,1300000,603,1300000,605,30,606,1300000,608,12,609,1300000,610,20,611,0,612,0,612,522339,510,57,612,0,613,0,613,0,510,0,613,0,614,0,614,0,616,31,622,12
702,27,703,1300000,703,1300000,705,20,705,1300000,706,11,707,1300000,708,0,708,0,709,0,709,309140,612,57,709,0,709,0,710,0,613,0,710,0,710,0,710,0,712,8,716,4
803,0,803,1300000,803,1300000,805,0,805,1300000,807,36,807,1300000,808,0,809,0,809,0,809,191880,709,57,809,0,810,0,810,0,710,0,810,0,810,0,811,0,812,10,818,3
903,20,903,1300000,904,1300000,905,0,905,1300000,907,20,907,1300000,909,0,909,0,909,0,909,213200,809,57,910,0,910,0,910,0,810,0,911,0,911,0,911,0,912,10,917,4
