App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calref,ca.brocku.rb.calculator,"Şub 10, 2022 @ 03:06:27 AM",5 min 15 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU1 Load [%],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU3 Load [%],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU4 Load [%],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU5 Load [%],Time  [ms],Battery Power* [uW],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU6 Load [%],Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Status,Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU7 Load [%],Time  [ms],CPU8 Frequency [kHz],Time  [ms],CPU8 Load [%],Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%]
0,1401600,2,0,3,1401600,5,0,6,1401600,7,0,8,1401600,10,0,11,1401600,12,0,13,0,14,1401600,15,0,16,100,17,0,18,1401600,20,0,21,2016000,22,0,24,320000,25,45
101,2016000,102,0,103,2016000,105,0,105,2016000,107,0,108,2016000,109,0,109,2016000,110,0,111,1102127,111,2016000,112,0,112,100,113,0,113,2016000,114,0,114,2016000,115,0,115,320000,116,45
201,2016000,202,0,203,2016000,204,0,204,2016000,205,0,206,2016000,207,0,208,2016000,209,0,209,1102127,210,2016000,211,0,133,100,132,0,212,2016000,213,0,213,2016000,214,0,214,320000,215,45
302,2016000,303,0,303,2016000,304,0,304,2016000,305,0,305,2016000,306,0,307,2016000,308,0,308,1102127,308,2016000,309,0,211,100,211,0,311,2016000,312,0,313,2016000,314,0,315,320000,316,45
402,2016000,403,0,404,2016000,405,0,406,2016000,408,0,408,2016000,409,0,410,2016000,411,0,411,1102127,412,2016000,413,0,310,100,310,0,414,2016000,415,0,415,2016000,416,0,416,320000,417,45
503,2016000,504,0,504,2016000,505,0,506,2016000,507,0,507,2016000,508,0,509,2016000,509,0,510,1102127,510,2016000,511,0,413,100,413,0,512,2016000,513,0,513,2016000,514,0,515,320000,516,45
604,2016000,605,0,605,2016000,606,0,606,2016000,607,0,608,2016000,608,0,609,2016000,610,0,610,1102127,611,2016000,612,0,511,100,511,0,612,2016000,613,0,613,2016000,614,0,614,320000,615,45
704,2016000,705,0,706,2016000,706,0,707,2016000,707,0,708,2016000,708,0,708,2016000,709,0,709,1102127,710,2016000,711,0,612,100,612,0,712,2016000,713,0,713,2016000,714,0,714,320000,715,45
805,2016000,806,0,806,2016000,807,0,807,2016000,808,0,808,2016000,808,0,809,2016000,809,0,810,1102127,810,2016000,811,0,711,100,711,0,812,2016000,813,0,814,2016000,815,0,815,216000,816,45
905,2016000,906,0,906,2016000,907,0,908,2016000,908,0,909,2016000,909,0,909,2016000,910,0,910,591009,911,2016000,911,0,811,100,811,0,912,2016000,913,0,913,2016000,914,0,915,133330,915,45
