App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculator,com.example.calculator,"Şub 10, 2022 @ 03:13:39 AM",5 min 10 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU1 Load [%],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU3 Load [%],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU4 Load [%],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU5 Load [%],Time  [ms],Battery Power* [uW],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU6 Load [%],Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Status,Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU7 Load [%],Time  [ms],CPU8 Frequency [kHz],Time  [ms],CPU8 Load [%],Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%]
0,1401600,1,0,2,1401600,3,0,3,1401600,4,0,4,1401600,5,0,5,1401600,6,0,6,0,7,1401600,7,0,7,99,7,0,8,1401600,8,0,8,1401600,9,0,10,320000,11,47
101,2016000,102,0,102,2016000,103,0,103,2016000,104,0,104,2016000,104,0,105,2016000,105,0,105,1151110,105,2016000,106,0,106,99,106,0,106,2016000,106,0,107,2016000,107,0,107,320000,108,0
201,2016000,202,0,203,2016000,204,0,204,2016000,205,0,205,2016000,206,0,206,2016000,207,0,207,0,207,2016000,207,0,123,99,123,0,208,2016000,208,0,208,2016000,209,0,210,320000,210,0
301,2016000,302,0,302,2016000,304,0,305,2016000,305,0,306,2016000,306,0,307,2016000,307,0,307,0,307,2016000,308,0,207,99,208,0,308,2016000,308,0,309,2016000,309,0,309,320000,310,0
401,2016000,402,0,402,2016000,403,0,403,2016000,404,0,404,2016000,404,0,405,2016000,405,0,405,0,405,2016000,406,0,308,99,308,0,406,2016000,407,0,407,2016000,407,0,408,320000,408,28
502,2016000,503,0,503,2016000,503,0,504,2016000,504,0,505,2016000,505,0,506,2016000,506,0,506,685767,506,2016000,507,0,406,99,406,0,507,2016000,508,0,508,2016000,508,0,509,320000,509,28
602,2016000,603,0,604,2016000,604,0,604,2016000,605,0,605,2016000,606,0,606,2016000,607,0,607,685767,607,2016000,608,0,507,99,507,0,608,2016000,609,0,609,2016000,609,0,610,320000,610,0
703,2016000,704,0,705,2016000,705,0,706,2016000,706,0,706,2016000,707,0,709,2016000,710,0,710,0,710,2016000,711,0,608,99,608,0,711,2016000,712,0,712,2016000,713,0,713,320000,714,0
803,2016000,804,0,804,2016000,805,0,805,2016000,805,0,805,2016000,806,0,806,2016000,806,0,807,0,807,2016000,807,0,711,99,711,0,807,2016000,808,0,808,2016000,809,0,809,320000,811,0
903,2016000,904,0,904,2016000,905,0,905,2016000,905,0,905,2016000,905,0,905,2016000,906,0,906,0,906,2016000,906,0,807,99,807,0,906,2016000,906,0,907,2016000,907,0,907,320000,908,0
1004,2016000,1004,0,1005,2016000,1005,0,1005,2016000,1005,0,1005,2016000,1006,0,1006,2016000,1006,0,1006,0,1006,2016000,1006,0,906,99,906,0,1007,2016000,1007,0,1007,2016000,1007,0,1007,320000,1008,0
1104,2016000,1105,0,1105,2016000,1106,0,1106,2016000,1106,0,1106,2016000,1107,0,1107,2016000,1107,0,1107,0,1108,2016000,1108,0,1006,99,1007,0,1108,2016000,1109,0,1109,2016000,1109,0,1110,216000,1110,0
1204,2016000,1205,0,1205,2016000,1206,0,1206,2016000,1206,0,1206,2016000,1206,0,1207,2016000,1207,0,1207,0,1207,2016000,1207,0,1108,99,1108,0,1207,2016000,1208,0,1208,2016000,1208,0,1208,133330,1209,0
1305,1689600,1306,0,1306,1689600,1307,0,1307,1689600,1307,0,1307,1689600,1308,0,1308,1689600,1308,0,1308,0,1308,1689600,1309,0,1207,99,1207,0,1309,1689600,1309,0,1310,1689600,1310,0,1310,320000,1311,0
1405,1689600,1406,0,1406,1689600,1407,0,1407,1689600,1407,0,1407,1689600,1407,0,1408,1689600,1408,0,1408,0,1408,1689600,1408,0,1309,99,1309,0,1409,1689600,1409,0,1409,1689600,1409,0,1409,320000,1410,0
1506,1689600,1507,0,1507,1689600,1507,0,1507,1689600,1508,0,1508,1689600,1508,0,1508,1689600,1508,0,1509,0,1509,1689600,1509,0,1408,99,1408,0,1509,1689600,1510,0,1510,1689600,1510,0,1510,320000,1511,0
1606,1689600,1607,0,1607,1689600,1607,0,1608,1689600,1608,0,1608,1689600,1608,0,1608,1689600,1609,0,1609,0,1609,1689600,1609,0,1509,99,1509,0,1610,1689600,1610,0,1610,1689600,1610,0,1611,320000,1611,0
