App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculator,com.example.calculator,"Şub 10, 2022 @ 09:41:15 PM",5 min 3 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU1 Load [%],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU3 Load [%],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU4 Load [%],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU5 Load [%],Time  [ms],Battery Power* [uW],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU6 Load [%],Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Status,Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU7 Load [%],Time  [ms],CPU8 Frequency [kHz],Time  [ms],CPU8 Load [%],Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%]
0,2016000,1,0,2,2016000,3,0,4,2016000,5,0,5,2016000,6,0,7,2016000,8,0,9,0,10,2016000,11,0,12,97,12,0,13,2016000,14,0,15,2016000,17,0,18,320000,19,53
50,2016000,51,0,52,2016000,53,0,53,2016000,54,0,55,2016000,56,0,56,2016000,57,0,58,1298060,59,2016000,60,0,60,97,61,0,62,2016000,63,0,63,2016000,64,0,65,320000,66,53
150,2016000,151,0,152,2016000,152,0,153,2016000,153,0,154,2016000,154,0,154,2016000,155,0,155,1298060,155,2016000,156,0,101,97,100,0,157,2016000,157,0,158,2016000,158,0,159,320000,160,0
251,2016000,252,0,253,2016000,254,0,254,2016000,255,0,255,2016000,256,0,257,2016000,257,0,258,0,258,2016000,259,0,156,97,156,0,260,2016000,260,0,261,2016000,261,0,262,320000,264,0
354,2016000,355,0,355,2016000,356,0,356,2016000,357,0,358,2016000,359,0,360,2016000,360,0,361,0,361,2016000,362,0,259,97,259,0,363,2016000,365,0,366,2016000,367,0,368,320000,369,0
454,2016000,455,0,456,2016000,457,0,458,2016000,459,0,459,2016000,460,0,461,2016000,461,0,462,0,462,2016000,463,0,363,97,363,0,464,2016000,465,0,466,2016000,467,0,468,320000,469,0
555,2016000,556,0,556,2016000,557,0,558,2016000,558,0,559,2016000,560,0,560,2016000,561,0,561,0,561,2016000,562,0,463,97,464,0,563,2016000,564,0,564,2016000,565,0,566,320000,567,0
656,2016000,657,0,657,2016000,658,0,659,2016000,659,0,660,2016000,660,0,661,2016000,661,0,662,0,662,2016000,663,0,562,97,563,0,664,2016000,664,0,665,2016000,666,0,666,320000,667,0
756,2016000,757,0,758,2016000,759,0,759,2016000,760,0,760,2016000,761,0,761,2016000,762,0,762,0,763,2016000,764,0,663,97,663,0,765,2016000,765,0,766,2016000,767,0,768,320000,769,0
857,2016000,858,0,859,2016000,859,0,860,2016000,861,0,861,2016000,862,0,862,2016000,863,0,863,0,863,2016000,864,0,764,97,764,0,865,2016000,866,0,866,2016000,866,0,867,320000,868,23
958,2016000,959,0,959,2016000,960,0,960,2016000,961,0,961,2016000,962,0,962,2016000,962,0,963,563309,963,2016000,964,0,864,97,865,0,964,2016000,965,0,965,2016000,965,0,966,320000,966,23
1058,2016000,1059,0,1060,2016000,1060,0,1061,2016000,1061,0,1062,2016000,1062,0,1062,2016000,1063,0,1063,563309,1063,2016000,1064,0,964,97,964,0,1065,2016000,1065,0,1065,2016000,1066,0,1066,320000,1067,23
