App,Package,Start Time,Duration,Filename
"Calculator",com.example.calculator,"Şub 11, 2022 @ 06:43:56 PM","4 min 51 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,1401600,1,0,2,1401600,3,0,3,1401600,4,0,4,1401600,5,0,5,1401600,6,0,6,955176,6,1401600,7,0,7,99,7,0,8,1401600,8,0,9,1401600,10,0,11,320000,13,32,
100,2016000,101,0,101,2016000,101,0,101,2016000,102,0,102,2016000,102,0,102,2016000,102,0,102,783734,103,2016000,103,0,103,99,103,0,103,2016000,103,0,103,2016000,104,0,104,320000,104,32,
201,2016000,202,0,202,2016000,203,0,203,2016000,203,0,203,2016000,204,0,204,2016000,205,0,205,783734,205,2016000,205,0,110,99,110,0,206,2016000,206,0,206,2016000,207,0,207,320000,208,32,
301,2016000,302,0,302,2016000,302,0,302,2016000,302,0,303,2016000,303,0,303,2016000,303,0,303,783734,303,2016000,304,0,205,99,205,0,304,2016000,304,0,304,2016000,305,0,305,320000,305,31,
401,2016000,402,0,402,2016000,403,0,403,2016000,403,0,403,2016000,403,0,403,2016000,404,0,404,759243,404,2016000,404,0,304,99,304,0,404,2016000,405,0,405,2016000,405,0,405,216000,406,31,
502,2016000,503,0,503,2016000,503,0,503,2016000,503,0,504,2016000,504,0,504,2016000,504,0,504,407140,504,2016000,505,0,404,99,404,0,505,2016000,505,0,505,2016000,505,0,506,216000,506,31,
602,1689600,603,0,603,1689600,603,0,603,1689600,604,0,604,1689600,604,0,604,1689600,605,0,605,407140,605,1689600,605,0,505,99,505,0,605,1689600,606,0,606,1689600,606,0,607,216000,607,31,
703,1689600,703,0,704,1689600,704,0,704,1689600,705,0,705,1689600,705,0,706,1689600,706,0,706,407140,706,1689600,707,0,605,99,605,0,707,1689600,707,0,708,1689600,708,0,709,320000,709,31,
803,1689600,804,0,804,1689600,804,0,804,1689600,805,0,805,1689600,805,0,805,1689600,806,0,806,759243,806,1689600,806,0,707,99,707,0,806,1689600,807,0,807,1689600,807,0,807,320000,808,0,
903,1689600,904,0,904,1689600,905,0,905,1689600,905,0,905,1689600,906,0,906,1689600,906,0,906,0,906,1689600,907,0,806,99,806,0,907,1689600,907,0,907,1689600,908,0,908,320000,909,0,
1004,1689600,1004,0,1005,1689600,1005,0,1005,1689600,1005,0,1006,1689600,1006,0,1006,1689600,1006,0,1006,0,1007,1689600,1007,0,907,99,907,0,1007,1689600,1008,0,1008,1689600,1008,0,1009,320000,1009,0,
1104,1689600,1105,0,1105,1689600,1106,0,1106,1689600,1107,0,1107,1689600,1107,0,1108,1689600,1108,0,1108,0,1108,1689600,1108,0,1007,99,1007,0,1109,1689600,1109,0,1109,1689600,1110,0,1110,320000,1110,0,
