App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculator,ca.brocku.rb.calculator,"Nis 28, 2021 @ 01:40:09 PM",5 min 22 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],CPU1 Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU3 Load [%],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU4 Load [%],Time  [ms],CPU5 Load [%],Time  [ms],CPU5 Frequency [kHz],Time  [ms],Battery Power* [uW],Time  [ms],Battery Remaining (%) [%],Time  [ms],CPU6 Load [%],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],Battery Status,Time  [ms],CPU7 Load [%],Time  [ms],CPU8 Frequency [kHz],Time  [ms],CPU8 Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU Load (Normalized) [%]
0,26,0,1100000,1,1100000,3,35,4,1100000,7,17,8,1100000,10,27,10,0,12,0,12,427349,12,86,13,0,13,0,14,0,14,0,14,0,15,0,15,0,17,26,25,8
100,72,100,1300000,101,1300000,102,46,102,1300000,104,25,104,1300000,106,45,106,0,107,0,107,1002040,96,86,107,0,107,0,108,0,96,0,108,0,108,0,108,0,109,42,115,16
201,66,201,1300000,202,1300000,204,37,204,1300000,206,72,207,1300000,209,58,209,0,210,0,210,1241889,107,86,210,0,211,0,211,0,108,0,211,0,212,0,212,0,214,62,222,29
300,50,301,1400000,301,1400000,303,80,305,1400000,307,81,308,1400000,309,50,310,0,310,0,310,1571220,210,86,311,0,311,0,311,0,211,0,312,0,312,0,313,0,322,67,329,31
402,60,403,1500000,403,1500000,405,66,405,1500000,406,63,407,1500000,408,80,409,0,410,1500000,410,1815750,311,86,411,0,411,1500000,412,1500000,312,0,413,0,413,1500000,416,0,417,99,425,30
503,27,503,1300000,503,1300000,505,22,506,1300000,507,27,508,1300000,509,22,510,0,511,1300000,511,522340,410,86,512,10,513,1300000,513,1300000,412,0,515,9,515,1300000,517,0,519,16,532,14
603,40,604,1300000,604,1300000,606,50,606,1300000,608,22,608,1300000,610,63,612,20,612,1300000,612,1140620,511,86,614,9,615,1300000,615,1300000,513,0,617,27,617,1300000,619,10,621,28,628,24
703,0,704,1300000,704,1300000,705,10,706,1300000,707,18,707,1300000,709,30,710,0,711,1300000,711,554319,612,86,712,0,713,1300000,713,1300000,615,0,714,0,715,1300000,716,0,718,5,725,4
803,0,804,1300000,804,1300000,806,10,806,1300000,807,0,808,1300000,809,36,811,9,811,1300000,811,293150,711,86,813,0,813,1300000,813,1300000,713,0,815,0,815,1300000,816,0,818,7,825,6
904,0,904,1300000,904,1300000,906,20,906,1300000,908,0,908,1300000,909,30,911,0,911,1300000,911,266500,811,86,913,0,913,1300000,913,1300000,813,0,915,0,915,1300000,917,0,918,6,925,5
