App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculator,ca.brocku.rb.calculator,"Nis 29, 2021 @ 07:23:04 PM",5 min 5 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU1 Load [%],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU3 Load [%],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU4 Load [%],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU5 Load [%],Time  [ms],Battery Power* [uW],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU6 Load [%],Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Status,Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU7 Load [%],Time  [ms],CPU8 Frequency [kHz],Time  [ms],CPU8 Load [%],Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%]
0,1401600,1,0,1,1401600,2,0,2,1401600,3,0,3,1401600,4,0,4,1401600,5,0,5,489834,6,1401600,6,0,7,97,7,0,7,1401600,8,0,8,1401600,9,0,9,320000,10,41
100,2016000,101,0,101,2016000,101,0,101,2016000,102,0,102,2016000,102,0,102,2016000,102,0,102,1004160,103,2016000,103,0,103,97,103,0,103,2016000,104,0,104,2016000,104,0,105,320000,105,41
201,2016000,201,0,201,2016000,202,0,202,2016000,203,0,203,2016000,203,0,203,2016000,204,0,204,1004160,204,2016000,205,0,132,97,132,0,205,2016000,205,0,206,2016000,206,0,206,320000,207,41
301,2016000,302,0,302,2016000,302,0,302,2016000,302,0,303,2016000,303,0,303,2016000,303,0,303,1004160,303,2016000,304,0,205,97,205,0,304,2016000,304,0,304,2016000,305,0,305,400000,306,41
401,2016000,402,0,402,2016000,402,0,403,2016000,403,0,403,2016000,403,0,403,2016000,404,0,404,1453679,404,2016000,404,0,304,97,304,0,404,2016000,405,0,405,2016000,405,0,405,400000,405,41
502,2016000,502,0,503,2016000,503,0,503,2016000,503,0,503,2016000,504,0,504,2016000,504,0,504,1453679,504,2016000,504,0,404,97,404,0,505,2016000,505,0,505,2016000,505,0,506,400000,506,41
602,1689600,603,0,603,1689600,603,0,603,1689600,604,0,604,1689600,604,0,604,1689600,605,0,605,1453679,605,1689600,605,0,505,97,505,0,605,1689600,606,0,606,1689600,606,0,607,320000,607,41
702,1689600,703,0,703,1689600,704,0,704,1689600,705,0,705,1689600,705,0,705,1689600,706,0,706,1004160,706,1689600,706,0,605,97,605,0,707,1689600,707,0,707,1689600,708,0,708,320000,709,41
803,1689600,804,0,804,1689600,804,0,804,1689600,805,0,805,1689600,805,0,805,1689600,805,0,806,1004160,806,1689600,806,0,706,97,706,0,806,1689600,807,0,807,1689600,807,0,807,320000,808,34
903,1689600,904,0,904,1689600,905,0,905,1689600,905,0,905,1689600,905,0,906,1689600,906,0,906,832718,906,1689600,906,0,806,97,806,0,907,1689600,907,0,907,1689600,908,0,908,320000,908,34
1004,1689600,1004,0,1005,1689600,1005,0,1005,1689600,1006,0,1006,1689600,1006,0,1006,1689600,1007,0,1007,832718,1007,1689600,1007,0,907,97,907,0,1008,1689600,1008,0,1008,1689600,1008,0,1009,320000,1009,34
1104,1689600,1105,0,1105,1689600,1106,0,1106,1689600,1106,0,1106,1689600,1106,0,1107,1689600,1107,0,1107,832718,1107,1689600,1107,0,1007,97,1007,0,1108,1689600,1108,0,1108,1689600,1108,0,1109,320000,1109,34
1204,1689600,1205,0,1205,1689600,1206,0,1206,1689600,1206,0,1206,1689600,1207,0,1207,1689600,1207,0,1207,832718,1207,1689600,1208,0,1108,97,1108,0,1208,1689600,1208,0,1208,1689600,1209,0,1209,320000,1209,34
1305,1689600,1305,0,1306,1689600,1306,0,1306,1689600,1307,0,1307,1689600,1307,0,1307,1689600,1308,0,1308,832718,1308,1689600,1308,0,1208,97,1208,0,1308,1689600,1309,0,1309,1689600,1309,0,1310,320000,1310,34
1405,1689600,1406,0,1406,1689600,1406,0,1407,1689600,1407,0,1407,1689600,1407,0,1408,1689600,1408,0,1408,832718,1408,1689600,1408,0,1308,97,1308,0,1409,1689600,1409,0,1409,1689600,1410,0,1410,320000,1410,34
1506,1689600,1507,0,1507,1689600,1508,0,1508,1689600,1508,0,1509,1689600,1509,0,1509,1689600,1509,0,1509,832718,1510,1689600,1510,0,1409,97,1409,0,1510,1689600,1511,0,1511,1689600,1511,0,1511,320000,1512,34
1606,1401600,1607,0,1607,1401600,1608,0,1608,1401600,1608,0,1608,1401600,1609,0,1609,1401600,1609,0,1609,832718,1610,1401600,1610,0,1510,97,1510,0,1610,1401600,1611,0,1611,1401600,1611,0,1612,320000,1612,34
1707,1401600,1707,0,1708,1401600,1708,0,1708,1401600,1709,0,1709,1401600,1709,0,1709,1401600,1710,0,1710,832718,1710,1401600,1710,0,1610,97,1610,0,1711,1401600,1711,0,1711,1401600,1712,0,1712,320000,1713,34
1808,652800,1809,0,1810,652800,1811,0,1811,652800,1812,0,1812,652800,1813,0,1814,652800,1814,0,1815,832718,1815,652800,1816,0,1710,97,1710,0,1816,652800,1817,0,1818,652800,1818,0,1819,320000,1820,34
1908,1401600,1909,0,1910,1401600,1911,0,1911,1401600,1911,0,1912,1401600,1912,0,1912,1401600,1913,0,1913,832718,1913,1401600,1914,0,1816,97,1816,0,1915,1401600,1915,0,1915,1401600,1916,0,1916,320000,1917,34
2010,652800,2012,0,2012,652800,2014,0,2014,652800,2015,0,2016,652800,2017,0,2018,652800,2019,0,2020,832718,2021,652800,2022,0,1914,97,1914,0,2023,652800,2024,0,2025,652800,2026,0,2026,320000,2027,34
2111,1036800,2112,0,2112,1036800,2113,0,2113,1036800,2114,0,2114,1036800,2115,0,2115,1036800,2115,0,2115,832718,2116,1036800,2116,0,2022,97,2022,0,2117,1036800,2117,0,2117,1036800,2118,0,2118,320000,2119,13
2212,652800,2214,0,2214,652800,2215,0,2216,652800,2217,0,2218,652800,2219,0,2219,652800,2220,0,2221,318392,2221,652800,2222,0,2116,97,2116,0,2223,652800,2224,0,2225,652800,2225,0,2226,320000,2227,13
2314,652800,2315,0,2316,652800,2317,0,2317,652800,2318,0,2319,652800,2320,0,2320,652800,2321,0,2322,318392,2322,652800,2324,0,2223,97,2223,0,2325,652800,2326,0,2326,652800,2327,0,2327,320000,2328,13
