App,Package,Start Time,Duration,Filename
"Calculator",com.example.calculator,"Şub 11, 2022 @ 09:38:34 PM","5 min 14 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,2016000,0,0,1,2016000,1,0,1,2016000,2,0,2,2016000,2,0,3,2016000,3,0,3,734751,3,2016000,4,0,4,96,4,0,4,2016000,4,0,5,2016000,5,0,6,320000,6,11,
100,2016000,101,0,101,2016000,101,0,101,2016000,102,0,102,2016000,102,0,102,2016000,102,0,102,269408,102,2016000,103,0,92,96,92,0,103,2016000,103,0,103,2016000,104,0,104,320000,104,0,
201,2016000,201,0,202,2016000,202,0,202,2016000,203,0,203,2016000,204,0,204,2016000,204,0,204,0,204,2016000,205,0,103,96,103,0,205,2016000,205,0,205,2016000,206,0,207,320000,208,0,
301,2016000,302,0,302,2016000,302,0,302,2016000,303,0,303,2016000,303,0,303,2016000,304,0,304,0,304,2016000,304,0,205,96,205,0,304,2016000,305,0,305,2016000,305,0,306,320000,306,22,
401,2016000,402,0,402,2016000,402,0,403,2016000,403,0,403,2016000,403,0,404,2016000,404,0,404,538817,404,2016000,404,0,304,96,304,0,405,2016000,405,0,405,2016000,405,0,406,320000,406,22,
502,2016000,503,0,503,2016000,503,0,504,2016000,504,0,504,2016000,505,0,505,2016000,505,0,505,538817,506,2016000,506,0,405,96,405,0,506,2016000,507,0,507,2016000,507,0,508,320000,508,22,
602,2016000,603,0,603,2016000,604,0,604,2016000,604,0,605,2016000,605,0,605,2016000,606,0,606,538817,606,2016000,606,0,506,96,506,0,607,2016000,607,0,607,2016000,607,0,608,320000,608,0,
703,2016000,703,0,704,2016000,705,0,705,2016000,706,0,706,2016000,706,0,707,2016000,707,0,707,0,707,2016000,708,0,606,96,606,0,708,2016000,708,0,709,2016000,709,0,709,320000,710,0,
803,2016000,804,0,804,2016000,804,0,804,2016000,805,0,805,2016000,805,0,805,2016000,806,0,806,0,806,2016000,806,0,708,96,708,0,807,2016000,807,0,807,2016000,808,0,808,320000,809,0,
903,2016000,904,0,904,2016000,905,0,905,2016000,905,0,905,2016000,905,0,906,2016000,906,0,906,0,906,2016000,906,0,806,96,806,0,907,2016000,907,0,907,2016000,907,0,908,320000,908,0,
1004,2016000,1005,0,1005,2016000,1005,0,1005,2016000,1006,0,1006,2016000,1006,0,1006,2016000,1006,0,1006,0,1007,2016000,1007,0,906,96,906,0,1007,2016000,1007,0,1007,2016000,1008,0,1008,320000,1008,0,
1104,2016000,1105,0,1106,2016000,1106,0,1106,2016000,1107,0,1107,2016000,1107,0,1107,2016000,1107,0,1108,0,1108,2016000,1108,0,1007,96,1007,0,1108,2016000,1109,0,1109,2016000,1109,0,1109,216000,1110,0,
1206,2016000,1208,0,1208,2016000,1209,0,1210,652800,1211,0,1211,1689600,1212,0,1213,1689600,1213,0,1213,0,1214,1689600,1214,0,1108,96,1108,0,1214,1689600,1215,0,1215,1689600,1216,0,1216,133330,1217,0,
1306,1689600,1307,0,1307,1689600,1308,0,1308,1689600,1308,0,1308,1689600,1309,0,1309,1689600,1309,0,1309,0,1310,1689600,1310,0,1214,96,1214,0,1310,1689600,1311,0,1311,1689600,1312,0,1312,320000,1313,0,
1407,1689600,1408,0,1408,1689600,1409,0,1409,1689600,1410,0,1410,1689600,1411,0,1411,1689600,1412,0,1412,0,1412,1689600,1412,0,1310,96,1310,0,1413,1689600,1414,0,1414,1689600,1415,0,1415,320000,1416,0,
1507,1689600,1508,0,1508,1689600,1508,0,1508,1689600,1509,0,1509,1689600,1509,0,1509,1689600,1510,0,1510,0,1510,1689600,1510,0,1413,96,1413,0,1510,1689600,1511,0,1511,1689600,1511,0,1512,320000,1512,0,
1607,1689600,1608,0,1608,1689600,1609,0,1609,1689600,1609,0,1609,1689600,1609,0,1610,1689600,1610,0,1610,0,1610,1689600,1611,0,1510,96,1510,0,1611,1689600,1611,0,1611,1689600,1612,0,1612,320000,1612,0,
1707,1689600,1708,0,1708,1689600,1709,0,1709,1689600,1709,0,1709,1689600,1710,0,1710,1689600,1710,0,1710,0,1711,1689600,1711,0,1611,96,1611,0,1711,1689600,1711,0,1712,1689600,1712,0,1712,320000,1713,0,
1808,1689600,1809,0,1809,1689600,1809,0,1809,1689600,1810,0,1810,1689600,1811,0,1811,1689600,1811,0,1811,0,1811,1689600,1812,0,1711,96,1711,0,1812,1689600,1812,0,1813,1689600,1813,0,1813,320000,1814,0,
1908,1689600,1909,0,1909,1689600,1909,0,1910,1689600,1910,0,1910,1689600,1910,0,1911,1689600,1911,0,1911,0,1911,1689600,1911,0,1812,96,1812,0,1912,1689600,1912,0,1912,1689600,1912,0,1913,320000,1913,0,
2008,1689600,2009,0,2009,1689600,2010,0,2010,1689600,2010,0,2010,1689600,2011,0,2011,1689600,2011,0,2011,0,2011,1689600,2012,0,1912,96,1912,0,2012,1689600,2012,0,2012,1689600,2013,0,2013,320000,2013,0,
2109,1689600,2109,0,2110,1689600,2110,0,2110,1689600,2110,0,2111,1689600,2111,0,2111,1689600,2111,0,2112,0,2112,1689600,2112,0,2012,96,2012,0,2112,1689600,2113,0,2113,1689600,2113,0,2114,320000,2114,0,
2209,1689600,2210,0,2210,1401600,2211,0,2211,1401600,2211,0,2212,1401600,2212,0,2212,1401600,2213,0,2213,0,2213,1401600,2213,0,2112,96,2112,0,2214,1401600,2214,0,2214,1401600,2215,0,2215,320000,2215,0,
