App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calref,ca.brocku.rb.calculator,"May 5, 2021 @ 02:45:45 AM",9 min 37 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],CPU1 Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU3 Load [%],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU4 Load [%],Time  [ms],CPU5 Load [%],Time  [ms],CPU5 Frequency [kHz],Time  [ms],Battery Power* [uW],Time  [ms],Battery Remaining (%) [%],Time  [ms],CPU6 Load [%],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],Battery Status,Time  [ms],CPU7 Load [%],Time  [ms],CPU8 Frequency [kHz],Time  [ms],CPU8 Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU Load (Normalized) [%]
0,18,2,900000,3,900000,8,99,8,1200000,11,99,11,1200000,13,99,13,0,14,0,14,1274129,15,62,15,0,15,0,16,0,16,0,16,0,19,0,19,0,21,45,23,0
98,55,99,1100000,100,1100000,101,50,102,1100000,104,44,104,1100000,106,50,107,0,108,0,108,809930,108,62,108,0,109,0,110,0,110,0,110,0,111,0,111,0,113,50,121,0
199,80,199,1500000,199,1500000,201,77,202,1500000,203,83,204,1500000,206,70,206,0,207,0,207,2092500,165,62,207,0,208,0,208,0,165,0,208,0,208,0,209,0,210,75,218,33
299,54,300,1500000,302,1500000,305,72,306,1500000,308,81,309,1500000,311,81,312,0,312,0,312,1944000,207,62,313,0,313,0,314,0,208,0,315,0,315,0,316,0,319,72,329,37
400,100,401,1500000,401,1500000,404,70,405,1500000,408,60,409,1500000,411,77,411,0,412,0,412,2072250,313,62,412,0,413,0,413,0,314,0,414,0,414,0,415,0,416,78,425,37
500,55,501,1500000,502,1500000,505,55,507,1500000,509,81,509,1500000,512,66,513,0,513,0,513,1734750,412,62,514,0,514,0,515,0,413,0,515,0,516,0,516,0,521,63,529,33
600,63,601,1500000,601,1500000,603,63,604,1500000,605,62,606,1500000,607,66,608,0,608,0,608,1714500,513,62,608,0,609,0,609,0,515,0,609,0,610,0,610,0,611,62,619,29
701,45,701,1500000,701,1500000,704,90,704,1500000,706,40,707,1500000,709,37,709,0,710,0,710,1431000,608,62,710,0,711,0,711,0,609,0,711,0,712,0,712,0,713,57,721,27
804,55,805,1500000,805,1500000,807,100,808,1500000,809,63,810,1500000,811,55,811,0,812,0,812,1842750,710,62,812,0,812,0,813,0,711,0,813,0,813,0,813,0,814,65,820,32
901,12,902,1300000,902,1300000,904,45,904,1300000,906,41,907,1300000,909,33,909,0,909,0,910,698230,812,62,910,0,910,0,911,0,813,0,911,0,911,0,912,0,913,36,918,15
1002,30,1002,1500000,1002,1500000,1004,83,1004,1500000,1006,63,1006,1500000,1008,33,1008,0,1009,0,1009,1410750,910,62,1009,0,1009,0,1010,0,911,0,1010,0,1010,0,1011,0,1012,53,1018,23
1102,12,1102,1300000,1103,1300000,1104,33,1105,1300000,1106,44,1107,1300000,1109,50,1109,0,1110,0,1110,740870,1009,62,1110,0,1110,0,1111,0,1010,0,1111,0,1111,0,1112,0,1113,34,1120,14
1203,50,1204,1000000,1204,1000000,1206,54,1208,900000,1211,54,1212,900000,1215,66,1216,0,1217,0,1219,720400,1110,62,1219,0,1220,0,1220,0,1111,0,1221,0,1221,0,1222,0,1224,64,1232,25
1303,88,1304,1500000,1304,1500000,1306,90,1306,1500000,1308,81,1308,1500000,1310,81,1311,0,1311,0,1311,2295000,1219,62,1312,0,1312,0,1313,0,1220,0,1313,0,1314,0,1314,0,1316,83,1324,39
1403,70,1404,1500000,1404,1500000,1406,72,1406,1500000,1408,55,1408,1500000,1410,90,1410,0,1411,0,1411,1937250,1311,62,1411,0,1412,0,1412,0,1313,0,1412,0,1413,0,1413,0,1414,71,1420,35
1504,62,1505,1500000,1505,1500000,1506,62,1508,1500000,1510,37,1510,1400000,1512,70,1513,0,1514,0,1514,1508150,1411,62,1514,0,1515,0,1515,0,1412,0,1516,0,1516,0,1517,0,1518,58,1527,28
1604,44,1605,1500000,1606,1500000,1608,66,1608,1500000,1610,60,1611,1500000,1613,50,1613,0,1614,0,1614,1485000,1514,62,1615,0,1615,0,1615,0,1515,0,1616,0,1616,0,1617,0,1618,60,1626,30
1705,71,1705,1500000,1705,1500000,1707,80,1708,1500000,1709,60,1710,1500000,1712,80,1712,0,1713,0,1713,1964250,1614,62,1713,0,1714,0,1714,0,1615,0,1715,0,1715,0,1716,0,1718,69,1725,35
1807,66,1807,1500000,1808,1500000,1810,77,1810,1500000,1812,83,1815,1500000,1817,87,1817,0,1818,0,1818,2112750,1713,62,1819,0,1819,0,1819,0,1715,0,1820,0,1820,0,1821,0,1822,80,1828,39
1909,63,1910,1500000,1910,1500000,1911,83,1912,1500000,1913,81,1914,1500000,1915,72,1916,0,1916,0,1916,2018250,1818,62,1916,0,1917,0,1917,0,1819,0,1918,0,1918,0,1919,0,1920,73,1926,36
2009,25,2010,1500000,2010,1500000,2012,100,2012,1500000,2014,50,2014,1500000,2016,66,2016,0,2017,0,2017,1626750,1916,62,2018,0,2018,0,2018,0,1917,0,2019,0,2019,0,2019,0,2021,64,2027,31
2110,44,2110,1500000,2111,1500000,2112,100,2113,1500000,2114,54,2115,1500000,2116,70,2117,0,2117,0,2118,1809000,2017,62,2118,0,2118,0,2119,0,2018,0,2119,0,2120,0,2120,0,2122,64,2129,31
2210,37,2211,1200000,2211,1200000,2213,40,2214,1200000,2215,54,2216,1200000,2218,11,2219,0,2219,0,2219,664560,2118,62,2220,0,2220,0,2221,0,2119,0,2221,0,2222,0,2222,0,2224,35,2232,15
2311,50,2312,900000,2313,900000,2315,33,2316,900000,2318,58,2319,900000,2322,50,2322,0,2323,0,2323,567270,2219,62,2324,0,2325,0,2325,0,2221,0,2326,0,2326,0,2327,0,2329,51,2336,17
2411,30,2412,1200000,2412,1200000,2414,72,2416,1200000,2418,40,2419,1200000,2421,37,2421,0,2422,0,2422,837720,2323,62,2423,0,2423,0,2423,0,2325,0,2424,0,2424,0,2424,0,2426,42,2444,14
2512,60,2512,1300000,2512,1300000,2514,70,2515,1300000,2516,62,2517,1300000,2519,0,2520,0,2520,0,2520,1023359,2422,62,2521,0,2521,0,2521,0,2423,0,2522,0,2522,0,2522,0,2524,55,2529,21
2613,44,2614,900000,2614,900000,2616,58,2621,900000,2623,63,2624,900000,2627,0,2628,0,2629,0,2629,490050,2521,62,2630,0,2632,0,2632,0,2522,0,2633,0,2633,0,2634,0,2636,50,2660,21
2712,60,2713,1500000,2713,1500000,2715,90,2715,1500000,2717,100,2717,1500000,2719,75,2720,0,2720,0,2720,2193750,2629,62,2721,0,2721,0,2721,0,2632,0,2722,0,2722,0,2722,0,2724,76,2730,35
2813,75,2813,1500000,2814,1500000,2815,69,2816,1500000,2819,63,2820,1500000,2822,72,2822,0,2823,0,2823,1883250,2720,62,2823,0,2824,0,2824,0,2721,0,2825,0,2825,0,2826,0,2827,70,2834,36
2915,60,2915,1500000,2916,1500000,2917,75,2918,1500000,2920,77,2920,1500000,2922,70,2922,0,2923,0,2923,1903500,2823,62,2923,0,2924,0,2924,0,2824,0,2924,0,2925,0,2925,0,2926,71,2932,34
3014,16,3014,1300000,3015,1300000,3016,50,3017,1300000,3018,33,3019,1100000,3021,66,3021,0,3022,0,3022,796290,2923,62,3022,0,3023,0,3023,0,2924,0,3024,0,3024,0,3024,0,3026,39,3033,16
3114,54,3115,1100000,3115,1100000,3117,44,3118,1100000,3120,36,3120,1100000,3122,37,3123,0,3123,0,3124,695970,3022,62,3124,0,3124,0,3125,0,3023,0,3125,0,3125,0,3126,0,3127,47,3135,18
3215,55,3216,900000,3217,900000,3219,63,3220,900000,3222,63,3223,900000,3226,55,3226,0,3227,0,3227,700920,3124,62,3228,0,3229,0,3229,0,3125,0,3230,0,3231,0,3232,0,3233,58,3243,16
3316,77,3317,900000,3318,900000,3320,45,3321,900000,3323,33,3324,900000,3326,55,3327,0,3328,0,3328,623700,3228,62,3328,0,3329,0,3329,0,3230,0,3330,0,3330,0,3331,0,3332,56,3339,16
3416,66,3416,1300000,3417,1300000,3419,60,3419,1300000,3421,66,3421,1300000,3423,40,3424,0,3424,0,3424,1236560,3328,62,3425,0,3425,0,3425,0,3329,0,3426,0,3426,0,3427,0,3428,58,3436,24
3516,77,3516,1500000,3517,1500000,3518,90,3519,1500000,3520,60,3521,1500000,3522,60,3523,0,3523,0,3523,1937250,3424,62,3524,0,3524,0,3524,0,3425,0,3525,0,3525,0,3525,0,3527,70,3533,34
3617,22,3618,900000,3619,900000,3621,40,3622,900000,3624,11,3624,900000,3626,55,3627,0,3628,0,3628,380160,3523,62,3629,0,3629,0,3629,0,3524,0,3630,0,3630,0,3631,0,3633,32,3640,10
3718,22,3719,900000,3719,900000,3721,0,3722,900000,3724,45,3724,900000,3726,36,3727,0,3728,0,3728,305910,3628,62,3728,0,3729,0,3729,0,3630,0,3729,0,3730,0,3730,0,3732,25,3739,7
3819,0,3819,900000,3820,900000,3822,27,3822,900000,3824,10,3825,900000,3827,36,3828,0,3828,0,3828,216810,3728,62,3829,0,3829,0,3829,0,3729,0,3830,0,3830,0,3830,0,3832,19,3839,5
3921,33,3922,400000,3923,400000,3928,27,3929,400000,3933,10,3935,400000,3939,50,3940,0,3941,0,3941,110400,3828,62,3942,0,3943,0,3943,0,3829,0,3944,0,3945,0,3946,0,3949,31,3955,5
4020,11,4021,900000,4021,900000,4023,22,4024,900000,4026,0,4026,900000,4028,44,4029,0,4029,0,4030,228690,3941,62,4030,0,4030,0,4031,0,3944,0,4031,0,4032,0,4032,0,4034,13,4041,4
4120,0,4121,900000,4121,900000,4124,20,4124,900000,4126,10,4127,900000,4129,27,4129,0,4130,0,4130,169290,4030,62,4131,0,4131,0,4131,0,4031,0,4132,0,4132,0,4133,0,4135,15,4141,4
4221,20,4222,900000,4222,900000,4224,40,4225,900000,4227,25,4227,900000,4229,44,4230,0,4231,0,4231,383130,4130,62,4231,0,4231,0,4232,0,4131,0,4232,0,4233,0,4233,0,4235,33,4242,10
4321,0,4321,1100000,4322,1100000,4323,27,4324,1100000,4326,20,4326,1100000,4328,30,4328,0,4329,0,4329,313390,4231,62,4329,0,4330,0,4330,0,4232,0,4330,0,4330,0,4331,0,4332,23,4337,6
4421,20,4422,1100000,4422,1100000,4424,10,4424,1100000,4426,18,4427,1100000,4429,36,4430,0,4430,0,4430,341880,4329,62,4431,0,4432,0,4432,0,4330,0,4433,0,4433,0,4434,0,4435,19,4442,7
4522,12,4522,1200000,4522,1200000,4524,33,4525,1200000,4526,22,4527,1200000,4529,90,4529,0,4530,0,4530,734760,4431,62,4530,0,4530,0,4531,0,4432,0,4532,0,4532,0,4532,0,4534,44,4539,15
4622,11,4622,1500000,4623,1500000,4624,70,4625,1500000,4626,41,4627,1500000,4628,40,4629,0,4629,0,4629,1093500,4530,62,4630,0,4630,0,4630,0,4531,0,4631,0,4631,0,4631,0,4633,40,4640,18
4723,25,4723,1100000,4723,1100000,4725,44,4726,1100000,4728,0,4729,1100000,4731,27,4731,0,4732,0,4732,390720,4629,62,4732,0,4733,0,4733,0,4630,0,4733,0,4734,0,4734,0,4735,26,4742,9
4823,30,4823,1100000,4824,1100000,4825,10,4826,1100000,4828,20,4828,1100000,4830,0,4830,0,4831,0,4831,244200,4732,62,4831,0,4832,0,4832,0,4733,0,4832,0,4833,0,4833,0,4834,13,4842,4
4924,44,4924,1100000,4925,1100000,4926,30,4927,1100000,4929,25,4929,1100000,4931,40,4932,0,4932,0,4932,565730,4831,62,4933,0,4933,0,4933,0,4832,0,4934,0,4934,0,4935,0,4936,36,4942,13
5024,30,5025,1100000,5026,1100000,5028,20,5028,1100000,5030,11,5031,1100000,5032,11,5033,0,5033,0,5033,293040,4932,62,5034,0,5034,0,5034,0,4934,0,5035,0,5035,0,5035,0,5037,18,5042,7
5125,36,5125,1100000,5126,1100000,5128,18,5129,1100000,5131,10,5131,1100000,5133,20,5133,0,5133,0,5133,341880,5033,62,5134,0,5134,0,5134,0,5034,0,5135,0,5135,0,5135,0,5137,21,5142,7
5225,40,5226,1100000,5226,1100000,5228,0,5228,1100000,5230,11,5230,1100000,5232,20,5232,0,5233,0,5233,288970,5134,62,5233,0,5234,0,5234,0,5135,0,5234,0,5235,0,5235,0,5236,18,5241,5
5326,10,5326,1100000,5326,1100000,5328,27,5329,1100000,5330,10,5331,1100000,5332,20,5333,0,5333,0,5333,272690,5233,62,5334,0,5334,0,5334,0,5234,0,5335,0,5335,0,5335,0,5337,14,5342,6
5426,20,5427,1100000,5427,1100000,5429,12,5429,1100000,5431,0,5431,1100000,5433,20,5433,0,5434,0,5434,211640,5333,62,5434,0,5435,0,5435,0,5334,0,5435,0,5436,0,5436,0,5438,13,5444,5
5526,20,5527,1100000,5527,1100000,5529,11,5530,1100000,5531,25,5532,1100000,5533,41,5534,0,5534,0,5534,394789,5434,62,5535,0,5535,0,5535,0,5435,0,5535,0,5536,0,5536,0,5538,25,5543,8
5627,20,5628,1100000,5628,1100000,5630,18,5631,1100000,5632,30,5633,1100000,5634,30,5635,0,5635,0,5635,398860,5534,62,5636,0,5636,0,5636,0,5535,0,5636,0,5637,0,5637,0,5639,27,5644,9
5729,18,5729,1300000,5730,1300000,5732,20,5732,1300000,5734,30,5734,1300000,5736,22,5737,0,5737,0,5737,479700,5635,62,5738,0,5738,0,5739,0,5636,0,5739,0,5740,0,5740,0,5742,28,5748,10
5829,76,5830,900000,5830,900000,5833,53,5834,900000,5836,45,5837,900000,5840,53,5841,0,5841,0,5841,674189,5738,62,5842,0,5842,0,5843,0,5739,0,5843,0,5844,0,5845,0,5847,55,5855,19
5931,50,5932,1100000,5933,1100000,5934,25,5935,1100000,5937,66,5938,1100000,5940,14,5941,0,5941,0,5941,630850,5841,62,5942,0,5942,0,5943,0,5843,0,5943,0,5943,0,5944,0,5945,39,5951,12
6032,37,6032,1100000,6033,1100000,6035,25,6035,1100000,6038,30,6039,1100000,6041,36,6042,0,6042,0,6043,520960,5941,62,6043,0,6044,0,6044,0,5943,0,6045,0,6045,0,6046,0,6047,32,6055,12
6132,40,6132,1500000,6133,1500000,6134,18,6135,1500000,6136,10,6137,1500000,6138,90,6139,0,6139,0,6139,1066500,6043,62,6140,0,6140,0,6140,0,6044,0,6141,0,6141,0,6141,0,6143,42,6151,17
6233,37,6233,1100000,6234,1100000,6235,37,6236,1100000,6238,40,6239,1100000,6241,33,6241,0,6242,0,6242,598290,6139,62,6243,0,6243,0,6244,0,6140,0,6244,0,6245,0,6245,0,6247,38,6254,18
6334,77,6334,1200000,6335,1200000,6337,44,6337,1200000,6339,60,6340,1200000,6342,50,6343,0,6343,0,6343,1081080,6242,62,6344,0,6344,0,6344,0,6244,0,6345,0,6345,0,6346,0,6348,55,6355,21
6433,77,6434,1400000,6435,1400000,6437,60,6438,1500000,6440,72,6441,1500000,6444,62,6445,0,6445,0,6445,1729240,6343,62,6446,0,6446,0,6447,0,6344,0,6448,0,6448,0,6449,0,6451,73,6458,32
6534,70,6534,1500000,6535,1500000,6536,77,6536,1500000,6538,81,6539,1500000,6541,71,6542,0,6542,0,6542,2018250,6445,62,6543,0,6543,0,6544,0,6447,0,6545,0,6545,0,6546,0,6548,70,6555,36
