App,Package,Start Time,Duration,Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calref,ca.brocku.rb.calculator,"May 5, 2021 @ 09:24:14 PM",11 min 0 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time  [ms],CPU1 Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU3 Load [%],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU4 Load [%],Time  [ms],CPU5 Load [%],Time  [ms],CPU5 Frequency [kHz],Time  [ms],Battery Power* [uW],Time  [ms],Battery Remaining (%) [%],Time  [ms],CPU6 Load [%],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],Battery Status,Time  [ms],CPU7 Load [%],Time  [ms],CPU8 Frequency [kHz],Time  [ms],CPU8 Load [%],Time  [ms],CPU Load [%],Time  [ms],CPU Load (Normalized) [%]
0,2,0,1100000,1,1100000,2,1,3,1100000,5,1,6,1100000,7,4,8,0,8,0,9,32560,9,86,9,0,10,0,10,0,10,0,10,0,11,0,11,0,12,2,22,0
101,37,101,1300000,102,1300000,104,55,104,1300000,109,70,109,1300000,111,33,112,0,112,0,112,1039350,85,86,113,0,113,0,113,0,85,0,114,0,114,0,115,0,117,53,126,21
201,50,201,1500000,202,1500000,204,54,204,1300000,206,70,207,1300000,209,40,209,0,210,0,210,1288300,112,86,211,0,211,0,211,0,113,0,212,0,212,0,213,0,214,51,223,27
301,50,302,1300000,302,1300000,304,44,304,1300000,306,33,307,1300000,308,30,309,0,309,0,309,836810,210,86,309,0,310,0,310,0,211,0,310,0,310,0,311,0,312,35,319,14
401,40,402,1300000,402,1300000,404,30,405,1300000,406,40,407,1300000,408,22,409,0,409,0,409,703560,309,86,410,0,410,0,410,0,310,0,410,0,410,0,411,0,412,33,419,13
502,27,502,1300000,502,1300000,504,27,504,1300000,506,25,506,1300000,508,12,508,0,509,0,509,485030,409,86,509,0,509,0,510,0,410,0,510,0,510,0,510,0,511,23,517,10
602,33,603,1300000,603,1300000,604,36,605,1300000,606,50,607,1300000,608,30,609,0,609,0,609,794170,509,86,609,0,610,0,610,0,510,0,610,0,610,0,611,0,612,36,617,15
702,0,703,1300000,703,1300000,704,0,705,1300000,706,10,706,1300000,708,33,708,0,709,0,709,229190,609,86,709,0,709,0,709,0,610,0,710,0,710,0,710,0,711,12,716,4
803,10,803,1300000,803,1300000,805,11,805,1300000,807,16,807,1300000,808,20,809,0,809,0,809,303810,709,86,809,0,810,0,810,0,709,0,810,0,810,0,811,0,812,14,817,6
903,18,903,1300000,904,1300000,905,54,906,1400000,907,50,907,1400000,909,11,909,0,909,0,910,750980,809,86,910,0,910,0,910,0,810,0,911,0,911,0,911,0,912,37,917,16
1006,36,1008,400000,1009,400000,1012,11,1013,400000,1019,9,1020,400000,1024,0,1025,0,1026,0,1026,51519,910,86,1027,0,1028,0,1029,0,910,0,1030,0,1030,0,1031,0,1035,16,1042,5
1107,63,1108,500000,1109,500000,1113,18,1115,500000,1118,22,1118,900000,1121,20,1121,0,1122,0,1122,188150,1026,86,1122,0,1123,0,1123,0,1029,0,1123,0,1124,0,1124,0,1126,32,1135,8
1205,45,1206,1100000,1206,1100000,1208,22,1208,1100000,1210,20,1211,1100000,1212,0,1213,0,1213,0,1213,354090,1122,86,1214,0,1215,0,1216,0,1123,0,1216,0,1217,0,1217,0,1219,21,1224,7
1305,41,1306,1100000,1306,1100000,1308,18,1308,1100000,1310,20,1310,1100000,1312,11,1312,0,1313,0,1313,366299,1213,86,1313,0,1314,0,1315,0,1216,0,1315,0,1316,0,1316,0,1318,25,1324,9
1406,36,1406,1100000,1407,1100000,1408,20,1409,1100000,1410,18,1411,1100000,1412,25,1413,0,1413,0,1413,402929,1313,86,1414,0,1414,0,1415,0,1315,0,1415,0,1415,0,1416,0,1417,23,1422,8
1506,10,1507,1100000,1507,1100000,1509,27,1509,1100000,1511,0,1511,1100000,1513,27,1513,0,1515,0,1515,260480,1413,86,1515,0,1516,0,1516,0,1415,0,1516,0,1517,0,1517,0,1519,19,1524,7
1607,40,1607,1100000,1608,1100000,1609,10,1610,1100000,1611,10,1612,1100000,1613,11,1614,0,1614,0,1614,288969,1515,86,1615,0,1615,0,1615,0,1516,0,1616,0,1616,0,1617,0,1618,15,1623,5
1707,11,1708,1100000,1708,1100000,1710,33,1710,1100000,1712,0,1712,1100000,1714,10,1715,0,1715,0,1715,219780,1614,86,1716,0,1716,0,1716,0,1615,0,1717,0,1717,0,1717,0,1719,13,1724,4
1809,12,1809,900000,1810,900000,1812,36,1812,900000,1814,27,1815,900000,1817,9,1818,0,1819,0,1819,249480,1715,86,1820,0,1820,0,1820,0,1716,0,1821,0,1821,0,1821,0,1823,22,1830,8
1908,22,1909,1100000,1909,1100000,1911,18,1911,1100000,1913,20,1913,1100000,1915,18,1915,0,1916,0,1916,317460,1819,86,1916,0,1917,0,1917,0,1820,0,1917,0,1918,0,1918,0,1919,19,1925,5
2009,40,2010,900000,2010,900000,2012,20,2013,900000,2015,11,2015,900000,2018,33,2019,0,2020,0,2020,308880,1916,86,2021,0,2022,0,2022,0,1917,0,2023,0,2023,0,2023,0,2025,29,2033,9
2109,44,2110,1500000,2110,1500000,2112,90,2112,1500000,2114,27,2114,1500000,2116,20,2117,0,2117,0,2117,1221750,2020,86,2118,0,2118,0,2118,0,2022,0,2119,0,2119,0,2119,0,2122,45,2129,16
2209,22,2211,900000,2212,900000,2214,30,2214,900000,2217,22,2217,900000,2220,11,2220,0,2221,0,2221,252450,2117,86,2222,0,2222,0,2223,0,2118,0,2223,0,2224,0,2225,0,2227,23,2233,9
2311,54,2312,900000,2312,900000,2314,0,2315,900000,2317,27,2317,900000,2320,40,2320,0,2321,0,2321,359370,2221,86,2322,0,2322,0,2322,0,2223,0,2323,0,2323,0,2323,0,2325,28,2331,7
2411,0,2411,1100000,2411,1100000,2413,20,2413,1100000,2415,40,2415,1100000,2417,18,2418,0,2418,0,2418,317460,2321,86,2419,0,2419,0,2419,0,2322,0,2419,0,2420,0,2420,0,2421,18,2427,6
2512,11,2512,900000,2513,900000,2515,10,2515,900000,2517,20,2518,900000,2521,33,2522,0,2522,0,2522,219780,2418,86,2523,0,2523,0,2523,0,2419,0,2524,0,2525,0,2525,0,2527,21,2533,7
2612,20,2613,900000,2613,900000,2615,11,2616,900000,2618,27,2619,900000,2621,36,2621,0,2622,0,2622,279180,2522,86,2622,0,2623,0,2623,0,2524,0,2623,0,2624,0,2624,0,2626,23,2632,6
2712,25,2712,1100000,2713,1100000,2714,27,2715,1100000,2716,10,2717,1100000,2719,40,2719,0,2720,0,2720,415140,2622,86,2720,0,2720,0,2721,0,2623,0,2721,0,2721,0,2722,0,2723,23,2728,8
2813,20,2814,900000,2814,900000,2816,36,2817,900000,2819,11,2819,900000,2821,30,2822,0,2822,0,2823,288090,2720,86,2823,0,2823,0,2824,0,2721,0,2824,0,2825,0,2825,0,2827,26,2833,8
2913,18,2914,900000,2915,900000,2917,12,2917,900000,2919,27,2920,900000,2922,45,2922,0,2923,0,2923,302940,2823,86,2923,0,2924,0,2924,0,2824,0,2925,0,2925,0,2925,0,2927,26,2933,7
3013,20,3014,1100000,3014,1100000,3016,0,3017,1100000,3018,11,3019,1100000,3020,30,3021,0,3021,0,3021,248270,2923,86,3022,0,3022,0,3022,0,2924,0,3022,0,3023,0,3023,0,3024,13,3031,5
3114,12,3115,900000,3115,900000,3117,27,3118,900000,3120,27,3121,900000,3123,45,3123,0,3124,0,3124,329670,3021,86,3125,0,3125,0,3125,0,3022,0,3126,0,3126,0,3127,0,3128,29,3135,9
3215,20,3215,900000,3216,900000,3218,11,3219,900000,3221,11,3221,900000,3223,45,3224,0,3224,0,3225,258390,3124,86,3225,0,3225,0,3226,0,3125,0,3226,0,3227,0,3227,0,3229,23,3235,6
3315,11,3316,1100000,3316,1100000,3318,18,3319,1100000,3320,0,3321,1100000,3323,38,3323,0,3324,0,3324,272690,3225,86,3324,0,3325,0,3325,0,3226,0,3325,0,3325,0,3326,0,3327,19,3332,6
3416,0,3416,1100000,3416,1100000,3418,11,3419,1100000,3420,11,3421,1100000,3422,33,3423,0,3423,0,3423,223850,3324,86,3424,0,3424,0,3424,0,3325,0,3425,0,3425,0,3425,0,3427,13,3432,4
3516,20,3516,1100000,3517,1100000,3518,11,3519,1100000,3521,10,3521,1100000,3523,20,3523,0,3523,0,3524,248270,3423,86,3524,0,3524,0,3525,0,3424,0,3525,0,3525,0,3526,0,3527,15,3532,5
3616,10,3617,1100000,3617,1100000,3619,10,3620,1100000,3621,11,3622,1100000,3623,22,3624,0,3624,0,3625,215710,3524,86,3625,0,3625,0,3625,0,3525,0,3626,0,3626,0,3626,0,3628,12,3633,4
3717,20,3717,1100000,3718,1100000,3719,11,3720,1100000,3721,0,3722,1100000,3723,22,3724,0,3724,0,3724,215710,3625,86,3725,0,3725,0,3725,0,3626,0,3726,0,3726,0,3726,0,3728,16,3733,5
3818,20,3818,900000,3819,900000,3821,30,3821,900000,3823,20,3824,600000,3827,41,3829,0,3829,0,3830,274320,3725,86,3831,0,3831,0,3832,0,3725,0,3832,0,3833,0,3833,0,3836,29,3844,8
3918,0,3918,1100000,3919,1100000,3920,50,3921,1100000,3922,12,3923,1100000,3924,33,3925,0,3925,0,3925,386650,3830,86,3926,0,3926,0,3927,0,3832,0,3927,0,3927,0,3928,0,3929,22,3934,8
4018,11,4019,1100000,4019,1100000,4021,10,4021,1100000,4023,27,4023,1100000,4025,30,4026,0,4026,0,4026,317460,3925,86,4026,0,4027,0,4027,0,3927,0,4027,0,4028,0,4028,0,4029,17,4035,6
4119,0,4119,1100000,4120,1100000,4121,11,4122,1100000,4123,0,4124,1100000,4125,36,4126,0,4126,0,4126,191290,4026,86,4127,0,4127,0,4127,0,4027,0,4128,0,4128,0,4128,0,4130,13,4135,4
4219,0,4220,1100000,4220,1100000,4222,18,4222,1100000,4224,0,4224,1100000,4226,22,4227,0,4227,0,4227,162800,4126,86,4228,0,4228,0,4228,0,4127,0,4229,0,4229,0,4230,0,4231,10,4237,3
4320,0,4320,1100000,4321,1100000,4322,22,4323,1100000,4324,18,4325,1100000,4326,33,4327,0,4327,0,4327,297110,4227,86,4328,0,4328,0,4328,0,4228,0,4329,0,4329,0,4329,0,4331,19,4337,6
4420,0,4420,1100000,4421,1100000,4422,11,4423,1100000,4424,11,4425,1100000,4427,40,4427,0,4427,0,4428,252340,4327,86,4428,0,4428,0,4428,0,4328,0,4429,0,4429,0,4429,0,4431,16,4436,5
4521,27,4522,900000,4523,900000,4526,27,4526,900000,4529,27,4529,900000,4531,30,4532,0,4532,0,4532,329670,4428,86,4533,0,4533,0,4533,0,4429,0,4534,0,4534,0,4535,0,4537,31,4545,10
4622,27,4623,900000,4623,900000,4627,36,4627,900000,4630,11,4630,900000,4632,40,4633,0,4633,0,4633,338580,4533,86,4634,0,4634,0,4635,0,4534,0,4635,0,4635,0,4636,0,4637,29,4644,8
4722,27,4722,1100000,4723,1100000,4725,0,4725,1100000,4727,20,4728,1100000,4729,36,4730,0,4730,0,4730,337810,4633,86,4731,0,4731,0,4731,0,4635,0,4731,0,4732,0,4732,0,4733,18,4739,6
4822,20,4823,1100000,4823,1100000,4824,27,4825,1100000,4827,10,4827,1100000,4829,40,4829,0,4830,0,4830,394790,4730,86,4830,0,4830,0,4831,0,4731,0,4831,0,4831,0,4831,0,4833,24,4838,8
4923,11,4923,1100000,4923,1100000,4925,33,4925,1100000,4927,33,4928,1100000,4929,27,4930,0,4930,0,4930,423280,4830,86,4931,0,4931,0,4931,0,4831,0,4931,0,4932,0,4932,0,4933,27,4939,10
5023,10,5024,1100000,5024,1100000,5026,0,5026,1100000,5028,30,5028,1100000,5030,18,5030,0,5031,0,5031,236060,4930,86,5031,0,5031,0,5032,0,4931,0,5032,0,5032,0,5032,0,5034,14,5039,5
5123,25,5124,1100000,5124,1100000,5126,20,5126,1100000,5128,40,5129,1100000,5130,27,5131,0,5131,0,5131,455840,5031,86,5132,0,5132,0,5132,0,5032,0,5133,0,5133,0,5133,0,5135,29,5140,9
5225,0,5225,900000,5226,900000,5228,10,5229,900000,5231,33,5231,900000,5233,27,5234,0,5234,0,5234,207900,5131,86,5235,0,5235,0,5236,0,5132,0,5236,0,5236,0,5236,0,5238,25,5243,7
5324,27,5325,1300000,5325,1300000,5326,11,5327,1300000,5328,22,5329,1300000,5330,20,5330,0,5331,0,5331,426400,5234,86,5331,0,5331,0,5332,0,5236,0,5332,0,5332,0,5332,0,5334,11,5340,5
5426,33,5427,900000,5428,900000,5430,30,5431,900000,5433,33,5434,900000,5436,27,5437,0,5438,0,5438,365310,5331,86,5439,0,5439,0,5440,0,5332,0,5441,0,5442,0,5442,0,5445,31,5451,9
5528,40,5528,1100000,5529,1100000,5531,0,5531,1100000,5533,22,5533,1100000,5535,11,5535,0,5536,0,5536,297110,5438,86,5536,0,5536,0,5537,0,5440,0,5537,0,5537,0,5538,0,5539,19,5546,5
5626,0,5626,1500000,5627,1500000,5628,30,5628,1500000,5629,54,5630,1500000,5631,11,5631,0,5632,0,5632,641250,5536,86,5632,0,5632,0,5632,0,5537,0,5633,0,5633,0,5633,0,5634,24,5638,12
5728,20,5728,900000,5729,900000,5731,30,5732,900000,5734,27,5735,900000,5737,20,5737,0,5738,0,5738,288090,5632,86,5739,0,5739,0,5740,0,5632,0,5741,0,5741,0,5742,0,5744,26,5751,7
5828,20,5829,900000,5829,900000,5832,11,5832,1100000,5834,25,5835,1100000,5836,12,5837,0,5837,0,5837,242660,5738,86,5838,0,5838,0,5838,0,5740,0,5839,0,5839,0,5839,0,5841,16,5846,4
5928,11,5929,900000,5930,900000,5932,30,5933,900000,5935,20,5935,900000,5938,18,5938,0,5939,0,5939,234630,5837,86,5940,0,5941,0,5942,0,5838,0,5943,0,5943,0,5944,0,5946,20,5953,6
6029,11,6030,900000,6030,900000,6032,12,6033,900000,6035,28,6035,900000,6037,20,6038,0,6038,0,6039,210870,5939,86,6039,0,6040,0,6040,0,5942,0,6040,0,6041,0,6041,0,6043,17,6049,6
6129,11,6129,1100000,6130,1100000,6131,10,6132,1100000,6133,40,6134,1100000,6136,11,6136,0,6136,0,6137,293040,6039,86,6137,0,6137,0,6137,0,6040,0,6138,0,6138,0,6138,0,6140,18,6145,5
6229,10,6230,1100000,6230,1100000,6232,10,6232,1100000,6234,27,6235,1100000,6236,22,6237,0,6237,0,6237,280830,6137,86,6238,0,6238,0,6238,0,6137,0,6238,0,6239,0,6239,0,6241,15,6247,5
6330,0,6330,1100000,6331,1100000,6332,10,6333,1100000,6335,11,6335,1100000,6337,36,6337,0,6338,0,6338,231989,6237,86,6338,0,6338,0,6339,0,6238,0,6340,0,6340,0,6340,0,6342,15,6348,5
6430,10,6431,1100000,6431,1100000,6433,11,6433,1100000,6435,0,6435,1100000,6437,22,6438,0,6438,0,6438,175010,6338,86,6438,0,6439,0,6439,0,6339,0,6439,0,6440,0,6440,0,6442,10,6447,3
6531,11,6532,900000,6532,900000,6534,0,6535,900000,6537,30,6538,900000,6540,33,6541,0,6542,0,6542,219780,6438,86,6543,0,6543,0,6544,0,6439,0,6544,0,6545,0,6545,0,6547,23,6554,7
6632,20,6632,900000,6633,900000,6635,18,6636,900000,6638,22,6638,900000,6641,36,6642,0,6642,0,6643,285120,6542,86,6643,0,6644,0,6644,0,6544,0,6645,0,6645,0,6646,0,6648,23,6654,6
6732,0,6732,1100000,6733,1100000,6734,30,6735,1100000,6737,10,6737,1100000,6739,45,6739,0,6740,0,6740,345950,6643,86,6741,0,6741,0,6741,0,6644,0,6742,0,6742,0,6742,0,6744,20,6748,7
